,Gab2,p70S6K_pT389,PKC-alpha,XBP1,Caspase-7_cleavedD198,AMPK_alpha,c-Jun_pS73,Bax,4E-BP1_pS65,PKC-delta_pS664,B-Raf,GSK-3-BETA,IGFBP2,GSK3_pS9,JNK2,Smac,CDK1,c-Kit,Rictor_pT1135,TIGAR,Fibronectin,RAD51,GAPDH,N-Cadherin,ADAR1,ACVRL1,FRA1,p38_pT180_Y182,IRS1,HSP70
1180,3.0,0.0,4.0,1.0,13.0,7.0,54.0,8.0,2.0,6.0,120.0,18.0,23.0,21.0,44.0,17.0,10.0,5.0,141.0,87.0,56.0,134.0,25.0,94.0,9.0,97.0,16.0,122.0,51.0,140.0
1229,0.0,1.0,14.0,7.0,38.0,2.0,76.0,3.0,12.0,6.0,11.0,67.0,4.0,18.0,5.0,54.0,13.0,20.0,30.0,9.0,17.0,70.0,51.0,39.0,8.0,162.0,24.0,88.0,33.0,74.0
1278,0.0,1.0,6.0,4.0,2.0,7.0,22.0,19.0,3.0,11.0,9.0,5.0,13.0,30.0,36.0,55.0,8.0,18.0,41.0,14.0,10.0,29.0,37.0,28.0,31.0,50.0,145.0,157.0,17.0,84.0
1327,1.0,3.0,5.0,2.0,28.0,27.0,6.0,16.0,18.0,13.0,7.0,44.0,0.0,77.0,35.0,83.0,87.0,12.0,101.0,26.0,22.0,114.0,19.0,23.0,4.0,48.0,21.0,29.0,42.0,32.0
1376,0.0,2.0,1.0,3.0,4.0,5.0,14.0,38.0,20.0,18.0,15.0,35.0,23.0,43.0,7.0,47.0,49.0,61.0,104.0,114.0,8.0,27.0,71.0,21.0,10.0,24.0,13.0,73.0,26.0,87.0
1425,2.0,0.0,1.0,3.0,8.0,12.0,6.0,96.0,4.0,36.0,21.0,14.0,13.0,29.0,16.0,119.0,7.0,68.0,27.0,37.0,51.0,39.0,130.0,146.0,23.0,20.0,19.0,79.0,10.0,136.0
1474,0.0,3.0,2.0,1.0,25.0,10.0,7.0,8.0,6.0,17.0,12.0,18.0,22.0,161.0,16.0,32.0,11.0,19.0,37.0,15.0,5.0,42.0,4.0,33.0,29.0,120.0,41.0,31.0,59.0,123.0
1523,0.0,2.0,4.0,1.0,79.0,12.0,8.0,30.0,5.0,22.0,13.0,11.0,18.0,23.0,6.0,33.0,16.0,15.0,7.0,3.0,9.0,14.0,43.0,54.0,24.0,32.0,21.0,42.0,51.0,69.0
1572,0.0,7.0,3.0,2.0,1.0,21.0,10.0,13.0,8.0,138.0,9.0,6.0,12.0,51.0,18.0,33.0,101.0,15.0,46.0,35.0,80.0,5.0,4.0,134.0,73.0,14.0,22.0,40.0,108.0,85.0
1621,0.0,6.0,2.0,1.0,3.0,30.0,4.0,12.0,94.0,81.0,9.0,22.0,13.0,29.0,26.0,60.0,20.0,32.0,5.0,11.0,10.0,14.0,57.0,28.0,8.0,35.0,108.0,15.0,52.0,50.0
