,FBLN2,SUSD5,TRIM58,GSTM3,CYB5R2,LPHN2,GGT6,CMTM7,RP11-8L2.1,IL20RA,EIF5AL1,AP000783.1,CCL28,AGFG2,WRNIP1,CTB-36O1.3,CORO2A,SERTAD4-AS1,LTBP2,ALDH1L1,RP11-408B11.2,LINC00960,CYTH1,B3GALT4,ARHGDIB,NCALD,GPRIN2,APH1B,GNG11,ARHGEF17
9,3.0,15.0,2.0,1.0,16.0,28.0,4.0,29.0,7.0,13.0,10.0,6.0,5.0,34.0,59.0,0.0,14.0,37.0,93.0,66.0,129.0,556.0,11.0,200.0,69.0,36.0,8.0,108.0,860.0,79.0
58,2.0,1.0,5.0,14.0,19.0,124.0,3.0,22.0,24.0,11.0,12.0,161.0,8.0,15.0,112.0,0.0,62.0,109.0,20.0,10.0,622.0,7.0,6.0,110.0,34.0,51.0,9.0,21.0,369.0,116.0
107,1.0,3.0,10.0,7.0,23.0,5.0,56.0,17.0,4.0,34.0,2.0,27.0,89.0,84.0,20.0,0.0,31.0,164.0,98.0,15.0,250.0,155.0,47.0,24.0,204.0,52.0,8.0,6.0,198.0,86.0
156,3.0,1.0,2.0,20.0,9.0,4.0,6.0,7.0,5.0,68.0,12.0,39.0,0.0,28.0,17.0,8.0,10.0,114.0,120.0,44.0,2737.0,14.0,27.0,89.0,41.0,70.0,110.0,81.0,384.0,265.0
205,1.0,8.0,17.0,5.0,2.0,22.0,3.0,10.0,9.0,28.0,71.0,41.0,6.0,21.0,114.0,0.0,14.0,192.0,7.0,73.0,2029.0,16.0,18.0,237.0,113.0,12.0,4.0,163.0,128.0,36.0
254,0.0,6.0,79.0,2.0,52.0,5.0,1.0,26.0,80.0,38.0,24.0,106.0,17.0,275.0,54.0,3.0,15.0,116.0,14.0,29.0,507.0,7.0,25.0,133.0,95.0,30.0,23.0,22.0,510.0,167.0
303,1.0,6.0,9.0,5.0,26.0,0.0,8.0,24.0,19.0,15.0,25.0,61.0,2.0,23.0,14.0,4.0,3.0,165.0,58.0,12.0,67.0,87.0,110.0,29.0,77.0,44.0,7.0,30.0,168.0,27.0
352,1.0,6.0,4.0,22.0,2.0,13.0,39.0,19.0,9.0,12.0,88.0,43.0,7.0,137.0,26.0,0.0,3.0,95.0,70.0,232.0,299.0,307.0,36.0,20.0,18.0,28.0,213.0,16.0,114.0,164.0
401,1.0,4.0,2.0,10.0,0.0,3.0,12.0,8.0,23.0,5.0,17.0,25.0,7.0,54.0,59.0,9.0,142.0,110.0,232.0,18.0,499.0,117.0,81.0,50.0,16.0,40.0,6.0,30.0,325.0,85.0
450,2.0,35.0,6.0,0.0,3.0,57.0,21.0,37.0,27.0,53.0,146.0,36.0,10.0,7.0,17.0,11.0,4.0,64.0,62.0,16.0,1263.0,71.0,44.0,67.0,90.0,322.0,13.0,22.0,791.0,233.0
