,guanosine,2-deoxycytidine,inosine,glutamine,uridine,inositol,GABA,C18:0 LPC,C22:6 LPE,pantothenate,C16:0 LPE,pyroglutamic acid,butyrylcarnitine/isobutyrylcarnitine,leucine,serine,cystathionine,valerylcarnitine,C22:6 LPC,hypoxanthine,creatine,C34:4 PC,sarcosine,3-phosphoglycerate,PEP,C36:1 DAG,N-carbamoyl-beta-alanine,C22:6 CE,niacinamide,taurodeoxycholate,palmitoylcarnitine
1638,0.0,16.0,2.0,1.0,3.0,13.0,32.0,10.0,18.0,49.0,9.0,12.0,30.0,28.0,31.0,11.0,29.0,5.0,56.0,45.0,15.0,14.0,39.0,26.0,27.0,8.0,6.0,19.0,35.0,17.0
1687,0.0,3.0,1.0,21.0,4.0,32.0,2.0,37.0,5.0,48.0,17.0,46.0,12.0,10.0,6.0,57.0,40.0,9.0,43.0,11.0,61.0,30.0,27.0,50.0,35.0,14.0,31.0,47.0,44.0,18.0
1736,0.0,3.0,11.0,43.0,9.0,4.0,18.0,19.0,7.0,47.0,8.0,40.0,2.0,34.0,13.0,23.0,45.0,27.0,12.0,28.0,58.0,1.0,30.0,5.0,31.0,6.0,14.0,49.0,10.0,46.0
1785,0.0,1.0,2.0,4.0,16.0,21.0,6.0,8.0,18.0,30.0,3.0,44.0,13.0,5.0,47.0,11.0,38.0,17.0,40.0,9.0,26.0,22.0,29.0,36.0,53.0,58.0,10.0,28.0,25.0,51.0
1834,2.0,3.0,11.0,0.0,5.0,35.0,4.0,1.0,8.0,28.0,14.0,16.0,7.0,12.0,42.0,56.0,44.0,9.0,20.0,17.0,29.0,39.0,25.0,36.0,45.0,22.0,13.0,10.0,32.0,41.0
1883,0.0,2.0,3.0,11.0,4.0,5.0,6.0,21.0,9.0,52.0,1.0,29.0,12.0,15.0,46.0,32.0,18.0,14.0,16.0,38.0,41.0,25.0,40.0,10.0,27.0,24.0,7.0,42.0,31.0,53.0
1932,1.0,0.0,5.0,22.0,8.0,15.0,14.0,7.0,2.0,21.0,3.0,39.0,16.0,48.0,23.0,40.0,47.0,11.0,42.0,32.0,51.0,45.0,30.0,12.0,53.0,19.0,6.0,20.0,27.0,28.0
1981,0.0,1.0,4.0,21.0,8.0,2.0,11.0,5.0,7.0,3.0,6.0,9.0,37.0,43.0,10.0,16.0,20.0,42.0,13.0,22.0,49.0,26.0,51.0,30.0,39.0,19.0,47.0,38.0,63.0,46.0
2030,0.0,13.0,1.0,14.0,10.0,7.0,22.0,3.0,6.0,4.0,2.0,34.0,5.0,18.0,24.0,9.0,21.0,16.0,41.0,23.0,25.0,20.0,11.0,15.0,39.0,17.0,38.0,50.0,26.0,32.0
2079,0.0,4.0,2.0,5.0,11.0,1.0,3.0,20.0,9.0,6.0,10.0,21.0,29.0,25.0,12.0,13.0,34.0,47.0,19.0,39.0,17.0,22.0,8.0,23.0,18.0,54.0,15.0,63.0,56.0,57.0
2128,0.0,1.0,3.0,7.0,10.0,11.0,22.0,9.0,16.0,5.0,52.0,19.0,54.0,18.0,6.0,2.0,23.0,20.0,4.0,30.0,36.0,33.0,8.0,43.0,63.0,12.0,25.0,44.0,29.0,65.0
2177,0.0,3.0,6.0,2.0,5.0,1.0,44.0,8.0,7.0,33.0,18.0,9.0,10.0,38.0,13.0,12.0,22.0,19.0,4.0,26.0,56.0,17.0,15.0,48.0,34.0,30.0,23.0,27.0,46.0,35.0
2226,0.0,1.0,9.0,2.0,28.0,14.0,13.0,8.0,4.0,7.0,6.0,12.0,27.0,49.0,15.0,10.0,56.0,39.0,3.0,5.0,36.0,19.0,11.0,40.0,52.0,35.0,41.0,46.0,18.0,33.0
2275,1.0,0.0,5.0,3.0,20.0,4.0,57.0,9.0,15.0,7.0,18.0,12.0,25.0,28.0,27.0,6.0,21.0,33.0,2.0,11.0,40.0,53.0,31.0,58.0,14.0,46.0,10.0,55.0,41.0,26.0
2324,0.0,3.0,2.0,22.0,9.0,20.0,5.0,7.0,1.0,4.0,8.0,33.0,39.0,40.0,35.0,6.0,24.0,53.0,10.0,12.0,32.0,44.0,46.0,13.0,41.0,15.0,19.0,45.0,31.0,21.0
2373,0.0,8.0,4.0,3.0,11.0,1.0,19.0,9.0,6.0,2.0,5.0,16.0,45.0,51.0,14.0,23.0,20.0,57.0,36.0,10.0,61.0,30.0,12.0,7.0,44.0,22.0,21.0,55.0,17.0,34.0
2422,0.0,1.0,2.0,5.0,24.0,4.0,26.0,17.0,7.0,3.0,16.0,8.0,22.0,19.0,33.0,21.0,20.0,11.0,23.0,15.0,55.0,14.0,36.0,6.0,35.0,29.0,30.0,25.0,27.0,39.0
2471,0.0,1.0,9.0,2.0,12.0,5.0,7.0,54.0,26.0,15.0,3.0,18.0,28.0,4.0,45.0,16.0,32.0,58.0,39.0,57.0,47.0,33.0,30.0,13.0,44.0,35.0,11.0,17.0,38.0,8.0
2520,0.0,2.0,1.0,6.0,3.0,7.0,5.0,26.0,25.0,21.0,43.0,57.0,22.0,12.0,18.0,11.0,8.0,13.0,34.0,56.0,29.0,10.0,20.0,16.0,40.0,24.0,36.0,35.0,48.0,53.0
2569,0.0,1.0,2.0,14.0,35.0,3.0,7.0,15.0,10.0,30.0,4.0,23.0,20.0,5.0,46.0,11.0,59.0,28.0,66.0,12.0,21.0,42.0,26.0,18.0,47.0,41.0,8.0,34.0,43.0,63.0
2618,0.0,1.0,2.0,4.0,22.0,3.0,7.0,43.0,21.0,12.0,23.0,35.0,10.0,11.0,29.0,5.0,6.0,28.0,14.0,15.0,51.0,31.0,65.0,61.0,18.0,62.0,20.0,60.0,41.0,32.0
2667,0.0,1.0,2.0,4.0,9.0,3.0,37.0,12.0,14.0,24.0,19.0,32.0,35.0,16.0,13.0,10.0,5.0,51.0,11.0,15.0,50.0,18.0,6.0,30.0,46.0,53.0,23.0,44.0,17.0,39.0
2716,0.0,1.0,4.0,7.0,6.0,11.0,12.0,3.0,29.0,21.0,9.0,47.0,13.0,19.0,20.0,5.0,16.0,10.0,17.0,60.0,41.0,8.0,18.0,26.0,62.0,58.0,2.0,27.0,39.0,32.0
2765,1.0,0.0,2.0,5.0,4.0,3.0,16.0,8.0,27.0,17.0,45.0,61.0,15.0,20.0,9.0,43.0,7.0,19.0,33.0,34.0,64.0,21.0,28.0,30.0,13.0,25.0,12.0,48.0,36.0,44.0
2814,0.0,1.0,2.0,9.0,3.0,14.0,6.0,26.0,31.0,4.0,25.0,16.0,18.0,41.0,5.0,10.0,21.0,45.0,46.0,39.0,44.0,53.0,13.0,23.0,19.0,34.0,12.0,54.0,20.0,65.0
2863,0.0,1.0,2.0,5.0,10.0,18.0,3.0,6.0,45.0,12.0,11.0,13.0,29.0,4.0,24.0,21.0,28.0,38.0,16.0,23.0,22.0,31.0,7.0,27.0,32.0,39.0,9.0,25.0,56.0,55.0
2912,0.0,1.0,3.0,19.0,14.0,9.0,6.0,55.0,46.0,2.0,7.0,25.0,13.0,5.0,29.0,15.0,17.0,26.0,4.0,20.0,22.0,28.0,36.0,51.0,24.0,32.0,10.0,8.0,58.0,54.0
2961,0.0,15.0,3.0,11.0,8.0,2.0,1.0,12.0,20.0,7.0,4.0,19.0,30.0,10.0,17.0,14.0,5.0,35.0,6.0,52.0,9.0,36.0,38.0,33.0,25.0,26.0,41.0,18.0,27.0,21.0
3010,0.0,3.0,9.0,2.0,7.0,4.0,5.0,8.0,1.0,14.0,16.0,46.0,22.0,10.0,12.0,43.0,6.0,15.0,11.0,27.0,50.0,17.0,29.0,34.0,18.0,32.0,20.0,31.0,28.0,24.0
3059,1.0,0.0,2.0,25.0,18.0,4.0,3.0,5.0,7.0,15.0,6.0,28.0,10.0,33.0,14.0,13.0,16.0,32.0,26.0,24.0,30.0,44.0,39.0,8.0,9.0,46.0,53.0,57.0,11.0,56.0
3108,1.0,0.0,4.0,9.0,3.0,14.0,2.0,17.0,6.0,8.0,35.0,44.0,29.0,15.0,51.0,34.0,59.0,55.0,19.0,56.0,36.0,21.0,61.0,22.0,16.0,13.0,48.0,65.0,26.0,37.0
3157,0.0,2.0,13.0,6.0,3.0,4.0,1.0,9.0,15.0,14.0,10.0,17.0,29.0,16.0,56.0,19.0,24.0,8.0,28.0,60.0,34.0,31.0,51.0,18.0,7.0,54.0,11.0,55.0,42.0,25.0
3206,0.0,2.0,4.0,14.0,3.0,6.0,1.0,17.0,10.0,7.0,24.0,29.0,12.0,11.0,22.0,19.0,13.0,16.0,23.0,15.0,49.0,20.0,45.0,35.0,9.0,34.0,28.0,61.0,8.0,27.0
3255,1.0,2.0,4.0,18.0,8.0,6.0,0.0,9.0,3.0,30.0,40.0,24.0,13.0,21.0,28.0,14.0,11.0,36.0,5.0,26.0,23.0,15.0,59.0,47.0,32.0,16.0,39.0,58.0,46.0,48.0
3304,0.0,1.0,3.0,11.0,15.0,2.0,5.0,4.0,6.0,7.0,32.0,49.0,9.0,13.0,21.0,24.0,20.0,18.0,12.0,60.0,16.0,23.0,41.0,28.0,25.0,52.0,42.0,58.0,40.0,33.0
3353,0.0,6.0,7.0,33.0,1.0,2.0,5.0,15.0,3.0,4.0,21.0,64.0,22.0,10.0,17.0,41.0,11.0,28.0,12.0,47.0,31.0,9.0,50.0,16.0,56.0,51.0,60.0,30.0,53.0,45.0
3402,1.0,0.0,2.0,16.0,5.0,7.0,3.0,6.0,11.0,8.0,47.0,20.0,34.0,10.0,9.0,21.0,17.0,22.0,39.0,28.0,40.0,23.0,24.0,15.0,13.0,46.0,30.0,59.0,52.0,31.0
3451,0.0,3.0,1.0,19.0,2.0,8.0,4.0,33.0,34.0,23.0,7.0,14.0,9.0,6.0,15.0,18.0,35.0,22.0,30.0,47.0,24.0,16.0,53.0,11.0,17.0,13.0,20.0,26.0,36.0,29.0
3500,0.0,2.0,1.0,5.0,25.0,4.0,8.0,17.0,6.0,12.0,44.0,9.0,3.0,11.0,14.0,21.0,36.0,10.0,22.0,46.0,29.0,15.0,41.0,33.0,47.0,32.0,37.0,19.0,65.0,7.0
3549,0.0,3.0,5.0,1.0,2.0,4.0,14.0,7.0,9.0,6.0,56.0,28.0,38.0,44.0,12.0,16.0,10.0,15.0,30.0,49.0,36.0,11.0,18.0,27.0,37.0,52.0,48.0,45.0,33.0,13.0
3598,0.0,1.0,2.0,14.0,3.0,30.0,8.0,6.0,5.0,18.0,19.0,23.0,4.0,47.0,12.0,32.0,13.0,16.0,52.0,7.0,17.0,29.0,22.0,15.0,36.0,9.0,55.0,40.0,46.0,50.0
3647,0.0,12.0,1.0,10.0,13.0,9.0,4.0,2.0,5.0,23.0,16.0,18.0,3.0,41.0,7.0,25.0,38.0,8.0,33.0,39.0,6.0,21.0,14.0,31.0,20.0,15.0,56.0,19.0,63.0,46.0
3696,0.0,2.0,1.0,16.0,3.0,19.0,10.0,12.0,15.0,13.0,5.0,28.0,4.0,43.0,6.0,23.0,46.0,21.0,48.0,17.0,8.0,9.0,39.0,22.0,30.0,11.0,38.0,35.0,14.0,7.0
3745,0.0,2.0,1.0,55.0,4.0,11.0,14.0,6.0,17.0,5.0,41.0,40.0,3.0,7.0,29.0,27.0,10.0,12.0,18.0,30.0,31.0,13.0,9.0,21.0,15.0,20.0,32.0,47.0,58.0,45.0
3794,0.0,3.0,1.0,32.0,4.0,5.0,19.0,2.0,7.0,37.0,18.0,20.0,42.0,14.0,21.0,15.0,44.0,28.0,30.0,9.0,10.0,33.0,13.0,56.0,35.0,11.0,40.0,6.0,17.0,26.0
3843,0.0,3.0,1.0,12.0,17.0,8.0,4.0,2.0,7.0,24.0,33.0,47.0,28.0,11.0,6.0,19.0,20.0,22.0,14.0,37.0,5.0,16.0,31.0,36.0,64.0,13.0,55.0,44.0,43.0,10.0
3892,0.0,1.0,2.0,26.0,3.0,5.0,22.0,12.0,4.0,42.0,10.0,6.0,9.0,18.0,32.0,27.0,17.0,8.0,37.0,36.0,34.0,15.0,25.0,38.0,44.0,57.0,40.0,13.0,14.0,7.0
3941,9.0,0.0,6.0,3.0,8.0,2.0,4.0,13.0,22.0,1.0,10.0,5.0,33.0,12.0,26.0,41.0,36.0,27.0,15.0,37.0,23.0,31.0,21.0,52.0,48.0,18.0,32.0,16.0,44.0,59.0
3990,1.0,4.0,9.0,2.0,5.0,11.0,6.0,19.0,18.0,0.0,7.0,3.0,20.0,16.0,17.0,22.0,35.0,25.0,41.0,52.0,47.0,23.0,42.0,36.0,66.0,28.0,58.0,38.0,63.0,32.0
4039,0.0,1.0,4.0,3.0,2.0,15.0,61.0,17.0,42.0,5.0,7.0,8.0,18.0,21.0,19.0,36.0,10.0,49.0,50.0,46.0,20.0,13.0,32.0,24.0,28.0,12.0,40.0,14.0,34.0,60.0
4088,1.0,10.0,4.0,5.0,22.0,3.0,13.0,21.0,8.0,0.0,14.0,12.0,26.0,19.0,17.0,54.0,18.0,49.0,53.0,58.0,33.0,9.0,39.0,64.0,60.0,36.0,24.0,37.0,41.0,27.0
4137,0.0,2.0,1.0,3.0,5.0,29.0,9.0,11.0,33.0,4.0,20.0,7.0,17.0,8.0,6.0,16.0,23.0,31.0,56.0,26.0,13.0,35.0,32.0,25.0,30.0,45.0,24.0,34.0,14.0,66.0
4186,0.0,1.0,26.0,12.0,6.0,4.0,33.0,13.0,2.0,7.0,10.0,14.0,16.0,3.0,8.0,9.0,5.0,39.0,32.0,49.0,18.0,44.0,29.0,46.0,58.0,36.0,37.0,17.0,34.0,63.0
4235,2.0,0.0,3.0,5.0,4.0,13.0,37.0,16.0,24.0,1.0,12.0,8.0,18.0,44.0,15.0,7.0,25.0,40.0,49.0,66.0,34.0,51.0,56.0,28.0,46.0,31.0,30.0,39.0,6.0,42.0
4284,2.0,6.0,9.0,1.0,23.0,14.0,26.0,4.0,8.0,10.0,0.0,18.0,24.0,7.0,34.0,50.0,3.0,40.0,56.0,49.0,33.0,29.0,30.0,39.0,57.0,53.0,52.0,38.0,25.0,28.0
4333,0.0,3.0,5.0,6.0,21.0,32.0,8.0,7.0,28.0,2.0,4.0,33.0,19.0,9.0,27.0,13.0,10.0,20.0,15.0,41.0,45.0,12.0,56.0,38.0,47.0,63.0,29.0,50.0,17.0,24.0
4382,1.0,0.0,5.0,6.0,13.0,9.0,10.0,4.0,7.0,2.0,8.0,3.0,15.0,11.0,37.0,27.0,24.0,25.0,36.0,58.0,43.0,26.0,32.0,47.0,63.0,22.0,56.0,35.0,19.0,30.0
4431,0.0,4.0,2.0,6.0,3.0,32.0,16.0,1.0,12.0,36.0,7.0,5.0,8.0,26.0,15.0,20.0,14.0,11.0,48.0,19.0,27.0,28.0,39.0,64.0,33.0,21.0,43.0,31.0,24.0,9.0
4480,2.0,0.0,7.0,6.0,4.0,33.0,21.0,1.0,5.0,39.0,15.0,3.0,11.0,30.0,42.0,41.0,18.0,43.0,25.0,13.0,26.0,16.0,58.0,47.0,19.0,8.0,22.0,20.0,53.0,23.0
4529,0.0,3.0,6.0,7.0,19.0,16.0,1.0,5.0,2.0,21.0,9.0,8.0,4.0,24.0,37.0,58.0,17.0,29.0,30.0,57.0,31.0,26.0,66.0,28.0,62.0,11.0,12.0,18.0,54.0,32.0
4578,1.0,0.0,5.0,3.0,2.0,28.0,7.0,6.0,9.0,10.0,24.0,4.0,8.0,12.0,45.0,46.0,16.0,38.0,27.0,32.0,14.0,59.0,49.0,57.0,33.0,31.0,13.0,30.0,52.0,23.0
4627,1.0,2.0,9.0,16.0,7.0,18.0,0.0,6.0,3.0,26.0,21.0,5.0,4.0,28.0,40.0,19.0,15.0,30.0,59.0,12.0,22.0,35.0,66.0,50.0,65.0,33.0,42.0,47.0,24.0,32.0
4676,0.0,1.0,3.0,5.0,17.0,39.0,12.0,9.0,7.0,13.0,23.0,4.0,2.0,21.0,40.0,51.0,11.0,18.0,50.0,6.0,14.0,49.0,60.0,59.0,15.0,20.0,35.0,32.0,61.0,19.0
4725,0.0,2.0,7.0,25.0,4.0,23.0,9.0,10.0,1.0,6.0,12.0,8.0,13.0,26.0,27.0,37.0,14.0,17.0,18.0,5.0,20.0,53.0,48.0,40.0,43.0,63.0,60.0,21.0,44.0,31.0
4774,1.0,2.0,0.0,36.0,5.0,28.0,12.0,18.0,10.0,3.0,21.0,9.0,8.0,16.0,4.0,22.0,11.0,6.0,43.0,39.0,14.0,23.0,15.0,13.0,20.0,27.0,40.0,44.0,31.0,30.0
4823,0.0,2.0,1.0,13.0,8.0,36.0,6.0,3.0,10.0,4.0,5.0,16.0,14.0,9.0,15.0,43.0,12.0,7.0,45.0,28.0,11.0,25.0,40.0,55.0,31.0,24.0,33.0,22.0,39.0,21.0
4872,2.0,0.0,3.0,45.0,1.0,28.0,9.0,4.0,6.0,7.0,5.0,15.0,8.0,14.0,11.0,17.0,58.0,10.0,38.0,26.0,40.0,13.0,42.0,52.0,41.0,33.0,34.0,20.0,57.0,12.0
