,FAM21A_DEL,GSTTP1_AMP,HLA-DRB1_AMP,PTCH1_AMP,HLA-DRB6_AMP,ADAM5_DEL,SLC25A37_AMP,MRGPRX1_DEL,RBFOX1_DEL,ASTN1_MUT,CES1_AMP,KCNG2_DEL,ADAM3A_DEL,LOC100506776_DEL,LOC390660_AMP,GOLGA6L10_AMP,PBX1_MUT,CADM2_DEL,KIAA1217_DEL,GOLGA8A_DEL,OR51A2_DEL,HDHD1_DEL,MLL_MUT,GSTT1_AMP,CES1P1_DEL,BCAS1_AMP,LOC391322_AMP,FMN2_AMP,ZBTB20_AMP,UNC13C_MUT
29,0.0,2.0,13.0,1.0,16.0,14.0,25.0,3.0,9.0,19.0,15.0,53.0,18.0,12.0,10.0,11.0,29.0,28.0,1925.0,75.0,22.0,35.0,48.0,6.0,4.0,31.0,5.0,24.0,49.0,7.0
78,0.0,16.0,51.0,2.0,63.0,19.0,8.0,10.0,65.0,50.0,33.0,76.0,18.0,9.0,4.0,3.0,11.0,22.0,151.0,13.0,21.0,25.0,139.0,7.0,20.0,28.0,6.0,27.0,114.0,37.0
127,0.0,11.0,39.0,6.0,43.0,3.0,15.0,19.0,5.0,25.0,9.0,29.0,4.0,18.0,26.0,27.0,13.0,76.0,7150.0,49.0,17.0,111.0,93.0,1.0,7.0,44.0,2.0,22.0,16.0,31.0
176,0.0,13.0,5.0,18.0,14.0,119.0,10.0,2.0,38.0,106.0,16.0,31.0,137.0,32.0,8.0,9.0,28.0,56.0,831.0,75.0,19.0,1.0,154.0,233.0,51.0,53.0,232.0,259.0,20.0,23.0
225,5.0,2.0,19.0,4.0,29.0,18.0,11.0,9.0,17.0,45.0,39.0,41.0,27.0,12.0,22.0,23.0,10.0,36.0,7791.0,94.0,8.0,13.0,32.0,0.0,15.0,143.0,1.0,98.0,178.0,31.0
274,2.0,6.0,25.0,0.0,34.0,37.0,1.0,29.0,33.0,66.0,7.0,14.0,47.0,3.0,44.0,43.0,30.0,31.0,16018.0,35.0,5.0,23.0,637.0,9.0,4.0,20.0,10.0,13.0,100.0,118.0
323,0.0,3.0,16.0,6.0,4.0,2.0,44.0,11.0,58.0,77.0,62.0,25.0,5.0,23.0,7.0,8.0,14.0,10.0,836.0,61.0,27.0,33.0,96.0,21.0,1.0,28.0,22.0,109.0,122.0,15.0
372,2.0,11.0,9.0,0.0,15.0,50.0,52.0,25.0,145.0,209.0,3.0,24.0,68.0,5.0,8.0,7.0,4.0,29.0,1900.0,49.0,6.0,48.0,129.0,35.0,18.0,51.0,34.0,22.0,10.0,46.0
421,8.0,14.0,2.0,19.0,6.0,24.0,13.0,1.0,40.0,22.0,26.0,63.0,36.0,29.0,5.0,4.0,18.0,44.0,114.0,74.0,99.0,9.0,50.0,33.0,30.0,720.0,34.0,142.0,209.0,42.0
470,0.0,3.0,4.0,1.0,10.0,13.0,12.0,2.0,8.0,14.0,32.0,63.0,19.0,33.0,25.0,24.0,18.0,41.0,8586.0,11.0,20.0,39.0,34.0,30.0,9.0,31.0,29.0,5.0,127.0,21.0
519,3.0,11.0,2.0,13.0,4.0,115.0,1.0,6.0,8.0,5.0,9.0,21.0,116.0,67.0,43.0,44.0,85.0,22.0,136.0,56.0,7.0,14.0,10.0,133.0,61.0,66.0,132.0,28.0,23.0,20.0
568,3.0,12.0,2.0,14.0,0.0,19.0,4.0,9.0,8.0,16.0,20.0,15.0,21.0,26.0,31.0,30.0,22.0,5.0,1.0,6.0,51.0,11.0,24.0,931.0,396.0,28.0,932.0,191.0,93.0,18.0
617,0.0,26.0,1.0,87.0,8.0,20.0,7.0,10.0,5.0,22.0,4.0,46.0,28.0,13.0,30.0,31.0,61.0,9.0,16.0,2.0,12.0,3.0,53.0,51.0,36.0,83.0,50.0,15.0,29.0,700.0
666,2.0,3.0,23.0,4.0,31.0,45.0,6.0,1.0,15.0,7.0,113.0,20.0,55.0,0.0,100.0,101.0,28.0,27.0,8.0,34.0,14.0,44.0,105.0,10.0,71.0,21.0,11.0,41.0,62.0,26.0
