,LARGE_INTESTINE,SKIN,PANCREAS,THYROID,STOMACH,HAEMATOPOIETIC,AERODIGESTIVE,GANGLIA,URINARY,SOFT_TISSUE,PROSTATE,PLEURA,BILIARY,SALIVARY,KIDNEY,OVARY,LUNG,ENDOMETRIUM,OESOPHAGUS,BONE,NERVOUS,LIVER,BREAST
2985,2.0,1.0,0.0,5.0,7.0,4.0,6.0,3.0,13.0,11.0,8.0,9.0,10.0,14.0,12.0,15.0,16.0,20.0,18.0,17.0,19.0,22.0,21.0
3034,2.0,0.0,1.0,7.0,6.0,3.0,4.0,5.0,13.0,11.0,8.0,9.0,10.0,14.0,12.0,19.0,15.0,17.0,18.0,16.0,20.0,21.0,22.0
3083,2.0,0.0,1.0,4.0,3.0,5.0,6.0,8.0,12.0,7.0,9.0,14.0,10.0,13.0,11.0,16.0,17.0,18.0,19.0,15.0,20.0,22.0,21.0
3132,2.0,0.0,1.0,8.0,5.0,4.0,7.0,3.0,14.0,6.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,18.0,21.0,17.0,19.0,20.0,22.0
3181,2.0,0.0,1.0,4.0,3.0,5.0,6.0,7.0,13.0,11.0,8.0,9.0,10.0,14.0,12.0,15.0,17.0,16.0,19.0,18.0,21.0,20.0,22.0
3230,2.0,0.0,1.0,3.0,4.0,5.0,8.0,6.0,14.0,7.0,9.0,10.0,11.0,12.0,13.0,16.0,15.0,19.0,18.0,17.0,21.0,22.0,20.0
3279,2.0,0.0,1.0,4.0,5.0,6.0,3.0,8.0,15.0,7.0,9.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,11.0,20.0,21.0,22.0
3328,2.0,0.0,1.0,4.0,5.0,3.0,6.0,9.0,14.0,7.0,8.0,10.0,11.0,12.0,13.0,16.0,15.0,20.0,18.0,17.0,19.0,22.0,21.0
3377,2.0,0.0,1.0,3.0,7.0,6.0,4.0,5.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,18.0,19.0,16.0,20.0,22.0,21.0
3426,1.0,0.0,2.0,3.0,5.0,4.0,12.0,9.0,8.0,6.0,14.0,13.0,7.0,11.0,10.0,15.0,19.0,20.0,17.0,16.0,18.0,21.0,22.0
3475,2.0,0.0,1.0,8.0,4.0,5.0,7.0,3.0,14.0,6.0,9.0,10.0,11.0,12.0,13.0,15.0,18.0,16.0,17.0,20.0,21.0,19.0,22.0
3524,2.0,1.0,0.0,4.0,3.0,6.0,8.0,7.0,5.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,18.0,20.0,22.0,21.0
3573,2.0,0.0,1.0,5.0,4.0,7.0,6.0,8.0,3.0,11.0,13.0,14.0,9.0,12.0,10.0,15.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
3622,2.0,1.0,0.0,3.0,4.0,6.0,12.0,7.0,5.0,10.0,13.0,14.0,8.0,11.0,9.0,15.0,18.0,16.0,17.0,20.0,19.0,21.0,22.0
3671,2.0,0.0,1.0,10.0,3.0,6.0,12.0,8.0,4.0,5.0,13.0,14.0,7.0,11.0,9.0,15.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
3720,2.0,0.0,1.0,4.0,3.0,7.0,12.0,6.0,5.0,10.0,13.0,14.0,8.0,11.0,9.0,15.0,18.0,17.0,16.0,19.0,20.0,21.0,22.0
3769,2.0,1.0,0.0,4.0,3.0,5.0,9.0,7.0,6.0,13.0,8.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
3818,2.0,0.0,1.0,3.0,4.0,13.0,8.0,6.0,5.0,11.0,7.0,9.0,10.0,14.0,12.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3867,1.0,0.0,2.0,4.0,3.0,6.0,12.0,5.0,8.0,10.0,13.0,14.0,7.0,11.0,9.0,15.0,16.0,18.0,17.0,19.0,22.0,20.0,21.0
3916,2.0,0.0,1.0,4.0,3.0,7.0,12.0,6.0,5.0,10.0,13.0,14.0,8.0,11.0,9.0,18.0,17.0,15.0,16.0,19.0,22.0,20.0,21.0
3965,1.0,2.0,0.0,3.0,5.0,4.0,7.0,6.0,13.0,11.0,8.0,9.0,10.0,14.0,12.0,16.0,15.0,17.0,18.0,20.0,21.0,19.0,22.0
4014,1.0,0.0,2.0,3.0,5.0,4.0,8.0,6.0,7.0,13.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,19.0,17.0,21.0,18.0,20.0,22.0
4063,2.0,1.0,0.0,10.0,6.0,4.0,5.0,3.0,8.0,11.0,14.0,13.0,7.0,12.0,9.0,16.0,15.0,18.0,19.0,21.0,20.0,17.0,22.0
4112,1.0,0.0,2.0,3.0,6.0,5.0,12.0,4.0,8.0,10.0,13.0,14.0,7.0,11.0,9.0,17.0,15.0,16.0,19.0,18.0,20.0,21.0,22.0
4161,2.0,0.0,1.0,8.0,6.0,4.0,3.0,5.0,14.0,7.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,20.0,19.0,18.0,21.0,22.0
4210,2.0,1.0,0.0,4.0,8.0,3.0,5.0,7.0,14.0,6.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,19.0,20.0,21.0,18.0,22.0
4259,1.0,0.0,2.0,4.0,6.0,3.0,5.0,7.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,16.0,19.0,18.0,21.0,20.0,22.0
4308,0.0,1.0,2.0,3.0,6.0,5.0,4.0,7.0,15.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,21.0,20.0,19.0,22.0
4357,2.0,1.0,0.0,3.0,7.0,4.0,5.0,6.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
4406,1.0,0.0,2.0,4.0,7.0,8.0,3.0,6.0,14.0,5.0,9.0,10.0,11.0,12.0,13.0,17.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4455,0.0,1.0,2.0,13.0,6.0,7.0,3.0,9.0,4.0,5.0,8.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0,18.0,19.0,22.0,21.0
4504,2.0,0.0,1.0,3.0,4.0,5.0,10.0,7.0,6.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,17.0,20.0,19.0,22.0,21.0
4553,0.0,1.0,2.0,3.0,5.0,6.0,8.0,10.0,7.0,4.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,22.0,21.0,20.0
4602,1.0,0.0,2.0,4.0,6.0,5.0,9.0,8.0,15.0,3.0,7.0,10.0,11.0,12.0,13.0,14.0,17.0,16.0,18.0,20.0,19.0,22.0,21.0
4651,1.0,0.0,2.0,4.0,3.0,5.0,7.0,10.0,6.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,18.0,19.0,22.0,20.0,21.0
4700,1.0,2.0,0.0,4.0,3.0,6.0,9.0,8.0,14.0,5.0,7.0,10.0,11.0,12.0,13.0,15.0,19.0,16.0,17.0,18.0,21.0,22.0,20.0
4749,1.0,0.0,2.0,7.0,3.0,5.0,6.0,9.0,14.0,4.0,8.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
4798,1.0,0.0,2.0,3.0,5.0,4.0,7.0,15.0,13.0,14.0,6.0,8.0,10.0,9.0,11.0,12.0,16.0,18.0,17.0,19.0,20.0,22.0,21.0
4847,1.0,0.0,2.0,3.0,6.0,5.0,8.0,10.0,7.0,4.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,19.0,18.0,21.0,22.0,20.0
4896,1.0,0.0,2.0,3.0,4.0,7.0,10.0,9.0,6.0,5.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,19.0,18.0,20.0,17.0,22.0,21.0
