,LARGE_INTESTINE,SKIN,PANCREAS,THYROID,STOMACH,HAEMATOPOIETIC,AERODIGESTIVE,GANGLIA,URINARY,SOFT_TISSUE,PROSTATE,PLEURA,BILIARY,SALIVARY,KIDNEY,OVARY,LUNG,ENDOMETRIUM,OESOPHAGUS,BONE,NERVOUS,LIVER,BREAST
45,1.0,2.0,0.0,6.0,4.0,3.0,5.0,8.0,14.0,11.0,7.0,9.0,10.0,15.0,12.0,13.0,17.0,16.0,18.0,19.0,22.0,20.0,21.0
94,0.0,2.0,1.0,3.0,5.0,4.0,8.0,10.0,7.0,6.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,19.0,18.0,17.0,22.0,20.0,21.0
143,0.0,2.0,1.0,4.0,3.0,5.0,9.0,8.0,7.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,20.0,16.0,22.0,19.0,21.0
192,0.0,2.0,1.0,7.0,6.0,3.0,10.0,9.0,4.0,5.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
241,0.0,2.0,1.0,3.0,6.0,7.0,4.0,10.0,9.0,5.0,14.0,13.0,8.0,12.0,11.0,16.0,19.0,15.0,17.0,18.0,22.0,20.0,21.0
290,1.0,0.0,2.0,3.0,14.0,5.0,7.0,4.0,13.0,6.0,8.0,9.0,10.0,15.0,11.0,12.0,17.0,16.0,18.0,19.0,22.0,20.0,21.0
339,2.0,1.0,0.0,3.0,4.0,5.0,9.0,6.0,15.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
388,1.0,2.0,0.0,3.0,6.0,4.0,9.0,7.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,19.0,18.0,16.0,22.0,20.0,21.0
437,0.0,1.0,2.0,3.0,5.0,6.0,8.0,4.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,16.0,19.0,22.0,20.0,21.0
486,0.0,2.0,1.0,3.0,4.0,13.0,7.0,5.0,6.0,11.0,8.0,9.0,10.0,14.0,12.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
535,0.0,1.0,2.0,7.0,5.0,6.0,4.0,3.0,14.0,11.0,8.0,9.0,10.0,15.0,12.0,13.0,16.0,17.0,19.0,20.0,18.0,21.0,22.0
584,0.0,2.0,1.0,4.0,3.0,6.0,5.0,7.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
633,0.0,1.0,2.0,4.0,5.0,6.0,9.0,3.0,15.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,21.0,18.0,20.0,19.0,22.0
682,0.0,1.0,2.0,5.0,3.0,8.0,7.0,4.0,14.0,6.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,20.0,18.0,19.0,21.0,22.0
731,1.0,0.0,2.0,4.0,13.0,6.0,5.0,3.0,7.0,11.0,8.0,9.0,10.0,14.0,12.0,16.0,15.0,17.0,20.0,18.0,22.0,19.0,21.0
780,0.0,2.0,1.0,5.0,4.0,7.0,6.0,3.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,20.0,18.0,22.0,19.0,21.0
829,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,15.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,21.0,20.0,18.0,19.0,17.0,22.0
878,0.0,2.0,1.0,9.0,4.0,6.0,5.0,3.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,19.0,20.0,18.0,21.0,22.0
927,2.0,1.0,0.0,4.0,7.0,6.0,5.0,3.0,15.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,21.0,20.0,18.0,19.0,22.0
976,1.0,0.0,2.0,5.0,6.0,7.0,3.0,4.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,20.0,19.0,18.0,22.0,21.0
1025,0.0,1.0,2.0,3.0,8.0,6.0,4.0,10.0,9.0,5.0,13.0,14.0,7.0,12.0,11.0,15.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
1074,0.0,1.0,2.0,4.0,5.0,6.0,9.0,3.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,21.0,19.0,18.0,20.0,22.0
1123,0.0,1.0,2.0,3.0,14.0,4.0,5.0,8.0,13.0,6.0,7.0,9.0,10.0,15.0,11.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1172,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,9.0,11.0,14.0,13.0,8.0,12.0,10.0,15.0,17.0,16.0,19.0,20.0,18.0,21.0,22.0
1221,0.0,1.0,2.0,7.0,4.0,5.0,9.0,3.0,6.0,13.0,8.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,19.0,18.0,17.0,21.0,22.0
1270,1.0,0.0,2.0,9.0,4.0,5.0,3.0,6.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,19.0,20.0,18.0,21.0,22.0
1319,0.0,1.0,2.0,3.0,8.0,6.0,5.0,7.0,12.0,4.0,9.0,14.0,10.0,13.0,11.0,15.0,17.0,16.0,19.0,21.0,18.0,20.0,22.0
1368,0.0,1.0,2.0,3.0,6.0,13.0,4.0,5.0,7.0,11.0,8.0,9.0,10.0,14.0,12.0,15.0,17.0,16.0,18.0,20.0,19.0,21.0,22.0
1417,0.0,2.0,1.0,3.0,7.0,6.0,4.0,5.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,19.0,20.0,18.0,21.0,22.0
1466,0.0,1.0,2.0,4.0,6.0,7.0,3.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1515,2.0,1.0,0.0,9.0,6.0,3.0,7.0,5.0,4.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0,19.0,20.0,18.0,21.0,22.0
1564,2.0,1.0,0.0,8.0,6.0,5.0,3.0,10.0,4.0,7.0,9.0,11.0,12.0,13.0,14.0,22.0,15.0,17.0,16.0,18.0,19.0,21.0,20.0
1613,2.0,0.0,1.0,8.0,6.0,5.0,3.0,10.0,4.0,7.0,9.0,11.0,12.0,13.0,14.0,18.0,15.0,16.0,20.0,19.0,17.0,22.0,21.0
1662,2.0,1.0,0.0,9.0,7.0,6.0,4.0,5.0,3.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,21.0,18.0,16.0,19.0,20.0,22.0
1711,1.0,0.0,2.0,7.0,14.0,8.0,4.0,3.0,6.0,5.0,9.0,10.0,11.0,12.0,13.0,16.0,15.0,18.0,19.0,20.0,17.0,21.0,22.0
1760,2.0,1.0,0.0,11.0,13.0,6.0,5.0,3.0,7.0,4.0,8.0,9.0,10.0,14.0,12.0,17.0,15.0,18.0,16.0,20.0,19.0,22.0,21.0
1809,1.0,2.0,0.0,8.0,7.0,6.0,3.0,5.0,4.0,13.0,9.0,10.0,11.0,12.0,14.0,16.0,15.0,17.0,18.0,20.0,19.0,21.0,22.0
1858,2.0,0.0,1.0,9.0,6.0,5.0,3.0,4.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,21.0,20.0,19.0,22.0
1907,0.0,2.0,1.0,8.0,6.0,14.0,4.0,5.0,3.0,7.0,9.0,10.0,11.0,12.0,13.0,17.0,15.0,18.0,16.0,19.0,21.0,22.0,20.0
1956,2.0,1.0,0.0,10.0,4.0,12.0,7.0,5.0,3.0,13.0,6.0,14.0,9.0,8.0,11.0,18.0,17.0,15.0,16.0,20.0,19.0,22.0,21.0
2005,1.0,0.0,2.0,6.0,3.0,5.0,4.0,8.0,13.0,11.0,7.0,9.0,10.0,14.0,12.0,15.0,16.0,20.0,17.0,19.0,18.0,21.0,22.0
2054,1.0,0.0,2.0,8.0,5.0,3.0,4.0,7.0,6.0,14.0,9.0,10.0,12.0,13.0,15.0,16.0,17.0,20.0,19.0,11.0,18.0,22.0,21.0
2103,0.0,1.0,2.0,8.0,5.0,3.0,4.0,7.0,6.0,13.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,22.0,18.0,20.0,19.0,21.0
2152,1.0,0.0,2.0,8.0,3.0,6.0,4.0,7.0,5.0,13.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,17.0,19.0,18.0,22.0,21.0
2201,1.0,0.0,2.0,12.0,4.0,5.0,3.0,7.0,6.0,11.0,8.0,9.0,10.0,14.0,13.0,15.0,16.0,20.0,17.0,19.0,18.0,22.0,21.0
2250,1.0,0.0,2.0,8.0,5.0,3.0,4.0,7.0,6.0,13.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,17.0,19.0,18.0,22.0,21.0
2299,2.0,0.0,1.0,8.0,5.0,3.0,4.0,6.0,7.0,13.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,22.0,21.0
2348,1.0,0.0,2.0,8.0,3.0,4.0,7.0,6.0,5.0,16.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,19.0,17.0,20.0,21.0,18.0,22.0
2397,0.0,2.0,1.0,7.0,5.0,3.0,4.0,6.0,14.0,11.0,8.0,9.0,10.0,15.0,12.0,13.0,16.0,21.0,17.0,20.0,18.0,19.0,22.0
2446,2.0,0.0,1.0,8.0,4.0,3.0,7.0,6.0,5.0,13.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,17.0,19.0,18.0,22.0,21.0
2495,2.0,1.0,0.0,5.0,6.0,4.0,3.0,7.0,9.0,11.0,14.0,13.0,8.0,12.0,10.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
2544,2.0,1.0,0.0,7.0,3.0,6.0,5.0,4.0,9.0,11.0,14.0,13.0,8.0,12.0,10.0,15.0,16.0,20.0,18.0,17.0,21.0,19.0,22.0
2593,2.0,0.0,1.0,5.0,4.0,6.0,3.0,7.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,15.0,18.0,19.0,17.0,22.0,20.0,21.0
2642,2.0,1.0,0.0,7.0,5.0,4.0,3.0,6.0,8.0,12.0,15.0,14.0,9.0,13.0,11.0,10.0,16.0,17.0,18.0,20.0,21.0,19.0,22.0
2691,2.0,0.0,1.0,5.0,4.0,6.0,3.0,7.0,9.0,11.0,14.0,13.0,8.0,12.0,10.0,15.0,17.0,16.0,18.0,19.0,20.0,21.0,22.0
2740,2.0,1.0,0.0,11.0,6.0,3.0,5.0,4.0,9.0,7.0,14.0,13.0,8.0,12.0,10.0,16.0,17.0,15.0,19.0,18.0,20.0,21.0,22.0
2789,2.0,0.0,1.0,6.0,3.0,7.0,5.0,4.0,9.0,11.0,14.0,13.0,8.0,12.0,10.0,15.0,17.0,16.0,20.0,18.0,19.0,21.0,22.0
2838,0.0,1.0,2.0,10.0,4.0,6.0,3.0,5.0,7.0,11.0,14.0,13.0,8.0,12.0,9.0,15.0,16.0,18.0,21.0,17.0,19.0,20.0,22.0
2887,2.0,0.0,1.0,6.0,7.0,4.0,3.0,5.0,9.0,14.0,13.0,12.0,8.0,11.0,10.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2936,2.0,1.0,0.0,4.0,7.0,6.0,5.0,3.0,14.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
