,hsa-miR-1977,hsa-miR-199b-5p,hsa-miR-744,hsa-miR-766,hsa-miR-378,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-214,hsa-miR-130a,hsa-miR-196b,hsa-miR-1296,hsa-miR-31,hsa-miR-1308,hsa-miR-563,hsa-miR-616,hcmv-miR-US5-1,hsa-miR-578,hsa-miR-29c,hsa-miR-491-3p,hsa-miR-935,hsa-miR-128,hsv1-miR-H7,hsa-miR-1262,hsa-miR-509-5p,hsa-miR-147b,hsa-miR-620,hsa-miR-93,hsa-miR-643,hsa-miR-597,hsa-miR-92a
4181,1.0,3.0,2.0,11.0,28.0,5.0,19.0,8.0,12.0,0.0,9.0,6.0,7.0,33.0,34.0,38.0,4.0,32.0,20.0,26.0,22.0,29.0,39.0,10.0,63.0,18.0,21.0,56.0,47.0,65.0
4230,1.0,2.0,0.0,12.0,33.0,3.0,17.0,7.0,4.0,6.0,5.0,28.0,10.0,30.0,34.0,52.0,9.0,23.0,35.0,29.0,36.0,16.0,25.0,11.0,65.0,27.0,24.0,60.0,84.0,66.0
4279,2.0,3.0,0.0,16.0,53.0,10.0,7.0,12.0,13.0,4.0,6.0,9.0,1.0,18.0,15.0,65.0,5.0,23.0,55.0,42.0,28.0,14.0,57.0,43.0,52.0,19.0,45.0,32.0,41.0,56.0
4328,1.0,3.0,0.0,12.0,81.0,5.0,21.0,15.0,4.0,2.0,6.0,27.0,8.0,52.0,22.0,40.0,10.0,50.0,37.0,9.0,44.0,11.0,30.0,19.0,35.0,17.0,14.0,76.0,38.0,130.0
4377,1.0,2.0,0.0,4.0,19.0,3.0,17.0,12.0,57.0,6.0,29.0,11.0,5.0,128.0,14.0,8.0,16.0,18.0,37.0,63.0,24.0,27.0,61.0,103.0,74.0,23.0,21.0,36.0,93.0,32.0
4426,0.0,10.0,14.0,15.0,1.0,21.0,4.0,2.0,7.0,11.0,9.0,18.0,6.0,30.0,12.0,29.0,100.0,8.0,3.0,20.0,49.0,31.0,19.0,28.0,17.0,13.0,40.0,66.0,26.0,24.0
4475,0.0,11.0,5.0,15.0,2.0,16.0,8.0,14.0,10.0,6.0,1.0,75.0,9.0,4.0,12.0,20.0,99.0,13.0,28.0,3.0,34.0,70.0,39.0,53.0,31.0,66.0,68.0,72.0,35.0,27.0
4524,0.0,23.0,9.0,3.0,1.0,12.0,11.0,4.0,66.0,76.0,14.0,45.0,2.0,85.0,5.0,26.0,21.0,7.0,24.0,8.0,20.0,37.0,43.0,33.0,25.0,36.0,32.0,35.0,34.0,55.0
4573,0.0,2.0,33.0,9.0,3.0,6.0,1.0,13.0,10.0,27.0,5.0,24.0,4.0,7.0,26.0,19.0,91.0,8.0,17.0,54.0,22.0,60.0,30.0,61.0,20.0,38.0,14.0,11.0,29.0,21.0
4622,0.0,7.0,20.0,13.0,2.0,17.0,6.0,8.0,25.0,14.0,22.0,9.0,3.0,4.0,16.0,51.0,58.0,5.0,26.0,18.0,46.0,59.0,34.0,12.0,36.0,11.0,48.0,56.0,19.0,41.0
4671,0.0,30.0,15.0,7.0,2.0,19.0,5.0,17.0,6.0,13.0,10.0,9.0,4.0,21.0,11.0,32.0,74.0,1.0,8.0,38.0,22.0,72.0,27.0,45.0,12.0,35.0,53.0,51.0,43.0,60.0
4720,0.0,1.0,6.0,2.0,4.0,16.0,21.0,3.0,8.0,10.0,12.0,7.0,11.0,13.0,9.0,39.0,95.0,18.0,43.0,5.0,31.0,49.0,25.0,26.0,19.0,32.0,44.0,30.0,35.0,65.0
4769,0.0,2.0,6.0,17.0,1.0,14.0,9.0,4.0,12.0,24.0,3.0,19.0,15.0,7.0,11.0,57.0,62.0,10.0,49.0,8.0,36.0,48.0,21.0,20.0,18.0,46.0,61.0,33.0,22.0,40.0
4818,0.0,28.0,27.0,10.0,1.0,6.0,4.0,16.0,20.0,37.0,14.0,12.0,5.0,13.0,2.0,57.0,56.0,3.0,60.0,23.0,29.0,67.0,38.0,59.0,19.0,9.0,42.0,32.0,54.0,78.0
4867,0.0,17.0,4.0,16.0,6.0,11.0,2.0,15.0,5.0,1.0,8.0,12.0,13.0,26.0,21.0,65.0,24.0,9.0,3.0,23.0,10.0,32.0,57.0,34.0,52.0,19.0,36.0,37.0,7.0,55.0
