,YAP_pS127,E-Cadherin,G6PD,SETD2,CD49b,Transglutaminase,Caveolin-1,RAD51,PTEN,AR,XBP1,GAPDH,Annexin 1,MSH6,alpha-Catenin,beta-Catenin,Akt_pS473,Porin,Tuberin_pT1462,PDCD4,RBM15,AMPK_pT172,Fibronectin,A-Raf_pS299,PRAS40_pT246,GATA3,Src,c-Myc,PAI-1,MAPK_pT202_Y204
0,1.0,3.0,15.0,18.0,4.0,19.0,40.0,72.0,9.0,56.0,13.0,0.0,16.0,7.0,8.0,25.0,36.0,65.0,31.0,17.0,27.0,58.0,104.0,5.0,148.0,12.0,38.0,76.0,33.0,48.0
49,2.0,16.0,0.0,55.0,13.0,24.0,49.0,130.0,3.0,33.0,17.0,4.0,22.0,8.0,1.0,50.0,10.0,32.0,14.0,63.0,7.0,11.0,12.0,53.0,85.0,80.0,37.0,79.0,51.0,64.0
98,21.0,14.0,0.0,1.0,19.0,23.0,25.0,86.0,18.0,73.0,76.0,2.0,13.0,5.0,7.0,42.0,60.0,34.0,10.0,8.0,27.0,43.0,22.0,3.0,153.0,93.0,56.0,91.0,6.0,40.0
147,2.0,14.0,7.0,0.0,48.0,4.0,64.0,44.0,3.0,32.0,11.0,1.0,99.0,16.0,13.0,45.0,23.0,8.0,37.0,112.0,92.0,110.0,113.0,5.0,126.0,20.0,85.0,142.0,124.0,10.0
196,9.0,18.0,20.0,2.0,72.0,4.0,14.0,57.0,47.0,55.0,3.0,0.0,28.0,22.0,5.0,54.0,86.0,148.0,69.0,138.0,23.0,29.0,12.0,1.0,113.0,150.0,17.0,6.0,118.0,16.0
245,0.0,26.0,7.0,11.0,8.0,3.0,127.0,40.0,9.0,5.0,19.0,2.0,13.0,16.0,15.0,43.0,41.0,24.0,81.0,91.0,82.0,39.0,84.0,47.0,57.0,31.0,12.0,98.0,111.0,49.0
294,0.0,33.0,6.0,2.0,34.0,9.0,18.0,99.0,10.0,16.0,25.0,4.0,15.0,8.0,5.0,48.0,11.0,50.0,80.0,12.0,74.0,7.0,49.0,73.0,104.0,46.0,27.0,41.0,55.0,76.0
343,1.0,19.0,2.0,10.0,40.0,12.0,103.0,53.0,22.0,30.0,9.0,0.0,126.0,4.0,3.0,16.0,26.0,71.0,57.0,112.0,29.0,21.0,6.0,144.0,128.0,34.0,28.0,44.0,66.0,86.0
392,0.0,38.0,12.0,4.0,14.0,2.0,11.0,22.0,17.0,39.0,3.0,65.0,6.0,1.0,15.0,27.0,23.0,25.0,5.0,10.0,30.0,44.0,24.0,8.0,47.0,46.0,42.0,59.0,70.0,89.0
441,2.0,17.0,4.0,9.0,0.0,7.0,3.0,16.0,19.0,21.0,8.0,22.0,12.0,1.0,18.0,10.0,29.0,31.0,117.0,116.0,42.0,61.0,11.0,52.0,150.0,45.0,50.0,104.0,78.0,77.0
