,RP11-490M8.1,EGFR,RP11-818F20.5,ARSJ,TNFRSF12A,RP11-224O19.2,ITGB1,LAMB2,PLS3,IFITM3,OSMR,AJUBA,DCBLD2,RP11-783K16.5,EPHX1,KBTBD8,RP11-1069G10.2,AL353791.1,CCL26,PSORS1C1,GPC1,CLCF1,RP11-680F8.3,4-Mar,UBTD1,KIRREL,DNAJB2,PTPN14,CELSR1,SFXN2
7,1.0,22355.0,43.0,66.0,2215.0,11.0,19742.0,41.0,8324.0,4802.0,48.0,1801.0,271.0,23.0,8.0,36.0,3434.0,32.0,18677.0,34.0,12351.0,22.0,2874.0,13224.0,167.0,17175.0,85.0,27.0,8881.0,4509.0
56,1.0,22341.0,33.0,45.0,2687.0,0.0,14.0,26.0,24.0,4971.0,80.0,73.0,14390.0,29.0,141.0,51.0,28.0,19986.0,252.0,2.0,534.0,40.0,87.0,13226.0,2557.0,17209.0,13177.0,34.0,7.0,1285.0
105,19.0,22362.0,27.0,18.0,43.0,0.0,19718.0,9.0,8318.0,4.0,72.0,1557.0,14381.0,3662.0,7.0,13.0,12.0,30.0,18654.0,3.0,638.0,3646.0,3070.0,13227.0,4405.0,17206.0,13178.0,38.0,110.0,4500.0
154,13.0,22339.0,57.0,56.0,3.0,0.0,38.0,9.0,18.0,769.0,102.0,2053.0,14389.0,4675.0,29.0,16.0,15.0,19992.0,18662.0,1.0,12362.0,6.0,1710.0,13234.0,48.0,17188.0,13190.0,53.0,11.0,3206.0
203,2.0,22334.0,45.0,27.0,23.0,0.0,37.0,12.0,8313.0,4776.0,78.0,1751.0,14365.0,21.0,3.0,22.0,19.0,4.0,733.0,65.0,12346.0,49.0,46.0,13212.0,6.0,17201.0,13167.0,35.0,9097.0,4483.0
252,103.0,7.0,5573.0,364.0,35.0,0.0,63.0,18.0,11614.0,41.0,21422.0,2.0,14390.0,8.0,1.0,782.0,15.0,4.0,18674.0,123.0,239.0,60.0,2983.0,13233.0,62.0,17200.0,13188.0,17646.0,7835.0,4519.0
301,6.0,4.0,44.0,400.0,38.0,0.0,9.0,11.0,14.0,5.0,67.0,30.0,14386.0,18.0,15.0,12479.0,29.0,1.0,206.0,60.0,12277.0,4670.0,1348.0,65.0,3.0,17182.0,13184.0,17.0,240.0,1513.0
350,16448.0,4.0,2.0,19.0,31.0,0.0,142.0,21.0,15.0,5.0,93.0,2252.0,271.0,18.0,41.0,26.0,9.0,36.0,18673.0,23017.0,12350.0,46.0,470.0,13218.0,11.0,43.0,13170.0,10.0,8983.0,4494.0
399,30.0,4.0,16.0,7.0,9.0,1.0,19746.0,28.0,10.0,151.0,21424.0,2057.0,77.0,26.0,29.0,12499.0,3288.0,37.0,18640.0,23040.0,12322.0,35.0,38.0,13221.0,0.0,41.0,609.0,6.0,8865.0,4475.0
448,16426.0,3.0,18.0,11.0,27.0,4.0,19668.0,10.0,12.0,6.0,21415.0,1723.0,92.0,19.0,0.0,7.0,83.0,67.0,18669.0,35.0,77.0,42.0,1525.0,72.0,5.0,25.0,625.0,33.0,8844.0,3208.0
497,45.0,25.0,44.0,20.0,6.0,39.0,35.0,23.0,12.0,5036.0,38.0,0.0,14401.0,3949.0,17352.0,113.0,3518.0,19974.0,18671.0,23013.0,12338.0,4469.0,3274.0,13225.0,4805.0,10.0,13200.0,8.0,8517.0,4586.0
546,9.0,22348.0,6065.0,35.0,46.0,1.0,26.0,17.0,39.0,2148.0,24.0,18.0,14379.0,4578.0,17367.0,45.0,3240.0,75.0,22443.0,69.0,232.0,4438.0,4.0,13220.0,190.0,6.0,13172.0,2.0,101.0,11.0
595,3.0,22416.0,2.0,27.0,26.0,51.0,21.0,24.0,41.0,15.0,9.0,25.0,0.0,284.0,17357.0,72.0,2378.0,4.0,18667.0,23010.0,23.0,3567.0,87.0,12.0,4495.0,10.0,13196.0,39.0,8849.0,19.0
644,1.0,22353.0,5030.0,13855.0,2.0,67.0,8.0,19.0,15.0,4759.0,11.0,28.0,14392.0,50.0,17353.0,62.0,649.0,0.0,18665.0,22999.0,10.0,3627.0,77.0,98.0,16.0,9.0,13196.0,48.0,8974.0,78.0
693,1.0,22478.0,5048.0,17.0,18.0,0.0,19.0,23.0,21.0,130.0,11.0,2.0,934.0,3540.0,17372.0,75.0,3418.0,30.0,18649.0,23000.0,5.0,44.0,3060.0,98.0,4515.0,13.0,76.0,70.0,9079.0,111.0
742,41.0,22340.0,5029.0,6.0,13.0,4.0,19.0,42.0,54.0,201.0,29.0,1.0,14369.0,3522.0,143.0,11.0,596.0,18.0,0.0,23013.0,22.0,16.0,674.0,13216.0,4438.0,7.0,13169.0,17619.0,9094.0,105.0
791,33.0,22372.0,47.0,3.0,16.0,42.0,25.0,36.0,49.0,22.0,18.0,376.0,32.0,3632.0,17367.0,12526.0,3370.0,19.0,26.0,23014.0,12347.0,82.0,3027.0,72.0,115.0,12.0,13189.0,280.0,9085.0,4465.0
840,45.0,22362.0,8.0,19.0,33.0,5.0,19732.0,12660.0,36.0,77.0,22.0,2057.0,17.0,299.0,17347.0,58.0,3433.0,28.0,20.0,56.0,46.0,9.0,3069.0,67.0,69.0,13.0,639.0,17638.0,9083.0,11.0
889,31.0,22335.0,4930.0,13.0,37.0,24.0,20.0,68.0,47.0,35.0,14.0,8.0,1.0,3659.0,92.0,121.0,3461.0,16.0,10.0,51.0,12300.0,90.0,3054.0,62.0,0.0,12.0,45.0,163.0,8985.0,204.0
938,6.0,22472.0,9.0,13786.0,42.0,0.0,43.0,54.0,62.0,10.0,19.0,39.0,3.0,3899.0,17342.0,61.0,3470.0,2.0,11.0,23028.0,12302.0,4458.0,3226.0,60.0,1.0,40.0,5.0,17633.0,8347.0,4527.0
987,16449.0,2.0,22.0,5.0,344.0,6.0,27.0,61.0,194.0,665.0,21422.0,0.0,51.0,3909.0,1.0,12467.0,3434.0,19979.0,69.0,23013.0,18.0,8.0,25.0,13212.0,9.0,17175.0,13173.0,11.0,13.0,91.0
1036,16443.0,3.0,89.0,11.0,7.0,17642.0,27.0,90.0,8307.0,4773.0,21421.0,0.0,14399.0,38.0,1.0,12469.0,3281.0,102.0,18673.0,74.0,15.0,14.0,6.0,13246.0,209.0,17171.0,13197.0,17635.0,12.0,4485.0
1085,16408.0,2.0,80.0,11.0,2254.0,5.0,44.0,61.0,8297.0,58.0,33.0,0.0,14394.0,41.0,1.0,15.0,3474.0,19980.0,63.0,23015.0,10.0,56.0,38.0,577.0,3.0,17195.0,13199.0,138.0,8859.0,64.0
1134,33.0,22370.0,5065.0,7.0,12.0,17644.0,16.0,6.0,8314.0,35.0,21424.0,3.0,842.0,49.0,0.0,31.0,3500.0,19986.0,18638.0,23016.0,13.0,3634.0,17.0,13219.0,5.0,17191.0,13170.0,17637.0,20.0,76.0
