,STOMACH,URINARY,HAEMATOPOIETIC,PANCREAS,GANGLIA,PLEURA,ENDOMETRIUM,SOFT_TISSUE,SALIVARY,LIVER,BILIARY,OESOPHAGUS,LARGE_INTESTINE,KIDNEY,THYROID,PROSTATE,BONE,AERODIGESTIVE,SKIN,OVARY,NERVOUS,BREAST,LUNG
43,4.0,0.0,2.0,3.0,12.0,5.0,1.0,8.0,7.0,6.0,9.0,15.0,14.0,11.0,10.0,17.0,18.0,16.0,19.0,13.0,20.0,21.0,22.0
92,5.0,1.0,3.0,0.0,13.0,4.0,2.0,15.0,7.0,18.0,10.0,14.0,9.0,12.0,11.0,17.0,8.0,16.0,19.0,6.0,20.0,21.0,22.0
141,13.0,2.0,5.0,0.0,12.0,4.0,1.0,14.0,9.0,8.0,10.0,3.0,15.0,6.0,11.0,17.0,7.0,16.0,18.0,19.0,20.0,21.0,22.0
190,1.0,2.0,5.0,0.0,16.0,4.0,3.0,15.0,7.0,8.0,9.0,14.0,10.0,12.0,11.0,17.0,6.0,21.0,18.0,13.0,20.0,19.0,22.0
239,1.0,2.0,3.0,8.0,11.0,6.0,7.0,15.0,0.0,4.0,9.0,10.0,14.0,12.0,13.0,16.0,5.0,17.0,18.0,19.0,20.0,21.0,22.0
288,0.0,1.0,3.0,9.0,13.0,7.0,8.0,14.0,5.0,15.0,10.0,2.0,6.0,12.0,4.0,16.0,17.0,21.0,18.0,11.0,19.0,22.0,20.0
337,1.0,2.0,5.0,0.0,12.0,4.0,3.0,14.0,6.0,8.0,9.0,13.0,15.0,11.0,10.0,17.0,7.0,16.0,18.0,19.0,20.0,21.0,22.0
386,0.0,1.0,2.0,4.0,10.0,6.0,5.0,13.0,7.0,14.0,12.0,9.0,3.0,19.0,17.0,8.0,11.0,18.0,15.0,20.0,21.0,16.0,22.0
435,3.0,0.0,1.0,2.0,12.0,4.0,5.0,8.0,6.0,18.0,9.0,13.0,16.0,11.0,10.0,17.0,7.0,14.0,15.0,19.0,20.0,21.0,22.0
484,4.0,5.0,2.0,0.0,13.0,3.0,1.0,14.0,7.0,9.0,10.0,6.0,15.0,12.0,11.0,17.0,8.0,16.0,19.0,18.0,20.0,21.0,22.0
533,5.0,3.0,1.0,0.0,19.0,4.0,2.0,6.0,7.0,8.0,9.0,10.0,18.0,11.0,12.0,22.0,21.0,17.0,14.0,16.0,20.0,15.0,13.0
582,0.0,1.0,3.0,8.0,10.0,6.0,7.0,4.0,5.0,13.0,9.0,2.0,14.0,11.0,12.0,16.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0
631,0.0,1.0,7.0,2.0,6.0,4.0,5.0,9.0,3.0,12.0,10.0,14.0,8.0,17.0,11.0,15.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
680,0.0,1.0,5.0,3.0,16.0,4.0,6.0,8.0,14.0,10.0,11.0,2.0,20.0,13.0,12.0,9.0,15.0,19.0,7.0,18.0,21.0,17.0,22.0
729,0.0,1.0,2.0,3.0,11.0,7.0,8.0,4.0,5.0,6.0,9.0,10.0,18.0,12.0,13.0,15.0,14.0,17.0,16.0,19.0,20.0,21.0,22.0
