, H2O2, MAPK_PI3K, MAPK_only, JAK-STAT, Wnt, TLR, PI3K_only, VEGF, IL-1, TGFB, TNFa
1413,0.0,9.0,2.0,1.0,8.0,6.0,3.0,4.0,5.0,10.0,7.0
1462,3.0,5.0,6.0,4.0,0.0,10.0,9.0,2.0,8.0,1.0,7.0
1511,1.0,2.0,0.0,6.0,5.0,9.0,3.0,7.0,8.0,10.0,4.0
1560,3.0,1.0,6.0,5.0,0.0,10.0,2.0,9.0,4.0,8.0,7.0
1609,5.0,0.0,3.0,2.0,1.0,10.0,7.0,6.0,9.0,8.0,4.0
1658,9.0,1.0,4.0,6.0,8.0,2.0,7.0,0.0,10.0,5.0,3.0
1707,2.0,8.0,1.0,0.0,9.0,4.0,5.0,6.0,7.0,10.0,3.0
1756,1.0,4.0,0.0,3.0,7.0,9.0,5.0,2.0,8.0,6.0,10.0
1805,6.0,1.0,4.0,0.0,5.0,7.0,2.0,9.0,3.0,10.0,8.0
1854,7.0,1.0,0.0,4.0,2.0,5.0,6.0,10.0,3.0,8.0,9.0
1903,2.0,0.0,8.0,7.0,3.0,1.0,4.0,10.0,6.0,5.0,9.0
1952,5.0,4.0,1.0,0.0,7.0,2.0,3.0,6.0,9.0,8.0,10.0
2001,3.0,0.0,7.0,4.0,2.0,5.0,6.0,1.0,9.0,8.0,10.0
2050,5.0,3.0,0.0,7.0,2.0,4.0,1.0,10.0,6.0,8.0,9.0
2099,2.0,0.0,9.0,6.0,5.0,1.0,7.0,4.0,10.0,8.0,3.0
2148,6.0,8.0,1.0,7.0,9.0,0.0,2.0,5.0,4.0,3.0,10.0
2197,5.0,0.0,8.0,1.0,4.0,6.0,7.0,3.0,10.0,2.0,9.0
2246,5.0,2.0,9.0,8.0,7.0,0.0,6.0,1.0,10.0,3.0,4.0
2295,0.0,3.0,1.0,8.0,6.0,7.0,9.0,5.0,2.0,4.0,10.0
2344,3.0,1.0,4.0,8.0,0.0,5.0,2.0,6.0,7.0,9.0,10.0
2393,0.0,1.0,8.0,4.0,3.0,2.0,5.0,7.0,6.0,9.0,10.0
2442,0.0,1.0,2.0,3.0,5.0,6.0,7.0,4.0,9.0,10.0,8.0
2491,6.0,1.0,0.0,9.0,5.0,7.0,3.0,8.0,2.0,4.0,10.0
2540,7.0,2.0,3.0,0.0,1.0,6.0,4.0,5.0,8.0,10.0,9.0
2589,1.0,0.0,9.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,3.0
2638,9.0,0.0,2.0,1.0,3.0,4.0,7.0,10.0,5.0,8.0,6.0
2687,7.0,2.0,1.0,3.0,9.0,4.0,5.0,0.0,10.0,6.0,8.0
2736,3.0,1.0,8.0,7.0,6.0,2.0,4.0,0.0,10.0,9.0,5.0
2785,7.0,4.0,9.0,0.0,1.0,10.0,2.0,6.0,8.0,3.0,5.0
2834,3.0,1.0,6.0,0.0,2.0,4.0,7.0,10.0,8.0,9.0,5.0
2883,1.0,0.0,6.0,4.0,5.0,9.0,2.0,8.0,10.0,7.0,3.0
2932,1.0,0.0,2.0,7.0,5.0,8.0,9.0,6.0,10.0,3.0,4.0
2981,0.0,9.0,6.0,2.0,5.0,10.0,7.0,4.0,8.0,1.0,3.0
