,hsa-miR-30a,hsa-miR-21,hsa-miR-22,hsa-let-7e,hsa-miR-766,hsa-miR-30d,hsa-miR-30e,hsa-miR-199b-5p,hsa-miR-30c,hsa-miR-142-5p,hsa-miR-34a,hsa-miR-220b,hsa-miR-574-5p,hsa-miR-371-3p,hsa-miR-607,hsa-miR-1246,hcmv-miR-US5-1,hsa-miR-10a,hsa-miR-548a-3p,hsa-miR-150,hcmv-miR-US5-2,hsa-miR-200a,hsa-miR-24,hsa-miR-214,hsa-miR-96,hsa-miR-190b,hsa-miR-643,hsa-miR-675,hsa-miR-210,hsa-miR-2115
14,1.0,0.0,4.0,11.0,6.0,2.0,12.0,8.0,59.0,16.0,100.0,27.0,3.0,54.0,201.0,10.0,78.0,13.0,46.0,9.0,63.0,21.0,24.0,20.0,23.0,15.0,30.0,45.0,38.0,7.0
63,3.0,0.0,4.0,1.0,2.0,33.0,6.0,11.0,19.0,26.0,14.0,108.0,8.0,7.0,32.0,29.0,63.0,23.0,15.0,17.0,10.0,5.0,30.0,24.0,27.0,55.0,25.0,31.0,189.0,84.0
112,1.0,2.0,7.0,0.0,5.0,3.0,12.0,8.0,24.0,312.0,15.0,23.0,11.0,78.0,10.0,16.0,108.0,127.0,122.0,4.0,29.0,9.0,185.0,193.0,53.0,25.0,20.0,31.0,431.0,340.0
161,1.0,0.0,6.0,2.0,4.0,5.0,29.0,15.0,12.0,11.0,68.0,28.0,62.0,105.0,8.0,66.0,395.0,73.0,33.0,9.0,44.0,56.0,364.0,18.0,63.0,25.0,143.0,3.0,180.0,185.0
210,0.0,2.0,5.0,3.0,8.0,10.0,1.0,9.0,4.0,58.0,31.0,57.0,6.0,15.0,202.0,14.0,192.0,21.0,40.0,41.0,13.0,18.0,481.0,22.0,23.0,28.0,308.0,82.0,293.0,12.0
259,3.0,0.0,4.0,6.0,8.0,2.0,11.0,1.0,143.0,20.0,9.0,60.0,12.0,68.0,103.0,43.0,27.0,13.0,7.0,18.0,36.0,221.0,148.0,10.0,17.0,31.0,327.0,70.0,406.0,69.0
308,2.0,0.0,5.0,3.0,1.0,4.0,9.0,17.0,16.0,10.0,27.0,28.0,6.0,8.0,122.0,32.0,161.0,42.0,14.0,11.0,46.0,180.0,45.0,77.0,13.0,101.0,189.0,57.0,81.0,79.0
357,1.0,2.0,4.0,6.0,0.0,16.0,20.0,17.0,26.0,18.0,5.0,42.0,21.0,46.0,25.0,22.0,52.0,330.0,24.0,14.0,36.0,401.0,67.0,3.0,8.0,73.0,38.0,41.0,490.0,54.0
406,2.0,1.0,0.0,10.0,3.0,6.0,9.0,5.0,65.0,43.0,69.0,11.0,19.0,20.0,18.0,28.0,83.0,165.0,51.0,119.0,14.0,139.0,37.0,4.0,188.0,36.0,41.0,398.0,401.0,71.0
455,0.0,4.0,3.0,14.0,1.0,11.0,6.0,25.0,10.0,21.0,19.0,8.0,28.0,112.0,9.0,81.0,13.0,7.0,46.0,16.0,18.0,563.0,43.0,5.0,301.0,67.0,23.0,168.0,447.0,68.0
504,0.0,2.0,1.0,7.0,6.0,16.0,9.0,108.0,24.0,4.0,18.0,31.0,96.0,15.0,47.0,11.0,103.0,5.0,159.0,12.0,39.0,46.0,3.0,43.0,8.0,73.0,53.0,42.0,213.0,19.0
