,FAM190A_DEL,BRAF.V600E_MUT,BRAF_MUT,SGCZ_DEL,PRCP_AMP,FARS2_DEL,SNORA70E_AMP,SETD9_DEL,TRIM37_MUT,CACNA2D3_DEL,MAST4_DEL,KSR2_DEL,MIR4490_DEL,C11orf82_AMP,ZNF705G_AMP,TET2_DEL,PCF11_AMP,FLT1_MUT,ANKRD42_AMP,PAPPA_MUT,LOC100506233_AMP,GLB1L2_DEL,RGPD4_AMP,CCDC90B_AMP,HDAC2_MUT,JARID2_DEL,EGFR_MUT,PAXIP1_MUT,SH3KBP1_DEL,SNX19_DEL
32,11.0,1.0,6.0,0.0,168.0,2.0,37.0,49.0,12.0,721.0,823.0,5.0,13.0,59.0,80.0,1298.0,131.0,145.0,440.0,1028.0,102.0,15.0,2813.0,651.0,942.0,10.0,248.0,3024.0,5131.0,8.0
81,4359.0,12.0,201.0,0.0,22585.0,184.0,7.0,61.0,1.0,288.0,783.0,3.0,21.0,936.0,15907.0,26.0,340.0,797.0,172.0,398.0,8.0,5.0,510.0,194.0,16479.0,160.0,190.0,1039.0,3601.0,31.0
130,5.0,1.0,18.0,0.0,26.0,463.0,6.0,161.0,3.0,1139.0,1113.0,2.0,31.0,25.0,81.0,587.0,272.0,189.0,279.0,667.0,9.0,33.0,1118.0,22.0,425.0,68.0,1579.0,366.0,3915.0,242.0
179,6.0,17.0,163.0,4.0,14.0,101.0,1.0,21283.0,154.0,24.0,481.0,31.0,38.0,63.0,222.0,11779.0,42.0,0.0,1288.0,3.0,74.0,12.0,19.0,105.0,223.0,159.0,10893.0,10550.0,7499.0,449.0
228,278.0,6.0,1.0,37.0,36.0,133.0,320.0,30.0,4.0,842.0,210.0,40.0,2157.0,56.0,118.0,146.0,122.0,418.0,16.0,409.0,28.0,8918.0,218.0,778.0,60.0,29.0,49.0,16732.0,129.0,4290.0
277,1.0,47.0,41.0,39.0,61.0,436.0,15737.0,534.0,290.0,12537.0,1677.0,156.0,159.0,491.0,625.0,10747.0,91.0,3070.0,622.0,16523.0,112.0,29.0,1572.0,21938.0,304.0,414.0,248.0,16759.0,3288.0,3701.0
326,2.0,11.0,28.0,0.0,59.0,21139.0,534.0,97.0,10.0,12527.0,297.0,52.0,46.0,839.0,260.0,467.0,14781.0,84.0,15247.0,2943.0,153.0,3.0,1078.0,134.0,424.0,1535.0,332.0,3137.0,728.0,198.0
375,0.0,2.0,56.0,11.0,22576.0,7.0,829.0,192.0,15.0,135.0,320.0,350.0,8.0,13846.0,1091.0,457.0,588.0,1162.0,239.0,179.0,429.0,60.0,118.0,21877.0,926.0,1.0,16652.0,3054.0,333.0,31.0
424,1.0,46.0,54.0,128.0,39.0,57.0,228.0,587.0,50.0,12577.0,20.0,1929.0,24.0,70.0,3319.0,129.0,4.0,883.0,6.0,566.0,5.0,3.0,232.0,42.0,36.0,312.0,16677.0,16765.0,3844.0,533.0
473,11.0,13.0,17044.0,2.0,53.0,20129.0,234.0,1982.0,0.0,12500.0,4681.0,3.0,249.0,13827.0,78.0,233.0,14735.0,16655.0,1034.0,39.0,26.0,298.0,2916.0,43.0,1959.0,726.0,376.0,312.0,6539.0,221.0
522,1.0,0.0,112.0,2673.0,654.0,1657.0,15855.0,445.0,16617.0,308.0,5.0,577.0,13.0,14034.0,43.0,1070.0,353.0,170.0,129.0,2442.0,867.0,207.0,7.0,21481.0,11.0,4486.0,192.0,503.0,5383.0,168.0
571,1.0,6.0,0.0,7.0,378.0,145.0,377.0,20416.0,16572.0,300.0,13.0,116.0,36.0,409.0,19.0,8.0,14767.0,61.0,693.0,356.0,443.0,2310.0,1079.0,2337.0,3.0,60.0,535.0,119.0,173.0,598.0
620,0.0,4.0,2.0,3.0,1209.0,144.0,49.0,44.0,1107.0,29.0,176.0,10.0,15.0,186.0,2405.0,82.0,86.0,1.0,1287.0,1187.0,74.0,9043.0,579.0,314.0,12.0,183.0,2515.0,216.0,36.0,378.0
669,2.0,29.0,11.0,8.0,481.0,18.0,113.0,20435.0,16626.0,22.0,32.0,704.0,13.0,72.0,21.0,104.0,14771.0,90.0,462.0,2895.0,345.0,9123.0,34.0,962.0,144.0,214.0,2717.0,3136.0,203.0,4442.0
718,14.0,10.0,21.0,1.0,901.0,1099.0,1143.0,20495.0,16664.0,23.0,39.0,560.0,30.0,1305.0,80.0,6.0,847.0,36.0,924.0,244.0,1231.0,9121.0,1771.0,21496.0,198.0,42.0,15.0,92.0,3580.0,3861.0
767,1.0,4.0,35.0,5.0,160.0,90.0,32.0,148.0,110.0,277.0,3.0,16.0,27.0,14.0,12.0,13.0,63.0,38.0,170.0,43.0,155.0,85.0,858.0,296.0,29.0,82.0,23.0,209.0,6992.0,327.0
