,ENPP1,DDB2,VILL,EMB,EDA2R,FAM127C,HSBP1,VASN,RAB18,COQ7,MORF4L2,RP6-109B7.3,ABCB6,DGKA,CTD-2616J11.2,AC092574.2,TNNC1,ABTB1,CTD-2022H16.3,PTCHD4,GPD2,TRIM22,RP11-175P19.2,TRGV5P,C16orf54,FAM65C,HLA-E,UPK1B,INPP5B,ARID3A
1334,254.0,1.0,9.0,88.0,0.0,9125.0,105.0,18.0,14.0,136.0,9088.0,12.0,241.0,85.0,151.0,15193.0,13075.0,560.0,4042.0,4.0,63.0,32.0,15113.0,22302.0,10712.0,7689.0,21325.0,13037.0,16337.0,110.0
1383,0.0,26.0,456.0,838.0,3.0,15.0,8.0,316.0,378.0,3613.0,274.0,9623.0,13859.0,1147.0,2.0,315.0,13087.0,438.0,43.0,22906.0,13521.0,44.0,167.0,22327.0,10751.0,5.0,152.0,666.0,16347.0,9.0
1432,39.0,15.0,12.0,21679.0,3.0,237.0,37.0,86.0,33.0,1045.0,343.0,238.0,438.0,5773.0,126.0,325.0,13089.0,52.0,10.0,317.0,716.0,100.0,15128.0,1014.0,1474.0,235.0,21328.0,13080.0,2.0,345.0
1481,0.0,16.0,35.0,77.0,336.0,18.0,251.0,103.0,93.0,106.0,5.0,55.0,324.0,301.0,193.0,15244.0,287.0,47.0,4060.0,125.0,13503.0,365.0,734.0,29.0,46.0,7748.0,21221.0,4.0,16554.0,335.0
1530,0.0,4011.0,10.0,1.0,164.0,341.0,81.0,95.0,39.0,189.0,13.0,135.0,401.0,160.0,43.0,349.0,86.0,293.0,470.0,2258.0,219.0,1437.0,192.0,6.0,113.0,200.0,185.0,11.0,1076.0,133.0
1579,0.0,1.0,15.0,6.0,29.0,285.0,10.0,45.0,78.0,3947.0,35.0,105.0,476.0,16.0,122.0,18.0,115.0,90.0,3.0,37.0,13256.0,47.0,75.0,117.0,70.0,109.0,63.0,275.0,16320.0,316.0
1628,1.0,0.0,43.0,21559.0,34.0,112.0,100.0,372.0,198.0,22.0,79.0,244.0,255.0,84.0,14.0,82.0,4.0,153.0,31.0,311.0,374.0,19824.0,15099.0,22310.0,1332.0,7755.0,139.0,7.0,16336.0,77.0
1677,0.0,3.0,8.0,1.0,200.0,1048.0,66.0,3968.0,40.0,140.0,53.0,9572.0,50.0,20.0,98.0,133.0,6.0,383.0,198.0,136.0,13506.0,509.0,1551.0,107.0,10705.0,7753.0,21326.0,30.0,16556.0,210.0
1726,4.0,374.0,6.0,1.0,24.0,251.0,99.0,4084.0,82.0,75.0,8.0,117.0,23.0,78.0,124.0,10.0,37.0,14775.0,12.0,3.0,250.0,9.0,477.0,41.0,89.0,7698.0,292.0,50.0,16544.0,490.0
1775,0.0,4.0,38.0,2.0,6.0,5.0,40.0,3525.0,9.0,34.0,17.0,10598.0,185.0,10.0,12436.0,117.0,163.0,208.0,4249.0,258.0,174.0,1729.0,1155.0,41.0,368.0,8373.0,14685.0,1.0,12736.0,855.0
1824,0.0,3.0,5.0,86.0,157.0,419.0,123.0,181.0,89.0,21.0,74.0,9557.0,713.0,116.0,119.0,223.0,11.0,148.0,3999.0,210.0,13265.0,2429.0,2507.0,96.0,1.0,7668.0,622.0,25.0,16527.0,265.0
1873,0.0,1.0,12.0,4.0,5.0,134.0,102.0,49.0,66.0,87.0,41.0,9548.0,185.0,112.0,75.0,129.0,33.0,119.0,4416.0,23.0,254.0,20.0,323.0,27.0,53.0,199.0,157.0,22.0,597.0,11465.0
1922,1.0,6.0,24.0,0.0,2.0,172.0,113.0,18.0,85.0,49.0,34.0,27.0,559.0,5.0,95.0,1170.0,1816.0,12964.0,2076.0,22903.0,13474.0,101.0,15101.0,22290.0,10721.0,7642.0,192.0,58.0,16300.0,496.0
1971,0.0,1.0,799.0,3.0,1501.0,92.0,10.0,276.0,330.0,283.0,364.0,69.0,423.0,808.0,8479.0,15168.0,101.0,14785.0,3887.0,22901.0,574.0,610.0,15111.0,249.0,821.0,221.0,339.0,5.0,191.0,298.0
2020,4.0,0.0,1.0,7.0,8.0,3.0,122.0,153.0,149.0,290.0,535.0,1505.0,69.0,53.0,8433.0,15193.0,805.0,14755.0,116.0,794.0,722.0,19747.0,40.0,22087.0,202.0,2.0,21277.0,1432.0,451.0,321.0
2069,0.0,707.0,29.0,1.0,200.0,154.0,199.0,1837.0,174.0,260.0,288.0,268.0,585.0,6691.0,7376.0,645.0,3091.0,12.0,10.0,5.0,219.0,270.0,454.0,424.0,57.0,2422.0,21238.0,63.0,137.0,1731.0
2118,1.0,14.0,36.0,9.0,10.0,433.0,74.0,642.0,40.0,34.0,18.0,39.0,560.0,862.0,117.0,251.0,17885.0,18182.0,795.0,0.0,16558.0,1898.0,17107.0,770.0,490.0,6.0,227.0,15.0,11048.0,27.0
2167,58.0,24.0,17.0,0.0,9.0,67.0,145.0,124.0,651.0,270.0,1582.0,84.0,86.0,623.0,555.0,496.0,166.0,148.0,4961.0,110.0,13523.0,186.0,16.0,397.0,702.0,8846.0,328.0,657.0,16335.0,8199.0
2216,0.0,3.0,2.0,164.0,1.0,701.0,137.0,141.0,1015.0,54.0,16.0,12.0,13634.0,408.0,385.0,15261.0,102.0,20.0,2386.0,120.0,13309.0,5.0,368.0,22313.0,10791.0,96.0,21227.0,1778.0,16342.0,340.0
2265,1.0,23.0,10.0,19.0,14.0,12.0,182.0,367.0,38.0,246.0,328.0,285.0,573.0,743.0,8496.0,300.0,3.0,15.0,106.0,455.0,13257.0,19764.0,15145.0,1323.0,1849.0,1160.0,21319.0,2113.0,1110.0,42.0
2314,128.0,55.0,289.0,205.0,11.0,744.0,86.0,74.0,20357.0,183.0,9102.0,312.0,8.0,6789.0,8520.0,604.0,282.0,20.0,1981.0,22969.0,1164.0,16.0,15137.0,319.0,10717.0,1172.0,9.0,70.0,175.0,11415.0
2363,0.0,10.0,34.0,3.0,5.0,1.0,94.0,582.0,20353.0,234.0,132.0,147.0,140.0,532.0,37.0,494.0,8.0,347.0,5245.0,26.0,448.0,391.0,337.0,180.0,10430.0,19.0,249.0,4.0,16561.0,290.0
2412,0.0,24.0,687.0,65.0,19.0,683.0,85.0,98.0,20365.0,13.0,177.0,29.0,7.0,1267.0,222.0,446.0,10.0,14790.0,1438.0,283.0,483.0,19756.0,15092.0,338.0,10678.0,331.0,21282.0,4.0,558.0,11493.0
2461,22835.0,0.0,11.0,25.0,31.0,15.0,20.0,36.0,105.0,4158.0,247.0,9.0,411.0,1587.0,976.0,444.0,13071.0,597.0,3674.0,369.0,283.0,443.0,146.0,133.0,10713.0,229.0,21226.0,896.0,16324.0,1605.0
