,1-methylnicotinamide,uracil,pantothenate,oxalate,N-carbamoyl-beta-alanine,C18:0 LPC,putrescine,C18:0 LPE,2-deoxycytidine,C16:0 LPE,adenosine,taurodeoxycholate,GABA,C34:2 DAG,C34:4 PC,2-deoxyadenosine,C36:1 DAG,uridine,C56:5 TAG,carnitine,UMP,C20:4 CE,alpha-glycerophosphate,C36:4 PC-B,phosphocreatine,C22:6 CE,hexoses (HILIC neg),leucine,sarcosine,inositol
662,2.0,11.0,5.0,10.0,1.0,15.0,0.0,34.0,14.0,40.0,19.0,6.0,44.0,3.0,18.0,20.0,31.0,30.0,17.0,50.0,21.0,12.0,9.0,24.0,32.0,42.0,13.0,4.0,7.0,22.0
711,17.0,1.0,3.0,23.0,2.0,4.0,0.0,18.0,11.0,5.0,52.0,12.0,29.0,24.0,8.0,37.0,10.0,30.0,35.0,28.0,20.0,27.0,36.0,49.0,13.0,19.0,21.0,43.0,34.0,6.0
760,4.0,17.0,5.0,16.0,8.0,6.0,0.0,22.0,14.0,7.0,3.0,2.0,49.0,1.0,15.0,9.0,18.0,31.0,13.0,56.0,43.0,23.0,11.0,25.0,12.0,39.0,40.0,26.0,29.0,50.0
809,20.0,0.0,15.0,12.0,2.0,5.0,1.0,34.0,7.0,13.0,22.0,16.0,45.0,10.0,8.0,47.0,3.0,4.0,24.0,36.0,19.0,30.0,9.0,14.0,37.0,6.0,18.0,23.0,38.0,21.0
858,0.0,2.0,20.0,13.0,6.0,23.0,1.0,18.0,5.0,11.0,48.0,4.0,3.0,15.0,8.0,16.0,45.0,41.0,9.0,19.0,40.0,52.0,7.0,14.0,46.0,62.0,50.0,12.0,61.0,34.0
907,4.0,1.0,11.0,9.0,2.0,52.0,3.0,12.0,0.0,19.0,38.0,5.0,16.0,7.0,22.0,28.0,51.0,41.0,6.0,21.0,31.0,40.0,8.0,29.0,55.0,33.0,30.0,32.0,18.0,39.0
956,11.0,0.0,9.0,21.0,1.0,42.0,13.0,31.0,2.0,27.0,15.0,8.0,6.0,24.0,16.0,3.0,20.0,35.0,51.0,12.0,47.0,28.0,4.0,5.0,18.0,26.0,10.0,37.0,29.0,17.0
1005,5.0,4.0,6.0,9.0,14.0,3.0,13.0,12.0,10.0,7.0,36.0,2.0,1.0,24.0,0.0,23.0,16.0,8.0,22.0,15.0,19.0,18.0,26.0,30.0,33.0,32.0,56.0,35.0,58.0,25.0
1054,6.0,0.0,1.0,14.0,2.0,25.0,10.0,7.0,32.0,12.0,5.0,21.0,30.0,17.0,41.0,29.0,38.0,22.0,40.0,37.0,9.0,3.0,13.0,23.0,33.0,35.0,53.0,43.0,31.0,19.0
1103,1.0,0.0,8.0,2.0,9.0,15.0,4.0,5.0,23.0,12.0,20.0,3.0,18.0,14.0,11.0,29.0,40.0,7.0,58.0,22.0,13.0,10.0,6.0,16.0,42.0,66.0,32.0,28.0,47.0,34.0
1152,0.0,1.0,2.0,7.0,19.0,8.0,10.0,32.0,20.0,5.0,13.0,4.0,37.0,43.0,23.0,42.0,35.0,11.0,18.0,52.0,3.0,6.0,9.0,16.0,26.0,33.0,24.0,31.0,17.0,30.0
1201,2.0,3.0,0.0,1.0,6.0,14.0,9.0,15.0,13.0,5.0,4.0,11.0,10.0,25.0,40.0,19.0,30.0,26.0,8.0,12.0,7.0,20.0,41.0,34.0,16.0,23.0,32.0,33.0,39.0,38.0
1250,0.0,8.0,2.0,16.0,37.0,45.0,57.0,31.0,1.0,4.0,14.0,3.0,7.0,12.0,39.0,54.0,15.0,18.0,11.0,24.0,5.0,9.0,6.0,28.0,17.0,33.0,47.0,34.0,22.0,30.0
1299,20.0,0.0,13.0,1.0,17.0,4.0,62.0,22.0,8.0,5.0,30.0,6.0,12.0,23.0,36.0,46.0,18.0,7.0,35.0,28.0,3.0,25.0,39.0,19.0,33.0,37.0,15.0,60.0,2.0,32.0
1348,14.0,4.0,0.0,5.0,13.0,9.0,15.0,11.0,2.0,1.0,26.0,12.0,3.0,30.0,17.0,27.0,32.0,6.0,19.0,43.0,24.0,47.0,46.0,16.0,7.0,63.0,10.0,58.0,18.0,25.0
1397,9.0,4.0,3.0,14.0,13.0,0.0,28.0,2.0,18.0,7.0,10.0,8.0,5.0,17.0,12.0,35.0,19.0,23.0,34.0,21.0,1.0,31.0,15.0,49.0,29.0,41.0,57.0,27.0,38.0,22.0
1446,3.0,27.0,0.0,12.0,11.0,10.0,42.0,25.0,6.0,13.0,5.0,9.0,63.0,8.0,7.0,24.0,20.0,1.0,50.0,29.0,15.0,21.0,58.0,14.0,4.0,60.0,31.0,66.0,19.0,45.0
1495,0.0,7.0,4.0,24.0,8.0,3.0,5.0,43.0,10.0,31.0,22.0,35.0,21.0,18.0,33.0,16.0,40.0,6.0,50.0,26.0,11.0,32.0,37.0,17.0,9.0,29.0,2.0,19.0,20.0,14.0
1544,0.0,2.0,13.0,9.0,4.0,6.0,1.0,23.0,7.0,16.0,26.0,11.0,12.0,14.0,36.0,43.0,10.0,20.0,19.0,8.0,27.0,46.0,37.0,28.0,35.0,45.0,15.0,42.0,21.0,38.0
1593,0.0,10.0,3.0,2.0,19.0,5.0,15.0,24.0,21.0,22.0,11.0,9.0,1.0,31.0,44.0,39.0,27.0,23.0,59.0,32.0,13.0,4.0,8.0,6.0,41.0,18.0,7.0,38.0,49.0,62.0
1642,1.0,8.0,6.0,3.0,13.0,2.0,12.0,25.0,16.0,4.0,26.0,9.0,10.0,55.0,21.0,17.0,14.0,30.0,22.0,11.0,51.0,19.0,40.0,32.0,5.0,31.0,18.0,46.0,49.0,39.0
1691,0.0,7.0,5.0,6.0,15.0,2.0,4.0,24.0,20.0,31.0,1.0,12.0,25.0,9.0,37.0,34.0,44.0,18.0,36.0,16.0,59.0,56.0,38.0,29.0,13.0,10.0,30.0,26.0,14.0,11.0
1740,0.0,5.0,1.0,2.0,26.0,3.0,18.0,33.0,7.0,31.0,4.0,9.0,11.0,8.0,28.0,49.0,22.0,27.0,14.0,10.0,34.0,38.0,25.0,13.0,15.0,12.0,29.0,21.0,19.0,40.0
1789,0.0,6.0,3.0,9.0,1.0,2.0,4.0,11.0,7.0,5.0,13.0,34.0,12.0,30.0,22.0,39.0,40.0,8.0,46.0,10.0,36.0,19.0,25.0,49.0,35.0,16.0,17.0,21.0,24.0,58.0
1838,32.0,2.0,4.0,5.0,1.0,21.0,20.0,17.0,0.0,14.0,6.0,45.0,25.0,30.0,19.0,10.0,11.0,56.0,22.0,23.0,34.0,27.0,44.0,40.0,8.0,35.0,9.0,41.0,13.0,55.0
1887,2.0,4.0,1.0,39.0,0.0,31.0,26.0,25.0,13.0,35.0,7.0,9.0,20.0,24.0,17.0,38.0,27.0,32.0,43.0,10.0,46.0,8.0,53.0,18.0,14.0,3.0,5.0,16.0,44.0,36.0
1936,0.0,3.0,2.0,10.0,22.0,12.0,13.0,8.0,4.0,25.0,1.0,26.0,27.0,35.0,11.0,15.0,7.0,24.0,21.0,9.0,23.0,19.0,18.0,20.0,14.0,33.0,6.0,29.0,55.0,61.0
1985,1.0,0.0,7.0,2.0,5.0,4.0,10.0,44.0,3.0,14.0,27.0,16.0,6.0,12.0,8.0,11.0,65.0,17.0,48.0,32.0,26.0,13.0,53.0,19.0,24.0,23.0,33.0,25.0,50.0,28.0
2034,0.0,2.0,6.0,4.0,1.0,9.0,16.0,17.0,41.0,32.0,28.0,8.0,22.0,15.0,20.0,12.0,51.0,7.0,39.0,3.0,18.0,48.0,23.0,29.0,10.0,33.0,11.0,25.0,19.0,37.0
2083,21.0,0.0,4.0,18.0,8.0,3.0,1.0,24.0,15.0,30.0,14.0,7.0,34.0,6.0,23.0,16.0,13.0,12.0,11.0,2.0,37.0,5.0,19.0,25.0,47.0,35.0,17.0,38.0,40.0,41.0
2132,0.0,1.0,35.0,2.0,11.0,3.0,28.0,17.0,8.0,34.0,36.0,9.0,42.0,30.0,14.0,18.0,51.0,7.0,22.0,6.0,10.0,46.0,33.0,43.0,26.0,12.0,32.0,23.0,20.0,13.0
2181,1.0,0.0,2.0,6.0,5.0,9.0,13.0,20.0,17.0,7.0,54.0,8.0,34.0,15.0,57.0,12.0,23.0,47.0,4.0,3.0,10.0,33.0,16.0,32.0,26.0,27.0,62.0,19.0,28.0,21.0
2230,2.0,0.0,7.0,1.0,3.0,11.0,6.0,24.0,36.0,10.0,43.0,8.0,26.0,21.0,22.0,4.0,50.0,29.0,16.0,13.0,38.0,45.0,44.0,51.0,18.0,19.0,20.0,33.0,5.0,40.0
2279,3.0,0.0,4.0,7.0,2.0,9.0,8.0,6.0,11.0,18.0,1.0,5.0,26.0,34.0,10.0,32.0,48.0,41.0,46.0,36.0,51.0,50.0,13.0,23.0,38.0,17.0,20.0,35.0,16.0,40.0
2328,0.0,1.0,25.0,30.0,2.0,3.0,6.0,21.0,43.0,41.0,15.0,4.0,7.0,22.0,18.0,28.0,5.0,16.0,23.0,11.0,26.0,45.0,44.0,39.0,33.0,9.0,60.0,32.0,65.0,24.0
2377,1.0,0.0,3.0,5.0,2.0,9.0,13.0,12.0,6.0,10.0,21.0,14.0,37.0,4.0,23.0,19.0,18.0,17.0,20.0,7.0,26.0,52.0,38.0,40.0,31.0,48.0,56.0,22.0,36.0,25.0
2426,2.0,0.0,6.0,23.0,7.0,5.0,15.0,26.0,36.0,25.0,12.0,14.0,17.0,1.0,21.0,11.0,51.0,9.0,16.0,4.0,44.0,35.0,10.0,32.0,3.0,19.0,24.0,45.0,57.0,28.0
2475,1.0,12.0,8.0,23.0,5.0,18.0,4.0,3.0,2.0,22.0,17.0,10.0,0.0,47.0,34.0,16.0,13.0,27.0,39.0,26.0,33.0,50.0,11.0,21.0,35.0,28.0,46.0,54.0,20.0,7.0
2524,0.0,3.0,20.0,1.0,6.0,12.0,2.0,4.0,7.0,24.0,33.0,15.0,8.0,5.0,14.0,25.0,10.0,16.0,31.0,18.0,51.0,17.0,26.0,28.0,11.0,23.0,43.0,44.0,13.0,46.0
2573,0.0,28.0,33.0,6.0,39.0,5.0,1.0,24.0,3.0,35.0,7.0,18.0,16.0,15.0,21.0,27.0,19.0,26.0,30.0,13.0,52.0,37.0,38.0,10.0,17.0,20.0,14.0,29.0,4.0,58.0
2622,0.0,4.0,14.0,12.0,8.0,9.0,2.0,1.0,7.0,40.0,25.0,11.0,10.0,3.0,13.0,30.0,18.0,43.0,32.0,50.0,21.0,61.0,5.0,17.0,37.0,34.0,44.0,26.0,6.0,15.0
2671,1.0,4.0,5.0,7.0,17.0,40.0,0.0,2.0,3.0,11.0,10.0,6.0,8.0,13.0,27.0,26.0,19.0,9.0,12.0,32.0,31.0,24.0,20.0,30.0,54.0,15.0,33.0,42.0,56.0,43.0
2720,2.0,6.0,25.0,4.0,15.0,3.0,0.0,5.0,1.0,7.0,31.0,19.0,12.0,8.0,13.0,9.0,42.0,21.0,24.0,11.0,22.0,14.0,50.0,27.0,37.0,30.0,33.0,23.0,17.0,47.0
2769,2.0,6.0,38.0,5.0,15.0,7.0,1.0,3.0,0.0,8.0,9.0,11.0,19.0,16.0,4.0,14.0,29.0,25.0,10.0,13.0,46.0,23.0,37.0,48.0,17.0,43.0,49.0,42.0,18.0,20.0
2818,0.0,7.0,11.0,19.0,46.0,4.0,1.0,8.0,2.0,5.0,27.0,34.0,12.0,16.0,6.0,15.0,56.0,20.0,24.0,18.0,44.0,26.0,62.0,22.0,37.0,17.0,10.0,40.0,14.0,63.0
2867,0.0,2.0,36.0,17.0,8.0,14.0,1.0,4.0,5.0,6.0,31.0,13.0,3.0,11.0,26.0,7.0,15.0,12.0,40.0,39.0,25.0,9.0,27.0,10.0,20.0,16.0,50.0,21.0,33.0,18.0
2916,0.0,19.0,18.0,11.0,35.0,9.0,1.0,2.0,6.0,12.0,36.0,23.0,10.0,5.0,27.0,3.0,29.0,8.0,15.0,43.0,60.0,26.0,25.0,14.0,30.0,13.0,48.0,24.0,28.0,31.0
2965,0.0,3.0,8.0,5.0,9.0,2.0,15.0,1.0,34.0,7.0,20.0,52.0,4.0,10.0,17.0,49.0,23.0,21.0,37.0,43.0,22.0,11.0,12.0,31.0,13.0,6.0,30.0,14.0,48.0,45.0
3014,2.0,1.0,12.0,0.0,3.0,13.0,11.0,5.0,47.0,21.0,31.0,14.0,37.0,6.0,25.0,36.0,4.0,41.0,28.0,33.0,53.0,8.0,38.0,22.0,10.0,26.0,34.0,18.0,61.0,7.0
3063,0.0,2.0,19.0,1.0,10.0,4.0,5.0,6.0,15.0,9.0,46.0,17.0,13.0,20.0,7.0,16.0,11.0,8.0,62.0,23.0,31.0,29.0,58.0,26.0,22.0,57.0,37.0,38.0,64.0,3.0
3112,0.0,32.0,6.0,1.0,8.0,14.0,19.0,2.0,13.0,3.0,39.0,44.0,9.0,20.0,4.0,15.0,5.0,28.0,7.0,25.0,27.0,36.0,23.0,31.0,17.0,40.0,12.0,26.0,47.0,30.0
3161,5.0,7.0,0.0,3.0,1.0,4.0,62.0,2.0,31.0,15.0,22.0,25.0,12.0,16.0,17.0,23.0,6.0,40.0,58.0,14.0,45.0,11.0,59.0,29.0,9.0,37.0,30.0,8.0,38.0,10.0
3210,5.0,1.0,7.0,6.0,9.0,0.0,12.0,2.0,4.0,16.0,28.0,11.0,3.0,54.0,35.0,41.0,18.0,13.0,37.0,19.0,48.0,24.0,42.0,21.0,36.0,45.0,30.0,20.0,14.0,8.0
3259,1.0,4.0,2.0,0.0,7.0,6.0,10.0,3.0,16.0,13.0,60.0,29.0,8.0,43.0,32.0,45.0,25.0,20.0,12.0,40.0,53.0,22.0,41.0,19.0,11.0,49.0,15.0,42.0,30.0,34.0
3308,3.0,1.0,2.0,0.0,27.0,19.0,7.0,6.0,20.0,4.0,41.0,31.0,13.0,5.0,10.0,8.0,35.0,15.0,14.0,32.0,11.0,43.0,26.0,22.0,23.0,42.0,64.0,16.0,51.0,12.0
3357,2.0,0.0,6.0,4.0,3.0,9.0,20.0,1.0,16.0,18.0,21.0,33.0,5.0,35.0,10.0,43.0,24.0,7.0,29.0,56.0,12.0,26.0,11.0,19.0,27.0,22.0,15.0,14.0,66.0,49.0
3406,0.0,6.0,3.0,1.0,8.0,17.0,15.0,2.0,25.0,10.0,62.0,47.0,4.0,26.0,20.0,37.0,9.0,7.0,29.0,28.0,32.0,42.0,61.0,33.0,13.0,51.0,16.0,21.0,43.0,12.0
3455,1.0,3.0,4.0,0.0,29.0,36.0,2.0,21.0,18.0,12.0,11.0,15.0,39.0,20.0,17.0,10.0,13.0,7.0,5.0,34.0,14.0,23.0,6.0,9.0,30.0,25.0,28.0,22.0,51.0,45.0
3504,8.0,0.0,3.0,1.0,14.0,36.0,29.0,27.0,24.0,5.0,4.0,6.0,31.0,28.0,10.0,37.0,12.0,43.0,15.0,7.0,13.0,22.0,59.0,25.0,2.0,39.0,9.0,20.0,51.0,19.0
3553,3.0,1.0,19.0,0.0,21.0,9.0,27.0,31.0,2.0,6.0,4.0,29.0,35.0,12.0,33.0,8.0,10.0,42.0,24.0,14.0,20.0,5.0,23.0,22.0,38.0,16.0,40.0,32.0,58.0,30.0
3602,10.0,11.0,13.0,0.0,29.0,14.0,12.0,32.0,20.0,26.0,1.0,33.0,16.0,30.0,28.0,5.0,7.0,23.0,4.0,2.0,27.0,8.0,36.0,6.0,9.0,44.0,31.0,37.0,52.0,34.0
3651,4.0,0.0,1.0,2.0,8.0,11.0,12.0,33.0,9.0,6.0,3.0,52.0,48.0,43.0,50.0,5.0,15.0,10.0,24.0,18.0,20.0,19.0,23.0,26.0,38.0,58.0,13.0,29.0,27.0,30.0
3700,1.0,2.0,3.0,0.0,37.0,9.0,17.0,27.0,6.0,7.0,10.0,18.0,11.0,33.0,26.0,8.0,19.0,42.0,5.0,28.0,35.0,21.0,38.0,32.0,15.0,25.0,20.0,47.0,31.0,4.0
3749,21.0,1.0,2.0,3.0,39.0,25.0,18.0,27.0,24.0,0.0,5.0,29.0,28.0,17.0,8.0,4.0,9.0,6.0,10.0,14.0,31.0,7.0,44.0,36.0,46.0,22.0,16.0,20.0,35.0,30.0
3798,3.0,0.0,4.0,1.0,12.0,19.0,2.0,5.0,9.0,10.0,21.0,28.0,35.0,54.0,32.0,13.0,41.0,11.0,7.0,26.0,42.0,15.0,37.0,34.0,6.0,63.0,8.0,14.0,38.0,30.0
3847,36.0,1.0,4.0,2.0,50.0,41.0,33.0,30.0,3.0,6.0,0.0,20.0,40.0,23.0,28.0,35.0,11.0,27.0,5.0,15.0,43.0,12.0,26.0,18.0,46.0,16.0,29.0,14.0,38.0,31.0
3896,4.0,3.0,31.0,0.0,19.0,24.0,11.0,27.0,10.0,1.0,9.0,16.0,14.0,5.0,25.0,2.0,37.0,47.0,18.0,12.0,52.0,34.0,29.0,7.0,30.0,40.0,26.0,56.0,48.0,41.0
3945,11.0,1.0,5.0,15.0,13.0,24.0,0.0,29.0,38.0,3.0,22.0,16.0,2.0,4.0,14.0,12.0,10.0,34.0,30.0,8.0,6.0,7.0,18.0,17.0,26.0,23.0,20.0,19.0,9.0,48.0
3994,8.0,0.0,5.0,32.0,10.0,3.0,1.0,6.0,9.0,7.0,25.0,24.0,45.0,23.0,11.0,16.0,4.0,28.0,20.0,22.0,2.0,14.0,17.0,41.0,15.0,44.0,26.0,27.0,13.0,53.0
4043,0.0,2.0,5.0,10.0,1.0,8.0,4.0,6.0,28.0,21.0,49.0,32.0,51.0,16.0,11.0,54.0,3.0,14.0,9.0,31.0,17.0,7.0,29.0,19.0,27.0,18.0,20.0,30.0,13.0,44.0
4092,7.0,1.0,12.0,4.0,17.0,8.0,0.0,2.0,6.0,11.0,14.0,16.0,52.0,28.0,13.0,10.0,9.0,18.0,5.0,23.0,21.0,3.0,63.0,26.0,42.0,22.0,30.0,47.0,15.0,59.0
4141,1.0,0.0,6.0,2.0,23.0,15.0,9.0,4.0,54.0,13.0,27.0,19.0,7.0,16.0,8.0,14.0,28.0,10.0,5.0,34.0,11.0,3.0,33.0,12.0,26.0,57.0,42.0,31.0,30.0,18.0
4190,0.0,1.0,3.0,10.0,6.0,2.0,4.0,13.0,20.0,11.0,37.0,17.0,33.0,24.0,15.0,12.0,44.0,9.0,52.0,39.0,7.0,8.0,16.0,25.0,59.0,60.0,23.0,48.0,21.0,55.0
4239,7.0,4.0,5.0,19.0,16.0,9.0,11.0,0.0,29.0,33.0,8.0,22.0,41.0,3.0,1.0,12.0,15.0,38.0,13.0,28.0,14.0,6.0,17.0,26.0,10.0,20.0,18.0,24.0,2.0,54.0
4288,3.0,0.0,4.0,45.0,2.0,28.0,1.0,10.0,15.0,17.0,11.0,54.0,24.0,9.0,12.0,46.0,38.0,19.0,7.0,37.0,13.0,5.0,6.0,8.0,23.0,14.0,18.0,22.0,29.0,30.0
4337,3.0,0.0,1.0,17.0,4.0,5.0,2.0,6.0,25.0,39.0,21.0,15.0,9.0,7.0,12.0,22.0,11.0,24.0,18.0,28.0,8.0,13.0,16.0,27.0,34.0,14.0,57.0,30.0,10.0,33.0
4386,0.0,1.0,9.0,40.0,2.0,18.0,3.0,6.0,24.0,30.0,5.0,62.0,20.0,17.0,15.0,23.0,7.0,14.0,4.0,12.0,11.0,8.0,13.0,36.0,22.0,19.0,37.0,10.0,31.0,32.0
4435,10.0,5.0,3.0,19.0,7.0,1.0,38.0,0.0,44.0,12.0,2.0,42.0,9.0,24.0,13.0,15.0,4.0,40.0,30.0,23.0,11.0,33.0,43.0,22.0,6.0,64.0,21.0,20.0,8.0,14.0
4484,18.0,0.0,2.0,6.0,1.0,10.0,19.0,7.0,56.0,39.0,50.0,12.0,35.0,48.0,11.0,42.0,14.0,32.0,4.0,22.0,29.0,41.0,30.0,5.0,54.0,36.0,15.0,13.0,3.0,17.0
4533,4.0,2.0,6.0,12.0,1.0,0.0,14.0,3.0,22.0,20.0,10.0,59.0,28.0,29.0,16.0,44.0,5.0,15.0,25.0,40.0,7.0,37.0,26.0,9.0,53.0,30.0,11.0,21.0,18.0,8.0
4582,2.0,6.0,1.0,3.0,8.0,4.0,16.0,0.0,28.0,10.0,14.0,25.0,11.0,23.0,20.0,7.0,31.0,9.0,19.0,34.0,45.0,50.0,48.0,39.0,12.0,18.0,32.0,24.0,36.0,15.0
4631,13.0,2.0,0.0,6.0,8.0,3.0,12.0,9.0,24.0,15.0,1.0,53.0,38.0,17.0,10.0,16.0,18.0,22.0,37.0,50.0,5.0,60.0,21.0,46.0,31.0,19.0,41.0,27.0,7.0,4.0
4680,21.0,1.0,10.0,34.0,0.0,13.0,23.0,2.0,8.0,20.0,7.0,47.0,49.0,24.0,22.0,4.0,25.0,19.0,18.0,15.0,65.0,52.0,61.0,29.0,14.0,17.0,39.0,3.0,45.0,26.0
4729,5.0,8.0,4.0,6.0,3.0,9.0,45.0,1.0,20.0,22.0,0.0,27.0,2.0,12.0,13.0,7.0,28.0,37.0,19.0,48.0,17.0,62.0,24.0,43.0,14.0,47.0,11.0,26.0,41.0,15.0
4778,0.0,14.0,5.0,13.0,1.0,12.0,27.0,9.0,38.0,25.0,15.0,21.0,6.0,16.0,11.0,2.0,33.0,37.0,50.0,3.0,19.0,41.0,20.0,32.0,4.0,39.0,36.0,8.0,42.0,45.0
4827,8.0,21.0,3.0,31.0,0.0,9.0,46.0,2.0,4.0,30.0,5.0,36.0,15.0,18.0,42.0,17.0,13.0,11.0,47.0,27.0,20.0,54.0,28.0,23.0,26.0,65.0,6.0,41.0,1.0,10.0
4876,11.0,0.0,2.0,28.0,1.0,3.0,4.0,8.0,5.0,41.0,9.0,55.0,6.0,27.0,38.0,21.0,24.0,31.0,17.0,18.0,10.0,32.0,12.0,61.0,14.0,7.0,29.0,20.0,13.0,45.0
