,1-methylnicotinamide,uracil,pantothenate,oxalate,N-carbamoyl-beta-alanine,C18:0 LPC,putrescine,C18:0 LPE,2-deoxycytidine,C16:0 LPE,adenosine,taurodeoxycholate,GABA,C34:2 DAG,C34:4 PC,2-deoxyadenosine,C36:1 DAG,uridine,C56:5 TAG,carnitine,UMP,C20:4 CE,alpha-glycerophosphate,C36:4 PC-B,phosphocreatine,C22:6 CE,hexoses (HILIC neg),leucine,sarcosine,inositol
25,0.0,3.0,2.0,13.0,15.0,9.0,6.0,1.0,25.0,34.0,5.0,16.0,11.0,7.0,33.0,23.0,8.0,38.0,42.0,45.0,12.0,22.0,4.0,27.0,19.0,32.0,20.0,39.0,51.0,24.0
74,3.0,1.0,6.0,11.0,0.0,21.0,2.0,22.0,8.0,4.0,14.0,17.0,23.0,25.0,7.0,15.0,5.0,30.0,16.0,28.0,12.0,41.0,20.0,9.0,34.0,18.0,38.0,44.0,13.0,10.0
123,0.0,2.0,17.0,4.0,1.0,10.0,34.0,30.0,9.0,6.0,24.0,11.0,19.0,26.0,12.0,13.0,18.0,14.0,32.0,8.0,7.0,27.0,5.0,33.0,39.0,25.0,15.0,31.0,16.0,28.0
172,0.0,8.0,27.0,10.0,20.0,4.0,35.0,9.0,13.0,18.0,7.0,6.0,19.0,5.0,2.0,31.0,25.0,14.0,58.0,30.0,63.0,32.0,28.0,34.0,38.0,17.0,1.0,56.0,16.0,11.0
221,4.0,0.0,10.0,3.0,9.0,5.0,2.0,7.0,44.0,17.0,1.0,21.0,14.0,18.0,36.0,20.0,8.0,42.0,51.0,19.0,41.0,23.0,26.0,22.0,39.0,63.0,28.0,30.0,12.0,34.0
270,0.0,13.0,3.0,27.0,1.0,21.0,7.0,8.0,24.0,35.0,30.0,25.0,9.0,6.0,20.0,10.0,4.0,14.0,50.0,29.0,17.0,51.0,2.0,38.0,48.0,26.0,47.0,52.0,5.0,40.0
319,0.0,5.0,1.0,20.0,8.0,10.0,4.0,2.0,3.0,12.0,13.0,17.0,45.0,11.0,36.0,31.0,15.0,19.0,14.0,55.0,6.0,28.0,16.0,40.0,29.0,43.0,24.0,65.0,53.0,27.0
368,1.0,0.0,16.0,26.0,13.0,33.0,10.0,15.0,3.0,4.0,9.0,5.0,6.0,18.0,8.0,48.0,22.0,23.0,38.0,11.0,30.0,29.0,17.0,40.0,28.0,27.0,2.0,41.0,64.0,14.0
417,0.0,5.0,41.0,27.0,28.0,38.0,12.0,3.0,19.0,1.0,11.0,17.0,35.0,18.0,4.0,16.0,21.0,52.0,9.0,23.0,47.0,8.0,40.0,14.0,10.0,25.0,2.0,31.0,6.0,22.0
466,0.0,3.0,16.0,5.0,7.0,25.0,4.0,1.0,8.0,18.0,9.0,2.0,29.0,17.0,22.0,11.0,30.0,31.0,27.0,20.0,35.0,10.0,12.0,13.0,32.0,6.0,49.0,52.0,19.0,45.0
515,4.0,1.0,7.0,15.0,44.0,29.0,0.0,11.0,3.0,18.0,17.0,2.0,27.0,6.0,28.0,21.0,12.0,47.0,37.0,31.0,62.0,13.0,10.0,30.0,25.0,24.0,33.0,23.0,42.0,36.0
564,3.0,2.0,9.0,14.0,0.0,8.0,29.0,13.0,6.0,5.0,54.0,24.0,20.0,30.0,22.0,21.0,38.0,17.0,4.0,47.0,40.0,37.0,18.0,12.0,19.0,15.0,63.0,42.0,31.0,33.0
613,10.0,0.0,4.0,13.0,1.0,9.0,3.0,33.0,2.0,8.0,15.0,5.0,18.0,6.0,43.0,25.0,32.0,47.0,19.0,54.0,39.0,57.0,23.0,7.0,42.0,44.0,65.0,34.0,17.0,21.0
