,NERVOUS,SKIN,OESOPHAGUS,BONE,OVARY,LUNG,LIVER,HAEMATOPOIETIC,PANCREAS,LARGE_INTESTINE,BREAST,STOMACH,GANGLIA,AERODIGESTIVE,PROSTATE,PLEURA,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,URINARY,ENDOMETRIUM,BILIARY
47,0.0,1.0,2.0,15.0,4.0,3.0,6.0,9.0,5.0,7.0,8.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
96,0.0,1.0,2.0,15.0,3.0,6.0,4.0,8.0,5.0,7.0,9.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
145,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,9.0,11.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,1.0,3.0,15.0,4.0,2.0,5.0,8.0,6.0,7.0,9.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
243,0.0,1.0,2.0,15.0,3.0,6.0,5.0,8.0,4.0,7.0,9.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
292,0.0,1.0,2.0,15.0,4.0,5.0,3.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
341,0.0,1.0,3.0,2.0,5.0,7.0,6.0,9.0,4.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,0.0,2.0,3.0,1.0,5.0,4.0,7.0,9.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,0.0,2.0,5.0,1.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
488,0.0,3.0,1.0,15.0,2.0,6.0,7.0,5.0,8.0,4.0,9.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
537,0.0,1.0,3.0,2.0,5.0,6.0,7.0,9.0,8.0,10.0,12.0,4.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
586,2.0,3.0,5.0,0.0,20.0,7.0,9.0,8.0,12.0,10.0,11.0,4.0,14.0,15.0,16.0,21.0,17.0,1.0,18.0,19.0,13.0,6.0,22.0
635,1.0,0.0,3.0,2.0,5.0,8.0,10.0,7.0,9.0,11.0,12.0,4.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,13.0,6.0,22.0
684,1.0,3.0,5.0,4.0,2.0,6.0,9.0,8.0,11.0,10.0,12.0,7.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
733,0.0,1.0,3.0,2.0,4.0,8.0,11.0,6.0,9.0,12.0,10.0,5.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,13.0,7.0,22.0
782,0.0,2.0,1.0,15.0,4.0,7.0,3.0,9.0,8.0,11.0,10.0,6.0,12.0,13.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,5.0,22.0
831,1.0,2.0,4.0,3.0,6.0,5.0,9.0,12.0,11.0,10.0,13.0,7.0,14.0,15.0,16.0,21.0,17.0,0.0,18.0,19.0,20.0,8.0,22.0
880,1.0,3.0,4.0,2.0,5.0,6.0,10.0,8.0,7.0,9.0,12.0,20.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,19.0,11.0,21.0,22.0
929,1.0,2.0,3.0,17.0,6.0,7.0,8.0,9.0,4.0,11.0,10.0,5.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,12.0,21.0,22.0
978,0.0,2.0,4.0,3.0,6.0,10.0,9.0,7.0,11.0,12.0,13.0,5.0,14.0,15.0,16.0,21.0,17.0,1.0,18.0,19.0,20.0,8.0,22.0
1027,0.0,3.0,2.0,4.0,5.0,10.0,8.0,9.0,7.0,12.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,1.0,18.0,19.0,20.0,6.0,22.0
1076,0.0,3.0,2.0,4.0,5.0,10.0,11.0,8.0,7.0,12.0,9.0,13.0,14.0,15.0,16.0,21.0,17.0,1.0,18.0,19.0,20.0,6.0,22.0
