,MEK1_pS217_S221,Caveolin-1,GAPDH,p90RSK_pT359_S363,Bcl-2,Gab2,CD31,HER3,FoxM1,IGFBP2,CDK1,VAV1,N-Cadherin,RAD51,G6PD,Collagen_VI,RSK1-2-3,Cyclin_E2,MIG-6,XBP1,Cyclin_B1,p38_MAPK,4E-BP1_pS65,YAP_pS127,IRS1,PREX1,14-3-3_zeta,beta Actin,Beclin,Bid
1913,0.0,1.0,8.0,3.0,2.0,4.0,15.0,7.0,6.0,46.0,12.0,13.0,36.0,53.0,29.0,23.0,5.0,26.0,20.0,34.0,49.0,17.0,32.0,30.0,11.0,18.0,9.0,66.0,28.0,38.0
1962,0.0,5.0,1.0,2.0,6.0,8.0,4.0,24.0,17.0,14.0,18.0,21.0,26.0,11.0,19.0,7.0,3.0,16.0,15.0,27.0,13.0,12.0,37.0,38.0,10.0,30.0,9.0,63.0,23.0,72.0
2011,0.0,2.0,5.0,1.0,3.0,27.0,11.0,12.0,21.0,17.0,33.0,14.0,34.0,26.0,15.0,16.0,13.0,24.0,10.0,28.0,9.0,20.0,22.0,8.0,4.0,25.0,6.0,39.0,43.0,37.0
2060,0.0,3.0,2.0,1.0,4.0,18.0,6.0,15.0,22.0,7.0,31.0,8.0,14.0,13.0,28.0,19.0,12.0,21.0,5.0,20.0,9.0,16.0,17.0,26.0,35.0,24.0,10.0,38.0,32.0,44.0
2109,5.0,1.0,0.0,3.0,6.0,2.0,7.0,20.0,12.0,13.0,27.0,46.0,21.0,23.0,33.0,17.0,26.0,4.0,15.0,8.0,25.0,19.0,39.0,22.0,11.0,10.0,9.0,49.0,42.0,52.0
2158,0.0,7.0,4.0,2.0,5.0,15.0,9.0,35.0,10.0,17.0,14.0,3.0,11.0,22.0,21.0,41.0,16.0,1.0,12.0,19.0,13.0,18.0,32.0,28.0,36.0,8.0,6.0,46.0,27.0,39.0
2207,0.0,2.0,1.0,5.0,3.0,4.0,6.0,8.0,21.0,13.0,36.0,22.0,29.0,17.0,16.0,11.0,7.0,19.0,10.0,12.0,15.0,14.0,32.0,24.0,9.0,30.0,20.0,42.0,23.0,58.0
2256,0.0,12.0,1.0,2.0,5.0,8.0,6.0,23.0,29.0,7.0,10.0,20.0,25.0,19.0,42.0,21.0,17.0,15.0,4.0,43.0,11.0,18.0,24.0,16.0,3.0,27.0,9.0,41.0,26.0,34.0
2305,0.0,1.0,5.0,2.0,3.0,9.0,4.0,21.0,11.0,20.0,12.0,17.0,28.0,14.0,23.0,27.0,15.0,25.0,18.0,16.0,8.0,10.0,36.0,19.0,26.0,29.0,7.0,22.0,32.0,48.0
2354,0.0,1.0,2.0,4.0,3.0,22.0,26.0,14.0,34.0,12.0,23.0,5.0,33.0,24.0,43.0,21.0,19.0,17.0,7.0,25.0,15.0,10.0,36.0,9.0,13.0,6.0,8.0,16.0,11.0,31.0
2403,0.0,1.0,2.0,3.0,4.0,7.0,8.0,9.0,14.0,18.0,27.0,42.0,37.0,6.0,29.0,50.0,19.0,5.0,23.0,21.0,11.0,13.0,15.0,17.0,12.0,25.0,22.0,26.0,20.0,45.0
2452,5.0,6.0,0.0,2.0,4.0,1.0,31.0,7.0,8.0,14.0,15.0,59.0,13.0,16.0,21.0,44.0,3.0,9.0,12.0,20.0,49.0,29.0,38.0,11.0,22.0,17.0,50.0,23.0,34.0,33.0
2501,1.0,5.0,2.0,4.0,17.0,0.0,14.0,9.0,7.0,20.0,12.0,19.0,29.0,39.0,13.0,52.0,10.0,30.0,28.0,8.0,23.0,49.0,18.0,27.0,11.0,6.0,51.0,31.0,70.0,22.0
2550,1.0,4.0,3.0,2.0,6.0,0.0,20.0,5.0,14.0,16.0,22.0,32.0,24.0,11.0,13.0,30.0,8.0,42.0,33.0,10.0,15.0,38.0,21.0,18.0,12.0,23.0,65.0,9.0,46.0,26.0
2599,2.0,5.0,0.0,3.0,11.0,1.0,27.0,8.0,12.0,16.0,7.0,6.0,30.0,21.0,4.0,53.0,13.0,47.0,34.0,19.0,15.0,14.0,20.0,9.0,31.0,23.0,37.0,41.0,52.0,55.0
2648,6.0,5.0,0.0,4.0,9.0,1.0,18.0,2.0,3.0,8.0,7.0,17.0,19.0,11.0,14.0,68.0,34.0,16.0,41.0,20.0,10.0,27.0,12.0,31.0,25.0,13.0,42.0,26.0,50.0,24.0
2697,5.0,3.0,0.0,2.0,8.0,1.0,19.0,4.0,12.0,13.0,6.0,24.0,9.0,11.0,23.0,15.0,10.0,42.0,27.0,7.0,25.0,28.0,18.0,14.0,26.0,17.0,35.0,36.0,31.0,34.0
2746,3.0,2.0,4.0,0.0,16.0,1.0,40.0,9.0,7.0,19.0,13.0,24.0,12.0,14.0,6.0,11.0,8.0,27.0,18.0,23.0,34.0,42.0,39.0,5.0,60.0,31.0,46.0,17.0,29.0,49.0
2795,2.0,1.0,3.0,4.0,10.0,0.0,28.0,8.0,33.0,7.0,19.0,14.0,27.0,11.0,18.0,9.0,5.0,12.0,20.0,6.0,22.0,25.0,21.0,13.0,38.0,23.0,31.0,35.0,60.0,26.0
2844,3.0,5.0,2.0,1.0,7.0,0.0,22.0,4.0,6.0,48.0,14.0,42.0,13.0,8.0,9.0,34.0,15.0,17.0,12.0,11.0,18.0,19.0,26.0,10.0,47.0,25.0,31.0,23.0,68.0,28.0
2893,3.0,7.0,0.0,1.0,10.0,2.0,35.0,6.0,11.0,62.0,12.0,46.0,16.0,22.0,32.0,43.0,5.0,9.0,8.0,20.0,28.0,23.0,26.0,4.0,71.0,17.0,61.0,13.0,39.0,15.0
2942,0.0,1.0,2.0,7.0,4.0,11.0,17.0,6.0,8.0,12.0,3.0,10.0,21.0,15.0,43.0,5.0,23.0,18.0,13.0,42.0,20.0,30.0,25.0,16.0,48.0,38.0,52.0,31.0,36.0,45.0
2991,0.0,1.0,7.0,6.0,5.0,2.0,21.0,12.0,4.0,14.0,9.0,3.0,20.0,8.0,35.0,15.0,26.0,38.0,13.0,58.0,11.0,40.0,27.0,10.0,16.0,24.0,19.0,22.0,18.0,47.0
3040,1.0,0.0,9.0,5.0,4.0,7.0,18.0,10.0,8.0,3.0,6.0,2.0,17.0,16.0,23.0,15.0,67.0,22.0,21.0,20.0,25.0,28.0,41.0,11.0,43.0,14.0,26.0,31.0,35.0,42.0
3089,0.0,2.0,4.0,7.0,1.0,3.0,21.0,19.0,8.0,16.0,22.0,11.0,20.0,25.0,64.0,6.0,36.0,14.0,10.0,52.0,24.0,29.0,26.0,5.0,9.0,13.0,56.0,18.0,44.0,23.0
3138,0.0,1.0,4.0,2.0,7.0,5.0,18.0,14.0,10.0,20.0,6.0,3.0,15.0,16.0,34.0,17.0,22.0,23.0,9.0,44.0,11.0,19.0,33.0,8.0,51.0,43.0,38.0,12.0,69.0,26.0
3187,0.0,1.0,8.0,5.0,3.0,4.0,13.0,26.0,7.0,14.0,22.0,2.0,9.0,11.0,30.0,17.0,12.0,27.0,6.0,63.0,23.0,33.0,39.0,20.0,49.0,52.0,28.0,10.0,35.0,21.0
3236,0.0,2.0,5.0,4.0,3.0,7.0,16.0,6.0,17.0,11.0,8.0,1.0,15.0,13.0,33.0,10.0,21.0,49.0,14.0,37.0,18.0,28.0,44.0,12.0,23.0,24.0,75.0,27.0,25.0,29.0
3285,0.0,3.0,6.0,4.0,2.0,1.0,19.0,18.0,12.0,16.0,7.0,5.0,11.0,13.0,14.0,22.0,30.0,8.0,15.0,41.0,25.0,33.0,42.0,9.0,20.0,17.0,51.0,10.0,52.0,29.0
3334,1.0,0.0,3.0,5.0,2.0,4.0,12.0,14.0,7.0,15.0,10.0,9.0,11.0,19.0,39.0,8.0,21.0,13.0,18.0,49.0,26.0,41.0,27.0,16.0,20.0,17.0,59.0,6.0,32.0,22.0
3383,0.0,2.0,5.0,3.0,6.0,8.0,16.0,38.0,14.0,17.0,12.0,1.0,11.0,9.0,19.0,13.0,39.0,4.0,31.0,32.0,33.0,30.0,37.0,7.0,59.0,15.0,53.0,45.0,58.0,46.0
3432,0.0,12.0,1.0,11.0,9.0,15.0,7.0,4.0,21.0,6.0,5.0,26.0,13.0,16.0,17.0,23.0,32.0,10.0,19.0,2.0,14.0,20.0,39.0,8.0,18.0,61.0,28.0,51.0,30.0,40.0
3481,1.0,10.0,0.0,5.0,8.0,4.0,3.0,9.0,11.0,2.0,13.0,12.0,14.0,21.0,27.0,18.0,23.0,19.0,58.0,6.0,17.0,38.0,45.0,16.0,34.0,55.0,54.0,30.0,40.0,22.0
3530,0.0,4.0,2.0,8.0,3.0,9.0,7.0,14.0,15.0,5.0,1.0,35.0,12.0,18.0,10.0,11.0,44.0,6.0,33.0,20.0,24.0,13.0,30.0,23.0,17.0,16.0,29.0,28.0,70.0,32.0
3579,0.0,6.0,1.0,3.0,8.0,2.0,10.0,13.0,11.0,4.0,14.0,9.0,5.0,27.0,35.0,15.0,60.0,7.0,28.0,18.0,16.0,20.0,24.0,17.0,39.0,61.0,49.0,40.0,74.0,68.0
3628,0.0,1.0,6.0,10.0,4.0,5.0,16.0,9.0,12.0,3.0,11.0,8.0,19.0,14.0,38.0,21.0,26.0,24.0,23.0,20.0,7.0,22.0,60.0,13.0,41.0,45.0,33.0,53.0,47.0,27.0
3677,0.0,2.0,7.0,1.0,8.0,5.0,13.0,6.0,10.0,9.0,12.0,17.0,15.0,46.0,16.0,26.0,29.0,24.0,42.0,11.0,25.0,23.0,52.0,18.0,3.0,47.0,27.0,31.0,20.0,39.0
3726,0.0,10.0,2.0,17.0,7.0,1.0,25.0,3.0,18.0,4.0,8.0,14.0,5.0,13.0,42.0,24.0,37.0,22.0,65.0,6.0,23.0,9.0,32.0,38.0,11.0,28.0,47.0,57.0,31.0,16.0
3775,0.0,1.0,4.0,18.0,6.0,5.0,8.0,14.0,11.0,7.0,10.0,2.0,3.0,12.0,36.0,34.0,30.0,15.0,42.0,13.0,27.0,23.0,54.0,37.0,19.0,16.0,31.0,45.0,44.0,39.0
3824,0.0,7.0,8.0,24.0,18.0,2.0,4.0,11.0,17.0,1.0,6.0,20.0,13.0,9.0,12.0,59.0,26.0,3.0,43.0,23.0,14.0,10.0,34.0,21.0,19.0,29.0,25.0,38.0,39.0,28.0
3873,0.0,9.0,4.0,23.0,1.0,11.0,24.0,25.0,7.0,2.0,5.0,18.0,20.0,13.0,33.0,16.0,15.0,6.0,70.0,43.0,29.0,34.0,27.0,17.0,14.0,41.0,37.0,69.0,51.0,10.0
3922,0.0,4.0,2.0,6.0,1.0,3.0,7.0,13.0,32.0,12.0,15.0,33.0,10.0,9.0,14.0,5.0,56.0,26.0,21.0,19.0,23.0,50.0,30.0,35.0,11.0,51.0,22.0,38.0,18.0,39.0
3971,3.0,1.0,0.0,2.0,4.0,7.0,6.0,15.0,13.0,12.0,16.0,19.0,10.0,9.0,5.0,14.0,91.0,20.0,23.0,11.0,18.0,50.0,8.0,42.0,40.0,32.0,17.0,34.0,33.0,22.0
4020,4.0,1.0,0.0,2.0,3.0,7.0,6.0,16.0,11.0,21.0,12.0,9.0,5.0,14.0,15.0,30.0,44.0,13.0,10.0,20.0,43.0,36.0,25.0,57.0,33.0,42.0,24.0,50.0,17.0,80.0
4069,2.0,1.0,0.0,4.0,3.0,5.0,7.0,21.0,20.0,29.0,12.0,11.0,8.0,10.0,28.0,19.0,58.0,64.0,9.0,14.0,23.0,37.0,13.0,32.0,24.0,25.0,38.0,31.0,16.0,17.0
4118,2.0,1.0,0.0,4.0,3.0,6.0,5.0,21.0,24.0,25.0,17.0,10.0,8.0,11.0,7.0,12.0,44.0,27.0,16.0,13.0,18.0,46.0,9.0,33.0,20.0,42.0,31.0,15.0,35.0,41.0
4167,5.0,1.0,2.0,0.0,3.0,6.0,4.0,25.0,23.0,36.0,16.0,18.0,10.0,9.0,24.0,17.0,28.0,51.0,7.0,13.0,11.0,19.0,21.0,26.0,34.0,20.0,8.0,37.0,14.0,43.0
4216,1.0,2.0,0.0,3.0,4.0,6.0,7.0,29.0,27.0,48.0,19.0,13.0,8.0,14.0,17.0,5.0,53.0,39.0,9.0,10.0,31.0,28.0,15.0,38.0,21.0,25.0,11.0,30.0,33.0,32.0
4265,3.0,1.0,0.0,2.0,4.0,20.0,9.0,10.0,18.0,13.0,6.0,15.0,5.0,11.0,14.0,7.0,43.0,45.0,16.0,23.0,17.0,27.0,12.0,63.0,25.0,33.0,44.0,39.0,22.0,28.0
4314,3.0,1.0,0.0,4.0,5.0,6.0,2.0,11.0,16.0,15.0,17.0,10.0,20.0,34.0,44.0,9.0,43.0,32.0,18.0,8.0,14.0,37.0,13.0,61.0,29.0,38.0,41.0,55.0,25.0,56.0
4363,2.0,1.0,6.0,4.0,0.0,7.0,5.0,46.0,30.0,10.0,27.0,14.0,12.0,11.0,25.0,3.0,35.0,33.0,17.0,32.0,13.0,31.0,8.0,18.0,91.0,28.0,21.0,55.0,24.0,22.0
4412,2.0,0.0,3.0,4.0,1.0,6.0,9.0,5.0,14.0,18.0,21.0,42.0,7.0,32.0,38.0,10.0,12.0,64.0,47.0,27.0,11.0,17.0,30.0,20.0,36.0,48.0,25.0,31.0,8.0,15.0
4461,4.0,0.0,3.0,2.0,6.0,15.0,10.0,1.0,11.0,26.0,17.0,12.0,5.0,22.0,31.0,14.0,9.0,28.0,23.0,30.0,7.0,32.0,20.0,38.0,35.0,18.0,16.0,8.0,13.0,34.0
4510,2.0,5.0,0.0,4.0,3.0,8.0,12.0,1.0,6.0,23.0,24.0,18.0,7.0,25.0,13.0,33.0,17.0,36.0,21.0,11.0,9.0,37.0,22.0,30.0,48.0,29.0,51.0,15.0,10.0,26.0
4559,1.0,2.0,0.0,4.0,7.0,9.0,6.0,3.0,13.0,29.0,32.0,12.0,5.0,14.0,16.0,11.0,15.0,27.0,20.0,24.0,21.0,30.0,28.0,31.0,59.0,35.0,17.0,23.0,19.0,33.0
4608,1.0,0.0,2.0,4.0,5.0,3.0,9.0,7.0,12.0,17.0,26.0,10.0,24.0,15.0,22.0,14.0,11.0,30.0,46.0,19.0,16.0,13.0,23.0,71.0,27.0,54.0,6.0,35.0,8.0,36.0
4657,1.0,3.0,0.0,5.0,4.0,25.0,9.0,2.0,7.0,18.0,6.0,16.0,10.0,19.0,32.0,11.0,23.0,44.0,38.0,17.0,8.0,31.0,21.0,34.0,29.0,33.0,36.0,24.0,12.0,20.0
4706,1.0,4.0,3.0,2.0,0.0,18.0,5.0,6.0,11.0,33.0,12.0,16.0,8.0,10.0,20.0,23.0,7.0,22.0,37.0,27.0,9.0,51.0,28.0,25.0,79.0,21.0,17.0,38.0,19.0,30.0
4755,4.0,7.0,0.0,3.0,5.0,1.0,8.0,2.0,6.0,20.0,15.0,19.0,12.0,9.0,29.0,30.0,34.0,10.0,25.0,13.0,11.0,16.0,23.0,24.0,44.0,18.0,36.0,21.0,33.0,27.0
4804,0.0,3.0,1.0,2.0,8.0,7.0,14.0,6.0,5.0,4.0,17.0,15.0,13.0,12.0,10.0,16.0,24.0,42.0,54.0,22.0,9.0,35.0,28.0,23.0,72.0,38.0,46.0,20.0,11.0,34.0
4853,0.0,5.0,1.0,2.0,3.0,4.0,6.0,10.0,12.0,15.0,14.0,41.0,19.0,20.0,75.0,36.0,27.0,37.0,17.0,9.0,8.0,58.0,25.0,57.0,32.0,26.0,43.0,50.0,11.0,18.0
