,hsa-miR-584,hsa-miR-137,hsa-miR-155,hsa-miR-921,hsa-miR-541,hsa-miR-103,hsa-miR-15b,hsa-miR-223,hsa-miR-630,hsa-miR-330-3p,hsa-miR-642,hsa-miR-142-5p,hsa-miR-1293,hsa-miR-105,hsa-miR-934,hsa-miR-27b,hsa-miR-491-3p,hsa-miR-148b,hsa-miR-181c,hsa-miR-1245,hsa-miR-205,hsa-miR-301b,hsa-miR-1226,hsa-miR-601,hsa-miR-888,hsa-miR-762,hsa-miR-590-5p,hsa-miR-132,hsa-miR-125a-3p,hsa-miR-143
3104,0.0,5.0,8.0,2.0,45.0,19.0,10.0,12.0,3.0,52.0,1.0,11.0,16.0,33.0,34.0,21.0,15.0,20.0,23.0,43.0,27.0,30.0,26.0,109.0,14.0,97.0,4.0,7.0,409.0,340.0
3153,0.0,6.0,7.0,3.0,43.0,29.0,14.0,4.0,11.0,12.0,1.0,27.0,17.0,9.0,19.0,98.0,30.0,20.0,5.0,53.0,62.0,10.0,39.0,122.0,33.0,76.0,18.0,42.0,34.0,60.0
3202,3.0,8.0,88.0,1.0,22.0,5.0,6.0,15.0,25.0,58.0,10.0,60.0,17.0,7.0,14.0,524.0,13.0,0.0,28.0,86.0,2.0,20.0,18.0,125.0,11.0,310.0,16.0,45.0,65.0,350.0
3251,0.0,2.0,8.0,1.0,20.0,16.0,18.0,10.0,14.0,6.0,9.0,26.0,19.0,38.0,5.0,30.0,15.0,27.0,13.0,59.0,31.0,7.0,3.0,44.0,4.0,63.0,35.0,17.0,96.0,32.0
3300,1.0,0.0,7.0,2.0,27.0,24.0,33.0,5.0,62.0,15.0,4.0,38.0,28.0,8.0,6.0,16.0,10.0,21.0,20.0,40.0,36.0,13.0,9.0,137.0,14.0,29.0,18.0,11.0,41.0,34.0
3349,1.0,7.0,8.0,2.0,17.0,34.0,11.0,26.0,14.0,22.0,4.0,10.0,30.0,15.0,25.0,74.0,13.0,9.0,39.0,56.0,3.0,6.0,21.0,66.0,23.0,70.0,5.0,31.0,40.0,50.0
3398,1.0,11.0,4.0,0.0,23.0,31.0,14.0,8.0,18.0,19.0,2.0,7.0,38.0,53.0,40.0,91.0,5.0,17.0,12.0,394.0,9.0,16.0,10.0,45.0,6.0,32.0,13.0,26.0,21.0,42.0
3447,0.0,1.0,2.0,27.0,15.0,13.0,30.0,3.0,8.0,9.0,12.0,46.0,42.0,25.0,19.0,11.0,14.0,16.0,5.0,6.0,7.0,57.0,67.0,44.0,48.0,93.0,33.0,23.0,24.0,69.0
3496,0.0,2.0,8.0,6.0,12.0,5.0,32.0,3.0,29.0,9.0,7.0,23.0,21.0,30.0,53.0,1.0,56.0,40.0,15.0,14.0,25.0,19.0,104.0,52.0,39.0,57.0,16.0,4.0,24.0,71.0
3545,0.0,1.0,8.0,4.0,30.0,5.0,3.0,24.0,15.0,16.0,14.0,29.0,2.0,23.0,47.0,18.0,19.0,27.0,6.0,13.0,7.0,25.0,31.0,28.0,91.0,54.0,12.0,9.0,481.0,87.0
3594,0.0,21.0,4.0,76.0,2.0,15.0,16.0,8.0,11.0,18.0,3.0,14.0,10.0,7.0,19.0,1.0,12.0,20.0,5.0,30.0,46.0,29.0,71.0,27.0,42.0,86.0,9.0,13.0,23.0,43.0
3643,1.0,0.0,10.0,44.0,2.0,14.0,31.0,4.0,13.0,24.0,6.0,32.0,9.0,19.0,18.0,3.0,16.0,12.0,5.0,8.0,26.0,45.0,21.0,22.0,61.0,318.0,41.0,49.0,33.0,410.0
3692,0.0,1.0,12.0,26.0,10.0,24.0,7.0,27.0,23.0,15.0,3.0,42.0,13.0,31.0,32.0,4.0,9.0,60.0,18.0,2.0,19.0,35.0,387.0,16.0,239.0,75.0,40.0,6.0,37.0,51.0
3741,0.0,1.0,12.0,7.0,32.0,9.0,3.0,4.0,14.0,18.0,11.0,19.0,6.0,33.0,15.0,5.0,34.0,65.0,2.0,23.0,13.0,42.0,54.0,30.0,83.0,36.0,51.0,8.0,21.0,56.0
3790,0.0,1.0,3.0,12.0,26.0,10.0,8.0,19.0,14.0,31.0,15.0,11.0,24.0,23.0,39.0,9.0,4.0,54.0,38.0,5.0,52.0,28.0,27.0,20.0,42.0,40.0,35.0,2.0,34.0,81.0
3839,0.0,1.0,2.0,6.0,14.0,15.0,9.0,22.0,24.0,10.0,8.0,12.0,3.0,16.0,33.0,11.0,7.0,57.0,4.0,13.0,39.0,58.0,95.0,86.0,52.0,73.0,25.0,23.0,38.0,397.0
3888,0.0,1.0,22.0,27.0,23.0,10.0,7.0,15.0,4.0,5.0,17.0,11.0,9.0,32.0,48.0,13.0,34.0,45.0,2.0,19.0,24.0,14.0,405.0,46.0,37.0,43.0,12.0,6.0,16.0,26.0
3937,2.0,1.0,0.0,23.0,3.0,5.0,13.0,20.0,4.0,6.0,19.0,7.0,10.0,21.0,18.0,29.0,8.0,48.0,62.0,12.0,98.0,9.0,42.0,22.0,37.0,38.0,27.0,11.0,169.0,112.0
3986,7.0,1.0,0.0,9.0,5.0,13.0,14.0,35.0,8.0,6.0,2.0,18.0,33.0,10.0,70.0,11.0,3.0,40.0,110.0,15.0,79.0,24.0,16.0,17.0,37.0,20.0,116.0,27.0,54.0,26.0
4035,3.0,0.0,4.0,10.0,9.0,5.0,11.0,32.0,8.0,2.0,15.0,6.0,31.0,1.0,107.0,26.0,16.0,23.0,40.0,19.0,46.0,7.0,21.0,12.0,58.0,29.0,93.0,41.0,405.0,18.0
4084,7.0,0.0,3.0,6.0,1.0,5.0,14.0,31.0,11.0,2.0,18.0,15.0,12.0,16.0,23.0,28.0,4.0,24.0,64.0,27.0,112.0,19.0,8.0,13.0,32.0,33.0,35.0,83.0,74.0,9.0
4133,1.0,6.0,2.0,47.0,3.0,0.0,8.0,56.0,28.0,22.0,4.0,14.0,9.0,7.0,73.0,45.0,10.0,88.0,48.0,52.0,338.0,41.0,25.0,11.0,34.0,38.0,37.0,12.0,59.0,32.0
