,MEK1_pS217_S221,PTEN,Rab25,GAPDH,Cyclin_D1,FOXO3a,FoxM1,GSK3_pS9,GSK-3-BETA,Bcl-2,CDK1,IRS1,GATA3,HER3,Smad3,p38_pT180_Y182,VAV1,MIG-6,Chk1,E-Cadherin,Transglutaminase,Src_pY527,FRA1,C-Raf_pS338,TIGAR,HSP70,N-Cadherin,Bax,Gab2,Cyclin_B1
1522,2.0,11.0,7.0,4.0,0.0,1.0,3.0,9.0,15.0,13.0,8.0,18.0,17.0,20.0,23.0,37.0,5.0,78.0,26.0,128.0,33.0,42.0,14.0,34.0,28.0,122.0,21.0,30.0,117.0,31.0
1571,2.0,6.0,3.0,17.0,0.0,7.0,5.0,10.0,29.0,4.0,1.0,9.0,14.0,13.0,30.0,11.0,21.0,35.0,15.0,127.0,22.0,41.0,26.0,91.0,12.0,122.0,19.0,16.0,32.0,133.0
1620,1.0,16.0,3.0,4.0,0.0,12.0,2.0,5.0,119.0,8.0,7.0,6.0,14.0,17.0,40.0,13.0,15.0,28.0,31.0,11.0,25.0,42.0,9.0,24.0,22.0,124.0,20.0,26.0,33.0,130.0
1669,0.0,9.0,8.0,6.0,1.0,2.0,3.0,7.0,23.0,4.0,5.0,31.0,14.0,22.0,26.0,13.0,10.0,48.0,21.0,20.0,63.0,17.0,15.0,90.0,27.0,25.0,32.0,30.0,11.0,35.0
1718,0.0,3.0,5.0,9.0,1.0,2.0,6.0,4.0,117.0,8.0,11.0,10.0,14.0,18.0,19.0,15.0,12.0,29.0,31.0,125.0,16.0,26.0,7.0,27.0,21.0,123.0,13.0,28.0,131.0,32.0
1767,0.0,10.0,2.0,3.0,4.0,1.0,9.0,5.0,29.0,11.0,6.0,30.0,7.0,18.0,22.0,15.0,8.0,78.0,33.0,130.0,26.0,75.0,16.0,17.0,25.0,123.0,27.0,24.0,125.0,34.0
1816,2.0,4.0,0.0,3.0,11.0,5.0,1.0,6.0,35.0,13.0,14.0,20.0,7.0,12.0,74.0,17.0,10.0,37.0,19.0,38.0,39.0,84.0,8.0,22.0,51.0,21.0,9.0,15.0,121.0,29.0
1865,0.0,9.0,11.0,2.0,1.0,4.0,3.0,17.0,23.0,19.0,13.0,12.0,10.0,6.0,60.0,5.0,7.0,96.0,32.0,127.0,38.0,70.0,8.0,93.0,42.0,34.0,21.0,22.0,35.0,31.0
1914,1.0,5.0,14.0,2.0,0.0,4.0,11.0,8.0,127.0,7.0,10.0,16.0,6.0,3.0,64.0,31.0,25.0,33.0,12.0,28.0,20.0,22.0,27.0,108.0,58.0,117.0,24.0,18.0,35.0,29.0
1963,1.0,6.0,2.0,0.0,3.0,5.0,10.0,4.0,7.0,25.0,16.0,11.0,8.0,14.0,21.0,43.0,15.0,19.0,9.0,27.0,59.0,54.0,18.0,28.0,30.0,17.0,41.0,98.0,20.0,26.0
2012,6.0,11.0,5.0,0.0,1.0,4.0,3.0,2.0,9.0,24.0,10.0,7.0,23.0,8.0,15.0,32.0,22.0,12.0,14.0,26.0,33.0,54.0,17.0,21.0,59.0,20.0,19.0,102.0,13.0,111.0
2061,3.0,2.0,1.0,0.0,13.0,6.0,28.0,11.0,15.0,26.0,8.0,7.0,10.0,18.0,37.0,21.0,12.0,4.0,22.0,19.0,35.0,14.0,5.0,17.0,75.0,30.0,33.0,95.0,24.0,110.0
2110,3.0,6.0,5.0,7.0,1.0,4.0,0.0,12.0,2.0,11.0,16.0,8.0,10.0,24.0,15.0,45.0,17.0,13.0,14.0,9.0,48.0,32.0,20.0,27.0,46.0,34.0,47.0,99.0,111.0,19.0
2159,0.0,1.0,8.0,6.0,5.0,11.0,7.0,3.0,13.0,30.0,4.0,9.0,21.0,32.0,19.0,40.0,2.0,25.0,28.0,14.0,33.0,72.0,10.0,22.0,37.0,15.0,20.0,101.0,29.0,118.0
2208,1.0,2.0,6.0,0.0,3.0,4.0,7.0,5.0,11.0,16.0,10.0,9.0,14.0,8.0,15.0,57.0,12.0,21.0,19.0,26.0,17.0,41.0,114.0,13.0,48.0,23.0,20.0,96.0,28.0,29.0
2257,13.0,2.0,4.0,0.0,5.0,1.0,3.0,16.0,10.0,12.0,8.0,7.0,14.0,21.0,15.0,61.0,18.0,6.0,19.0,23.0,44.0,39.0,22.0,29.0,43.0,9.0,54.0,107.0,26.0,88.0
2306,1.0,8.0,6.0,4.0,2.0,5.0,0.0,3.0,9.0,12.0,14.0,13.0,17.0,10.0,79.0,38.0,32.0,7.0,20.0,19.0,24.0,28.0,15.0,18.0,27.0,21.0,30.0,100.0,118.0,26.0
2355,3.0,4.0,1.0,2.0,7.0,0.0,9.0,6.0,8.0,14.0,5.0,11.0,12.0,15.0,30.0,37.0,21.0,10.0,22.0,28.0,56.0,16.0,35.0,89.0,26.0,18.0,29.0,98.0,32.0,124.0
2404,6.0,11.0,8.0,2.0,0.0,1.0,5.0,10.0,3.0,4.0,9.0,17.0,16.0,7.0,36.0,78.0,20.0,47.0,14.0,18.0,43.0,39.0,15.0,86.0,42.0,23.0,34.0,96.0,19.0,120.0
2453,6.0,1.0,4.0,17.0,3.0,8.0,16.0,2.0,10.0,0.0,18.0,9.0,11.0,24.0,14.0,15.0,28.0,32.0,23.0,7.0,5.0,53.0,30.0,110.0,57.0,12.0,20.0,94.0,25.0,19.0
2502,1.0,5.0,14.0,9.0,0.0,3.0,7.0,6.0,8.0,2.0,13.0,11.0,4.0,122.0,29.0,17.0,25.0,82.0,10.0,18.0,28.0,61.0,31.0,27.0,36.0,23.0,49.0,38.0,35.0,19.0
2551,1.0,14.0,8.0,10.0,0.0,4.0,15.0,11.0,12.0,3.0,2.0,5.0,6.0,9.0,29.0,23.0,16.0,20.0,19.0,26.0,18.0,24.0,27.0,34.0,37.0,17.0,43.0,96.0,7.0,28.0
2600,0.0,8.0,2.0,6.0,1.0,7.0,9.0,10.0,5.0,3.0,35.0,4.0,15.0,18.0,64.0,33.0,32.0,13.0,28.0,19.0,20.0,61.0,121.0,17.0,57.0,11.0,27.0,101.0,16.0,128.0
2649,0.0,2.0,5.0,9.0,1.0,30.0,11.0,7.0,4.0,3.0,19.0,10.0,14.0,16.0,23.0,8.0,52.0,43.0,13.0,6.0,17.0,22.0,120.0,20.0,55.0,114.0,42.0,24.0,18.0,31.0
2698,0.0,3.0,11.0,4.0,1.0,6.0,13.0,10.0,9.0,2.0,29.0,16.0,22.0,7.0,27.0,14.0,57.0,40.0,23.0,34.0,17.0,19.0,31.0,39.0,55.0,8.0,52.0,97.0,18.0,30.0
2747,1.0,3.0,6.0,13.0,0.0,14.0,10.0,4.0,23.0,2.0,5.0,9.0,11.0,34.0,12.0,41.0,20.0,30.0,7.0,15.0,31.0,60.0,28.0,21.0,33.0,17.0,45.0,22.0,8.0,37.0
2796,0.0,3.0,8.0,13.0,2.0,4.0,5.0,11.0,9.0,1.0,20.0,7.0,12.0,34.0,15.0,6.0,60.0,27.0,17.0,10.0,16.0,26.0,23.0,14.0,57.0,21.0,35.0,30.0,18.0,28.0
2845,0.0,6.0,8.0,4.0,2.0,5.0,14.0,11.0,7.0,10.0,9.0,3.0,1.0,21.0,25.0,36.0,51.0,46.0,13.0,16.0,33.0,60.0,117.0,12.0,55.0,20.0,38.0,102.0,24.0,110.0
2894,0.0,3.0,6.0,10.0,2.0,29.0,9.0,5.0,1.0,7.0,19.0,4.0,12.0,24.0,13.0,21.0,55.0,17.0,28.0,27.0,37.0,16.0,125.0,92.0,57.0,11.0,48.0,15.0,20.0,36.0
2943,9.0,3.0,2.0,11.0,0.0,4.0,1.0,6.0,10.0,5.0,40.0,7.0,18.0,14.0,8.0,25.0,35.0,23.0,90.0,31.0,21.0,34.0,118.0,38.0,60.0,39.0,24.0,41.0,13.0,129.0
2992,3.0,4.0,2.0,8.0,5.0,6.0,0.0,23.0,7.0,1.0,17.0,10.0,12.0,16.0,13.0,32.0,9.0,11.0,129.0,119.0,27.0,33.0,18.0,88.0,60.0,24.0,22.0,99.0,15.0,36.0
3041,7.0,2.0,0.0,17.0,6.0,19.0,3.0,18.0,13.0,10.0,8.0,21.0,32.0,4.0,1.0,20.0,15.0,25.0,120.0,12.0,16.0,53.0,26.0,86.0,24.0,111.0,41.0,22.0,118.0,9.0
3090,2.0,0.0,4.0,15.0,8.0,11.0,7.0,6.0,3.0,1.0,10.0,17.0,27.0,31.0,5.0,14.0,16.0,33.0,90.0,9.0,25.0,62.0,123.0,26.0,30.0,119.0,40.0,13.0,23.0,133.0
3139,0.0,8.0,7.0,5.0,2.0,11.0,4.0,10.0,3.0,1.0,16.0,13.0,14.0,6.0,9.0,30.0,12.0,19.0,24.0,23.0,25.0,20.0,122.0,90.0,49.0,117.0,53.0,101.0,33.0,22.0
3188,1.0,5.0,2.0,31.0,3.0,4.0,0.0,8.0,11.0,7.0,6.0,18.0,19.0,10.0,15.0,29.0,12.0,50.0,26.0,20.0,13.0,27.0,121.0,32.0,30.0,118.0,28.0,21.0,25.0,119.0
3237,2.0,3.0,4.0,22.0,7.0,20.0,5.0,13.0,8.0,11.0,26.0,6.0,0.0,10.0,1.0,9.0,15.0,31.0,121.0,24.0,16.0,19.0,119.0,83.0,52.0,32.0,39.0,17.0,28.0,25.0
3286,2.0,8.0,1.0,12.0,3.0,10.0,0.0,19.0,14.0,7.0,16.0,6.0,20.0,13.0,4.0,15.0,9.0,22.0,34.0,29.0,11.0,56.0,23.0,112.0,60.0,123.0,40.0,96.0,33.0,28.0
3335,5.0,2.0,1.0,15.0,0.0,7.0,8.0,115.0,3.0,9.0,4.0,12.0,14.0,13.0,6.0,60.0,16.0,25.0,17.0,24.0,27.0,44.0,121.0,87.0,51.0,118.0,48.0,112.0,20.0,23.0
3384,2.0,5.0,1.0,23.0,3.0,14.0,4.0,7.0,12.0,24.0,19.0,6.0,0.0,15.0,9.0,17.0,36.0,30.0,136.0,27.0,18.0,22.0,121.0,34.0,45.0,29.0,53.0,26.0,130.0,20.0
3433,4.0,3.0,1.0,6.0,0.0,20.0,2.0,9.0,14.0,5.0,7.0,30.0,21.0,12.0,62.0,43.0,8.0,15.0,18.0,26.0,11.0,17.0,27.0,88.0,23.0,16.0,22.0,28.0,32.0,124.0
3482,1.0,2.0,3.0,0.0,4.0,9.0,11.0,15.0,6.0,23.0,7.0,10.0,19.0,16.0,20.0,31.0,37.0,14.0,34.0,24.0,21.0,17.0,30.0,8.0,25.0,26.0,43.0,95.0,118.0,12.0
3531,2.0,1.0,4.0,5.0,0.0,14.0,6.0,7.0,9.0,17.0,10.0,13.0,3.0,110.0,16.0,30.0,24.0,8.0,26.0,34.0,32.0,25.0,114.0,15.0,21.0,11.0,52.0,31.0,20.0,12.0
3580,1.0,2.0,0.0,4.0,3.0,20.0,10.0,6.0,17.0,12.0,13.0,15.0,11.0,19.0,8.0,27.0,18.0,16.0,5.0,22.0,7.0,42.0,119.0,9.0,55.0,33.0,26.0,32.0,115.0,25.0
3629,0.0,2.0,1.0,6.0,4.0,17.0,11.0,7.0,13.0,9.0,8.0,126.0,22.0,5.0,27.0,25.0,19.0,29.0,12.0,124.0,16.0,68.0,117.0,91.0,23.0,34.0,24.0,14.0,33.0,116.0
3678,5.0,0.0,3.0,2.0,7.0,20.0,9.0,23.0,6.0,14.0,18.0,24.0,21.0,8.0,57.0,44.0,15.0,4.0,19.0,105.0,16.0,17.0,121.0,32.0,22.0,13.0,26.0,91.0,33.0,28.0
3727,2.0,3.0,0.0,1.0,9.0,6.0,4.0,25.0,15.0,7.0,11.0,111.0,10.0,5.0,12.0,30.0,23.0,14.0,13.0,20.0,28.0,29.0,24.0,26.0,21.0,27.0,18.0,33.0,117.0,22.0
3776,4.0,1.0,6.0,0.0,5.0,19.0,9.0,3.0,12.0,10.0,7.0,27.0,20.0,2.0,21.0,39.0,25.0,8.0,11.0,24.0,26.0,22.0,119.0,89.0,15.0,13.0,33.0,23.0,116.0,128.0
3825,0.0,2.0,7.0,1.0,10.0,34.0,3.0,16.0,9.0,14.0,13.0,27.0,8.0,6.0,28.0,24.0,12.0,51.0,11.0,127.0,5.0,29.0,123.0,94.0,23.0,117.0,21.0,30.0,122.0,25.0
3874,2.0,1.0,3.0,0.0,4.0,15.0,21.0,23.0,17.0,8.0,7.0,29.0,20.0,10.0,79.0,48.0,22.0,6.0,86.0,11.0,5.0,14.0,35.0,9.0,13.0,27.0,18.0,28.0,19.0,127.0
3923,2.0,4.0,0.0,1.0,5.0,6.0,11.0,9.0,3.0,14.0,23.0,8.0,10.0,32.0,12.0,15.0,7.0,17.0,27.0,18.0,24.0,25.0,19.0,29.0,35.0,13.0,34.0,30.0,31.0,38.0
3972,9.0,0.0,4.0,3.0,2.0,22.0,6.0,10.0,8.0,12.0,16.0,1.0,31.0,17.0,7.0,24.0,5.0,18.0,15.0,19.0,29.0,27.0,113.0,90.0,26.0,39.0,44.0,33.0,112.0,37.0
4021,10.0,7.0,1.0,3.0,5.0,18.0,13.0,12.0,6.0,11.0,32.0,2.0,8.0,26.0,4.0,0.0,14.0,28.0,9.0,120.0,30.0,19.0,15.0,82.0,45.0,16.0,39.0,34.0,114.0,17.0
4070,9.0,0.0,2.0,1.0,15.0,3.0,6.0,11.0,5.0,14.0,19.0,4.0,8.0,25.0,13.0,10.0,12.0,16.0,115.0,27.0,47.0,18.0,23.0,87.0,33.0,29.0,48.0,95.0,28.0,21.0
4119,4.0,8.0,1.0,9.0,3.0,10.0,2.0,12.0,5.0,7.0,19.0,0.0,11.0,21.0,6.0,18.0,13.0,24.0,33.0,27.0,31.0,67.0,114.0,17.0,49.0,28.0,15.0,88.0,35.0,26.0
4168,4.0,1.0,7.0,0.0,2.0,6.0,10.0,5.0,9.0,18.0,12.0,11.0,17.0,25.0,14.0,13.0,3.0,20.0,83.0,23.0,24.0,37.0,16.0,22.0,32.0,107.0,19.0,101.0,29.0,36.0
4217,4.0,3.0,5.0,7.0,0.0,2.0,6.0,12.0,1.0,17.0,11.0,9.0,14.0,109.0,16.0,10.0,8.0,24.0,33.0,18.0,29.0,28.0,19.0,91.0,45.0,30.0,47.0,31.0,36.0,20.0
4266,4.0,0.0,1.0,5.0,20.0,17.0,21.0,19.0,7.0,39.0,15.0,2.0,10.0,27.0,9.0,6.0,3.0,36.0,22.0,33.0,35.0,32.0,11.0,12.0,53.0,121.0,57.0,24.0,37.0,31.0
4315,21.0,1.0,7.0,3.0,35.0,5.0,8.0,13.0,6.0,16.0,14.0,4.0,28.0,30.0,10.0,2.0,0.0,50.0,24.0,22.0,15.0,47.0,19.0,38.0,26.0,23.0,59.0,18.0,109.0,91.0
4364,3.0,7.0,2.0,11.0,0.0,9.0,8.0,18.0,5.0,6.0,15.0,4.0,24.0,110.0,13.0,1.0,16.0,12.0,38.0,17.0,29.0,22.0,10.0,14.0,34.0,39.0,45.0,102.0,116.0,33.0
4413,4.0,1.0,3.0,0.0,21.0,6.0,5.0,14.0,12.0,10.0,2.0,17.0,9.0,24.0,33.0,11.0,32.0,13.0,18.0,22.0,47.0,25.0,122.0,29.0,7.0,118.0,49.0,15.0,113.0,128.0
4462,0.0,1.0,4.0,2.0,9.0,7.0,5.0,14.0,12.0,6.0,3.0,16.0,21.0,29.0,31.0,10.0,55.0,11.0,24.0,8.0,38.0,60.0,124.0,22.0,13.0,115.0,47.0,35.0,120.0,26.0
4511,0.0,6.0,1.0,2.0,16.0,3.0,8.0,7.0,5.0,11.0,4.0,18.0,14.0,29.0,13.0,17.0,64.0,47.0,21.0,10.0,62.0,26.0,30.0,27.0,9.0,28.0,44.0,12.0,124.0,112.0
4560,1.0,4.0,3.0,0.0,26.0,2.0,17.0,8.0,12.0,13.0,5.0,24.0,25.0,117.0,37.0,28.0,45.0,35.0,6.0,10.0,27.0,21.0,124.0,15.0,11.0,115.0,23.0,9.0,135.0,87.0
4609,3.0,2.0,1.0,0.0,11.0,8.0,9.0,13.0,7.0,5.0,4.0,30.0,6.0,18.0,15.0,12.0,16.0,26.0,97.0,17.0,22.0,23.0,124.0,25.0,10.0,117.0,19.0,20.0,121.0,131.0
4658,1.0,6.0,0.0,2.0,4.0,3.0,9.0,12.0,8.0,7.0,5.0,17.0,10.0,29.0,25.0,21.0,15.0,13.0,32.0,16.0,53.0,45.0,116.0,11.0,14.0,123.0,20.0,19.0,115.0,31.0
4707,9.0,4.0,0.0,2.0,13.0,1.0,5.0,6.0,18.0,8.0,3.0,11.0,15.0,28.0,12.0,20.0,34.0,23.0,90.0,24.0,47.0,7.0,32.0,22.0,27.0,124.0,29.0,10.0,121.0,131.0
4756,1.0,2.0,7.0,0.0,16.0,4.0,12.0,17.0,28.0,3.0,5.0,123.0,15.0,8.0,13.0,14.0,63.0,10.0,24.0,6.0,23.0,31.0,125.0,93.0,9.0,130.0,37.0,20.0,119.0,118.0
4805,6.0,5.0,3.0,0.0,14.0,1.0,2.0,11.0,12.0,18.0,4.0,19.0,13.0,7.0,59.0,25.0,22.0,15.0,27.0,26.0,72.0,56.0,31.0,23.0,9.0,117.0,46.0,21.0,123.0,122.0
4854,0.0,3.0,2.0,1.0,7.0,4.0,9.0,8.0,15.0,10.0,5.0,19.0,14.0,23.0,22.0,6.0,30.0,12.0,18.0,26.0,24.0,37.0,28.0,13.0,17.0,117.0,48.0,16.0,115.0,123.0
