,MEK1_pS217_S221,PTEN,Rab25,GAPDH,Cyclin_D1,FOXO3a,FoxM1,GSK3_pS9,GSK-3-BETA,Bcl-2,CDK1,IRS1,GATA3,HER3,Smad3,p38_pT180_Y182,VAV1,MIG-6,Chk1,E-Cadherin,Transglutaminase,Src_pY527,FRA1,C-Raf_pS338,TIGAR,HSP70,N-Cadherin,Bax,Gab2,Cyclin_B1
3,7.0,6.0,15.0,0.0,18.0,3.0,4.0,23.0,8.0,10.0,5.0,2.0,20.0,1.0,21.0,13.0,56.0,12.0,28.0,26.0,16.0,22.0,117.0,85.0,17.0,31.0,29.0,9.0,11.0,41.0
52,7.0,6.0,3.0,4.0,17.0,13.0,0.0,8.0,9.0,1.0,16.0,14.0,5.0,2.0,15.0,12.0,52.0,34.0,10.0,124.0,11.0,24.0,23.0,88.0,56.0,21.0,19.0,26.0,118.0,110.0
101,1.0,2.0,3.0,7.0,6.0,20.0,8.0,14.0,21.0,0.0,4.0,13.0,119.0,5.0,9.0,12.0,52.0,11.0,16.0,32.0,10.0,17.0,22.0,87.0,33.0,29.0,27.0,19.0,123.0,28.0
150,0.0,3.0,16.0,19.0,2.0,11.0,4.0,7.0,5.0,1.0,8.0,10.0,13.0,15.0,14.0,22.0,35.0,18.0,9.0,26.0,23.0,12.0,30.0,87.0,55.0,25.0,39.0,6.0,31.0,34.0
199,1.0,6.0,8.0,2.0,3.0,18.0,4.0,12.0,7.0,0.0,11.0,19.0,17.0,5.0,26.0,10.0,33.0,47.0,16.0,27.0,13.0,54.0,120.0,9.0,66.0,23.0,20.0,15.0,22.0,119.0
248,5.0,3.0,6.0,1.0,0.0,16.0,12.0,15.0,10.0,2.0,8.0,11.0,20.0,7.0,9.0,17.0,36.0,39.0,4.0,21.0,23.0,63.0,14.0,27.0,22.0,18.0,29.0,101.0,125.0,13.0
297,2.0,0.0,16.0,3.0,17.0,7.0,1.0,22.0,9.0,4.0,11.0,18.0,23.0,6.0,10.0,5.0,54.0,20.0,12.0,26.0,19.0,27.0,32.0,24.0,49.0,113.0,15.0,30.0,130.0,109.0
346,2.0,4.0,6.0,5.0,8.0,13.0,3.0,7.0,18.0,1.0,16.0,32.0,21.0,0.0,9.0,14.0,61.0,11.0,15.0,19.0,24.0,22.0,12.0,89.0,33.0,114.0,27.0,23.0,26.0,17.0
395,4.0,5.0,9.0,8.0,3.0,7.0,0.0,116.0,13.0,1.0,6.0,10.0,17.0,2.0,61.0,19.0,53.0,18.0,24.0,28.0,35.0,11.0,26.0,14.0,29.0,110.0,20.0,21.0,121.0,34.0
444,9.0,3.0,5.0,10.0,6.0,4.0,29.0,16.0,12.0,11.0,17.0,7.0,13.0,2.0,8.0,0.0,18.0,26.0,1.0,22.0,14.0,21.0,25.0,24.0,28.0,118.0,31.0,20.0,34.0,129.0
493,8.0,1.0,0.0,16.0,5.0,6.0,17.0,2.0,11.0,24.0,13.0,7.0,3.0,9.0,15.0,14.0,10.0,21.0,12.0,29.0,36.0,64.0,125.0,26.0,39.0,27.0,4.0,25.0,28.0,33.0
542,2.0,9.0,0.0,1.0,5.0,10.0,13.0,11.0,7.0,12.0,8.0,6.0,3.0,17.0,28.0,23.0,31.0,4.0,27.0,32.0,19.0,21.0,115.0,26.0,18.0,16.0,14.0,25.0,35.0,123.0
591,1.0,2.0,0.0,3.0,9.0,7.0,4.0,8.0,20.0,91.0,5.0,16.0,6.0,11.0,14.0,10.0,13.0,38.0,24.0,124.0,17.0,33.0,116.0,26.0,28.0,80.0,19.0,29.0,118.0,114.0
640,3.0,11.0,0.0,12.0,5.0,16.0,1.0,6.0,9.0,15.0,7.0,14.0,2.0,4.0,8.0,21.0,25.0,42.0,89.0,129.0,33.0,31.0,32.0,37.0,20.0,35.0,18.0,30.0,34.0,126.0
689,7.0,1.0,0.0,2.0,21.0,3.0,5.0,4.0,19.0,39.0,6.0,10.0,8.0,16.0,13.0,12.0,15.0,18.0,25.0,124.0,59.0,23.0,20.0,92.0,17.0,9.0,30.0,100.0,116.0,34.0
738,2.0,3.0,0.0,7.0,24.0,8.0,1.0,4.0,22.0,17.0,6.0,11.0,5.0,15.0,20.0,16.0,10.0,34.0,84.0,25.0,27.0,26.0,12.0,89.0,54.0,19.0,13.0,102.0,29.0,37.0
787,17.0,5.0,0.0,7.0,8.0,6.0,1.0,2.0,13.0,14.0,9.0,10.0,3.0,11.0,24.0,4.0,21.0,20.0,26.0,23.0,32.0,37.0,18.0,90.0,22.0,30.0,12.0,105.0,115.0,29.0
836,2.0,1.0,0.0,9.0,12.0,8.0,5.0,3.0,29.0,32.0,7.0,10.0,4.0,11.0,16.0,26.0,20.0,19.0,84.0,25.0,53.0,21.0,121.0,89.0,17.0,18.0,39.0,100.0,117.0,31.0
885,9.0,2.0,0.0,4.0,14.0,5.0,8.0,3.0,10.0,11.0,13.0,6.0,1.0,7.0,16.0,25.0,18.0,15.0,127.0,30.0,32.0,58.0,117.0,84.0,54.0,12.0,27.0,97.0,31.0,122.0
934,15.0,10.0,0.0,6.0,13.0,17.0,9.0,5.0,40.0,22.0,4.0,28.0,3.0,12.0,1.0,21.0,2.0,19.0,39.0,126.0,25.0,26.0,36.0,34.0,53.0,24.0,32.0,100.0,120.0,11.0
983,1.0,0.0,8.0,6.0,4.0,3.0,17.0,7.0,9.0,2.0,13.0,11.0,5.0,15.0,12.0,21.0,51.0,10.0,29.0,122.0,28.0,18.0,26.0,94.0,22.0,27.0,43.0,30.0,14.0,107.0
1032,0.0,2.0,5.0,1.0,4.0,3.0,8.0,10.0,6.0,7.0,11.0,9.0,20.0,121.0,56.0,19.0,23.0,15.0,18.0,13.0,14.0,25.0,30.0,24.0,12.0,124.0,38.0,96.0,17.0,112.0
1081,0.0,2.0,1.0,8.0,3.0,7.0,5.0,15.0,4.0,17.0,6.0,23.0,12.0,34.0,19.0,24.0,26.0,13.0,16.0,116.0,14.0,22.0,117.0,29.0,25.0,125.0,45.0,97.0,9.0,10.0
1130,5.0,4.0,12.0,7.0,0.0,2.0,8.0,10.0,3.0,1.0,22.0,9.0,6.0,11.0,57.0,15.0,16.0,21.0,126.0,128.0,27.0,17.0,14.0,83.0,23.0,81.0,42.0,94.0,19.0,26.0
1179,5.0,1.0,7.0,8.0,3.0,9.0,0.0,2.0,10.0,4.0,14.0,19.0,11.0,113.0,46.0,16.0,57.0,12.0,21.0,15.0,6.0,20.0,17.0,83.0,54.0,126.0,24.0,96.0,13.0,26.0
1228,1.0,0.0,9.0,2.0,7.0,10.0,6.0,24.0,5.0,3.0,8.0,21.0,4.0,125.0,20.0,14.0,16.0,46.0,29.0,25.0,11.0,22.0,120.0,26.0,13.0,32.0,42.0,110.0,12.0,19.0
1277,8.0,2.0,5.0,0.0,1.0,6.0,3.0,9.0,16.0,4.0,32.0,13.0,15.0,25.0,21.0,37.0,12.0,10.0,24.0,29.0,11.0,57.0,14.0,89.0,17.0,111.0,20.0,106.0,7.0,27.0
1326,3.0,6.0,1.0,4.0,5.0,0.0,11.0,2.0,13.0,12.0,9.0,14.0,10.0,113.0,51.0,15.0,60.0,17.0,21.0,127.0,20.0,56.0,24.0,25.0,16.0,26.0,28.0,119.0,7.0,23.0
1375,5.0,0.0,3.0,2.0,1.0,4.0,7.0,9.0,8.0,6.0,11.0,12.0,10.0,111.0,25.0,31.0,27.0,34.0,93.0,19.0,16.0,15.0,114.0,84.0,17.0,110.0,40.0,94.0,14.0,125.0
1424,1.0,2.0,3.0,6.0,0.0,9.0,5.0,11.0,8.0,7.0,17.0,108.0,4.0,31.0,28.0,10.0,29.0,13.0,16.0,12.0,27.0,32.0,23.0,90.0,18.0,111.0,41.0,105.0,26.0,126.0
1473,0.0,4.0,3.0,2.0,6.0,1.0,5.0,10.0,29.0,11.0,9.0,8.0,13.0,7.0,35.0,12.0,16.0,36.0,18.0,24.0,19.0,60.0,15.0,21.0,57.0,122.0,42.0,33.0,124.0,126.0
