,VHL,Shc_pY317,Bax,YAP_pS127,GSK3-alpha-beta_pS21_S9,c-Kit,PI3K-p85,Annexin 1,Transglutaminase,Raptor,Lck,p53,CDK1,ACVRL1,GATA3,Akt_pS473,VAV1,p14 Arf(BetA300-340A),4E-BP1_pT70,beta-Catenin,Beclin,AR,FRA1,AMPK_alpha,PRAS40_pT246,ADAR1,Acetyl-a-Tubulin (Lys40),p38_pT180_Y182,RAD51,N-Cadherin
2161,5.0,44.0,29.0,48.0,16.0,22.0,19.0,21.0,34.0,54.0,41.0,81.0,68.0,86.0,58.0,53.0,47.0,31.0,50.0,60.0,25.0,33.0,105.0,15.0,151.0,1.0,80.0,70.0,69.0,27.0
2210,113.0,25.0,17.0,15.0,148.0,19.0,103.0,22.0,46.0,155.0,65.0,33.0,79.0,44.0,66.0,78.0,126.0,41.0,50.0,137.0,74.0,42.0,69.0,26.0,29.0,8.0,38.0,61.0,49.0,12.0
2259,6.0,20.0,22.0,139.0,83.0,32.0,118.0,70.0,13.0,155.0,50.0,62.0,94.0,39.0,8.0,21.0,27.0,53.0,72.0,105.0,73.0,84.0,56.0,35.0,149.0,67.0,76.0,43.0,41.0,81.0
2308,15.0,56.0,27.0,119.0,40.0,57.0,43.0,77.0,5.0,50.0,63.0,46.0,32.0,7.0,54.0,109.0,75.0,30.0,42.0,39.0,1.0,0.0,73.0,78.0,65.0,38.0,76.0,45.0,37.0,93.0
2357,42.0,2.0,15.0,121.0,71.0,18.0,113.0,31.0,27.0,117.0,66.0,100.0,73.0,78.0,23.0,36.0,14.0,50.0,57.0,54.0,20.0,74.0,19.0,21.0,58.0,83.0,48.0,30.0,52.0,61.0
2406,37.0,6.0,8.0,80.0,34.0,63.0,65.0,56.0,122.0,36.0,48.0,89.0,33.0,73.0,3.0,16.0,4.0,30.0,60.0,59.0,9.0,26.0,77.0,29.0,10.0,27.0,78.0,62.0,85.0,64.0
2455,27.0,13.0,3.0,45.0,90.0,22.0,43.0,18.0,54.0,24.0,37.0,79.0,47.0,38.0,36.0,31.0,9.0,92.0,94.0,58.0,62.0,129.0,17.0,99.0,28.0,60.0,104.0,55.0,14.0,91.0
2504,27.0,8.0,10.0,46.0,0.0,18.0,12.0,25.0,14.0,26.0,45.0,52.0,41.0,11.0,67.0,75.0,15.0,147.0,30.0,108.0,37.0,74.0,13.0,20.0,80.0,23.0,44.0,72.0,1.0,151.0
2553,10.0,61.0,13.0,25.0,2.0,26.0,69.0,30.0,58.0,77.0,15.0,80.0,28.0,60.0,22.0,19.0,123.0,41.0,81.0,16.0,6.0,107.0,90.0,56.0,17.0,92.0,118.0,87.0,23.0,137.0
2602,6.0,8.0,15.0,36.0,30.0,22.0,31.0,13.0,46.0,24.0,72.0,58.0,60.0,35.0,27.0,37.0,14.0,76.0,118.0,136.0,62.0,66.0,19.0,83.0,97.0,92.0,110.0,71.0,33.0,57.0
2651,26.0,13.0,15.0,22.0,8.0,11.0,33.0,17.0,122.0,110.0,40.0,59.0,41.0,104.0,21.0,9.0,19.0,92.0,65.0,5.0,12.0,32.0,86.0,78.0,95.0,52.0,102.0,34.0,28.0,159.0
2700,32.0,10.0,16.0,39.0,33.0,49.0,31.0,34.0,1.0,23.0,6.0,60.0,44.0,19.0,40.0,99.0,84.0,96.0,38.0,12.0,81.0,13.0,52.0,46.0,27.0,47.0,134.0,67.0,14.0,164.0
2749,38.0,2.0,17.0,6.0,3.0,23.0,51.0,35.0,29.0,0.0,27.0,71.0,41.0,46.0,61.0,70.0,76.0,101.0,72.0,93.0,52.0,32.0,64.0,7.0,4.0,20.0,19.0,37.0,97.0,10.0
2798,19.0,20.0,12.0,139.0,1.0,88.0,78.0,96.0,28.0,22.0,40.0,41.0,65.0,50.0,25.0,38.0,136.0,156.0,62.0,34.0,33.0,108.0,37.0,87.0,90.0,64.0,23.0,26.0,73.0,11.0
2847,5.0,23.0,35.0,9.0,144.0,33.0,37.0,59.0,3.0,26.0,29.0,46.0,28.0,16.0,36.0,22.0,52.0,72.0,44.0,47.0,137.0,2.0,8.0,32.0,83.0,56.0,150.0,45.0,100.0,61.0
2896,39.0,117.0,12.0,49.0,8.0,44.0,45.0,67.0,38.0,76.0,46.0,51.0,36.0,131.0,25.0,31.0,16.0,109.0,122.0,152.0,17.0,50.0,20.0,48.0,43.0,124.0,85.0,30.0,155.0,95.0
2945,133.0,16.0,32.0,102.0,25.0,7.0,23.0,38.0,127.0,2.0,33.0,0.0,37.0,131.0,21.0,29.0,54.0,51.0,43.0,95.0,90.0,18.0,77.0,69.0,154.0,61.0,39.0,99.0,75.0,140.0
2994,12.0,1.0,11.0,122.0,13.0,39.0,15.0,22.0,2.0,123.0,58.0,57.0,55.0,14.0,37.0,36.0,41.0,51.0,16.0,105.0,47.0,53.0,115.0,9.0,155.0,116.0,31.0,103.0,50.0,161.0
3043,36.0,37.0,11.0,13.0,48.0,8.0,4.0,53.0,16.0,7.0,18.0,83.0,66.0,28.0,50.0,34.0,20.0,46.0,45.0,41.0,12.0,17.0,114.0,56.0,160.0,1.0,62.0,78.0,115.0,0.0
3092,10.0,14.0,13.0,1.0,144.0,71.0,18.0,23.0,30.0,28.0,67.0,12.0,52.0,31.0,26.0,80.0,57.0,43.0,61.0,121.0,118.0,70.0,49.0,24.0,100.0,39.0,41.0,48.0,79.0,110.0
3141,40.0,6.0,13.0,137.0,29.0,60.0,11.0,52.0,49.0,2.0,57.0,33.0,41.0,34.0,92.0,81.0,86.0,48.0,56.0,118.0,98.0,74.0,44.0,107.0,87.0,17.0,55.0,148.0,108.0,130.0
3190,9.0,5.0,26.0,20.0,0.0,49.0,25.0,52.0,29.0,97.0,36.0,17.0,31.0,34.0,72.0,33.0,19.0,42.0,1.0,50.0,54.0,44.0,87.0,91.0,99.0,134.0,11.0,65.0,37.0,81.0
3239,0.0,8.0,7.0,17.0,23.0,30.0,2.0,39.0,9.0,159.0,18.0,74.0,46.0,19.0,24.0,26.0,62.0,66.0,29.0,136.0,14.0,60.0,113.0,104.0,154.0,94.0,38.0,72.0,41.0,109.0
3288,15.0,140.0,21.0,137.0,82.0,43.0,4.0,13.0,46.0,30.0,56.0,95.0,16.0,14.0,52.0,49.0,64.0,50.0,8.0,37.0,162.0,32.0,25.0,45.0,86.0,115.0,75.0,91.0,154.0,164.0
3337,28.0,15.0,9.0,17.0,4.0,93.0,147.0,13.0,78.0,14.0,29.0,50.0,32.0,25.0,89.0,48.0,35.0,41.0,34.0,71.0,103.0,61.0,33.0,45.0,107.0,40.0,38.0,43.0,54.0,159.0
3386,104.0,4.0,3.0,37.0,21.0,70.0,52.0,13.0,40.0,6.0,27.0,36.0,30.0,122.0,60.0,28.0,18.0,16.0,43.0,39.0,33.0,99.0,96.0,84.0,1.0,23.0,56.0,80.0,53.0,58.0
3435,9.0,28.0,38.0,136.0,7.0,25.0,0.0,33.0,1.0,15.0,19.0,49.0,62.0,134.0,42.0,73.0,5.0,34.0,44.0,48.0,88.0,17.0,155.0,29.0,97.0,24.0,102.0,35.0,57.0,20.0
3484,80.0,6.0,32.0,0.0,11.0,22.0,13.0,51.0,90.0,45.0,69.0,24.0,36.0,47.0,87.0,73.0,59.0,95.0,107.0,50.0,67.0,135.0,30.0,55.0,52.0,34.0,26.0,76.0,8.0,27.0
3533,33.0,46.0,10.0,48.0,58.0,78.0,27.0,34.0,40.0,160.0,37.0,57.0,35.0,15.0,107.0,67.0,129.0,90.0,12.0,28.0,75.0,61.0,38.0,53.0,80.0,11.0,94.0,18.0,79.0,16.0
3582,24.0,8.0,44.0,28.0,133.0,100.0,79.0,20.0,138.0,42.0,30.0,32.0,22.0,143.0,129.0,18.0,142.0,17.0,10.0,48.0,84.0,26.0,9.0,34.0,56.0,74.0,89.0,82.0,49.0,105.0
3631,8.0,10.0,28.0,30.0,12.0,20.0,67.0,71.0,43.0,2.0,60.0,63.0,13.0,56.0,90.0,40.0,23.0,48.0,134.0,7.0,54.0,103.0,163.0,135.0,92.0,113.0,88.0,21.0,107.0,84.0
3680,14.0,1.0,65.0,110.0,34.0,53.0,105.0,6.0,33.0,160.0,42.0,122.0,15.0,129.0,96.0,51.0,100.0,28.0,81.0,12.0,124.0,56.0,141.0,21.0,4.0,80.0,40.0,55.0,37.0,61.0
3729,11.0,82.0,76.0,127.0,62.0,157.0,14.0,50.0,51.0,17.0,30.0,21.0,40.0,65.0,60.0,52.0,84.0,31.0,133.0,15.0,114.0,26.0,72.0,91.0,89.0,3.0,35.0,16.0,57.0,33.0
3778,18.0,12.0,38.0,29.0,45.0,60.0,34.0,23.0,92.0,49.0,67.0,61.0,33.0,2.0,62.0,95.0,30.0,27.0,46.0,77.0,25.0,93.0,66.0,91.0,56.0,21.0,11.0,43.0,106.0,24.0
3827,53.0,27.0,49.0,18.0,59.0,78.0,20.0,56.0,29.0,135.0,17.0,54.0,6.0,13.0,114.0,38.0,57.0,90.0,128.0,31.0,16.0,10.0,39.0,45.0,159.0,50.0,106.0,25.0,3.0,92.0
3876,36.0,92.0,69.0,131.0,57.0,67.0,58.0,50.0,11.0,7.0,39.0,22.0,32.0,152.0,129.0,101.0,74.0,72.0,77.0,6.0,3.0,75.0,79.0,23.0,52.0,37.0,21.0,51.0,16.0,9.0
3925,12.0,97.0,14.0,117.0,19.0,40.0,21.0,13.0,126.0,47.0,32.0,44.0,24.0,130.0,20.0,50.0,102.0,89.0,48.0,5.0,36.0,77.0,15.0,51.0,4.0,83.0,18.0,95.0,30.0,106.0
3974,22.0,126.0,80.0,129.0,139.0,87.0,25.0,28.0,1.0,29.0,90.0,67.0,19.0,124.0,36.0,115.0,123.0,38.0,59.0,157.0,27.0,31.0,47.0,30.0,8.0,119.0,98.0,26.0,103.0,9.0
4023,70.0,163.0,37.0,4.0,5.0,36.0,23.0,22.0,16.0,27.0,14.0,51.0,42.0,131.0,74.0,40.0,39.0,85.0,61.0,30.0,73.0,32.0,69.0,55.0,28.0,81.0,97.0,44.0,75.0,6.0
4072,48.0,8.0,34.0,25.0,3.0,82.0,86.0,6.0,131.0,15.0,42.0,75.0,29.0,20.0,52.0,4.0,66.0,63.0,13.0,89.0,17.0,76.0,99.0,104.0,33.0,37.0,5.0,27.0,73.0,112.0
4121,64.0,107.0,9.0,108.0,17.0,15.0,11.0,21.0,14.0,54.0,82.0,109.0,72.0,88.0,74.0,85.0,118.0,20.0,67.0,38.0,59.0,31.0,146.0,27.0,92.0,141.0,90.0,60.0,68.0,43.0
4170,8.0,24.0,19.0,2.0,1.0,29.0,0.0,35.0,23.0,38.0,56.0,21.0,44.0,122.0,39.0,53.0,27.0,63.0,68.0,78.0,51.0,66.0,17.0,100.0,60.0,80.0,57.0,33.0,97.0,7.0
4219,50.0,13.0,23.0,130.0,14.0,31.0,4.0,16.0,51.0,163.0,27.0,49.0,68.0,88.0,56.0,97.0,29.0,44.0,38.0,139.0,103.0,135.0,100.0,81.0,161.0,106.0,74.0,94.0,63.0,15.0
4268,29.0,73.0,43.0,117.0,30.0,109.0,85.0,10.0,1.0,135.0,31.0,37.0,62.0,3.0,71.0,95.0,128.0,56.0,36.0,80.0,24.0,2.0,132.0,8.0,5.0,107.0,70.0,19.0,97.0,11.0
4317,0.0,126.0,41.0,10.0,2.0,77.0,45.0,44.0,132.0,38.0,22.0,11.0,52.0,96.0,69.0,23.0,59.0,37.0,28.0,26.0,15.0,79.0,145.0,8.0,58.0,133.0,19.0,32.0,27.0,61.0
4366,17.0,41.0,88.0,125.0,61.0,100.0,39.0,30.0,9.0,132.0,42.0,37.0,20.0,18.0,46.0,33.0,82.0,47.0,13.0,69.0,59.0,73.0,112.0,91.0,48.0,51.0,77.0,57.0,60.0,95.0
4415,129.0,34.0,15.0,5.0,88.0,17.0,152.0,24.0,126.0,41.0,6.0,30.0,49.0,128.0,22.0,37.0,19.0,80.0,38.0,32.0,39.0,100.0,33.0,127.0,97.0,21.0,77.0,43.0,72.0,93.0
4464,0.0,44.0,37.0,5.0,10.0,41.0,2.0,140.0,75.0,30.0,26.0,21.0,52.0,22.0,51.0,18.0,24.0,56.0,38.0,164.0,19.0,99.0,157.0,74.0,107.0,101.0,3.0,69.0,83.0,45.0
4513,9.0,72.0,16.0,1.0,28.0,20.0,24.0,57.0,89.0,17.0,109.0,97.0,71.0,131.0,26.0,8.0,5.0,88.0,73.0,118.0,74.0,59.0,52.0,107.0,93.0,49.0,10.0,65.0,78.0,25.0
4562,3.0,116.0,20.0,0.0,11.0,25.0,14.0,51.0,84.0,27.0,49.0,5.0,34.0,9.0,101.0,107.0,4.0,61.0,88.0,140.0,94.0,143.0,13.0,66.0,43.0,15.0,97.0,8.0,80.0,68.0
4611,55.0,22.0,20.0,2.0,0.0,15.0,17.0,1.0,98.0,37.0,68.0,57.0,33.0,63.0,16.0,91.0,5.0,67.0,45.0,127.0,47.0,23.0,34.0,61.0,32.0,25.0,44.0,56.0,105.0,14.0
4660,63.0,141.0,48.0,9.0,19.0,24.0,0.0,22.0,96.0,3.0,35.0,12.0,74.0,133.0,16.0,116.0,14.0,71.0,17.0,77.0,82.0,51.0,153.0,105.0,103.0,52.0,20.0,109.0,32.0,73.0
4709,19.0,43.0,23.0,2.0,16.0,13.0,12.0,7.0,31.0,9.0,40.0,28.0,77.0,6.0,14.0,1.0,17.0,35.0,68.0,105.0,60.0,49.0,117.0,97.0,80.0,39.0,22.0,11.0,94.0,122.0
4758,7.0,50.0,21.0,4.0,33.0,13.0,12.0,143.0,117.0,70.0,74.0,52.0,29.0,48.0,47.0,83.0,2.0,43.0,8.0,140.0,65.0,79.0,97.0,105.0,34.0,69.0,23.0,82.0,45.0,14.0
4807,49.0,143.0,29.0,8.0,5.0,27.0,52.0,112.0,131.0,153.0,21.0,22.0,38.0,78.0,31.0,96.0,4.0,57.0,72.0,15.0,10.0,138.0,155.0,17.0,26.0,77.0,58.0,44.0,88.0,16.0
4856,13.0,131.0,29.0,12.0,30.0,25.0,14.0,140.0,58.0,11.0,32.0,26.0,41.0,43.0,53.0,62.0,50.0,83.0,33.0,160.0,47.0,114.0,108.0,111.0,34.0,24.0,31.0,90.0,98.0,21.0
