,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
1106,126.0,128.0,0.0,8.0,11090.0,72.0,20623.0,1165.0,2.0,61.0,198.0,134.0,11878.0,467.0,141.0,16955.0,157.0,32.0,46.0,10829.0,48.0,390.0,5112.0,15313.0,5101.0,34.0,12.0,15.0,447.0,130.0
1155,21.0,153.0,0.0,3.0,60.0,836.0,20629.0,87.0,149.0,33.0,2637.0,2.0,12768.0,42.0,16535.0,1135.0,224.0,2485.0,64.0,9789.0,25.0,1143.0,4138.0,1.0,1670.0,12369.0,69.0,23701.0,56.0,17.0
1204,105.0,157.0,950.0,11.0,623.0,3.0,20647.0,45.0,12633.0,2.0,4089.0,7.0,153.0,161.0,20.0,703.0,6.0,98.0,95.0,989.0,13513.0,369.0,4087.0,0.0,3882.0,292.0,248.0,15.0,4191.0,203.0
1253,12.0,89.0,0.0,254.0,1476.0,136.0,888.0,8568.0,503.0,18.0,4213.0,4.0,117.0,9.0,16663.0,156.0,69.0,16768.0,42.0,70.0,3.0,1903.0,361.0,1.0,4172.0,10591.0,37.0,25.0,244.0,2637.0
1302,20.0,75.0,57.0,2324.0,900.0,74.0,20632.0,16.0,15.0,107.0,132.0,44.0,71.0,2757.0,85.0,222.0,87.0,1498.0,7.0,674.0,2.0,419.0,22.0,1.0,3890.0,123.0,81.0,0.0,4154.0,12283.0
1351,11040.0,71.0,1.0,126.0,94.0,7.0,423.0,25.0,292.0,67.0,3812.0,233.0,11.0,4821.0,8.0,5.0,89.0,57.0,0.0,2571.0,4.0,43.0,96.0,3.0,3800.0,10111.0,129.0,259.0,804.0,1116.0
1400,104.0,43.0,213.0,69.0,211.0,239.0,1438.0,792.0,11.0,12.0,228.0,14.0,3.0,327.0,1.0,26.0,2736.0,23.0,27.0,0.0,13232.0,39.0,284.0,50.0,2753.0,10594.0,13833.0,35.0,815.0,112.0
1449,2671.0,10784.0,0.0,50.0,25.0,1372.0,20748.0,18.0,11650.0,530.0,488.0,22.0,107.0,77.0,16534.0,2.0,3862.0,17.0,20658.0,1223.0,207.0,444.0,49.0,239.0,166.0,10592.0,513.0,11.0,4135.0,12269.0
1498,24.0,30.0,26.0,28.0,56.0,124.0,1458.0,8571.0,5.0,22869.0,42.0,67.0,106.0,4959.0,27.0,11.0,3.0,16764.0,20665.0,0.0,2741.0,1496.0,90.0,2474.0,3911.0,62.0,132.0,672.0,362.0,6.0
1547,4.0,19.0,2604.0,1573.0,54.0,100.0,2226.0,220.0,12597.0,22808.0,1257.0,24076.0,1754.0,233.0,16656.0,11.0,37.0,16998.0,20894.0,2577.0,13236.0,244.0,3882.0,2417.0,3963.0,10356.0,32.0,23760.0,3669.0,33.0
