,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
4291,15.0,37.0,19.0,9.0,3342.0,11189.0,147.0,5.0,1226.0,22868.0,17.0,56.0,22.0,2.0,95.0,714.0,53.0,6.0,7.0,7851.0,13447.0,215.0,12.0,15605.0,223.0,222.0,136.0,23737.0,13.0,102.0
4340,10.0,8.0,55.0,327.0,66.0,96.0,20770.0,8547.0,37.0,584.0,93.0,109.0,31.0,77.0,16642.0,16942.0,3862.0,81.0,131.0,7825.0,293.0,192.0,237.0,3.0,23.0,30.0,52.0,28.0,102.0,306.0
4389,4.0,0.0,2519.0,8.0,3743.0,102.0,20639.0,360.0,35.0,22760.0,2566.0,633.0,212.0,554.0,382.0,45.0,3991.0,642.0,74.0,59.0,13257.0,15.0,319.0,15374.0,3932.0,1.0,109.0,23771.0,438.0,20.0
4438,58.0,408.0,178.0,3.0,68.0,81.0,20646.0,8576.0,89.0,175.0,3816.0,319.0,311.0,589.0,2049.0,384.0,3819.0,30.0,2569.0,4.0,633.0,1640.0,3814.0,15613.0,1398.0,124.0,13825.0,2582.0,4148.0,80.0
4487,969.0,31.0,47.0,17.0,32.0,728.0,74.0,33.0,378.0,4.0,96.0,603.0,24.0,4998.0,120.0,507.0,11.0,2413.0,20660.0,23.0,13222.0,1230.0,683.0,1067.0,48.0,1683.0,809.0,23722.0,363.0,8.0
4536,1043.0,119.0,0.0,26.0,2631.0,2612.0,87.0,780.0,209.0,19.0,153.0,74.0,2.0,16.0,1349.0,52.0,4048.0,16767.0,783.0,7.0,1250.0,1164.0,5.0,284.0,3841.0,109.0,13875.0,1685.0,263.0,12119.0
4585,19.0,59.0,107.0,3.0,99.0,96.0,0.0,201.0,646.0,27.0,186.0,327.0,12424.0,4826.0,16646.0,225.0,97.0,928.0,43.0,6.0,911.0,181.0,357.0,241.0,110.0,10116.0,13786.0,23762.0,17.0,48.0
4634,10.0,25.0,424.0,6.0,0.0,104.0,1.0,78.0,36.0,22764.0,13.0,517.0,1589.0,5629.0,3.0,5.0,128.0,302.0,26.0,22.0,710.0,580.0,2644.0,236.0,39.0,53.0,1457.0,1292.0,9.0,1348.0
4683,79.0,40.0,979.0,3843.0,76.0,7.0,25.0,8583.0,17.0,1019.0,3852.0,280.0,12474.0,574.0,938.0,16951.0,50.0,75.0,1657.0,7591.0,14.0,16518.0,3851.0,15351.0,82.0,16.0,485.0,23710.0,519.0,847.0
4732,719.0,96.0,1745.0,118.0,5.0,7.0,66.0,8544.0,50.0,24.0,0.0,1430.0,23.0,4874.0,174.0,596.0,130.0,207.0,107.0,322.0,18.0,123.0,421.0,81.0,502.0,10104.0,13825.0,23704.0,19.0,3.0
4781,7.0,11017.0,114.0,4.0,37.0,40.0,268.0,8437.0,10.0,28.0,3999.0,464.0,12.0,359.0,137.0,207.0,19.0,23.0,149.0,30.0,529.0,16542.0,142.0,15367.0,4014.0,477.0,221.0,649.0,535.0,75.0
4830,519.0,13.0,14.0,5.0,3.0,1136.0,12.0,977.0,26.0,316.0,263.0,498.0,12429.0,838.0,45.0,16960.0,65.0,63.0,20657.0,2.0,217.0,1527.0,3939.0,2666.0,89.0,391.0,13792.0,23737.0,1556.0,506.0
4879,29.0,220.0,638.0,224.0,0.0,14.0,11.0,23.0,12639.0,142.0,1805.0,2282.0,306.0,584.0,16678.0,16736.0,2911.0,108.0,189.0,734.0,13482.0,16552.0,90.0,15628.0,8.0,1343.0,13900.0,362.0,1286.0,83.0
