,FAM190A_DEL,ZNF705G_AMP,SGCZ_DEL,SCN3B_DEL,BRAF.V600E_MUT,ADAMTSL3_DEL,FOXN3-AS2_DEL,GRIK4_DEL,GRIN2A_DEL,TMEM230_DEL,GRIN2B_DEL,WDR91_DEL,ABR_DEL,GRIN2D_DEL,ZBTB44_DEL,CCDC113_DEL,ZCCHC4_DEL,STXBP6_DEL,CCDC59_DEL,CHMP4A_DEL,MRPL15_DEL,SETD2_DEL,LINC00339_DEL,THYN1_DEL,MED4_DEL,LINC00652_DEL,NDUFAF4_DEL,TIMM21_DEL,MRPL18_DEL,HIPK2_DEL
34,18.0,15405.0,1.0,14.0,3.0,11382.0,47.0,50.0,52.0,48.0,51.0,56.0,49.0,64.0,71.0,55.0,72.0,60.0,73.0,65.0,62.0,70.0,59.0,63.0,66.0,68.0,67.0,61.0,69.0,53.0
83,7.0,1.0,0.0,39.0,31.0,11374.0,47.0,46.0,66.0,65.0,50.0,49.0,44.0,64.0,61.0,60.0,62.0,116.0,54.0,53.0,51.0,59.0,187.0,52.0,55.0,57.0,56.0,98.0,58.0,48.0
132,3.0,15404.0,31.0,26.0,38.0,11379.0,77.0,97.0,55.0,53.0,54.0,49.0,100.0,51.0,47.0,46.0,56.0,62.0,70.0,68.0,65.0,57.0,61.0,66.0,73.0,59.0,74.0,64.0,67.0,78.0
181,0.0,15403.0,7.0,5.0,34.0,11375.0,50.0,70.0,49.0,51.0,48.0,54.0,105.0,53.0,69.0,56.0,52.0,67.0,62.0,63.0,65.0,57.0,68.0,64.0,61.0,59.0,60.0,66.0,58.0,72.0
230,11.0,15405.0,3113.0,34.0,40.0,11381.0,47.0,48.0,46.0,63.0,55.0,65.0,49.0,83.0,81.0,80.0,64.0,128.0,69.0,68.0,108.0,79.0,127.0,67.0,73.0,76.0,75.0,126.0,78.0,50.0
279,17.0,15404.0,3112.0,9447.0,43.0,41.0,56.0,57.0,54.0,49.0,51.0,59.0,96.0,50.0,63.0,64.0,62.0,66.0,72.0,52.0,70.0,60.0,61.0,71.0,74.0,68.0,69.0,67.0,65.0,76.0
328,30.0,35.0,40.0,27.0,1.0,11379.0,81.0,105.0,82.0,80.0,100.0,59.0,106.0,78.0,55.0,52.0,58.0,72.0,79.0,63.0,76.0,53.0,71.0,77.0,61.0,50.0,49.0,75.0,51.0,107.0
377,1744.0,15406.0,4.0,44.0,20118.0,11376.0,73.0,97.0,94.0,53.0,71.0,51.0,98.0,54.0,49.0,48.0,52.0,64.0,59.0,60.0,62.0,50.0,65.0,61.0,58.0,56.0,57.0,63.0,70.0,99.0
426,6.0,15408.0,3116.0,29.0,2.0,11381.0,49.0,50.0,48.0,54.0,47.0,73.0,52.0,63.0,81.0,64.0,65.0,67.0,82.0,74.0,71.0,79.0,66.0,72.0,75.0,77.0,76.0,68.0,78.0,62.0
475,1760.0,25.0,26.0,3.0,20116.0,11376.0,67.0,83.0,80.0,76.0,77.0,74.0,66.0,75.0,69.0,68.0,70.0,183.0,125.0,199.0,185.0,48.0,182.0,186.0,86.0,49.0,62.0,184.0,72.0,64.0
