,STOMACH,URINARY,OESOPHAGUS,LARGE_INTESTINE,HAEMATOPOIETIC,AERODIGESTIVE,THYROID,SKIN,SOFT_TISSUE,PANCREAS,PROSTATE,BILIARY,SALIVARY,BONE,PLEURA,ENDOMETRIUM,BREAST,KIDNEY,OVARY,GANGLIA,NERVOUS,LIVER,LUNG
43,3.0,4.0,0.0,1.0,5.0,6.0,7.0,13.0,9.0,8.0,2.0,11.0,12.0,16.0,14.0,15.0,10.0,18.0,19.0,20.0,21.0,17.0,22.0
92,0.0,1.0,2.0,3.0,4.0,5.0,13.0,7.0,8.0,6.0,9.0,11.0,12.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
141,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
190,0.0,1.0,7.0,3.0,2.0,5.0,8.0,9.0,4.0,6.0,22.0,10.0,11.0,16.0,15.0,21.0,13.0,18.0,19.0,12.0,20.0,17.0,14.0
239,0.0,11.0,1.0,2.0,4.0,3.0,8.0,6.0,7.0,5.0,9.0,10.0,12.0,14.0,15.0,21.0,16.0,22.0,17.0,19.0,18.0,13.0,20.0
288,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
337,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
386,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
435,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,13.0,14.0,10.0,15.0,16.0,12.0,22.0,18.0,19.0,20.0,17.0,21.0
484,0.0,1.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,6.0,10.0,12.0,13.0,15.0,11.0,22.0,14.0,17.0,18.0,19.0,20.0,16.0,21.0
533,2.0,14.0,3.0,4.0,6.0,5.0,0.0,8.0,9.0,7.0,1.0,11.0,12.0,10.0,13.0,16.0,17.0,18.0,19.0,15.0,20.0,21.0,22.0
582,4.0,5.0,0.0,1.0,6.0,7.0,2.0,8.0,9.0,10.0,3.0,12.0,13.0,11.0,14.0,19.0,20.0,16.0,21.0,15.0,17.0,22.0,18.0
631,5.0,6.0,0.0,1.0,7.0,8.0,2.0,9.0,3.0,10.0,4.0,12.0,13.0,11.0,14.0,19.0,15.0,20.0,21.0,16.0,17.0,22.0,18.0
680,4.0,5.0,0.0,1.0,6.0,7.0,2.0,8.0,9.0,10.0,3.0,12.0,13.0,14.0,11.0,19.0,15.0,20.0,21.0,16.0,22.0,18.0,17.0
729,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,12.0,13.0,11.0,14.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0,16.0
778,4.0,5.0,0.0,1.0,6.0,7.0,2.0,13.0,9.0,8.0,3.0,11.0,12.0,10.0,14.0,16.0,17.0,18.0,19.0,15.0,20.0,21.0,22.0
827,3.0,4.0,0.0,5.0,6.0,7.0,1.0,8.0,9.0,10.0,2.0,12.0,13.0,11.0,14.0,15.0,18.0,19.0,20.0,16.0,21.0,22.0,17.0
876,4.0,5.0,0.0,1.0,6.0,7.0,2.0,8.0,9.0,10.0,3.0,12.0,13.0,11.0,14.0,19.0,15.0,16.0,20.0,17.0,21.0,22.0,18.0
925,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,13.0,14.0,10.0,15.0,12.0,22.0,17.0,18.0,19.0,20.0,16.0,21.0
974,0.0,4.0,1.0,5.0,6.0,7.0,13.0,2.0,9.0,8.0,3.0,11.0,12.0,10.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,15.0
1023,3.0,0.0,4.0,1.0,2.0,5.0,7.0,8.0,6.0,13.0,9.0,11.0,12.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1072,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,12.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1121,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,17.0,18.0,19.0,15.0,20.0,21.0,22.0,16.0
1170,0.0,1.0,2.0,3.0,11.0,4.0,7.0,8.0,5.0,18.0,9.0,10.0,12.0,6.0,15.0,16.0,17.0,14.0,19.0,20.0,21.0,13.0,22.0
1219,4.0,5.0,6.0,7.0,8.0,1.0,2.0,9.0,10.0,3.0,0.0,12.0,13.0,11.0,14.0,15.0,16.0,22.0,17.0,18.0,19.0,20.0,21.0
1268,3.0,0.0,1.0,2.0,6.0,4.0,7.0,8.0,5.0,9.0,22.0,10.0,11.0,21.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,12.0
1317,0.0,5.0,1.0,2.0,3.0,6.0,11.0,13.0,4.0,7.0,8.0,10.0,12.0,9.0,17.0,18.0,19.0,20.0,21.0,14.0,22.0,16.0,15.0
1366,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,17.0,18.0,19.0,20.0,21.0,15.0,22.0,16.0
1415,0.0,1.0,2.0,3.0,4.0,5.0,6.0,14.0,8.0,7.0,9.0,12.0,13.0,15.0,11.0,17.0,10.0,18.0,19.0,20.0,21.0,16.0,22.0
1464,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0,16.0
1513,1.0,2.0,3.0,7.0,4.0,5.0,13.0,8.0,9.0,6.0,0.0,11.0,12.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,22.0,21.0
1562,0.0,1.0,2.0,3.0,4.0,5.0,11.0,7.0,8.0,6.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
1611,0.0,1.0,2.0,3.0,4.0,5.0,13.0,7.0,8.0,6.0,9.0,11.0,12.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
1660,0.0,1.0,8.0,2.0,3.0,4.0,11.0,6.0,7.0,5.0,9.0,10.0,12.0,13.0,22.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0
1709,3.0,7.0,4.0,0.0,5.0,6.0,11.0,1.0,2.0,8.0,9.0,10.0,12.0,15.0,16.0,17.0,13.0,18.0,19.0,20.0,21.0,14.0,22.0
1758,0.0,1.0,2.0,3.0,4.0,5.0,11.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,22.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0
1807,3.0,4.0,5.0,0.0,6.0,7.0,13.0,1.0,2.0,9.0,8.0,11.0,12.0,15.0,10.0,16.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
1856,0.0,1.0,2.0,6.0,3.0,4.0,11.0,12.0,7.0,5.0,8.0,10.0,9.0,13.0,22.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0
1905,0.0,8.0,1.0,2.0,3.0,4.0,11.0,6.0,7.0,5.0,9.0,10.0,12.0,13.0,22.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0
1954,0.0,1.0,2.0,4.0,3.0,6.0,10.0,5.0,8.0,7.0,14.0,9.0,11.0,16.0,15.0,20.0,12.0,17.0,18.0,13.0,19.0,22.0,21.0
2003,5.0,0.0,1.0,3.0,2.0,7.0,8.0,6.0,4.0,11.0,14.0,9.0,10.0,15.0,22.0,20.0,13.0,17.0,18.0,12.0,19.0,16.0,21.0
2052,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2101,0.0,1.0,2.0,3.0,4.0,5.0,7.0,11.0,6.0,18.0,8.0,10.0,9.0,13.0,14.0,17.0,15.0,19.0,16.0,20.0,21.0,12.0,22.0
2150,0.0,3.0,4.0,5.0,6.0,1.0,7.0,2.0,8.0,9.0,11.0,13.0,14.0,10.0,12.0,18.0,19.0,20.0,21.0,15.0,22.0,16.0,17.0
2199,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2248,0.0,1.0,2.0,3.0,4.0,5.0,6.0,13.0,8.0,7.0,9.0,11.0,12.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
2297,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2346,7.0,0.0,1.0,2.0,3.0,8.0,4.0,9.0,5.0,6.0,10.0,12.0,13.0,15.0,14.0,11.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
2395,1.0,2.0,3.0,4.0,5.0,6.0,11.0,8.0,9.0,7.0,0.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,13.0,22.0
2444,0.0,1.0,2.0,3.0,4.0,6.0,7.0,11.0,5.0,8.0,9.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,13.0,22.0
2493,0.0,1.0,2.0,3.0,4.0,5.0,7.0,11.0,6.0,13.0,8.0,10.0,12.0,9.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,14.0,22.0
