,TMC6,RP11-93B14.5,RP11-973F15.1,ETV4,CTSE,CTD-2231H16.1,RP11-114H23.1,RP11-712B9.2,SH3TC2,EML1,KLF3,DBN1,MBP,C15orf59,MYLK,TOR4A,CACNA1G,SAMD11,ENAH,EVPL,FUT4,UBALD2,ETV5-AS1,ETV5,MAGEE1,ALPL,PRPS1,CMTM7,CAPNS2,ACY1
7,42.0,2.0,18368.0,0.0,29.0,1.0,3.0,189.0,12.0,3013.0,5.0,118.0,50.0,49.0,70.0,21.0,34.0,15825.0,28.0,960.0,35.0,11665.0,22.0,14573.0,8.0,36.0,8327.0,25.0,10163.0,270.0
56,3.0,42.0,19.0,4.0,78.0,0.0,16.0,183.0,20555.0,35.0,12.0,140.0,11799.0,17.0,37.0,2.0,36.0,24.0,33.0,11649.0,5.0,11642.0,158.0,253.0,45.0,34.0,428.0,49.0,10137.0,12434.0
105,130.0,1.0,44.0,0.0,122.0,12.0,5260.0,95.0,570.0,62.0,4.0,129.0,70.0,39.0,22.0,3.0,29.0,15816.0,64.0,90.0,34.0,259.0,14585.0,14586.0,6.0,16.0,251.0,276.0,10139.0,249.0
154,0.0,6.0,18124.0,2.0,113.0,5.0,268.0,49.0,87.0,17.0,9.0,21097.0,11696.0,18.0,42.0,4.0,37.0,15821.0,31.0,11639.0,3.0,11633.0,26.0,133.0,39.0,23.0,8303.0,167.0,85.0,51.0
203,3.0,8.0,24.0,2.0,64.0,7.0,5277.0,132.0,11.0,20.0,4.0,479.0,11813.0,37.0,14209.0,10.0,56.0,15814.0,50.0,21.0,118.0,11639.0,161.0,14524.0,7914.0,57.0,8300.0,12130.0,51.0,12381.0
252,0.0,26.0,2.0,6.0,104.0,27.0,7.0,139.0,1.0,70.0,5.0,21094.0,11835.0,41.0,74.0,9.0,34.0,15816.0,72.0,11646.0,87.0,11617.0,189.0,14555.0,18.0,48.0,107.0,382.0,40.0,12445.0
301,58.0,368.0,45.0,4.0,60.0,9.0,35.0,197.0,32.0,79.0,1.0,21099.0,11816.0,903.0,14428.0,0.0,62.0,15817.0,5.0,64.0,63.0,134.0,186.0,934.0,54.0,37.0,217.0,12116.0,118.0,26.0
350,4.0,31.0,2.0,9.0,49.0,189.0,5.0,163.0,21.0,58.0,566.0,21099.0,44.0,20.0,14458.0,35.0,7.0,15804.0,18.0,11653.0,59.0,131.0,14588.0,14589.0,23.0,27.0,522.0,12106.0,76.0,12440.0
399,0.0,12.0,36.0,1.0,75.0,21605.0,5263.0,149.0,23.0,1330.0,37.0,21160.0,57.0,38.0,8.0,102.0,74.0,15825.0,42.0,82.0,77.0,195.0,148.0,399.0,20.0,10.0,8310.0,12133.0,17.0,12471.0
448,0.0,5.0,12.0,1.0,24.0,11.0,5252.0,51.0,31.0,1483.0,60.0,21162.0,11727.0,4.0,53.0,50.0,71.0,173.0,27.0,19.0,4154.0,23.0,14581.0,14582.0,9.0,25.0,8319.0,185.0,116.0,26.0
