,CES1P1_DEL,LCE3C_DEL,ME3_DEL,FFAR3_DEL,SIRPB1_AMP,HLA-H_DEL,FMN2_AMP,GSTTP2_DEL,HLA-DQB1_DEL,LCE3B_DEL,FHIT_DEL,CDH13_DEL,ARSB_DEL,LOC284260_DEL,ZBTB20_AMP,CADM2_DEL,SORD_AMP,PRH1-PRR4_DEL,SORL1_MUT,TP53_MUT,GSTT1_DEL,PCCB_DEL,AMY2A_AMP,LOC391322_DEL,RBFOX1_DEL,GOLPH3_AMP,CDC73_DEL,GSTTP1_AMP,NCOA3_MUT,NRAS_MUT
29,0.0,2.0,8.0,11.0,1.0,78.0,7.0,21.0,16.0,6.0,5.0,3.0,63.0,14.0,17.0,23.0,71.0,66.0,15.0,27.0,60.0,38.0,24.0,61.0,12.0,20.0,10.0,4.0,43.0,70.0
78,0.0,1.0,6.0,17.0,3.0,137.0,15.0,49.0,9.0,2.0,4.0,14.0,76.0,74.0,12.0,35.0,255.0,254.0,25.0,29.0,328.0,5.0,41.0,329.0,327.0,20.0,7.0,11.0,55.0,231.0
127,0.0,1.0,13.0,11.0,15.0,29.0,3.0,7.0,5.0,2.0,4.0,12.0,26.0,14.0,8.0,20.0,91.0,37.0,22.0,16.0,31.0,18.0,41.0,32.0,63.0,21.0,61.0,6.0,59.0,273.0
176,0.0,4.0,46.0,17.0,1.0,7.0,13.0,21.0,14.0,6.0,11.0,45.0,42.0,8.0,3.0,62.0,136.0,69.0,10.0,65.0,26.0,9.0,30.0,25.0,73.0,29.0,5.0,12.0,37.0,144.0
225,2.0,1.0,8.0,16.0,0.0,31.0,5.0,43.0,32.0,3.0,10.0,6.0,25.0,11.0,21.0,40.0,902.0,9628.0,12.0,57.0,149.0,15.0,20.0,150.0,29.0,44.0,55.0,7.0,95.0,753.0
274,0.0,3.0,18.0,10.0,1.0,2.0,5.0,23.0,19.0,8.0,4.0,27.0,59.0,12.0,13.0,98.0,355.0,89.0,14.0,20.0,92.0,43.0,7.0,91.0,15.0,16.0,11.0,17.0,41.0,102.0
323,0.0,1.0,17.0,6.0,8.0,16.0,52.0,14.0,18.0,4.0,36.0,9.0,41.0,10.0,2.0,59.0,60.0,24.0,48.0,138.0,32.0,23.0,27.0,33.0,21.0,19.0,61.0,12.0,58.0,1859.0
372,0.0,2.0,95.0,4.0,7.0,16.0,25.0,30.0,5.0,3.0,12.0,1.0,202.0,8.0,89.0,35.0,127.0,49.0,9.0,94.0,44.0,59.0,21.0,45.0,14.0,10.0,13.0,34.0,139.0,188.0
421,0.0,7.0,2.0,13.0,1.0,134.0,9.0,54.0,4.0,19.0,6.0,43.0,20.0,11.0,12.0,38.0,414.0,131.0,60.0,17.0,119.0,61.0,29.0,118.0,33.0,14.0,15.0,3.0,1631.0,161.0
470,0.0,5.0,3.0,9.0,4.0,397.0,22.0,101.0,8.0,7.0,12.0,81.0,42.0,11.0,52.0,83.0,23.0,5108.0,51.0,2.0,617.0,14.0,18.0,616.0,80.0,44.0,6.0,10.0,47.0,115.0
519,0.0,3.0,1.0,2.0,4.0,19.0,31.0,24.0,14.0,13.0,5.0,184.0,7.0,39.0,17.0,8.0,42.0,146.0,172.0,47.0,32.0,123.0,6.0,33.0,56.0,37.0,9.0,38.0,10.0,18.0
568,0.0,4.0,2.0,3.0,1.0,14.0,39.0,16.0,45.0,18.0,7.0,123.0,11.0,64.0,9.0,8.0,24.0,56.0,175.0,169.0,52.0,249.0,30.0,51.0,6.0,88.0,5.0,31.0,29.0,116.0
617,0.0,2.0,5.0,1.0,3.0,14.0,249.0,6.0,67.0,10.0,25.0,3038.0,7.0,29.0,11.0,4.0,65.0,20.0,143.0,42.0,15.0,73.0,9.0,16.0,246.0,111.0,19.0,109.0,23.0,24.0
666,0.0,59.0,2.0,1.0,29.0,5.0,38.0,9.0,60.0,100.0,21.0,85.0,3.0,7.0,4.0,18.0,41.0,220.0,944.0,166.0,16.0,97.0,6.0,15.0,14.0,68.0,70.0,11.0,45.0,27.0
715,0.0,3.0,1.0,2.0,15.0,20.0,341.0,32.0,28.0,6.0,13.0,149.0,82.0,23.0,78.0,16.0,62.0,219.0,394.0,17.0,10.0,154.0,12.0,11.0,14.0,108.0,5.0,4.0,8.0,48.0
764,3.0,5.0,0.0,2.0,22.0,4.0,4062.0,98.0,11.0,26.0,1.0,9.0,12.0,52.0,114.0,8.0,21.0,41.0,289.0,63.0,231.0,32.0,17.0,230.0,28.0,107.0,27.0,67.0,24.0,42.0
813,0.0,5.0,4.0,1.0,3.0,39.0,200.0,29.0,41.0,11.0,25.0,98.0,7.0,50.0,2.0,36.0,12.0,21.0,124.0,13.0,61.0,139.0,30.0,62.0,10.0,94.0,9.0,96.0,38.0,51.0
862,0.0,3.0,5.0,2.0,1.0,9.0,62.0,20.0,7.0,4.0,8.0,97.0,15.0,113.0,21.0,23.0,43.0,149.0,234.0,6.0,10.0,37.0,12.0,11.0,32.0,79.0,17.0,16.0,34.0,51.0
911,1.0,2.0,3.0,0.0,13.0,20.0,185.0,73.0,28.0,5.0,25.0,97.0,6.0,43.0,30.0,10.0,2101.0,1467.0,121.0,201.0,153.0,99.0,11.0,152.0,16.0,92.0,23.0,15.0,9.0,85.0
960,2.0,22.0,5.0,15.0,4.0,48.0,53.0,64.0,59.0,16.0,54.0,876.0,27.0,24.0,17.0,132.0,13.0,247.0,47.0,0.0,195.0,2091.0,18.0,196.0,14.0,164.0,1.0,32.0,28.0,33.0
