,hsa-miR-34c-5p,hsa-miR-486-3p,hsa-miR-545,hsa-miR-151-3p,hsa-miR-765,hsa-miR-323-5p,hsa-miR-513a-5p,hsa-miR-105,hsa-miR-1307,hsa-miR-483-3p,hsa-miR-587,hsa-miR-576-3p,hsa-miR-589,hsa-miR-582-5p,hsa-miR-583,hsa-miR-581,hsa-miR-584,hsa-miR-582-3p,hsa-miR-580,hsa-miR-577,hsa-miR-579,hsa-miR-576-5p,hsa-miR-578,hsa-miR-586,hsa-miR-588,hsa-miR-591,hsa-miR-574-5p,hsa-miR-573,hsa-miR-590-5p,hsa-miR-590-3p
20,17.0,40.0,4.0,3.0,308.0,29.0,0.0,1.0,28.0,37.0,67.0,26.0,16.0,48.0,49.0,46.0,51.0,47.0,45.0,66.0,44.0,55.0,53.0,56.0,95.0,5.0,59.0,27.0,90.0,92.0
69,32.0,0.0,175.0,8.0,9.0,606.0,23.0,46.0,357.0,26.0,114.0,61.0,20.0,37.0,49.0,54.0,66.0,52.0,55.0,58.0,56.0,60.0,57.0,96.0,99.0,19.0,63.0,35.0,102.0,101.0
118,10.0,4.0,171.0,23.0,316.0,605.0,29.0,3.0,40.0,2.0,55.0,38.0,51.0,45.0,56.0,46.0,60.0,57.0,49.0,53.0,54.0,58.0,52.0,59.0,61.0,27.0,50.0,88.0,47.0,48.0
167,1.0,23.0,13.0,3.0,312.0,608.0,0.0,32.0,358.0,550.0,20.0,58.0,17.0,48.0,50.0,52.0,49.0,51.0,53.0,56.0,54.0,57.0,55.0,61.0,47.0,62.0,59.0,30.0,45.0,46.0
216,16.0,3.0,0.0,13.0,312.0,29.0,42.0,33.0,355.0,41.0,96.0,1.0,94.0,53.0,47.0,50.0,68.0,48.0,67.0,59.0,55.0,60.0,56.0,98.0,95.0,90.0,62.0,64.0,91.0,92.0
265,22.0,552.0,32.0,366.0,19.0,604.0,4.0,430.0,357.0,547.0,53.0,29.0,51.0,57.0,56.0,60.0,66.0,58.0,61.0,55.0,64.0,63.0,65.0,54.0,52.0,67.0,97.0,134.0,45.0,47.0
314,15.0,1.0,160.0,4.0,318.0,28.0,123.0,2.0,353.0,546.0,95.0,59.0,93.0,12.0,99.0,69.0,97.0,85.0,55.0,51.0,50.0,57.0,48.0,96.0,94.0,90.0,61.0,29.0,91.0,92.0
363,22.0,33.0,135.0,29.0,313.0,27.0,7.0,6.0,354.0,14.0,48.0,61.0,65.0,64.0,50.0,51.0,45.0,52.0,54.0,57.0,55.0,59.0,56.0,49.0,53.0,94.0,62.0,63.0,95.0,66.0
412,498.0,42.0,20.0,24.0,315.0,1.0,31.0,430.0,357.0,29.0,99.0,44.0,2.0,22.0,51.0,55.0,50.0,53.0,57.0,5.0,54.0,58.0,60.0,63.0,65.0,86.0,52.0,59.0,85.0,84.0
461,5.0,32.0,13.0,4.0,316.0,1.0,38.0,33.0,26.0,0.0,16.0,55.0,90.0,52.0,66.0,46.0,96.0,45.0,47.0,53.0,49.0,54.0,65.0,68.0,91.0,87.0,57.0,58.0,88.0,89.0
