,FAM21A_DEL,GSTTP1_AMP,SLC25A37_AMP,HLA-DRB1_AMP,MRGPRX1_DEL,HLA-DRB6_AMP,CES1_AMP,ADAM5_DEL,KCNG2_DEL,RBFOX1_DEL,PTCH1_AMP,GOLGA6L10_AMP,LOC390660_AMP,ADAM3A_DEL,LOC100506776_DEL,CES1P1_DEL,CADM2_DEL,KIAA1217_DEL,ASTN1_MUT,HDHD1_DEL,MLL_MUT,BCAS1_AMP,ZNF705G_AMP,UGT2B17_DEL,FMN2_AMP,PBX1_MUT,GSTT1_AMP,LOC391322_AMP,CACNB2_DEL,FBXL7_DEL
30,0.0,4.0,20.0,17.0,2.0,21.0,10.0,12.0,34.0,11.0,1.0,7.0,8.0,18.0,14.0,3.0,27.0,1075.0,31.0,30.0,49.0,33.0,16.0,13.0,28.0,52.0,5.0,6.0,109.0,73.0
79,0.0,13.0,4.0,51.0,7.0,84.0,24.0,17.0,46.0,73.0,6.0,2.0,3.0,16.0,14.0,8.0,18.0,123.0,69.0,23.0,129.0,25.0,45.0,56.0,36.0,21.0,10.0,11.0,117.0,128.0
128,4.0,11.0,10.0,39.0,9.0,61.0,8.0,1.0,20.0,5.0,16.0,23.0,22.0,6.0,26.0,0.0,68.0,3265.0,30.0,156.0,77.0,43.0,18.0,14.0,27.0,25.0,3.0,2.0,64.0,70.0
177,0.0,15.0,4.0,7.0,2.0,17.0,12.0,87.0,19.0,53.0,27.0,8.0,9.0,108.0,44.0,28.0,45.0,375.0,161.0,1.0,128.0,81.0,61.0,23.0,326.0,41.0,370.0,369.0,50.0,14.0
226,9.0,0.0,5.0,20.0,6.0,37.0,31.0,19.0,28.0,21.0,12.0,17.0,18.0,25.0,13.0,8.0,33.0,1791.0,88.0,16.0,34.0,200.0,1.0,2.0,96.0,22.0,4.0,3.0,64.0,231.0
275,3.0,7.0,0.0,24.0,15.0,41.0,5.0,26.0,6.0,44.0,2.0,32.0,33.0,36.0,4.0,1.0,27.0,12339.0,88.0,25.0,865.0,23.0,11.0,10.0,14.0,51.0,13.0,12.0,68.0,198.0
324,2.0,1.0,19.0,14.0,7.0,6.0,53.0,3.0,16.0,71.0,15.0,4.0,5.0,8.0,43.0,0.0,10.0,483.0,118.0,41.0,101.0,32.0,33.0,9.0,100.0,21.0,37.0,36.0,66.0,333.0
373,3.0,16.0,38.0,6.0,15.0,18.0,1.0,41.0,14.0,162.0,2.0,5.0,4.0,65.0,9.0,8.0,24.0,862.0,368.0,43.0,132.0,64.0,37.0,0.0,23.0,12.0,49.0,50.0,206.0,339.0
422,10.0,12.0,7.0,2.0,0.0,8.0,18.0,31.0,34.0,58.0,47.0,5.0,4.0,54.0,56.0,11.0,32.0,71.0,38.0,9.0,53.0,561.0,16.0,1.0,187.0,33.0,27.0,28.0,62.0,72.0
471,1.0,2.0,7.0,8.0,0.0,11.0,18.0,12.0,35.0,9.0,3.0,17.0,16.0,15.0,47.0,5.0,32.0,5498.0,21.0,51.0,27.0,28.0,90.0,10.0,6.0,31.0,41.0,40.0,445.0,36.0
520,6.0,11.0,1.0,2.0,3.0,8.0,4.0,135.0,14.0,7.0,24.0,29.0,28.0,134.0,83.0,35.0,17.0,114.0,12.0,10.0,9.0,71.0,113.0,22.0,25.0,119.0,181.0,179.0,74.0,79.0
569,6.0,15.0,3.0,1.0,7.0,0.0,12.0,17.0,13.0,9.0,32.0,20.0,21.0,25.0,22.0,169.0,4.0,2.0,36.0,11.0,19.0,27.0,38.0,226.0,211.0,35.0,1935.0,1936.0,79.0,10.0
618,2.0,13.0,5.0,0.0,9.0,7.0,1.0,26.0,37.0,6.0,159.0,23.0,22.0,30.0,12.0,29.0,8.0,17.0,36.0,3.0,50.0,58.0,34.0,54.0,27.0,75.0,60.0,59.0,201.0,10.0
667,4.0,2.0,5.0,7.0,0.0,29.0,55.0,32.0,15.0,14.0,12.0,75.0,74.0,43.0,1.0,35.0,28.0,6.0,20.0,39.0,68.0,25.0,104.0,3.0,49.0,40.0,23.0,22.0,27.0,10.0
716,24.0,11.0,0.0,9.0,1.0,26.0,7.0,34.0,8.0,3.0,22.0,18.0,17.0,42.0,10.0,13.0,23.0,326.0,5.0,15.0,38.0,25.0,43.0,30.0,163.0,19.0,45.0,44.0,66.0,71.0
765,8.0,21.0,7.0,1.0,11.0,5.0,6.0,75.0,19.0,10.0,0.0,36.0,35.0,107.0,3.0,30.0,23.0,51.0,25.0,4.0,15.0,29.0,49.0,27.0,45.0,20.0,150.0,149.0,66.0,55.0
814,0.0,6.0,3.0,1.0,12.0,2.0,7.0,25.0,20.0,35.0,11.0,21.0,22.0,36.0,14.0,192.0,15.0,4.0,178.0,50.0,31.0,39.0,139.0,590.0,225.0,13.0,227.0,228.0,30.0,49.0
863,0.0,4.0,3.0,1.0,11.0,27.0,5.0,100.0,24.0,7.0,46.0,21.0,20.0,154.0,2.0,561.0,18.0,43.0,36.0,8.0,9.0,38.0,66.0,10.0,220.0,26.0,130.0,131.0,81.0,17.0
912,3.0,4.0,0.0,2.0,1.0,8.0,32.0,15.0,26.0,11.0,7.0,25.0,24.0,20.0,12.0,42.0,30.0,19.0,9.0,5.0,23.0,142.0,56.0,43.0,27.0,10.0,138.0,137.0,64.0,170.0
961,6.0,5.0,0.0,14.0,8.0,33.0,1.0,46.0,13.0,3.0,19.0,68.0,67.0,66.0,4.0,31.0,28.0,40.0,37.0,12.0,9.0,26.0,913.0,17.0,10.0,22.0,25.0,24.0,92.0,2.0
1010,4.0,3.0,24.0,7.0,26.0,6.0,2.0,0.0,36.0,10.0,13.0,15.0,14.0,1.0,67.0,9.0,47.0,3702.0,42.0,58.0,21.0,17.0,20.0,111.0,19.0,37.0,11.0,12.0,70.0,35.0
