,WWTR1,CLCF1,NTN4,AGAP2,OSMR,UBTD1,CPSF6,CTSL,ADRA1B,HRCT1,KBTBD8,CDC14B,IGFBP6,TWSG1,KRT80,SEC14L2,ITPRIPL1,PLEKHN1,PPIC,ATP9A,BCL9L,SLC25A19,UBL7-AS1,RP11-680F8.3,CXCL16,POU2F1,RP11-537E18.1,LEPREL1,TFAP2A,FSTL3
11,0.0,2.0,5.0,9.0,13.0,4.0,49.0,16.0,29.0,47.0,10.0,11.0,6603.0,33.0,3.0,18.0,1.0,52.0,28.0,39.0,4515.0,38.0,25.0,46.0,40.0,59.0,62.0,15013.0,36.0,51.0
60,0.0,6.0,5.0,2.0,20.0,33.0,22.0,17.0,20963.0,45.0,9.0,23.0,29.0,10.0,34.0,43.0,1.0,41.0,8.0,19.0,52.0,44.0,4231.0,46.0,30.0,96.0,42.0,48.0,7.0,37.0
109,0.0,6.0,1.0,4.0,13.0,21.0,22.0,12.0,38.0,32.0,8.0,10.0,36.0,260.0,9.0,24.0,17021.0,43.0,40.0,15.0,41.0,44.0,25.0,51.0,45.0,67.0,42.0,35.0,20778.0,55.0
158,0.0,2.0,4.0,11.0,21.0,5.0,1.0,13.0,34.0,24.0,15.0,27.0,6385.0,16.0,12.0,36.0,3.0,10.0,9.0,26.0,17.0,49.0,3557.0,37.0,7.0,53.0,63.0,40.0,261.0,25.0
207,0.0,2.0,10.0,3.0,16.0,4.0,22.0,13.0,19.0,1.0,17.0,44.0,6584.0,20.0,12.0,31.0,425.0,52.0,30.0,7551.0,26.0,89.0,24.0,27.0,68.0,43.0,35.0,18.0,20750.0,61.0
256,1.0,4.0,2.0,10.0,36.0,43.0,35.0,18.0,75.0,5.0,31.0,50.0,19.0,14.0,9.0,42.0,0.0,37.0,30.0,28.0,46.0,48.0,47.0,40.0,20.0,68.0,45.0,27.0,15.0,52.0
305,0.0,259.0,8.0,4.0,12.0,41.0,32.0,15.0,33.0,17.0,133.0,37.0,6343.0,28.0,6341.0,26.0,17014.0,68.0,50.0,9.0,4382.0,36.0,3060.0,54.0,48.0,59.0,21.0,594.0,16.0,19.0
354,0.0,1.0,17.0,5.0,8.0,13.0,4.0,3.0,6.0,27.0,22.0,32.0,24.0,21.0,35.0,50.0,20.0,82.0,46.0,26.0,33.0,30.0,60.0,28.0,84.0,47.0,66.0,61.0,20825.0,58.0
403,0.0,17.0,6.0,1.0,10.0,9.0,36.0,20.0,44.0,27.0,59.0,38.0,1748.0,42.0,5248.0,15.0,5.0,33.0,18.0,13.0,51.0,57.0,3.0,26.0,48.0,67.0,15163.0,65.0,427.0,60.0
452,0.0,5.0,1.0,4.0,3.0,15.0,12.0,16.0,24.0,26.0,94.0,9.0,4659.0,10.0,30.0,35.0,16899.0,21.0,7.0,129.0,34.0,79.0,38.0,48.0,29.0,65.0,51.0,49.0,75.0,40.0
501,0.0,5298.0,5.0,4.0,2.0,32.0,40.0,23.0,8.0,12.0,39.0,6.0,19.0,383.0,11.0,37.0,3.0,7.0,46.0,7526.0,48.0,14.0,276.0,3479.0,42.0,60.0,35.0,69.0,374.0,11280.0
550,0.0,74.0,3.0,11.0,13.0,24.0,2.0,22.0,8.0,5.0,48.0,15.0,34.0,50.0,9.0,45.0,7.0,66.0,38.0,7511.0,53.0,14.0,60.0,47.0,68.0,17.0,49.0,62.0,395.0,81.0
599,0.0,24.0,7.0,9.0,19.0,13.0,16.0,23.0,8.0,6.0,40.0,32.0,21.0,42.0,26.0,25.0,10.0,37.0,33.0,245.0,5350.0,51.0,113.0,3.0,74.0,30.0,14.0,11.0,21224.0,34.0
648,0.0,36.0,1.0,10.0,8.0,5.0,42.0,7.0,21.0,3.0,55.0,26.0,24.0,19.0,15.0,9.0,65.0,81.0,45.0,30.0,49.0,35.0,3694.0,4108.0,23.0,40.0,28.0,59.0,34.0,11259.0
697,0.0,31.0,1.0,15.0,12.0,4.0,8.0,5.0,14.0,2.0,43.0,13.0,21.0,12275.0,23.0,36.0,263.0,16078.0,28.0,24.0,7.0,19.0,3622.0,57.0,66.0,27.0,33.0,39.0,10.0,46.0
746,0.0,10.0,6.0,1.0,16.0,23.0,27.0,2.0,18.0,22.0,24.0,31.0,21.0,37.0,9.0,33.0,15.0,41.0,45.0,242.0,47.0,46.0,288.0,3564.0,56.0,57.0,14.0,12.0,129.0,48.0
795,0.0,23.0,2.0,13.0,17.0,20.0,8.0,6.0,16.0,18.0,14.0,36.0,3.0,10659.0,28.0,32.0,15970.0,287.0,25.0,351.0,5563.0,30.0,2872.0,46.0,83.0,15.0,39.0,52.0,268.0,58.0
844,0.0,3.0,1.0,18.0,22.0,21.0,2.0,25.0,10.0,20.0,138.0,28.0,39.0,5.0,16.0,43.0,16908.0,433.0,67.0,9673.0,5351.0,57.0,4346.0,23.0,75.0,27.0,35.0,49.0,14.0,46.0
893,0.0,1.0,3.0,2.0,7.0,16.0,9.0,10.0,5.0,6.0,17.0,46.0,32.0,34.0,43.0,28.0,54.0,16079.0,38.0,204.0,27.0,26.0,4167.0,3985.0,69.0,60.0,48.0,22.0,364.0,42.0
942,0.0,46.0,16.0,4.0,6.0,9.0,8.0,11.0,19.0,7.0,17.0,13.0,33.0,15.0,6242.0,45.0,2.0,23.0,34.0,560.0,28.0,30.0,48.0,26.0,32.0,41.0,12.0,78.0,415.0,51.0
991,0.0,2.0,3.0,5.0,35.0,29.0,1.0,14.0,19.0,17.0,21.0,12.0,15.0,16.0,13.0,25.0,31.0,20.0,10.0,7550.0,9.0,32.0,1964.0,3498.0,24.0,55.0,2290.0,58.0,43.0,18.0
1040,0.0,5.0,3.0,2.0,29.0,41.0,21.0,12.0,16.0,44.0,10.0,45.0,15.0,6.0,4.0,33.0,25.0,11.0,40.0,286.0,26.0,31.0,3709.0,35.0,36.0,47.0,49.0,87.0,28.0,48.0
1089,0.0,4.0,14.0,7.0,22.0,10.0,27.0,8.0,3.0,54.0,17.0,42.0,29.0,16.0,1.0,12.0,5.0,19.0,13.0,7520.0,23.0,56.0,50.0,64.0,51.0,25.0,43.0,30.0,15.0,37.0
1138,0.0,421.0,3.0,1.0,47.0,453.0,26.0,10.0,44.0,18287.0,8.0,17.0,37.0,28.0,11.0,38.0,434.0,35.0,29.0,6.0,13.0,31.0,15.0,3761.0,27.0,77.0,41.0,74.0,20758.0,43.0
1187,0.0,35.0,2.0,6.0,24.0,19811.0,21.0,15.0,26.0,3.0,8.0,34.0,10.0,12.0,9.0,19.0,1.0,14.0,50.0,11.0,27.0,47.0,353.0,3536.0,20.0,58.0,54.0,2305.0,4.0,38.0
1236,0.0,142.0,15.0,2.0,21.0,351.0,8.0,11.0,37.0,41.0,12.0,40.0,13.0,5.0,7.0,10.0,1.0,18.0,28.0,38.0,19.0,67.0,522.0,33.0,17.0,52.0,50.0,14.0,36.0,623.0
1285,0.0,6.0,1.0,3.0,26.0,17.0,20.0,15.0,45.0,75.0,41.0,39.0,21.0,2.0,4.0,33.0,46.0,34.0,50.0,31.0,14.0,63.0,4205.0,4061.0,10.0,89.0,30.0,11.0,12.0,44.0
1334,1.0,3.0,14.0,2.0,16.0,17.0,21.0,9.0,10.0,23.0,20.0,31.0,5766.0,18.0,0.0,12.0,13.0,28.0,42.0,265.0,19.0,45.0,4248.0,3465.0,33.0,27.0,35.0,85.0,170.0,32.0
1383,0.0,3.0,2.0,4.0,44.0,19796.0,24.0,16.0,35.0,29.0,11.0,15.0,23.0,31.0,6.0,14.0,5.0,40.0,32.0,257.0,20.0,18.0,4216.0,3683.0,10.0,37.0,41.0,69.0,30.0,51.0
