,OR51A4_DEL,OR51A2_DEL,ACACB_MUT,DST_MUT,ZBTB20_AMP,HERC2P2_AMP,APOBEC3A_B_DEL,TNK2_MUT,CTNNA2_MUT,ERBB2_AMP,SIRPB1_AMP,JAK2_AMP,DPP6_DEL,APBA1_AMP,NRXN1_DEL,EP300_MUT,CREBBP_MUT,LINC00226_AMP,MIEN1_AMP,GRB7_AMP,MIR4728_AMP,PGAP3_AMP,ZNF705G_AMP,MYEOV_AMP,ADAM12_MUT,HLA-DRB1_AMP,IKZF3_AMP,ARHGEF5_AMP,HLA-DRB6_AMP,GPATCH2_DEL
31,1.0,5.0,7.0,37.0,9.0,0.0,19.0,17.0,10.0,16.0,33.0,36.0,2.0,62.0,126.0,91.0,166.0,167.0,54.0,53.0,58.0,51.0,1323.0,25.0,253.0,3.0,50.0,18.0,8.0,59.0
80,0.0,1.0,6.0,33.0,2.0,4.0,20.0,22.0,25.0,28.0,181.0,74.0,3.0,42.0,80.0,58.0,36.0,1008.0,185.0,186.0,184.0,191.0,2469.0,12.0,96.0,8.0,187.0,9.0,10.0,110.0
129,0.0,2.0,6.0,7.0,8.0,1.0,161.0,41.0,17.0,16.0,13.0,75.0,3.0,249.0,47.0,10.0,237.0,1077.0,92.0,94.0,91.0,96.0,35.0,26.0,137.0,5.0,93.0,98.0,4.0,76.0
178,1.0,3.0,5.0,6.0,4.0,2.0,20.0,13.0,7.0,66.0,27.0,113.0,0.0,234.0,164.0,10.0,40.0,1356.0,114.0,117.0,118.0,116.0,269.0,24.0,45.0,56.0,115.0,11.0,68.0,77.0
227,0.0,1.0,3.0,16.0,6.0,2.0,7.0,19.0,15.0,14.0,120.0,127.0,4.0,183.0,77.0,83.0,216.0,931.0,54.0,52.0,55.0,49.0,1016.0,26.0,953.0,9.0,51.0,5.0,8.0,255.0
276,2.0,1.0,10.0,4.0,17.0,8.0,12.0,18.0,9.0,102.0,14825.0,151.0,0.0,56.0,134.0,58.0,183.0,541.0,147.0,145.0,150.0,146.0,15585.0,16.0,114.0,5.0,148.0,107.0,6.0,42.0
325,0.0,3.0,20.0,53.0,1.0,9.0,13.0,7.0,70.0,14.0,207.0,289.0,2.0,46.0,8692.0,24.0,131.0,241.0,113.0,120.0,114.0,116.0,3299.0,64.0,456.0,43.0,118.0,4.0,32.0,29.0
374,0.0,1.0,7.0,19.0,3.0,2.0,6.0,16.0,8.0,9.0,75.0,126.0,4.0,127.0,244.0,37.0,40.0,60.0,167.0,169.0,170.0,172.0,1290.0,26.0,177.0,57.0,171.0,31.0,27.0,162.0
423,0.0,1.0,4.0,14.0,5.0,2.0,144.0,85.0,11.0,10.0,16.0,64.0,3.0,63.0,15.0,53.0,494.0,196.0,74.0,71.0,72.0,73.0,903.0,67.0,86.0,110.0,77.0,17.0,257.0,68.0
472,0.0,1.0,16.0,21.0,2.0,7.0,18.0,40.0,29.0,55.0,143.0,147.0,4.0,115.0,44.0,99.0,9.0,229.0,178.0,180.0,175.0,181.0,1794.0,10.0,114.0,19.0,179.0,3.0,37.0,87.0
