,YB-1_pS102,Akt_pS473,Acetyl-a-Tubulin (Lys40),PRAS40_pT246,CDK1,Chk2_pT68,Caspase-7_cleavedD198,HER3,FRA1,p62 Lck ligand,IGFBP2,PKC-pan_BetaII_pS660,p21,MAPK_pT202_Y204,JNK2,TFRC,Bim(EP1036),c-Kit,PDK1_pS241,Heregulin,AR,p38_pT180_Y182,Bax,p90RSK_pT573,Notch1,PEA15,PDCD4,p70S6K_pT389,PAI-1,p38_MAPK
496,27.0,0.0,3.0,4.0,20.0,24.0,26.0,143.0,159.0,37.0,142.0,15.0,31.0,32.0,34.0,39.0,7.0,10.0,18.0,40.0,1.0,36.0,44.0,42.0,23.0,53.0,35.0,38.0,54.0,50.0
545,1.0,5.0,40.0,26.0,15.0,119.0,19.0,10.0,6.0,20.0,0.0,7.0,33.0,3.0,8.0,31.0,39.0,34.0,23.0,155.0,38.0,65.0,154.0,21.0,136.0,53.0,22.0,62.0,59.0,18.0
594,1.0,4.0,6.0,5.0,22.0,16.0,124.0,11.0,131.0,21.0,151.0,27.0,32.0,2.0,3.0,8.0,129.0,33.0,23.0,153.0,35.0,63.0,37.0,20.0,10.0,52.0,55.0,60.0,57.0,64.0
643,33.0,37.0,39.0,0.0,9.0,8.0,13.0,15.0,10.0,3.0,11.0,4.0,2.0,146.0,6.0,7.0,163.0,20.0,54.0,153.0,151.0,62.0,110.0,22.0,134.0,53.0,56.0,21.0,58.0,63.0
692,37.0,2.0,38.0,3.0,14.0,13.0,4.0,156.0,103.0,45.0,9.0,23.0,164.0,6.0,8.0,31.0,1.0,35.0,21.0,17.0,44.0,59.0,0.0,19.0,135.0,22.0,20.0,34.0,63.0,52.0
741,2.0,4.0,1.0,0.0,6.0,8.0,12.0,136.0,17.0,20.0,139.0,84.0,22.0,26.0,24.0,5.0,30.0,105.0,29.0,138.0,36.0,42.0,35.0,19.0,27.0,90.0,91.0,41.0,46.0,64.0
790,0.0,1.0,35.0,3.0,7.0,15.0,9.0,23.0,20.0,4.0,5.0,12.0,24.0,8.0,25.0,32.0,104.0,18.0,6.0,138.0,36.0,47.0,97.0,44.0,27.0,29.0,17.0,41.0,46.0,48.0
839,9.0,32.0,4.0,23.0,96.0,129.0,8.0,0.0,5.0,25.0,136.0,26.0,46.0,141.0,139.0,28.0,12.0,14.0,6.0,134.0,2.0,55.0,27.0,52.0,3.0,43.0,15.0,58.0,50.0,53.0
888,14.0,0.0,2.0,40.0,16.0,19.0,3.0,144.0,158.0,43.0,28.0,24.0,50.0,4.0,139.0,38.0,5.0,8.0,10.0,27.0,44.0,57.0,42.0,25.0,84.0,51.0,6.0,54.0,47.0,55.0
937,27.0,8.0,7.0,3.0,1.0,20.0,2.0,134.0,162.0,9.0,137.0,4.0,52.0,19.0,10.0,0.0,102.0,11.0,12.0,135.0,32.0,49.0,94.0,17.0,57.0,76.0,41.0,45.0,46.0,50.0
986,1.0,24.0,7.0,0.0,16.0,17.0,21.0,23.0,15.0,3.0,138.0,78.0,36.0,26.0,33.0,5.0,8.0,101.0,43.0,2.0,34.0,14.0,22.0,50.0,41.0,6.0,46.0,52.0,49.0,45.0
1035,25.0,34.0,0.0,1.0,5.0,19.0,99.0,142.0,4.0,37.0,14.0,9.0,52.0,39.0,40.0,64.0,7.0,12.0,13.0,141.0,3.0,38.0,111.0,51.0,27.0,48.0,47.0,10.0,54.0,41.0
1084,164.0,4.0,0.0,18.0,11.0,131.0,10.0,24.0,162.0,43.0,28.0,87.0,26.0,136.0,138.0,85.0,5.0,102.0,79.0,25.0,36.0,52.0,35.0,1.0,62.0,66.0,53.0,21.0,19.0,55.0
1133,0.0,9.0,11.0,16.0,10.0,15.0,13.0,137.0,19.0,4.0,22.0,84.0,2.0,25.0,1.0,8.0,27.0,102.0,18.0,21.0,35.0,3.0,31.0,41.0,24.0,63.0,5.0,39.0,42.0,45.0
1182,36.0,2.0,6.0,26.0,13.0,10.0,16.0,5.0,9.0,20.0,4.0,25.0,102.0,1.0,151.0,7.0,39.0,21.0,57.0,156.0,67.0,34.0,3.0,35.0,11.0,22.0,59.0,64.0,61.0,85.0
1231,12.0,0.0,28.0,79.0,17.0,149.0,13.0,7.0,20.0,8.0,1.0,2.0,32.0,26.0,33.0,42.0,4.0,100.0,47.0,6.0,38.0,3.0,109.0,11.0,45.0,44.0,46.0,9.0,51.0,48.0
1280,0.0,6.0,118.0,17.0,1.0,18.0,125.0,5.0,22.0,2.0,7.0,19.0,24.0,8.0,139.0,4.0,10.0,102.0,62.0,26.0,108.0,25.0,35.0,44.0,15.0,86.0,75.0,37.0,47.0,43.0
1329,2.0,0.0,127.0,83.0,110.0,149.0,12.0,24.0,18.0,21.0,1.0,17.0,55.0,27.0,5.0,7.0,102.0,103.0,63.0,25.0,4.0,23.0,6.0,42.0,59.0,8.0,49.0,20.0,41.0,48.0
1378,0.0,48.0,7.0,4.0,1.0,2.0,14.0,10.0,133.0,17.0,6.0,21.0,11.0,9.0,163.0,3.0,38.0,129.0,19.0,154.0,40.0,31.0,34.0,60.0,8.0,55.0,57.0,62.0,59.0,16.0
1427,3.0,1.0,2.0,11.0,4.0,16.0,13.0,151.0,17.0,5.0,0.0,39.0,61.0,20.0,144.0,10.0,7.0,24.0,62.0,150.0,143.0,29.0,115.0,26.0,98.0,6.0,50.0,55.0,52.0,58.0
1476,37.0,2.0,0.0,24.0,16.0,12.0,21.0,10.0,18.0,20.0,3.0,44.0,6.0,15.0,14.0,33.0,125.0,38.0,23.0,157.0,103.0,67.0,155.0,1.0,137.0,58.0,61.0,22.0,63.0,71.0
1525,164.0,2.0,1.0,60.0,5.0,19.0,23.0,8.0,20.0,38.0,3.0,33.0,6.0,145.0,34.0,7.0,9.0,15.0,46.0,24.0,35.0,57.0,110.0,54.0,44.0,0.0,50.0,56.0,53.0,37.0
1574,9.0,4.0,3.0,7.0,30.0,11.0,13.0,19.0,28.0,17.0,21.0,81.0,1.0,27.0,25.0,2.0,29.0,14.0,88.0,8.0,124.0,39.0,93.0,45.0,22.0,87.0,89.0,42.0,49.0,38.0
1623,2.0,29.0,9.0,25.0,38.0,12.0,1.0,14.0,7.0,5.0,4.0,90.0,3.0,0.0,19.0,34.0,103.0,15.0,43.0,136.0,124.0,46.0,22.0,6.0,57.0,28.0,39.0,47.0,42.0,50.0
1672,2.0,30.0,8.0,10.0,9.0,5.0,127.0,3.0,15.0,20.0,1.0,12.0,0.0,33.0,32.0,36.0,26.0,21.0,40.0,135.0,118.0,51.0,27.0,17.0,34.0,50.0,43.0,47.0,55.0,24.0
1721,0.0,34.0,3.0,10.0,12.0,13.0,9.0,26.0,22.0,47.0,28.0,6.0,7.0,140.0,145.0,35.0,109.0,1.0,20.0,27.0,126.0,53.0,4.0,43.0,60.0,19.0,41.0,46.0,50.0,54.0
1770,2.0,31.0,1.0,7.0,9.0,15.0,8.0,0.0,160.0,48.0,22.0,90.0,5.0,4.0,138.0,29.0,20.0,108.0,41.0,133.0,122.0,51.0,110.0,18.0,3.0,40.0,44.0,47.0,57.0,21.0
1819,32.0,2.0,6.0,18.0,1.0,15.0,4.0,26.0,22.0,25.0,0.0,87.0,3.0,27.0,139.0,37.0,31.0,103.0,63.0,134.0,125.0,62.0,95.0,24.0,58.0,21.0,46.0,42.0,44.0,51.0
1868,2.0,38.0,4.0,1.0,29.0,12.0,10.0,20.0,147.0,18.0,23.0,15.0,3.0,26.0,24.0,5.0,6.0,7.0,89.0,21.0,125.0,51.0,39.0,44.0,63.0,88.0,90.0,47.0,56.0,19.0
1917,164.0,28.0,1.0,10.0,148.0,11.0,14.0,7.0,6.0,16.0,3.0,75.0,8.0,141.0,139.0,4.0,106.0,102.0,42.0,135.0,123.0,49.0,92.0,45.0,44.0,12.0,40.0,47.0,22.0,50.0
1966,0.0,31.0,6.0,2.0,3.0,4.0,10.0,18.0,1.0,24.0,150.0,48.0,23.0,21.0,147.0,8.0,7.0,125.0,5.0,152.0,37.0,60.0,116.0,55.0,100.0,49.0,52.0,57.0,54.0,61.0
2015,0.0,11.0,30.0,7.0,128.0,151.0,8.0,18.0,147.0,5.0,1.0,89.0,46.0,3.0,16.0,13.0,9.0,103.0,6.0,135.0,29.0,4.0,2.0,36.0,50.0,58.0,33.0,38.0,35.0,42.0
2064,0.0,39.0,35.0,2.0,129.0,12.0,107.0,4.0,3.0,22.0,7.0,17.0,21.0,14.0,25.0,33.0,102.0,103.0,20.0,26.0,34.0,24.0,111.0,52.0,50.0,5.0,45.0,63.0,49.0,58.0
2113,0.0,5.0,38.0,24.0,3.0,4.0,127.0,156.0,12.0,2.0,153.0,48.0,20.0,8.0,9.0,31.0,128.0,132.0,23.0,155.0,39.0,21.0,160.0,59.0,136.0,53.0,22.0,61.0,58.0,19.0
2162,0.0,30.0,8.0,6.0,3.0,5.0,14.0,10.0,162.0,7.0,21.0,22.0,57.0,16.0,19.0,35.0,23.0,99.0,50.0,136.0,4.0,18.0,107.0,38.0,61.0,92.0,44.0,40.0,48.0,25.0
2211,0.0,4.0,33.0,2.0,6.0,3.0,16.0,11.0,162.0,1.0,144.0,87.0,57.0,29.0,141.0,28.0,26.0,106.0,43.0,8.0,41.0,17.0,96.0,46.0,58.0,23.0,47.0,59.0,45.0,53.0
2260,7.0,5.0,46.0,6.0,120.0,10.0,9.0,15.0,2.0,25.0,151.0,42.0,132.0,20.0,17.0,12.0,34.0,129.0,54.0,153.0,38.0,63.0,159.0,59.0,32.0,28.0,27.0,61.0,58.0,1.0
2309,0.0,2.0,7.0,10.0,3.0,11.0,119.0,21.0,18.0,6.0,23.0,8.0,55.0,4.0,139.0,35.0,1.0,99.0,16.0,136.0,38.0,62.0,36.0,43.0,60.0,15.0,46.0,47.0,44.0,51.0
2358,0.0,38.0,4.0,46.0,12.0,118.0,1.0,13.0,116.0,3.0,15.0,48.0,22.0,18.0,17.0,8.0,132.0,129.0,55.0,155.0,2.0,6.0,153.0,27.0,31.0,52.0,57.0,61.0,59.0,23.0
2407,0.0,39.0,34.0,4.0,148.0,13.0,128.0,21.0,17.0,5.0,22.0,8.0,20.0,25.0,24.0,29.0,1.0,104.0,7.0,144.0,30.0,19.0,94.0,63.0,53.0,15.0,88.0,41.0,89.0,43.0
2456,2.0,32.0,5.0,81.0,30.0,17.0,109.0,6.0,146.0,4.0,1.0,83.0,8.0,139.0,25.0,31.0,103.0,10.0,7.0,28.0,36.0,46.0,95.0,40.0,56.0,22.0,61.0,42.0,39.0,60.0
2505,0.0,1.0,29.0,21.0,3.0,130.0,14.0,7.0,161.0,27.0,40.0,23.0,2.0,32.0,35.0,4.0,109.0,10.0,18.0,135.0,36.0,54.0,96.0,56.0,48.0,44.0,52.0,57.0,55.0,39.0
2554,12.0,5.0,30.0,7.0,9.0,11.0,17.0,1.0,159.0,8.0,6.0,89.0,0.0,141.0,139.0,32.0,19.0,4.0,21.0,134.0,33.0,22.0,95.0,47.0,24.0,41.0,44.0,50.0,46.0,56.0
2603,0.0,27.0,4.0,6.0,22.0,17.0,110.0,3.0,18.0,47.0,1.0,15.0,41.0,28.0,29.0,5.0,103.0,2.0,8.0,135.0,35.0,39.0,96.0,52.0,40.0,44.0,48.0,46.0,51.0,53.0
2652,1.0,0.0,4.0,78.0,6.0,5.0,98.0,17.0,161.0,21.0,31.0,75.0,32.0,139.0,35.0,36.0,11.0,7.0,56.0,18.0,2.0,38.0,19.0,50.0,26.0,43.0,47.0,45.0,49.0,37.0
2701,34.0,40.0,98.0,22.0,14.0,13.0,125.0,8.0,11.0,20.0,0.0,50.0,17.0,3.0,6.0,2.0,35.0,130.0,57.0,153.0,37.0,66.0,154.0,61.0,137.0,54.0,59.0,63.0,21.0,19.0
2750,1.0,0.0,5.0,91.0,22.0,21.0,97.0,9.0,17.0,18.0,136.0,76.0,33.0,40.0,30.0,6.0,103.0,4.0,23.0,134.0,36.0,57.0,24.0,52.0,43.0,44.0,49.0,55.0,51.0,54.0
2799,164.0,0.0,6.0,8.0,11.0,10.0,96.0,136.0,18.0,3.0,24.0,1.0,5.0,25.0,141.0,39.0,102.0,14.0,65.0,23.0,40.0,22.0,109.0,43.0,57.0,16.0,45.0,20.0,42.0,64.0
2848,10.0,3.0,5.0,8.0,14.0,4.0,1.0,133.0,161.0,25.0,26.0,7.0,29.0,139.0,145.0,2.0,100.0,19.0,21.0,24.0,0.0,27.0,107.0,53.0,45.0,33.0,48.0,23.0,52.0,61.0
2897,164.0,0.0,4.0,26.0,18.0,149.0,14.0,37.0,16.0,35.0,1.0,28.0,3.0,34.0,138.0,31.0,100.0,11.0,12.0,142.0,113.0,50.0,39.0,49.0,40.0,52.0,55.0,53.0,58.0,47.0
2946,1.0,35.0,0.0,3.0,149.0,16.0,15.0,6.0,30.0,5.0,8.0,19.0,18.0,9.0,26.0,37.0,11.0,2.0,64.0,10.0,112.0,29.0,106.0,43.0,60.0,21.0,39.0,45.0,42.0,50.0
2995,0.0,35.0,32.0,21.0,9.0,17.0,13.0,8.0,14.0,46.0,2.0,1.0,37.0,33.0,139.0,34.0,11.0,6.0,54.0,36.0,112.0,42.0,96.0,53.0,48.0,16.0,23.0,49.0,40.0,45.0
3044,1.0,10.0,11.0,78.0,148.0,20.0,23.0,0.0,136.0,7.0,19.0,5.0,14.0,12.0,140.0,9.0,102.0,2.0,88.0,18.0,29.0,36.0,31.0,16.0,52.0,87.0,89.0,40.0,46.0,35.0
3093,1.0,6.0,120.0,0.0,148.0,5.0,20.0,37.0,145.0,10.0,4.0,15.0,3.0,30.0,141.0,31.0,105.0,14.0,44.0,2.0,110.0,19.0,98.0,16.0,49.0,45.0,40.0,52.0,47.0,48.0
3142,0.0,33.0,34.0,8.0,146.0,20.0,5.0,30.0,12.0,18.0,136.0,38.0,29.0,27.0,139.0,3.0,17.0,6.0,45.0,1.0,36.0,9.0,21.0,49.0,25.0,10.0,43.0,52.0,40.0,39.0
3191,6.0,3.0,5.0,50.0,10.0,2.0,11.0,14.0,17.0,23.0,9.0,26.0,132.0,0.0,147.0,1.0,34.0,32.0,54.0,15.0,37.0,22.0,35.0,59.0,135.0,67.0,56.0,61.0,58.0,64.0
3240,1.0,3.0,127.0,5.0,119.0,149.0,17.0,31.0,21.0,26.0,2.0,18.0,47.0,0.0,36.0,4.0,9.0,13.0,51.0,39.0,37.0,57.0,27.0,11.0,6.0,48.0,20.0,53.0,56.0,58.0
3289,0.0,11.0,14.0,7.0,129.0,150.0,8.0,15.0,18.0,4.0,2.0,16.0,54.0,1.0,140.0,13.0,23.0,10.0,39.0,3.0,111.0,22.0,28.0,19.0,32.0,17.0,41.0,44.0,43.0,53.0
3338,0.0,26.0,9.0,10.0,110.0,149.0,1.0,5.0,17.0,24.0,2.0,55.0,39.0,22.0,140.0,3.0,21.0,19.0,12.0,6.0,7.0,28.0,32.0,25.0,34.0,36.0,18.0,52.0,50.0,49.0
3387,1.0,0.0,33.0,29.0,16.0,130.0,2.0,4.0,162.0,3.0,9.0,20.0,26.0,27.0,28.0,46.0,99.0,10.0,79.0,5.0,112.0,8.0,106.0,40.0,7.0,6.0,24.0,43.0,44.0,53.0
3436,1.0,37.0,9.0,4.0,8.0,22.0,10.0,20.0,3.0,15.0,23.0,36.0,25.0,33.0,27.0,39.0,17.0,105.0,26.0,135.0,31.0,2.0,0.0,11.0,52.0,40.0,42.0,13.0,45.0,48.0
3485,16.0,0.0,37.0,18.0,120.0,11.0,8.0,3.0,2.0,23.0,24.0,90.0,56.0,136.0,7.0,88.0,104.0,102.0,44.0,22.0,33.0,25.0,5.0,21.0,29.0,48.0,39.0,46.0,41.0,26.0
3534,18.0,3.0,0.0,2.0,29.0,8.0,14.0,11.0,5.0,22.0,23.0,7.0,9.0,25.0,24.0,64.0,21.0,104.0,4.0,135.0,36.0,46.0,33.0,41.0,26.0,28.0,62.0,39.0,42.0,61.0
3583,17.0,33.0,2.0,11.0,29.0,148.0,15.0,1.0,147.0,28.0,4.0,12.0,23.0,7.0,24.0,34.0,0.0,104.0,10.0,21.0,32.0,3.0,6.0,27.0,26.0,90.0,40.0,47.0,42.0,19.0
3632,1.0,3.0,6.0,0.0,10.0,14.0,7.0,34.0,11.0,54.0,29.0,24.0,27.0,139.0,8.0,63.0,109.0,103.0,46.0,32.0,35.0,50.0,23.0,20.0,41.0,38.0,51.0,56.0,52.0,49.0
3681,24.0,0.0,31.0,6.0,21.0,151.0,18.0,5.0,4.0,46.0,35.0,7.0,34.0,32.0,1.0,63.0,100.0,13.0,15.0,33.0,37.0,9.0,17.0,53.0,8.0,42.0,47.0,10.0,52.0,50.0
3730,0.0,34.0,37.0,6.0,31.0,10.0,8.0,4.0,18.0,2.0,9.0,12.0,7.0,27.0,25.0,44.0,102.0,104.0,29.0,23.0,5.0,46.0,33.0,43.0,28.0,16.0,65.0,42.0,63.0,47.0
3779,1.0,0.0,11.0,4.0,31.0,18.0,109.0,27.0,9.0,28.0,138.0,5.0,26.0,16.0,10.0,40.0,103.0,105.0,23.0,137.0,110.0,12.0,3.0,41.0,22.0,89.0,90.0,43.0,37.0,47.0
3828,2.0,9.0,33.0,31.0,10.0,1.0,106.0,18.0,0.0,11.0,135.0,89.0,23.0,139.0,25.0,62.0,16.0,108.0,27.0,133.0,28.0,51.0,24.0,56.0,46.0,29.0,40.0,54.0,42.0,57.0
3877,164.0,0.0,7.0,77.0,129.0,13.0,107.0,4.0,148.0,57.0,8.0,21.0,51.0,140.0,30.0,34.0,6.0,109.0,41.0,22.0,36.0,12.0,11.0,46.0,54.0,20.0,43.0,48.0,45.0,29.0
3926,1.0,0.0,4.0,20.0,16.0,2.0,13.0,29.0,3.0,25.0,138.0,90.0,32.0,140.0,30.0,70.0,8.0,103.0,43.0,41.0,36.0,48.0,101.0,10.0,28.0,47.0,14.0,55.0,51.0,54.0
3975,1.0,2.0,36.0,82.0,30.0,10.0,109.0,4.0,28.0,0.0,5.0,17.0,52.0,8.0,25.0,33.0,29.0,14.0,16.0,23.0,118.0,21.0,32.0,19.0,26.0,63.0,11.0,18.0,39.0,61.0
4024,17.0,1.0,2.0,82.0,30.0,0.0,12.0,21.0,162.0,4.0,8.0,16.0,50.0,26.0,25.0,33.0,29.0,14.0,28.0,22.0,34.0,43.0,32.0,39.0,56.0,76.0,36.0,41.0,38.0,20.0
4073,2.0,1.0,0.0,76.0,129.0,4.0,106.0,144.0,17.0,7.0,36.0,20.0,9.0,27.0,29.0,33.0,6.0,21.0,45.0,8.0,125.0,53.0,93.0,50.0,35.0,44.0,46.0,13.0,18.0,51.0
4122,0.0,2.0,4.0,12.0,129.0,6.0,109.0,25.0,19.0,7.0,137.0,81.0,51.0,140.0,9.0,46.0,102.0,104.0,18.0,8.0,111.0,24.0,33.0,38.0,27.0,88.0,90.0,22.0,44.0,45.0
4171,2.0,29.0,0.0,58.0,19.0,37.0,22.0,8.0,148.0,11.0,36.0,7.0,52.0,13.0,27.0,33.0,103.0,4.0,55.0,26.0,35.0,15.0,95.0,44.0,53.0,23.0,20.0,47.0,46.0,49.0
4220,2.0,5.0,38.0,8.0,9.0,16.0,12.0,138.0,162.0,0.0,24.0,40.0,35.0,1.0,25.0,28.0,4.0,14.0,22.0,13.0,36.0,55.0,20.0,15.0,27.0,44.0,47.0,51.0,49.0,3.0
4269,0.0,6.0,7.0,80.0,8.0,16.0,12.0,26.0,162.0,2.0,144.0,3.0,27.0,30.0,1.0,50.0,102.0,33.0,21.0,135.0,125.0,48.0,95.0,24.0,59.0,66.0,22.0,44.0,41.0,49.0
4318,1.0,9.0,7.0,26.0,15.0,19.0,104.0,36.0,160.0,25.0,138.0,2.0,6.0,5.0,8.0,31.0,0.0,13.0,23.0,135.0,4.0,37.0,27.0,10.0,3.0,55.0,47.0,53.0,49.0,51.0
4367,5.0,31.0,38.0,1.0,106.0,16.0,11.0,134.0,160.0,22.0,23.0,17.0,6.0,140.0,8.0,78.0,98.0,9.0,2.0,4.0,37.0,50.0,32.0,48.0,25.0,64.0,44.0,40.0,42.0,52.0
4416,0.0,1.0,6.0,50.0,2.0,11.0,12.0,8.0,131.0,5.0,4.0,41.0,99.0,7.0,15.0,28.0,32.0,13.0,53.0,153.0,35.0,22.0,109.0,23.0,20.0,51.0,55.0,60.0,57.0,3.0
4465,0.0,2.0,6.0,78.0,5.0,1.0,107.0,27.0,20.0,3.0,135.0,59.0,40.0,140.0,33.0,7.0,12.0,13.0,56.0,32.0,31.0,48.0,97.0,54.0,38.0,18.0,51.0,55.0,53.0,30.0
4514,9.0,7.0,8.0,16.0,6.0,17.0,101.0,18.0,0.0,21.0,135.0,76.0,4.0,140.0,145.0,71.0,107.0,105.0,25.0,133.0,127.0,26.0,31.0,45.0,57.0,43.0,46.0,50.0,48.0,3.0
4563,2.0,123.0,41.0,10.0,1.0,7.0,9.0,0.0,17.0,22.0,25.0,11.0,28.0,5.0,139.0,37.0,35.0,33.0,32.0,23.0,3.0,24.0,4.0,46.0,62.0,16.0,63.0,21.0,45.0,26.0
4612,1.0,5.0,8.0,21.0,0.0,2.0,97.0,9.0,161.0,47.0,140.0,22.0,10.0,28.0,11.0,3.0,102.0,25.0,49.0,27.0,127.0,51.0,37.0,44.0,61.0,63.0,41.0,46.0,43.0,7.0
4661,0.0,31.0,116.0,6.0,2.0,7.0,37.0,20.0,27.0,18.0,21.0,24.0,49.0,139.0,33.0,4.0,17.0,101.0,38.0,137.0,35.0,47.0,11.0,43.0,52.0,8.0,40.0,45.0,56.0,15.0
4710,1.0,124.0,6.0,10.0,2.0,0.0,110.0,7.0,162.0,20.0,24.0,85.0,3.0,140.0,145.0,5.0,29.0,104.0,78.0,22.0,37.0,4.0,96.0,44.0,59.0,28.0,47.0,48.0,45.0,25.0
4759,0.0,31.0,5.0,74.0,1.0,18.0,108.0,7.0,8.0,2.0,24.0,33.0,48.0,145.0,32.0,38.0,11.0,21.0,14.0,22.0,126.0,36.0,96.0,50.0,26.0,46.0,53.0,49.0,39.0,34.0
4808,0.0,33.0,5.0,23.0,4.0,22.0,119.0,7.0,1.0,25.0,136.0,37.0,31.0,3.0,2.0,26.0,13.0,99.0,40.0,35.0,125.0,42.0,108.0,48.0,43.0,18.0,53.0,45.0,49.0,51.0
4857,35.0,3.0,38.0,24.0,1.0,4.0,125.0,0.0,10.0,63.0,16.0,5.0,20.0,147.0,163.0,30.0,130.0,2.0,68.0,15.0,154.0,22.0,39.0,60.0,135.0,55.0,57.0,62.0,59.0,21.0
