,YB-1_pS102,Akt_pS473,Acetyl-a-Tubulin (Lys40),PRAS40_pT246,CDK1,Chk2_pT68,Caspase-7_cleavedD198,HER3,FRA1,p62 Lck ligand,IGFBP2,PKC-pan_BetaII_pS660,p21,MAPK_pT202_Y204,JNK2,TFRC,Bim(EP1036),c-Kit,PDK1_pS241,Heregulin,AR,p38_pT180_Y182,Bax,p90RSK_pT573,Notch1,PEA15,PDCD4,p70S6K_pT389,PAI-1,p38_MAPK
6,1.0,38.0,10.0,3.0,2.0,150.0,11.0,4.0,8.0,19.0,25.0,92.0,21.0,6.0,32.0,34.0,101.0,99.0,42.0,5.0,28.0,49.0,108.0,18.0,54.0,43.0,55.0,48.0,46.0,27.0
55,0.0,6.0,127.0,24.0,11.0,15.0,12.0,22.0,148.0,2.0,1.0,20.0,8.0,10.0,31.0,61.0,109.0,7.0,14.0,135.0,3.0,25.0,13.0,49.0,30.0,41.0,44.0,17.0,48.0,51.0
104,17.0,38.0,33.0,14.0,4.0,3.0,106.0,25.0,161.0,24.0,9.0,6.0,8.0,139.0,7.0,86.0,19.0,103.0,21.0,134.0,1.0,5.0,101.0,49.0,46.0,54.0,23.0,51.0,48.0,57.0
153,0.0,1.0,37.0,26.0,118.0,9.0,122.0,154.0,11.0,31.0,151.0,47.0,20.0,145.0,16.0,12.0,100.0,127.0,55.0,153.0,35.0,65.0,40.0,59.0,30.0,23.0,56.0,61.0,58.0,66.0
202,0.0,33.0,36.0,1.0,2.0,3.0,19.0,15.0,12.0,7.0,152.0,45.0,4.0,30.0,148.0,28.0,67.0,31.0,21.0,10.0,8.0,62.0,5.0,57.0,134.0,22.0,54.0,59.0,56.0,63.0
251,0.0,10.0,26.0,20.0,17.0,19.0,110.0,27.0,7.0,4.0,3.0,25.0,1.0,2.0,31.0,5.0,109.0,105.0,45.0,136.0,34.0,11.0,95.0,14.0,38.0,54.0,47.0,51.0,49.0,44.0
300,0.0,2.0,6.0,25.0,7.0,14.0,124.0,12.0,9.0,62.0,3.0,47.0,5.0,146.0,148.0,79.0,38.0,32.0,24.0,15.0,10.0,22.0,37.0,59.0,19.0,53.0,23.0,61.0,58.0,21.0
349,29.0,5.0,7.0,19.0,8.0,4.0,2.0,135.0,0.0,6.0,138.0,20.0,9.0,14.0,10.0,41.0,108.0,104.0,90.0,137.0,33.0,45.0,36.0,24.0,26.0,64.0,44.0,25.0,42.0,27.0
398,164.0,6.0,32.0,28.0,14.0,20.0,97.0,7.0,41.0,22.0,0.0,11.0,30.0,137.0,1.0,37.0,3.0,2.0,19.0,5.0,113.0,51.0,8.0,47.0,12.0,4.0,44.0,49.0,46.0,40.0
447,0.0,35.0,32.0,2.0,4.0,3.0,14.0,136.0,22.0,23.0,7.0,41.0,8.0,5.0,1.0,61.0,102.0,104.0,45.0,138.0,28.0,25.0,95.0,10.0,34.0,17.0,46.0,54.0,48.0,52.0
