, TLR, VEGF, H2O2, JAK-STAT, TGFB, IL-1, MAPK_only, TNFa, MAPK_PI3K, PI3K_only, Wnt
3323,0.0,7.0,3.0,1.0,4.0,2.0,9.0,10.0,8.0,5.0,6.0
3372,0.0,4.0,5.0,3.0,2.0,9.0,6.0,10.0,1.0,7.0,8.0
3421,0.0,2.0,1.0,3.0,9.0,4.0,8.0,6.0,7.0,5.0,10.0
3470,0.0,5.0,1.0,7.0,6.0,9.0,3.0,4.0,10.0,2.0,8.0
3519,1.0,0.0,3.0,7.0,5.0,4.0,2.0,9.0,10.0,6.0,8.0
3568,2.0,0.0,5.0,4.0,1.0,3.0,6.0,7.0,9.0,8.0,10.0
3617,1.0,9.0,7.0,4.0,0.0,2.0,5.0,8.0,10.0,3.0,6.0
3666,1.0,0.0,3.0,8.0,6.0,10.0,9.0,7.0,4.0,2.0,5.0
3715,0.0,2.0,4.0,3.0,1.0,10.0,7.0,6.0,9.0,8.0,5.0
3764,0.0,1.0,2.0,4.0,9.0,6.0,7.0,8.0,3.0,10.0,5.0
3813,0.0,4.0,3.0,5.0,1.0,8.0,2.0,9.0,6.0,7.0,10.0
3862,0.0,4.0,6.0,5.0,3.0,9.0,7.0,8.0,1.0,2.0,10.0
3911,7.0,1.0,2.0,4.0,0.0,8.0,3.0,6.0,9.0,5.0,10.0
3960,1.0,2.0,8.0,0.0,3.0,7.0,5.0,4.0,6.0,10.0,9.0
4009,0.0,1.0,9.0,2.0,5.0,4.0,3.0,6.0,8.0,7.0,10.0
4058,2.0,0.0,1.0,4.0,7.0,6.0,3.0,5.0,9.0,8.0,10.0
4107,0.0,1.0,3.0,2.0,7.0,4.0,6.0,5.0,9.0,8.0,10.0
4156,0.0,2.0,5.0,4.0,1.0,7.0,3.0,6.0,9.0,8.0,10.0
4205,5.0,1.0,3.0,0.0,2.0,9.0,4.0,7.0,8.0,6.0,10.0
4254,0.0,3.0,5.0,1.0,8.0,10.0,2.0,6.0,4.0,7.0,9.0
4303,0.0,1.0,2.0,5.0,3.0,6.0,4.0,7.0,8.0,10.0,9.0
4352,0.0,2.0,7.0,1.0,8.0,9.0,5.0,3.0,6.0,10.0,4.0
4401,0.0,2.0,6.0,3.0,1.0,8.0,4.0,5.0,7.0,9.0,10.0
4450,2.0,1.0,0.0,4.0,3.0,5.0,7.0,9.0,6.0,10.0,8.0
4499,0.0,7.0,6.0,2.0,3.0,1.0,10.0,4.0,8.0,9.0,5.0
4548,0.0,5.0,1.0,4.0,2.0,3.0,9.0,8.0,10.0,7.0,6.0
4597,1.0,5.0,3.0,4.0,0.0,2.0,7.0,6.0,9.0,10.0,8.0
4646,1.0,5.0,2.0,3.0,0.0,6.0,8.0,7.0,9.0,4.0,10.0
4695,0.0,4.0,1.0,2.0,7.0,6.0,10.0,3.0,9.0,8.0,5.0
4744,1.0,6.0,2.0,7.0,0.0,4.0,10.0,3.0,5.0,9.0,8.0
4793,2.0,3.0,5.0,0.0,4.0,1.0,6.0,10.0,8.0,9.0,7.0
4842,1.0,3.0,5.0,0.0,2.0,4.0,6.0,9.0,8.0,10.0,7.0
4891,2.0,3.0,5.0,0.0,1.0,6.0,4.0,7.0,10.0,9.0,8.0
