,hsa-miR-223,hsa-miR-103,hsa-miR-181c,hsa-miR-15b,hsa-miR-608,hsa-miR-584,hsa-miR-339-5p,hsa-miR-27b,hsa-miR-137,hsa-miR-1827,hsa-miR-155,hsa-miR-494,hsa-miR-630,hsa-miR-187,hsa-miR-296-3p,hsa-miR-105,hsa-miR-192,hsa-miR-2276,hsa-miR-1204,hsa-miR-338-5p,hsa-miR-448,hsa-miR-143,hsa-miR-592,hsa-miR-548q,hsa-miR-588,hsa-miR-564,hsa-miR-34a,hsa-miR-590-5p,hsa-miR-301b,hsa-miR-1226
18,7.0,4.0,0.0,153.0,6.0,17.0,273.0,10.0,15.0,8.0,42.0,463.0,316.0,204.0,432.0,27.0,63.0,21.0,207.0,208.0,46.0,198.0,13.0,163.0,228.0,44.0,22.0,233.0,18.0,394.0
67,4.0,7.0,0.0,22.0,5.0,21.0,59.0,88.0,11.0,18.0,121.0,23.0,334.0,54.0,390.0,345.0,17.0,1.0,87.0,157.0,73.0,56.0,155.0,26.0,166.0,203.0,127.0,261.0,311.0,141.0
116,0.0,41.0,294.0,3.0,19.0,53.0,2.0,15.0,55.0,5.0,118.0,100.0,6.0,324.0,102.0,31.0,47.0,93.0,11.0,67.0,12.0,171.0,87.0,77.0,38.0,540.0,270.0,71.0,24.0,575.0
165,31.0,16.0,1.0,7.0,2.0,8.0,95.0,0.0,13.0,62.0,73.0,20.0,511.0,38.0,55.0,252.0,126.0,286.0,121.0,494.0,19.0,14.0,18.0,42.0,94.0,337.0,443.0,238.0,39.0,76.0
214,0.0,4.0,8.0,7.0,1.0,99.0,49.0,9.0,171.0,10.0,21.0,522.0,61.0,166.0,114.0,15.0,12.0,150.0,104.0,13.0,52.0,226.0,33.0,119.0,36.0,152.0,445.0,269.0,58.0,113.0
263,2.0,0.0,5.0,45.0,251.0,9.0,167.0,1.0,4.0,3.0,132.0,270.0,77.0,15.0,159.0,39.0,38.0,36.0,158.0,285.0,52.0,57.0,67.0,477.0,41.0,478.0,528.0,89.0,49.0,69.0
312,21.0,0.0,14.0,433.0,2.0,7.0,399.0,102.0,17.0,34.0,207.0,439.0,351.0,28.0,29.0,3.0,73.0,24.0,43.0,99.0,23.0,62.0,148.0,59.0,188.0,263.0,210.0,19.0,120.0,327.0
361,0.0,2.0,6.0,40.0,5.0,1.0,3.0,8.0,13.0,9.0,11.0,138.0,56.0,143.0,165.0,171.0,106.0,35.0,541.0,16.0,100.0,72.0,149.0,267.0,34.0,117.0,123.0,315.0,20.0,485.0
410,2.0,7.0,13.0,52.0,10.0,9.0,6.0,25.0,58.0,274.0,141.0,152.0,352.0,14.0,91.0,30.0,17.0,40.0,238.0,28.0,18.0,41.0,35.0,123.0,95.0,558.0,462.0,145.0,48.0,120.0
459,0.0,7.0,12.0,15.0,2.0,10.0,30.0,3.0,85.0,36.0,44.0,502.0,78.0,11.0,152.0,343.0,32.0,466.0,8.0,51.0,79.0,233.0,215.0,24.0,112.0,282.0,4.0,146.0,225.0,376.0
508,94.0,67.0,6.0,3.0,431.0,26.0,95.0,38.0,34.0,163.0,8.0,35.0,213.0,132.0,362.0,63.0,12.0,68.0,467.0,49.0,2.0,282.0,1.0,39.0,167.0,0.0,4.0,5.0,104.0,18.0
557,34.0,87.0,93.0,2.0,18.0,1.0,14.0,17.0,4.0,231.0,122.0,48.0,379.0,108.0,419.0,60.0,0.0,206.0,91.0,31.0,120.0,5.0,92.0,496.0,560.0,65.0,137.0,43.0,208.0,22.0
606,8.0,12.0,62.0,5.0,80.0,22.0,44.0,9.0,0.0,1.0,38.0,3.0,159.0,45.0,147.0,92.0,23.0,146.0,590.0,10.0,337.0,257.0,214.0,155.0,347.0,78.0,195.0,11.0,30.0,589.0
655,0.0,70.0,6.0,11.0,4.0,42.0,3.0,33.0,170.0,125.0,9.0,15.0,105.0,52.0,55.0,420.0,8.0,25.0,254.0,35.0,79.0,592.0,327.0,14.0,234.0,29.0,286.0,5.0,76.0,63.0
704,115.0,3.0,69.0,2.0,6.0,0.0,14.0,45.0,11.0,47.0,70.0,59.0,353.0,334.0,22.0,162.0,129.0,274.0,28.0,1.0,13.0,549.0,24.0,64.0,124.0,5.0,92.0,76.0,8.0,281.0
753,1.0,6.0,15.0,0.0,9.0,7.0,22.0,29.0,60.0,149.0,8.0,372.0,64.0,25.0,357.0,27.0,110.0,69.0,366.0,4.0,175.0,10.0,154.0,98.0,87.0,363.0,434.0,74.0,168.0,105.0
802,26.0,1.0,198.0,0.0,36.0,5.0,10.0,462.0,7.0,12.0,30.0,32.0,59.0,78.0,116.0,114.0,39.0,18.0,402.0,4.0,167.0,231.0,34.0,531.0,479.0,307.0,240.0,100.0,66.0,178.0
851,16.0,4.0,324.0,13.0,325.0,25.0,8.0,0.0,145.0,79.0,11.0,42.0,35.0,17.0,15.0,101.0,366.0,426.0,64.0,1.0,107.0,41.0,106.0,262.0,348.0,32.0,37.0,9.0,76.0,148.0
900,71.0,1.0,22.0,0.0,34.0,50.0,4.0,289.0,5.0,85.0,39.0,507.0,31.0,40.0,8.0,32.0,2.0,112.0,57.0,30.0,192.0,28.0,204.0,246.0,6.0,151.0,331.0,3.0,81.0,454.0
949,7.0,141.0,13.0,0.0,82.0,4.0,1.0,12.0,122.0,15.0,76.0,9.0,74.0,5.0,43.0,257.0,3.0,345.0,95.0,6.0,21.0,26.0,14.0,245.0,87.0,86.0,75.0,11.0,115.0,145.0
998,1.0,150.0,116.0,168.0,47.0,2.0,26.0,81.0,15.0,20.0,77.0,428.0,14.0,139.0,13.0,36.0,167.0,345.0,6.0,9.0,70.0,21.0,87.0,94.0,3.0,290.0,362.0,371.0,301.0,377.0
1047,21.0,14.0,48.0,41.0,7.0,16.0,5.0,460.0,235.0,30.0,521.0,125.0,24.0,174.0,4.0,1.0,139.0,3.0,421.0,215.0,193.0,613.0,25.0,2.0,10.0,20.0,76.0,22.0,114.0,37.0
1096,2.0,9.0,4.0,45.0,80.0,0.0,18.0,75.0,7.0,367.0,21.0,445.0,155.0,120.0,34.0,142.0,617.0,3.0,89.0,250.0,5.0,423.0,81.0,31.0,39.0,260.0,104.0,50.0,101.0,94.0
1145,0.0,9.0,63.0,33.0,1.0,5.0,28.0,3.0,217.0,144.0,23.0,570.0,2.0,34.0,500.0,134.0,6.0,7.0,225.0,78.0,95.0,91.0,129.0,175.0,61.0,39.0,357.0,471.0,69.0,45.0
1194,7.0,61.0,5.0,41.0,13.0,25.0,0.0,85.0,199.0,438.0,97.0,234.0,36.0,494.0,12.0,122.0,412.0,8.0,42.0,188.0,23.0,93.0,19.0,47.0,3.0,43.0,90.0,215.0,362.0,89.0
1243,1.0,12.0,0.0,5.0,49.0,41.0,133.0,324.0,391.0,32.0,283.0,15.0,402.0,8.0,82.0,76.0,237.0,50.0,27.0,182.0,63.0,98.0,95.0,108.0,420.0,287.0,392.0,20.0,217.0,294.0
1292,5.0,25.0,2.0,4.0,32.0,1.0,0.0,9.0,12.0,151.0,319.0,596.0,30.0,86.0,21.0,227.0,365.0,189.0,71.0,261.0,73.0,417.0,324.0,225.0,56.0,68.0,345.0,121.0,28.0,299.0
1341,12.0,100.0,139.0,59.0,108.0,0.0,6.0,117.0,13.0,35.0,27.0,473.0,7.0,105.0,565.0,111.0,148.0,3.0,168.0,291.0,11.0,239.0,77.0,19.0,14.0,479.0,232.0,253.0,182.0,518.0
1390,2.0,0.0,38.0,51.0,14.0,62.0,69.0,3.0,11.0,134.0,8.0,395.0,30.0,445.0,83.0,4.0,40.0,22.0,45.0,23.0,5.0,575.0,60.0,49.0,158.0,138.0,113.0,111.0,144.0,65.0
1439,13.0,253.0,140.0,26.0,289.0,2.0,4.0,50.0,1.0,330.0,189.0,80.0,94.0,29.0,141.0,83.0,574.0,174.0,118.0,41.0,188.0,54.0,199.0,572.0,7.0,467.0,181.0,37.0,477.0,416.0
1488,103.0,31.0,1.0,25.0,0.0,63.0,92.0,3.0,99.0,6.0,18.0,11.0,57.0,19.0,7.0,2.0,26.0,13.0,206.0,86.0,552.0,175.0,424.0,5.0,15.0,79.0,237.0,127.0,98.0,163.0
1537,97.0,149.0,0.0,54.0,13.0,18.0,1.0,36.0,2.0,173.0,5.0,12.0,25.0,21.0,3.0,9.0,11.0,505.0,76.0,573.0,38.0,66.0,601.0,19.0,420.0,142.0,98.0,126.0,41.0,4.0
1586,47.0,10.0,0.0,9.0,59.0,74.0,23.0,1.0,101.0,40.0,139.0,254.0,20.0,3.0,31.0,15.0,4.0,21.0,8.0,163.0,22.0,187.0,73.0,362.0,132.0,84.0,340.0,29.0,106.0,275.0
1635,17.0,88.0,11.0,3.0,2.0,5.0,9.0,1.0,62.0,60.0,151.0,273.0,268.0,25.0,52.0,4.0,0.0,255.0,7.0,234.0,184.0,528.0,82.0,58.0,79.0,254.0,12.0,22.0,587.0,72.0
1684,59.0,19.0,1.0,186.0,56.0,16.0,316.0,0.0,7.0,85.0,63.0,36.0,341.0,106.0,9.0,17.0,3.0,171.0,90.0,540.0,278.0,71.0,44.0,49.0,22.0,88.0,321.0,99.0,230.0,261.0
1733,3.0,399.0,47.0,113.0,18.0,4.0,13.0,27.0,8.0,86.0,41.0,118.0,183.0,33.0,22.0,170.0,1.0,46.0,71.0,110.0,58.0,213.0,202.0,0.0,580.0,127.0,540.0,90.0,479.0,28.0
1782,23.0,22.0,0.0,124.0,7.0,40.0,43.0,1.0,157.0,34.0,21.0,47.0,44.0,14.0,11.0,2.0,5.0,26.0,3.0,138.0,95.0,15.0,86.0,46.0,63.0,504.0,17.0,333.0,31.0,12.0
1831,58.0,148.0,5.0,7.0,23.0,227.0,16.0,13.0,9.0,8.0,10.0,2.0,271.0,12.0,63.0,1.0,0.0,77.0,198.0,72.0,164.0,118.0,64.0,127.0,514.0,66.0,211.0,406.0,47.0,51.0
1880,38.0,254.0,7.0,4.0,191.0,296.0,8.0,2.0,43.0,59.0,12.0,17.0,47.0,24.0,294.0,1.0,0.0,66.0,269.0,195.0,453.0,305.0,56.0,258.0,198.0,477.0,5.0,288.0,173.0,99.0
1929,12.0,241.0,2.0,1.0,25.0,13.0,134.0,0.0,7.0,36.0,16.0,60.0,189.0,110.0,318.0,32.0,41.0,333.0,84.0,47.0,27.0,180.0,22.0,17.0,5.0,351.0,38.0,187.0,259.0,123.0
1978,1.0,7.0,15.0,4.0,9.0,49.0,267.0,81.0,16.0,6.0,217.0,36.0,23.0,88.0,73.0,30.0,19.0,24.0,17.0,196.0,339.0,282.0,212.0,195.0,289.0,80.0,117.0,224.0,14.0,506.0
2027,33.0,10.0,181.0,7.0,0.0,28.0,454.0,6.0,409.0,29.0,25.0,16.0,14.0,137.0,342.0,17.0,347.0,113.0,3.0,8.0,186.0,82.0,130.0,99.0,59.0,12.0,617.0,339.0,4.0,21.0
2076,1.0,3.0,72.0,30.0,36.0,5.0,19.0,2.0,457.0,25.0,0.0,9.0,95.0,556.0,220.0,167.0,316.0,21.0,4.0,278.0,160.0,293.0,193.0,83.0,59.0,44.0,432.0,150.0,13.0,544.0
2125,90.0,6.0,17.0,2.0,1.0,38.0,30.0,25.0,416.0,26.0,0.0,34.0,133.0,31.0,231.0,445.0,390.0,122.0,313.0,9.0,100.0,81.0,98.0,465.0,454.0,104.0,11.0,15.0,10.0,185.0
2174,19.0,2.0,1.0,5.0,22.0,231.0,160.0,236.0,83.0,230.0,486.0,43.0,8.0,192.0,154.0,11.0,211.0,81.0,12.0,64.0,4.0,135.0,45.0,326.0,353.0,57.0,3.0,199.0,183.0,59.0
2223,29.0,7.0,31.0,0.0,44.0,155.0,358.0,5.0,367.0,20.0,39.0,171.0,10.0,4.0,56.0,9.0,11.0,122.0,65.0,147.0,71.0,391.0,93.0,108.0,48.0,116.0,197.0,176.0,165.0,54.0
2272,2.0,99.0,13.0,51.0,4.0,30.0,595.0,0.0,17.0,169.0,81.0,45.0,67.0,33.0,24.0,1.0,3.0,16.0,42.0,43.0,19.0,48.0,37.0,8.0,34.0,68.0,26.0,87.0,160.0,129.0
2321,2.0,59.0,174.0,14.0,21.0,130.0,11.0,45.0,539.0,3.0,301.0,279.0,212.0,32.0,47.0,16.0,247.0,57.0,4.0,13.0,12.0,295.0,113.0,30.0,15.0,43.0,62.0,33.0,48.0,573.0
2370,0.0,9.0,61.0,12.0,32.0,153.0,293.0,179.0,27.0,2.0,51.0,23.0,25.0,94.0,606.0,3.0,77.0,1.0,18.0,4.0,64.0,255.0,13.0,103.0,482.0,7.0,57.0,36.0,30.0,39.0
2419,1.0,0.0,18.0,64.0,3.0,21.0,15.0,26.0,356.0,238.0,61.0,438.0,29.0,10.0,6.0,27.0,79.0,292.0,5.0,49.0,35.0,132.0,203.0,14.0,188.0,78.0,269.0,579.0,167.0,60.0
2468,0.0,3.0,102.0,146.0,6.0,361.0,2.0,1.0,37.0,8.0,11.0,182.0,68.0,12.0,5.0,382.0,118.0,13.0,403.0,22.0,44.0,133.0,427.0,51.0,9.0,57.0,89.0,284.0,96.0,7.0
2517,1.0,10.0,238.0,6.0,15.0,8.0,28.0,4.0,309.0,3.0,0.0,31.0,45.0,70.0,13.0,103.0,61.0,35.0,9.0,14.0,99.0,32.0,7.0,2.0,37.0,53.0,72.0,272.0,74.0,12.0
2566,2.0,66.0,136.0,18.0,41.0,10.0,5.0,4.0,92.0,7.0,49.0,90.0,14.0,1.0,22.0,234.0,77.0,69.0,273.0,0.0,17.0,33.0,8.0,249.0,76.0,68.0,24.0,131.0,468.0,11.0
2615,2.0,5.0,335.0,0.0,20.0,79.0,64.0,7.0,428.0,11.0,30.0,238.0,69.0,47.0,174.0,95.0,18.0,19.0,34.0,6.0,65.0,381.0,32.0,12.0,436.0,102.0,112.0,266.0,92.0,59.0
2664,5.0,3.0,248.0,0.0,11.0,2.0,138.0,21.0,105.0,33.0,20.0,202.0,198.0,51.0,38.0,98.0,478.0,527.0,342.0,386.0,22.0,13.0,28.0,102.0,15.0,49.0,8.0,163.0,58.0,372.0
2713,0.0,4.0,507.0,78.0,37.0,1.0,12.0,128.0,511.0,40.0,13.0,2.0,5.0,447.0,71.0,54.0,174.0,94.0,33.0,41.0,29.0,28.0,64.0,14.0,7.0,65.0,106.0,20.0,17.0,76.0
2762,2.0,134.0,42.0,0.0,120.0,31.0,192.0,9.0,7.0,23.0,41.0,8.0,1.0,224.0,30.0,5.0,69.0,28.0,109.0,75.0,22.0,39.0,4.0,17.0,11.0,44.0,34.0,20.0,425.0,57.0
2811,4.0,0.0,351.0,18.0,11.0,19.0,51.0,31.0,315.0,16.0,3.0,29.0,48.0,596.0,60.0,85.0,327.0,9.0,40.0,151.0,401.0,316.0,73.0,5.0,121.0,193.0,301.0,137.0,148.0,1.0
2860,8.0,29.0,572.0,135.0,38.0,42.0,0.0,32.0,28.0,26.0,11.0,45.0,30.0,430.0,6.0,126.0,206.0,283.0,14.0,13.0,21.0,24.0,3.0,243.0,92.0,1.0,50.0,19.0,33.0,17.0
2909,7.0,15.0,62.0,4.0,42.0,5.0,6.0,2.0,8.0,16.0,9.0,29.0,307.0,308.0,1.0,187.0,612.0,123.0,243.0,0.0,278.0,590.0,92.0,20.0,166.0,34.0,49.0,453.0,48.0,151.0
2958,129.0,12.0,14.0,72.0,0.0,42.0,512.0,130.0,219.0,1.0,262.0,95.0,139.0,154.0,39.0,175.0,22.0,4.0,24.0,18.0,7.0,11.0,85.0,571.0,271.0,215.0,224.0,2.0,10.0,30.0
3007,2.0,43.0,0.0,32.0,154.0,4.0,41.0,409.0,54.0,15.0,159.0,296.0,352.0,139.0,6.0,33.0,72.0,67.0,48.0,192.0,31.0,111.0,206.0,134.0,40.0,122.0,34.0,47.0,235.0,233.0
3056,23.0,2.0,0.0,6.0,5.0,29.0,34.0,55.0,86.0,28.0,61.0,43.0,19.0,31.0,41.0,87.0,91.0,18.0,170.0,360.0,7.0,168.0,212.0,204.0,17.0,221.0,37.0,93.0,4.0,466.0
3105,53.0,11.0,22.0,0.0,6.0,42.0,3.0,47.0,184.0,5.0,472.0,19.0,46.0,54.0,202.0,17.0,37.0,1.0,287.0,105.0,10.0,125.0,276.0,18.0,166.0,29.0,319.0,2.0,204.0,40.0
3154,13.0,16.0,0.0,41.0,9.0,15.0,84.0,73.0,4.0,217.0,54.0,25.0,140.0,276.0,67.0,32.0,424.0,29.0,49.0,7.0,74.0,77.0,183.0,21.0,12.0,191.0,28.0,10.0,178.0,59.0
3203,11.0,0.0,27.0,29.0,1.0,244.0,12.0,365.0,73.0,3.0,612.0,32.0,46.0,23.0,9.0,17.0,167.0,13.0,19.0,154.0,118.0,66.0,44.0,402.0,63.0,50.0,158.0,16.0,5.0,169.0
