,Annexin 1,SHP-2_pY542,Shc_pY317,Transglutaminase,p38_pT180_Y182,Rb_pS807_S811,RSK1-2-3,FoxM1,EGFR,Src,TAZ,Caveolin-1,P-Cadherin,Porin,HER2_pY1248,Syk,C-Raf_pS338,AMPK_pT172,Bad_pS112,EGFR_pY1068,Rb,Bcl-2,TSC1,CD31,Annexin_VII,p53,NF2,Rad50,Gab2,VHL
3,1.0,3.0,5.0,16.0,0.0,22.0,2.0,13.0,8.0,12.0,4.0,14.0,10.0,21.0,19.0,35.0,18.0,25.0,28.0,24.0,31.0,33.0,6.0,100.0,20.0,39.0,9.0,73.0,122.0,26.0
52,1.0,3.0,2.0,23.0,14.0,58.0,7.0,36.0,9.0,0.0,6.0,20.0,5.0,10.0,27.0,17.0,11.0,34.0,12.0,18.0,35.0,4.0,24.0,19.0,38.0,8.0,28.0,32.0,118.0,31.0
101,2.0,4.0,5.0,3.0,9.0,15.0,0.0,16.0,10.0,7.0,1.0,18.0,8.0,6.0,14.0,19.0,36.0,34.0,11.0,27.0,33.0,21.0,24.0,25.0,28.0,30.0,32.0,62.0,26.0,52.0
150,5.0,4.0,8.0,6.0,13.0,16.0,0.0,11.0,9.0,1.0,3.0,14.0,2.0,24.0,26.0,28.0,12.0,19.0,23.0,37.0,7.0,25.0,35.0,22.0,99.0,15.0,32.0,62.0,123.0,27.0
199,0.0,3.0,2.0,6.0,9.0,16.0,4.0,13.0,10.0,1.0,5.0,98.0,14.0,27.0,12.0,11.0,30.0,7.0,39.0,20.0,24.0,26.0,21.0,28.0,38.0,19.0,18.0,36.0,17.0,15.0
248,3.0,7.0,5.0,16.0,8.0,31.0,1.0,4.0,2.0,6.0,0.0,22.0,13.0,17.0,9.0,15.0,30.0,20.0,18.0,12.0,19.0,10.0,21.0,88.0,28.0,14.0,55.0,32.0,35.0,27.0
297,4.0,3.0,2.0,5.0,13.0,6.0,1.0,7.0,10.0,0.0,14.0,16.0,8.0,24.0,17.0,23.0,19.0,29.0,9.0,21.0,12.0,18.0,22.0,90.0,31.0,20.0,11.0,30.0,114.0,55.0
346,1.0,14.0,2.0,3.0,9.0,32.0,0.0,16.0,4.0,11.0,10.0,5.0,19.0,6.0,13.0,15.0,28.0,89.0,17.0,25.0,18.0,29.0,34.0,26.0,22.0,8.0,27.0,37.0,122.0,24.0
395,0.0,2.0,7.0,8.0,4.0,29.0,1.0,6.0,3.0,12.0,5.0,27.0,19.0,20.0,14.0,32.0,35.0,28.0,34.0,15.0,10.0,13.0,30.0,33.0,83.0,36.0,22.0,9.0,18.0,52.0
444,3.0,2.0,4.0,9.0,7.0,13.0,0.0,6.0,1.0,5.0,16.0,29.0,19.0,37.0,14.0,17.0,8.0,38.0,11.0,15.0,18.0,27.0,40.0,89.0,22.0,12.0,10.0,24.0,34.0,32.0
493,22.0,4.0,3.0,0.0,1.0,10.0,23.0,8.0,2.0,14.0,9.0,33.0,7.0,11.0,25.0,12.0,6.0,15.0,5.0,17.0,69.0,28.0,59.0,18.0,27.0,21.0,20.0,29.0,19.0,54.0
542,5.0,2.0,6.0,9.0,3.0,8.0,1.0,16.0,19.0,18.0,11.0,26.0,0.0,4.0,36.0,27.0,12.0,15.0,35.0,25.0,72.0,37.0,33.0,10.0,17.0,7.0,13.0,22.0,122.0,29.0
591,6.0,1.0,5.0,8.0,9.0,21.0,19.0,14.0,7.0,3.0,10.0,22.0,2.0,0.0,105.0,15.0,11.0,27.0,4.0,29.0,42.0,17.0,33.0,88.0,20.0,12.0,28.0,13.0,117.0,16.0
640,9.0,1.0,2.0,4.0,3.0,7.0,16.0,21.0,10.0,8.0,17.0,31.0,5.0,0.0,112.0,19.0,90.0,100.0,18.0,37.0,25.0,38.0,32.0,27.0,118.0,11.0,13.0,24.0,106.0,6.0
689,15.0,3.0,2.0,0.0,6.0,11.0,5.0,14.0,4.0,17.0,7.0,26.0,1.0,13.0,18.0,40.0,8.0,24.0,33.0,22.0,31.0,12.0,68.0,16.0,39.0,9.0,42.0,21.0,29.0,10.0
738,6.0,5.0,3.0,4.0,0.0,8.0,10.0,32.0,26.0,17.0,14.0,28.0,1.0,2.0,9.0,7.0,25.0,93.0,16.0,13.0,15.0,29.0,59.0,88.0,30.0,12.0,19.0,72.0,37.0,20.0
787,20.0,17.0,8.0,2.0,0.0,6.0,11.0,28.0,3.0,10.0,4.0,27.0,5.0,1.0,32.0,21.0,22.0,43.0,13.0,25.0,15.0,7.0,41.0,102.0,26.0,14.0,23.0,9.0,34.0,18.0
836,8.0,5.0,2.0,0.0,6.0,3.0,12.0,10.0,17.0,7.0,15.0,36.0,1.0,4.0,16.0,19.0,31.0,88.0,14.0,11.0,85.0,20.0,24.0,110.0,34.0,13.0,9.0,33.0,29.0,18.0
885,5.0,9.0,14.0,0.0,2.0,15.0,19.0,11.0,21.0,10.0,33.0,39.0,4.0,1.0,20.0,3.0,8.0,86.0,103.0,35.0,79.0,18.0,75.0,23.0,87.0,13.0,17.0,34.0,26.0,32.0
934,4.0,1.0,7.0,5.0,0.0,3.0,17.0,8.0,12.0,10.0,15.0,19.0,2.0,11.0,32.0,18.0,14.0,105.0,31.0,40.0,28.0,9.0,23.0,41.0,13.0,35.0,16.0,36.0,20.0,6.0
983,0.0,6.0,8.0,2.0,1.0,3.0,30.0,12.0,28.0,18.0,7.0,11.0,4.0,24.0,13.0,10.0,5.0,9.0,16.0,15.0,27.0,23.0,33.0,14.0,26.0,22.0,41.0,67.0,36.0,53.0
1032,3.0,5.0,4.0,0.0,2.0,13.0,73.0,6.0,24.0,15.0,16.0,9.0,17.0,10.0,18.0,1.0,26.0,14.0,7.0,38.0,75.0,39.0,32.0,20.0,25.0,34.0,49.0,12.0,128.0,22.0
1081,2.0,8.0,1.0,0.0,7.0,6.0,21.0,11.0,40.0,4.0,5.0,20.0,3.0,35.0,24.0,10.0,26.0,12.0,9.0,33.0,41.0,31.0,47.0,42.0,27.0,38.0,51.0,25.0,18.0,15.0
1130,1.0,3.0,8.0,0.0,2.0,29.0,26.0,7.0,12.0,40.0,21.0,15.0,9.0,27.0,5.0,18.0,30.0,14.0,4.0,6.0,73.0,10.0,28.0,17.0,36.0,33.0,53.0,75.0,25.0,16.0
1179,1.0,2.0,10.0,4.0,0.0,5.0,75.0,3.0,90.0,13.0,16.0,20.0,7.0,21.0,9.0,22.0,17.0,6.0,33.0,27.0,40.0,24.0,32.0,11.0,12.0,23.0,48.0,39.0,29.0,25.0
1228,4.0,5.0,11.0,1.0,3.0,7.0,28.0,29.0,27.0,2.0,42.0,9.0,0.0,40.0,12.0,13.0,6.0,17.0,8.0,19.0,66.0,14.0,50.0,31.0,25.0,46.0,54.0,68.0,37.0,26.0
