,ZBTB20_AMP,CDC73_AMP,GSTTP1_AMP,NAALADL2_DEL,PCCB_DEL,SORD_AMP,BTNL3_DEL,GALNTL6_DEL,NRXN1_DEL,CES1P1_DEL,KIR2DL4_AMP,ARHGAP22_DEL,MRGPRX1_DEL,BCAS1_AMP,XKR6_AMP,LRRK1_MUT,UBE2Q2P3_AMP,UBE2Q2P2_AMP,LPA_AMP,GOLGA6L9_AMP,KRT16P2_AMP,CADM2_DEL,RPS17_AMP,KIR3DL1_AMP,RPS17L_AMP,NRG3_DEL,BTNL8_DEL,DEFA1_AMP,DEFA1B_AMP,ADAM3A_AMP
29,0.0,6.0,3.0,34.0,60.0,16.0,94.0,734.0,24.0,171.0,32.0,21.0,19.0,20.0,26.0,7.0,11.0,12.0,381.0,15.0,105.0,30.0,14.0,52.0,13.0,35.0,1243.0,50.0,51.0,29.0
78,0.0,3.0,1.0,27.0,46.0,35.0,309.0,214.0,16.0,6.0,8.0,11.0,31.0,13.0,36.0,12.0,21.0,20.0,5.0,24.0,122.0,67.0,25.0,22.0,23.0,32.0,13650.0,88.0,85.0,83.0
127,0.0,1.0,2.0,21.0,27.0,9.0,94.0,61.0,26.0,91.0,172.0,3.0,54.0,11.0,15.0,10.0,14.0,13.0,5.0,16.0,30.0,73.0,18.0,104.0,17.0,34.0,453.0,49.0,50.0,159.0
176,0.0,3.0,1.0,6.0,32.0,5.0,28.0,331.0,26.0,89.0,9.0,27.0,2.0,18.0,23.0,7.0,39.0,40.0,34.0,41.0,110.0,8.0,38.0,17.0,42.0,15.0,473.0,24.0,25.0,84.0
225,0.0,4.0,1.0,19.0,70.0,20.0,63.0,5.0,22.0,160.0,14.0,13.0,12.0,6.0,45.0,11.0,27.0,25.0,42.0,28.0,115.0,49.0,29.0,41.0,26.0,15.0,1520.0,24.0,23.0,114.0
274,0.0,1.0,5.0,32.0,17.0,15.0,133.0,215.0,20.0,187.0,4.0,11.0,6.0,9.0,56.0,7.0,22.0,21.0,236.0,24.0,183.0,124.0,25.0,8.0,23.0,33.0,14332.0,166.0,167.0,28.0
323,0.0,29.0,11.0,4.0,18.0,15.0,63.0,17.0,48.0,3828.0,25.0,1.0,13.0,54.0,1548.0,28.0,6.0,7.0,56.0,8.0,52.0,60.0,10.0,44.0,9.0,128.0,784.0,22.0,21.0,30.0
372,0.0,2.0,1.0,7.0,34.0,48.0,2014.0,44.0,4.0,54.0,29.0,26.0,5.0,30.0,41.0,60.0,8.0,11.0,383.0,9.0,72.0,45.0,10.0,42.0,12.0,14.0,6660.0,38.0,39.0,25.0
421,0.0,23.0,16.0,7.0,122.0,103.0,27.0,6.0,10.0,93.0,4.0,246.0,681.0,2.0,113.0,24.0,59.0,62.0,37.0,58.0,151.0,8.0,61.0,11.0,60.0,28.0,1865.0,30.0,29.0,65.0
470,0.0,13.0,2.0,73.0,15.0,14.0,124.0,57.0,17.0,487.0,25.0,6.0,32.0,157.0,56.0,71.0,8.0,9.0,386.0,10.0,102.0,27.0,11.0,41.0,12.0,77.0,13362.0,359.0,358.0,19.0
519,1.0,2.0,3.0,0.0,16.0,162.0,11.0,24.0,6.0,5.0,15.0,13.0,7.0,69.0,26.0,30.0,77.0,76.0,180.0,92.0,19.0,28.0,93.0,14.0,94.0,18.0,45.0,21.0,22.0,40.0
