,CDK1,MSH6,HSP70,MIG-6,Beclin,P-Cadherin,C-Raf_pS338,Myosin IIa pS1943,MAPK_pT202_Y204,GSK-3-BETA,MEK1_pS217_S221,STAT5-alpha,Caspase-7_cleavedD198,IRS1,Cyclin_D1,TIGAR,SHP-2_pY542,AMPK_pT172,Porin,p38_MAPK,p38_pT180_Y182,CD49b,p90RSK_pT359_S363,YB-1_pS102,Shc_pY317,Cyclin_B1,p53,Bcl-2,Rb_pS807_S811,p90RSK_pT573
2,1.0,10.0,0.0,5.0,4.0,9.0,8.0,34.0,2.0,6.0,3.0,7.0,12.0,18.0,19.0,23.0,14.0,29.0,27.0,20.0,61.0,76.0,24.0,25.0,11.0,13.0,28.0,55.0,51.0,16.0
51,2.0,0.0,3.0,7.0,1.0,6.0,20.0,12.0,4.0,13.0,5.0,9.0,17.0,31.0,22.0,21.0,19.0,34.0,11.0,18.0,33.0,86.0,15.0,56.0,16.0,51.0,14.0,68.0,28.0,25.0
100,1.0,3.0,2.0,7.0,0.0,26.0,4.0,17.0,8.0,5.0,12.0,6.0,29.0,11.0,24.0,13.0,14.0,20.0,34.0,19.0,60.0,92.0,22.0,52.0,9.0,16.0,31.0,53.0,36.0,18.0
149,2.0,5.0,0.0,6.0,3.0,19.0,1.0,24.0,4.0,8.0,7.0,12.0,17.0,10.0,31.0,16.0,11.0,14.0,13.0,25.0,33.0,43.0,30.0,32.0,9.0,36.0,28.0,57.0,22.0,15.0
198,5.0,8.0,1.0,4.0,0.0,14.0,7.0,12.0,2.0,3.0,10.0,6.0,15.0,38.0,21.0,39.0,9.0,11.0,13.0,22.0,36.0,91.0,42.0,51.0,18.0,25.0,19.0,85.0,45.0,16.0
247,5.0,16.0,0.0,14.0,2.0,23.0,3.0,28.0,1.0,7.0,9.0,4.0,20.0,18.0,34.0,30.0,6.0,21.0,10.0,17.0,36.0,68.0,27.0,50.0,12.0,39.0,24.0,56.0,47.0,13.0
296,1.0,5.0,0.0,16.0,2.0,9.0,6.0,15.0,3.0,4.0,7.0,11.0,17.0,23.0,55.0,18.0,12.0,27.0,8.0,24.0,58.0,84.0,19.0,56.0,13.0,25.0,42.0,64.0,34.0,20.0
345,4.0,8.0,1.0,5.0,0.0,12.0,2.0,14.0,3.0,6.0,9.0,7.0,24.0,10.0,17.0,16.0,11.0,28.0,13.0,20.0,25.0,123.0,70.0,64.0,15.0,38.0,44.0,59.0,37.0,19.0
394,4.0,11.0,0.0,12.0,1.0,24.0,3.0,19.0,2.0,9.0,20.0,16.0,15.0,22.0,28.0,23.0,8.0,17.0,21.0,29.0,60.0,98.0,38.0,63.0,6.0,39.0,14.0,30.0,59.0,10.0
443,2.0,3.0,0.0,8.0,1.0,11.0,4.0,12.0,5.0,6.0,28.0,7.0,16.0,30.0,15.0,34.0,9.0,22.0,14.0,18.0,19.0,50.0,13.0,51.0,10.0,23.0,27.0,39.0,38.0,17.0
492,1.0,8.0,13.0,0.0,2.0,12.0,30.0,7.0,23.0,57.0,6.0,9.0,10.0,4.0,3.0,5.0,39.0,20.0,58.0,18.0,48.0,14.0,25.0,27.0,65.0,26.0,40.0,24.0,16.0,50.0
541,5.0,4.0,0.0,2.0,3.0,27.0,10.0,12.0,7.0,23.0,8.0,1.0,13.0,21.0,6.0,24.0,19.0,16.0,48.0,18.0,15.0,26.0,25.0,42.0,28.0,14.0,76.0,37.0,52.0,43.0
590,0.0,4.0,18.0,1.0,2.0,21.0,6.0,9.0,20.0,8.0,5.0,13.0,22.0,24.0,17.0,7.0,12.0,32.0,74.0,37.0,52.0,10.0,27.0,25.0,19.0,14.0,70.0,26.0,29.0,42.0
639,1.0,2.0,7.0,3.0,0.0,13.0,19.0,6.0,32.0,12.0,23.0,24.0,30.0,14.0,5.0,10.0,26.0,21.0,68.0,25.0,16.0,44.0,9.0,37.0,43.0,15.0,40.0,22.0,28.0,17.0
