,Bid,RAD51,Caveolin-1,Cyclin_D1,Rb,GSK3-alpha-beta_pS21_S9,GSK3_pS9,GATA3,GSK-3-BETA,MYH11,HSP70,Lck,Beclin,PRDX1,PKC-alpha,SHP-2_pY542,VEGFR2,Rictor_pT1135,PTEN,PI3K-p85,14-3-3_beta,Src_pY527,p27,Tuberin_pT1462,Smad4,PDK1,PEA15,P-Cadherin,Paxillin,PAI-1
2897,129.0,1.0,31.0,7.0,98.0,9.0,17.0,161.0,160.0,5.0,153.0,148.0,36.0,45.0,24.0,90.0,72.0,25.0,43.0,53.0,33.0,84.0,21.0,30.0,27.0,59.0,57.0,134.0,61.0,62.0
2946,109.0,0.0,17.0,154.0,15.0,3.0,12.0,131.0,5.0,19.0,31.0,38.0,9.0,87.0,60.0,25.0,27.0,14.0,59.0,75.0,8.0,71.0,35.0,63.0,74.0,47.0,43.0,48.0,40.0,57.0
2995,7.0,3.0,13.0,20.0,62.0,12.0,10.0,17.0,147.0,39.0,5.0,32.0,1.0,21.0,77.0,26.0,31.0,83.0,19.0,0.0,61.0,37.0,35.0,28.0,76.0,18.0,22.0,48.0,50.0,51.0
3044,1.0,7.0,22.0,12.0,25.0,17.0,18.0,161.0,16.0,23.0,0.0,20.0,3.0,30.0,47.0,90.0,72.0,97.0,40.0,29.0,33.0,99.0,100.0,74.0,87.0,26.0,28.0,24.0,56.0,57.0
3093,0.0,5.0,9.0,12.0,8.0,131.0,2.0,145.0,136.0,163.0,21.0,23.0,27.0,11.0,85.0,63.0,54.0,4.0,77.0,13.0,6.0,30.0,52.0,32.0,71.0,50.0,90.0,55.0,17.0,39.0
3142,2.0,4.0,23.0,156.0,13.0,133.0,10.0,12.0,11.0,1.0,138.0,7.0,24.0,81.0,84.0,75.0,64.0,87.0,83.0,36.0,94.0,34.0,35.0,28.0,37.0,48.0,21.0,31.0,19.0,55.0
3191,135.0,25.0,19.0,113.0,4.0,9.0,11.0,161.0,160.0,142.0,13.0,149.0,35.0,23.0,50.0,3.0,6.0,97.0,47.0,51.0,0.0,84.0,18.0,75.0,29.0,56.0,22.0,12.0,58.0,20.0
3240,38.0,6.0,23.0,14.0,68.0,161.0,1.0,13.0,15.0,142.0,155.0,7.0,37.0,51.0,39.0,0.0,10.0,69.0,5.0,4.0,19.0,86.0,100.0,29.0,27.0,56.0,24.0,21.0,58.0,59.0
3289,4.0,5.0,11.0,17.0,12.0,2.0,23.0,136.0,130.0,6.0,1.0,26.0,37.0,16.0,86.0,51.0,35.0,70.0,15.0,18.0,92.0,80.0,55.0,32.0,40.0,77.0,64.0,58.0,48.0,20.0
3338,10.0,1.0,17.0,18.0,91.0,12.0,9.0,131.0,13.0,94.0,0.0,33.0,23.0,79.0,74.0,75.0,3.0,87.0,6.0,24.0,93.0,62.0,53.0,27.0,59.0,44.0,41.0,4.0,16.0,56.0
3387,16.0,7.0,4.0,8.0,71.0,18.0,19.0,15.0,130.0,2.0,137.0,26.0,31.0,79.0,85.0,32.0,6.0,68.0,77.0,12.0,29.0,1.0,21.0,34.0,35.0,89.0,90.0,24.0,27.0,44.0
3436,117.0,22.0,124.0,113.0,4.0,159.0,13.0,14.0,161.0,143.0,11.0,1.0,40.0,0.0,18.0,25.0,2.0,23.0,21.0,52.0,164.0,85.0,132.0,31.0,27.0,57.0,17.0,16.0,8.0,60.0
3485,2.0,27.0,16.0,9.0,5.0,0.0,17.0,14.0,15.0,20.0,4.0,163.0,38.0,26.0,3.0,91.0,8.0,98.0,1.0,25.0,18.0,7.0,19.0,75.0,29.0,55.0,24.0,135.0,57.0,23.0
3534,2.0,33.0,6.0,1.0,53.0,5.0,17.0,12.0,3.0,20.0,157.0,19.0,4.0,48.0,29.0,7.0,9.0,99.0,31.0,68.0,38.0,16.0,23.0,11.0,89.0,27.0,28.0,137.0,26.0,62.0
3583,35.0,29.0,12.0,15.0,31.0,19.0,2.0,1.0,18.0,23.0,153.0,21.0,130.0,28.0,26.0,32.0,8.0,94.0,42.0,50.0,33.0,7.0,99.0,20.0,30.0,55.0,54.0,134.0,57.0,58.0
3632,102.0,9.0,10.0,156.0,3.0,16.0,17.0,134.0,2.0,27.0,20.0,22.0,1.0,5.0,13.0,35.0,34.0,69.0,77.0,14.0,15.0,0.0,39.0,51.0,90.0,88.0,25.0,52.0,26.0,76.0
3681,6.0,29.0,9.0,4.0,69.0,161.0,14.0,148.0,13.0,10.0,1.0,163.0,3.0,2.0,27.0,91.0,32.0,98.0,28.0,46.0,35.0,31.0,132.0,5.0,88.0,58.0,26.0,19.0,24.0,23.0
3730,118.0,26.0,35.0,115.0,27.0,13.0,3.0,10.0,12.0,143.0,19.0,150.0,6.0,24.0,51.0,4.0,32.0,98.0,2.0,1.0,0.0,5.0,9.0,31.0,88.0,57.0,23.0,11.0,59.0,20.0
3779,2.0,4.0,15.0,153.0,73.0,131.0,21.0,3.0,147.0,8.0,22.0,25.0,39.0,11.0,9.0,6.0,1.0,70.0,10.0,16.0,93.0,35.0,23.0,0.0,79.0,63.0,18.0,57.0,40.0,43.0
3828,7.0,44.0,8.0,12.0,4.0,160.0,16.0,2.0,162.0,142.0,17.0,3.0,38.0,6.0,69.0,28.0,15.0,25.0,23.0,21.0,0.0,5.0,32.0,18.0,30.0,20.0,59.0,135.0,65.0,66.0
3877,42.0,9.0,6.0,13.0,0.0,132.0,2.0,22.0,23.0,33.0,4.0,29.0,102.0,7.0,10.0,39.0,3.0,40.0,16.0,12.0,92.0,38.0,25.0,35.0,85.0,17.0,14.0,28.0,31.0,89.0
3926,6.0,13.0,15.0,19.0,12.0,131.0,132.0,27.0,136.0,0.0,28.0,8.0,101.0,18.0,21.0,1.0,7.0,10.0,32.0,31.0,91.0,5.0,51.0,55.0,3.0,64.0,88.0,9.0,63.0,47.0
3975,11.0,3.0,19.0,6.0,5.0,10.0,134.0,133.0,15.0,1.0,138.0,31.0,25.0,23.0,16.0,18.0,4.0,88.0,0.0,59.0,58.0,62.0,34.0,40.0,66.0,41.0,44.0,56.0,45.0,47.0
4024,0.0,9.0,7.0,12.0,8.0,18.0,19.0,145.0,28.0,1.0,139.0,22.0,107.0,11.0,89.0,31.0,38.0,72.0,82.0,14.0,95.0,43.0,23.0,52.0,2.0,64.0,66.0,26.0,49.0,48.0
