,GPX3,MAGEA1,ACKR3,FAM21B,TNNI3K,MGC10955,IGF1R,NGEF,IGF2,ZNF502,RP11-157G21.2,IQGAP2,BTBD11,MAGEA6,TMEM101,CSAG1,RP4-605O3.4,PTEN,TNFRSF1B,ARID3A,GLB1L2,MYEF2,SPAST,VAMP5,SVIL,PDE9A,YIPF4,TMPRSS11E,AFTPH,STRA6
3832,1.0,0.0,4.0,283.0,2.0,6.0,17.0,41.0,18.0,11.0,27.0,33.0,100.0,5.0,180.0,39.0,19.0,15.0,3.0,8.0,44.0,114.0,42.0,43.0,97.0,14.0,16.0,57.0,67.0,141.0
3881,0.0,29.0,56.0,7.0,59.0,6.0,39.0,4.0,238.0,5.0,126.0,2.0,20.0,10.0,152.0,31.0,3.0,11.0,8.0,46.0,1.0,195.0,37.0,41.0,97.0,15.0,12.0,80.0,81.0,23.0
3930,1.0,4.0,6.0,37.0,0.0,122.0,2.0,8.0,22.0,996.0,34.0,23.0,5.0,65.0,3.0,451.0,44.0,39.0,27.0,93.0,19.0,53.0,30.0,110.0,13.0,112.0,9.0,45.0,17.0,61.0
3979,0.0,4.0,3.0,17.0,6.0,421.0,7.0,9.0,11.0,30.0,13.0,15.0,50.0,5.0,2.0,245.0,34.0,10.0,1.0,8.0,25.0,1784.0,45.0,24.0,113.0,137.0,20.0,419.0,28.0,107.0
4028,0.0,1.0,2.0,5.0,9.0,231.0,19.0,11.0,18.0,265.0,23.0,6.0,3.0,407.0,102.0,126.0,17.0,30.0,4.0,12.0,52.0,39.0,27.0,43.0,13.0,89.0,33.0,152.0,14.0,31.0
4077,0.0,1.0,11.0,17.0,2.0,363.0,3.0,14.0,15.0,316.0,5.0,18.0,4.0,13.0,20.0,26.0,22.0,7.0,72.0,27.0,112.0,175.0,166.0,46.0,45.0,30.0,55.0,178.0,10.0,118.0
4126,0.0,1.0,87.0,76.0,3.0,40.0,13.0,57.0,6.0,250.0,25.0,7.0,2.0,20.0,5.0,69.0,51.0,8.0,9.0,15.0,257.0,30.0,95.0,58.0,14.0,43.0,11.0,262.0,19.0,24.0
4175,0.0,4.0,38.0,23.0,16.0,151.0,6.0,7.0,56.0,54.0,14.0,1.0,28.0,154.0,53.0,202.0,98.0,15.0,2.0,26.0,29.0,33.0,39.0,11.0,21.0,173.0,8.0,353.0,12.0,22.0
4224,0.0,1.0,14.0,23.0,10.0,989.0,18.0,91.0,4.0,78.0,26.0,33.0,5.0,7.0,37.0,17.0,56.0,75.0,3.0,19.0,129.0,633.0,50.0,100.0,98.0,16.0,39.0,142.0,22.0,41.0
4273,0.0,1.0,47.0,107.0,3.0,241.0,15.0,11.0,49.0,83.0,5.0,44.0,37.0,2.0,28.0,6.0,14.0,19.0,8.0,30.0,81.0,94.0,113.0,9.0,17.0,286.0,7.0,445.0,16.0,29.0
4322,0.0,1.0,24.0,4.0,2.0,755.0,14.0,19.0,35.0,226.0,6.0,3.0,16.0,147.0,30.0,260.0,7.0,22.0,37.0,80.0,40.0,13.0,98.0,107.0,126.0,43.0,51.0,268.0,21.0,18.0
4371,1.0,0.0,7.0,77.0,3.0,346.0,4.0,8.0,23.0,349.0,5.0,31.0,14.0,120.0,6.0,59.0,52.0,46.0,17.0,25.0,116.0,56.0,19.0,95.0,70.0,410.0,16.0,222.0,10.0,21.0
4420,8.0,1.0,396.0,78.0,14.0,3.0,55.0,384.0,18.0,2.0,20.0,21.0,73.0,4.0,29.0,24.0,112.0,48.0,5.0,16.0,7.0,33.0,77.0,586.0,66.0,45.0,70.0,128.0,11.0,118.0
4469,7.0,1.0,35.0,36.0,12.0,3.0,4.0,139.0,60.0,213.0,15.0,16.0,27.0,45.0,26.0,118.0,51.0,76.0,6.0,21.0,8.0,245.0,87.0,180.0,11.0,24.0,40.0,204.0,131.0,90.0
4518,0.0,42.0,71.0,5.0,10.0,14.0,39.0,128.0,27.0,11.0,1.0,123.0,8.0,85.0,155.0,245.0,84.0,164.0,29.0,16.0,2.0,7.0,131.0,122.0,41.0,15.0,86.0,120.0,34.0,54.0
4567,35.0,9.0,76.0,7.0,19.0,0.0,6.0,1463.0,15.0,41.0,32.0,44.0,339.0,142.0,20.0,122.0,187.0,31.0,2.0,39.0,8.0,34.0,25.0,321.0,27.0,5.0,22.0,108.0,48.0,450.0
4616,141.0,5.0,35.0,3.0,14.0,15.0,6.0,165.0,24.0,2.0,1.0,25.0,4.0,0.0,48.0,22.0,50.0,109.0,7.0,46.0,58.0,8.0,93.0,146.0,49.0,68.0,97.0,127.0,27.0,207.0
4665,1.0,28.0,67.0,66.0,3.0,2.0,17.0,114.0,0.0,5.0,9.0,25.0,7.0,6.0,23.0,4.0,32.0,81.0,18.0,33.0,14.0,38.0,312.0,91.0,31.0,47.0,148.0,56.0,235.0,85.0
4714,7.0,31.0,6.0,311.0,18.0,0.0,2.0,171.0,15.0,28.0,8.0,51.0,19.0,170.0,21.0,126.0,118.0,120.0,54.0,57.0,11.0,53.0,67.0,27.0,17.0,82.0,13.0,184.0,63.0,14.0
4763,3.0,1.0,54.0,5.0,4.0,0.0,34.0,111.0,16.0,30.0,10.0,79.0,253.0,12.0,23.0,8.0,99.0,186.0,18.0,51.0,25.0,189.0,117.0,269.0,45.0,14.0,167.0,40.0,33.0,159.0
4812,10.0,6.0,16.0,8.0,12.0,4.0,5.0,154.0,29.0,2.0,0.0,25.0,23.0,157.0,37.0,97.0,50.0,166.0,9.0,43.0,24.0,13.0,235.0,301.0,38.0,31.0,110.0,60.0,104.0,430.0
4861,20.0,22.0,516.0,33.0,15.0,7.0,61.0,14.0,49.0,3.0,6.0,25.0,18.0,1441.0,30.0,382.0,105.0,32.0,1.0,53.0,19.0,46.0,64.0,23.0,37.0,119.0,21.0,74.0,47.0,0.0
