,LARGE_INTESTINE,PANCREAS,SKIN,BREAST,LIVER,STOMACH,NERVOUS,HAEMATOPOIETIC,LUNG,OESOPHAGUS,URINARY,OVARY,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
47,0.0,2.0,3.0,1.0,4.0,6.0,7.0,5.0,9.0,11.0,8.0,10.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
96,1.0,2.0,6.0,4.0,5.0,3.0,7.0,11.0,8.0,10.0,12.0,9.0,13.0,14.0,21.0,15.0,0.0,17.0,18.0,19.0,20.0,16.0,22.0
145,1.0,3.0,5.0,4.0,6.0,8.0,11.0,7.0,9.0,13.0,12.0,10.0,0.0,14.0,21.0,15.0,2.0,17.0,18.0,19.0,20.0,16.0,22.0
194,2.0,0.0,3.0,5.0,6.0,20.0,7.0,8.0,9.0,11.0,12.0,10.0,1.0,13.0,21.0,14.0,4.0,16.0,17.0,18.0,19.0,15.0,22.0
243,1.0,2.0,3.0,5.0,4.0,10.0,6.0,7.0,8.0,12.0,11.0,9.0,13.0,14.0,21.0,15.0,0.0,17.0,18.0,19.0,20.0,16.0,22.0
292,0.0,3.0,2.0,1.0,4.0,8.0,7.0,5.0,6.0,10.0,20.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
341,0.0,2.0,4.0,5.0,1.0,9.0,7.0,6.0,8.0,10.0,20.0,11.0,12.0,13.0,21.0,14.0,3.0,16.0,17.0,18.0,19.0,15.0,22.0
390,1.0,2.0,5.0,0.0,6.0,3.0,4.0,7.0,8.0,11.0,10.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
439,1.0,2.0,4.0,3.0,5.0,9.0,6.0,7.0,8.0,11.0,12.0,10.0,0.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
488,1.0,0.0,4.0,5.0,7.0,8.0,9.0,6.0,10.0,13.0,11.0,12.0,2.0,14.0,21.0,15.0,3.0,17.0,18.0,19.0,20.0,16.0,22.0
537,1.0,3.0,2.0,0.0,4.0,7.0,5.0,6.0,10.0,9.0,8.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
586,0.0,3.0,2.0,1.0,5.0,7.0,6.0,4.0,8.0,9.0,11.0,10.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
