,GLB1L2,ZNF853,PXDN,AGAP4,C1orf233,PPARG,TMEM101,EPSTI1,FUZ,RHOU,H2AFY2,TNFRSF1B,SPIN3,VAMP5,GPX3,SLC7A2,RP11-745O10.2,RP11-150O12.6,CDC20P1,PRTFDC1,H3F3B,PLTP,OAS1,ABCG2,RP11-685G9.4,NID1,ARID3A,SEMA3A,STRA6,H3F3C
10,0.0,6.0,16.0,19.0,62.0,23.0,9.0,24.0,32.0,44.0,21.0,52.0,15.0,28.0,5.0,315.0,60.0,56.0,3.0,190.0,47.0,125.0,30.0,86.0,8.0,734.0,66.0,7.0,13.0,49.0
59,8.0,11.0,2.0,6.0,21.0,26.0,25.0,15.0,18.0,37.0,10.0,4.0,9.0,244.0,71.0,7.0,5.0,14.0,0.0,28.0,22.0,82.0,45.0,68.0,13.0,30.0,85.0,44.0,33.0,20.0
108,8.0,3.0,11.0,1.0,55.0,12.0,27.0,127.0,21.0,44.0,6.0,19.0,64.0,43.0,5.0,0.0,4.0,77.0,30.0,26.0,13.0,198.0,285.0,33.0,28.0,25.0,71.0,169.0,18.0,9.0
157,5.0,1.0,46.0,0.0,2.0,8.0,9.0,42.0,27.0,6.0,3.0,29.0,37.0,105.0,18.0,4.0,15.0,10.0,54.0,1198.0,19.0,673.0,34.0,190.0,30.0,93.0,48.0,55.0,113.0,25.0
206,4.0,0.0,23.0,51.0,15.0,9.0,8.0,1.0,20.0,85.0,38.0,31.0,27.0,14.0,19.0,7.0,12.0,30.0,10.0,21.0,32.0,47.0,13.0,54.0,50.0,89.0,57.0,3.0,16.0,36.0
255,2.0,0.0,1.0,8.0,55.0,14.0,25.0,30.0,17.0,16.0,13.0,28.0,4.0,3.0,29.0,12.0,7.0,18.0,5.0,33.0,45.0,78.0,278.0,23.0,108.0,51.0,39.0,59.0,63.0,42.0
304,3.0,0.0,2.0,4.0,13.0,9.0,31.0,8.0,61.0,22.0,7.0,37.0,29.0,16.0,10.0,50.0,1.0,19.0,5.0,54.0,21.0,143.0,69.0,204.0,26.0,23.0,43.0,20.0,24.0,11.0
353,1.0,3.0,5.0,25.0,98.0,35.0,47.0,6.0,15.0,43.0,7.0,27.0,9.0,117.0,14.0,21.0,0.0,41.0,2.0,96.0,29.0,23.0,145.0,116.0,12.0,36.0,99.0,56.0,181.0,40.0
402,5.0,16.0,6.0,1.0,18.0,10.0,11.0,0.0,60.0,30.0,7.0,79.0,13.0,172.0,26.0,4.0,19.0,15.0,12.0,98.0,35.0,488.0,25.0,42.0,114.0,34.0,62.0,235.0,127.0,14.0
451,39.0,2.0,0.0,1.0,15.0,12.0,14.0,5.0,18.0,27.0,8.0,110.0,60.0,35.0,6.0,24.0,101.0,55.0,4.0,17.0,22.0,131.0,415.0,48.0,10.0,79.0,61.0,47.0,121.0,21.0
500,5.0,14.0,0.0,18.0,1.0,4.0,67.0,7.0,15.0,24.0,23.0,12.0,10.0,139.0,25.0,6.0,2.0,54.0,44.0,228.0,51.0,11.0,41.0,59.0,77.0,8.0,46.0,169.0,287.0,50.0
549,2.0,3.0,1.0,7.0,0.0,10.0,41.0,9.0,8.0,6.0,91.0,4.0,38.0,210.0,83.0,20.0,25.0,16.0,15.0,377.0,115.0,22.0,59.0,75.0,31.0,116.0,27.0,17622.0,46.0,211.0
598,1.0,3.0,9.0,4.0,8.0,2.0,46.0,39.0,13.0,12.0,116.0,0.0,7.0,16.0,112.0,29.0,10.0,27.0,30.0,14.0,234.0,5.0,133.0,51.0,32.0,49.0,85.0,60.0,23.0,215.0
647,2.0,4.0,1.0,20.0,10.0,5.0,46.0,8.0,15.0,11.0,78.0,26.0,24.0,16.0,309.0,67.0,0.0,18.0,3.0,270.0,23.0,33.0,27.0,98.0,9.0,208.0,17.0,415.0,90.0,44.0
696,5.0,9.0,0.0,8.0,3.0,11.0,17.0,54.0,12.0,26.0,29.0,1.0,6.0,216.0,67.0,7.0,2.0,58.0,75.0,181.0,30.0,306.0,50.0,77.0,141.0,28.0,13.0,51.0,49.0,115.0
745,4.0,30.0,0.0,3.0,2.0,9.0,149.0,27.0,22.0,11.0,16.0,12.0,15.0,73.0,19.0,17.0,5.0,31.0,53.0,118.0,67.0,33.0,10.0,40.0,25.0,260.0,44.0,686.0,333.0,81.0
794,7.0,17.0,1.0,15.0,0.0,3.0,84.0,14.0,24.0,10.0,23.0,5.0,52.0,73.0,154.0,6.0,19.0,26.0,31.0,334.0,49.0,224.0,4.0,34.0,101.0,90.0,57.0,556.0,56.0,67.0
