,GAPDH,HSP70,Claudin-7,MSH6,TSC1,AR,P-Cadherin,Gab2,MIG-6,PI3K-p85,GSK-3-BETA,p90RSK_pT573,PKC-alpha,CD31,Cyclin_D1,FoxM1,YB-1_pS102,Porin,Rb_pS807_S811,Myosin IIa pS1943,Bax,Beclin,MYH11,p70S6K_pT389,C-Raf_pS338,C-Raf(BD610151),ADAR1,Akt_pS473,Syk,p38_MAPK
2353,0.0,24.0,25.0,9.0,4.0,8.0,2.0,6.0,1.0,19.0,3.0,33.0,10.0,15.0,36.0,14.0,16.0,29.0,7.0,34.0,12.0,27.0,30.0,23.0,55.0,11.0,28.0,37.0,26.0,17.0
2402,2.0,14.0,1.0,5.0,38.0,19.0,6.0,10.0,0.0,8.0,34.0,20.0,9.0,11.0,43.0,53.0,3.0,21.0,28.0,25.0,42.0,23.0,45.0,22.0,26.0,7.0,47.0,31.0,82.0,39.0
2451,0.0,5.0,16.0,1.0,7.0,59.0,43.0,22.0,18.0,3.0,13.0,32.0,14.0,35.0,15.0,8.0,9.0,17.0,6.0,21.0,31.0,76.0,65.0,33.0,50.0,10.0,4.0,49.0,2.0,12.0
2500,0.0,4.0,2.0,27.0,17.0,3.0,25.0,15.0,1.0,28.0,5.0,47.0,12.0,30.0,10.0,38.0,14.0,21.0,7.0,13.0,77.0,24.0,36.0,39.0,32.0,6.0,22.0,45.0,9.0,26.0
2549,0.0,4.0,5.0,1.0,2.0,56.0,54.0,24.0,8.0,12.0,15.0,49.0,14.0,39.0,13.0,48.0,11.0,7.0,3.0,23.0,46.0,42.0,79.0,16.0,32.0,17.0,18.0,20.0,19.0,77.0
2598,0.0,1.0,2.0,3.0,11.0,5.0,32.0,7.0,16.0,10.0,21.0,8.0,4.0,39.0,33.0,23.0,12.0,17.0,45.0,20.0,9.0,40.0,34.0,18.0,24.0,31.0,29.0,25.0,6.0,28.0
2647,0.0,5.0,4.0,12.0,21.0,14.0,7.0,42.0,8.0,18.0,15.0,10.0,2.0,32.0,19.0,41.0,46.0,1.0,17.0,25.0,47.0,23.0,53.0,26.0,31.0,29.0,6.0,37.0,33.0,13.0
2696,0.0,1.0,2.0,4.0,5.0,19.0,38.0,9.0,21.0,6.0,7.0,18.0,16.0,8.0,20.0,49.0,50.0,15.0,3.0,30.0,17.0,68.0,37.0,22.0,55.0,29.0,13.0,31.0,12.0,10.0
2745,1.0,0.0,6.0,19.0,2.0,4.0,24.0,37.0,3.0,7.0,39.0,27.0,9.0,8.0,21.0,15.0,12.0,17.0,20.0,10.0,28.0,56.0,50.0,16.0,32.0,29.0,13.0,42.0,65.0,5.0
2794,0.0,1.0,2.0,48.0,5.0,3.0,4.0,19.0,23.0,29.0,12.0,37.0,6.0,18.0,8.0,22.0,32.0,25.0,47.0,20.0,31.0,84.0,39.0,24.0,35.0,10.0,9.0,97.0,13.0,11.0
2843,0.0,1.0,4.0,9.0,2.0,41.0,5.0,13.0,21.0,16.0,3.0,38.0,6.0,40.0,12.0,19.0,50.0,7.0,8.0,46.0,18.0,20.0,33.0,15.0,57.0,23.0,32.0,44.0,24.0,36.0
2892,0.0,3.0,1.0,4.0,2.0,8.0,34.0,28.0,17.0,5.0,12.0,82.0,7.0,31.0,9.0,49.0,48.0,14.0,43.0,24.0,16.0,35.0,26.0,23.0,15.0,41.0,13.0,32.0,30.0,54.0
2941,3.0,6.0,11.0,35.0,0.0,7.0,22.0,2.0,12.0,5.0,8.0,32.0,55.0,1.0,18.0,14.0,47.0,9.0,19.0,60.0,41.0,69.0,13.0,4.0,27.0,21.0,77.0,30.0,15.0,10.0
2990,8.0,2.0,12.0,43.0,1.0,3.0,0.0,11.0,7.0,4.0,19.0,18.0,32.0,15.0,39.0,10.0,33.0,5.0,44.0,17.0,16.0,37.0,9.0,6.0,48.0,76.0,22.0,118.0,73.0,13.0
3039,3.0,1.0,11.0,25.0,0.0,29.0,20.0,7.0,9.0,19.0,2.0,32.0,5.0,55.0,23.0,16.0,69.0,4.0,48.0,70.0,8.0,30.0,34.0,14.0,134.0,38.0,43.0,74.0,27.0,46.0
3088,6.0,1.0,26.0,45.0,0.0,4.0,66.0,7.0,5.0,8.0,3.0,39.0,16.0,14.0,12.0,11.0,86.0,2.0,17.0,84.0,55.0,49.0,47.0,28.0,21.0,95.0,34.0,46.0,27.0,9.0
3137,19.0,0.0,9.0,33.0,1.0,12.0,11.0,15.0,2.0,10.0,16.0,41.0,42.0,6.0,8.0,24.0,57.0,3.0,64.0,21.0,5.0,49.0,37.0,23.0,27.0,29.0,107.0,13.0,17.0,7.0
3186,5.0,3.0,6.0,7.0,1.0,13.0,14.0,15.0,4.0,0.0,11.0,36.0,33.0,24.0,8.0,16.0,17.0,2.0,18.0,29.0,23.0,39.0,27.0,9.0,44.0,21.0,78.0,67.0,10.0,35.0
3235,1.0,0.0,14.0,52.0,2.0,10.0,35.0,4.0,19.0,9.0,13.0,20.0,8.0,15.0,12.0,39.0,84.0,17.0,30.0,71.0,6.0,58.0,22.0,5.0,92.0,44.0,37.0,77.0,36.0,3.0
3284,5.0,3.0,1.0,32.0,8.0,13.0,9.0,6.0,0.0,4.0,12.0,37.0,16.0,10.0,19.0,47.0,21.0,2.0,63.0,30.0,84.0,7.0,50.0,28.0,25.0,57.0,68.0,17.0,46.0,14.0
3333,3.0,2.0,105.0,37.0,0.0,11.0,6.0,22.0,14.0,8.0,4.0,36.0,65.0,16.0,35.0,5.0,18.0,1.0,20.0,76.0,34.0,56.0,44.0,9.0,75.0,63.0,70.0,48.0,58.0,23.0
3382,9.0,12.0,37.0,15.0,0.0,21.0,3.0,23.0,1.0,10.0,5.0,35.0,17.0,13.0,16.0,46.0,60.0,6.0,55.0,71.0,18.0,32.0,75.0,2.0,64.0,36.0,47.0,62.0,99.0,4.0
3431,5.0,1.0,10.0,0.0,24.0,3.0,12.0,20.0,14.0,25.0,6.0,39.0,18.0,35.0,8.0,63.0,68.0,16.0,49.0,83.0,29.0,2.0,19.0,50.0,30.0,74.0,79.0,38.0,48.0,15.0
3480,0.0,6.0,8.0,2.0,42.0,10.0,49.0,7.0,12.0,22.0,5.0,13.0,19.0,18.0,11.0,9.0,46.0,28.0,17.0,25.0,34.0,4.0,54.0,110.0,20.0,60.0,52.0,62.0,51.0,40.0
3529,0.0,4.0,11.0,2.0,7.0,9.0,30.0,6.0,18.0,24.0,1.0,16.0,35.0,37.0,3.0,22.0,13.0,5.0,12.0,55.0,27.0,8.0,53.0,110.0,34.0,60.0,82.0,31.0,99.0,19.0
3578,2.0,5.0,0.0,8.0,6.0,1.0,25.0,3.0,11.0,10.0,14.0,36.0,62.0,21.0,17.0,12.0,18.0,13.0,16.0,47.0,24.0,4.0,9.0,54.0,15.0,27.0,82.0,41.0,105.0,26.0
3627,3.0,4.0,0.0,6.0,47.0,2.0,23.0,8.0,19.0,11.0,16.0,10.0,43.0,26.0,7.0,15.0,28.0,1.0,71.0,46.0,88.0,5.0,48.0,51.0,9.0,35.0,66.0,65.0,13.0,56.0
3676,2.0,7.0,4.0,1.0,0.0,6.0,15.0,9.0,17.0,18.0,10.0,28.0,36.0,32.0,8.0,22.0,39.0,21.0,12.0,52.0,58.0,3.0,40.0,106.0,13.0,29.0,38.0,55.0,51.0,34.0
3725,0.0,6.0,1.0,5.0,3.0,8.0,19.0,2.0,13.0,21.0,4.0,26.0,41.0,20.0,10.0,15.0,23.0,9.0,14.0,54.0,69.0,7.0,47.0,64.0,17.0,39.0,49.0,51.0,82.0,22.0
3774,0.0,4.0,3.0,1.0,11.0,7.0,44.0,6.0,38.0,43.0,5.0,24.0,66.0,41.0,20.0,22.0,21.0,9.0,25.0,52.0,115.0,2.0,29.0,96.0,8.0,72.0,39.0,87.0,34.0,90.0
3823,1.0,15.0,0.0,2.0,4.0,7.0,46.0,16.0,14.0,18.0,10.0,59.0,52.0,26.0,3.0,19.0,9.0,20.0,36.0,22.0,73.0,6.0,107.0,98.0,11.0,28.0,34.0,58.0,35.0,40.0
3872,0.0,6.0,1.0,5.0,3.0,17.0,9.0,23.0,8.0,42.0,13.0,38.0,45.0,14.0,7.0,25.0,12.0,2.0,31.0,47.0,76.0,4.0,28.0,57.0,62.0,24.0,22.0,86.0,30.0,59.0
3921,13.0,3.0,18.0,2.0,17.0,14.0,8.0,5.0,0.0,41.0,10.0,4.0,9.0,15.0,11.0,22.0,1.0,7.0,58.0,26.0,48.0,59.0,16.0,20.0,29.0,30.0,65.0,23.0,27.0,63.0
3970,4.0,0.0,17.0,5.0,21.0,10.0,22.0,1.0,3.0,24.0,23.0,7.0,19.0,14.0,6.0,15.0,2.0,25.0,28.0,9.0,47.0,16.0,34.0,88.0,70.0,71.0,8.0,11.0,29.0,69.0
4019,19.0,3.0,14.0,0.0,10.0,4.0,8.0,16.0,11.0,28.0,1.0,2.0,15.0,20.0,13.0,58.0,5.0,21.0,42.0,9.0,7.0,77.0,38.0,56.0,64.0,26.0,59.0,12.0,18.0,54.0
4068,5.0,3.0,0.0,21.0,36.0,1.0,2.0,4.0,6.0,28.0,13.0,8.0,87.0,11.0,32.0,19.0,15.0,14.0,25.0,12.0,7.0,18.0,37.0,61.0,26.0,53.0,34.0,10.0,24.0,39.0
4117,1.0,28.0,5.0,3.0,15.0,9.0,11.0,2.0,6.0,18.0,7.0,29.0,67.0,12.0,20.0,27.0,0.0,25.0,35.0,23.0,39.0,8.0,49.0,10.0,13.0,30.0,56.0,16.0,32.0,31.0
4166,1.0,2.0,11.0,5.0,8.0,0.0,6.0,10.0,3.0,17.0,44.0,14.0,41.0,9.0,39.0,72.0,4.0,110.0,31.0,36.0,15.0,18.0,19.0,25.0,64.0,33.0,28.0,12.0,29.0,22.0
4215,0.0,2.0,3.0,6.0,11.0,10.0,1.0,20.0,5.0,21.0,18.0,7.0,43.0,13.0,29.0,51.0,8.0,28.0,16.0,12.0,32.0,64.0,9.0,4.0,57.0,27.0,31.0,15.0,14.0,35.0
4264,5.0,21.0,12.0,0.0,4.0,1.0,9.0,6.0,47.0,8.0,3.0,16.0,68.0,26.0,38.0,45.0,2.0,34.0,18.0,29.0,37.0,62.0,15.0,56.0,44.0,13.0,22.0,11.0,10.0,27.0
4313,17.0,2.0,1.0,0.0,22.0,7.0,3.0,20.0,23.0,59.0,4.0,8.0,58.0,14.0,34.0,35.0,5.0,18.0,13.0,21.0,31.0,28.0,16.0,25.0,39.0,6.0,68.0,12.0,19.0,97.0
4362,3.0,0.0,8.0,1.0,19.0,7.0,9.0,28.0,14.0,18.0,21.0,10.0,26.0,23.0,17.0,47.0,11.0,22.0,40.0,13.0,31.0,4.0,61.0,73.0,39.0,30.0,102.0,29.0,71.0,49.0
4411,5.0,1.0,7.0,0.0,12.0,8.0,17.0,2.0,24.0,11.0,4.0,15.0,9.0,59.0,41.0,14.0,31.0,37.0,39.0,28.0,10.0,29.0,42.0,3.0,95.0,30.0,70.0,32.0,79.0,23.0
4460,11.0,17.0,6.0,4.0,0.0,3.0,22.0,1.0,10.0,32.0,2.0,8.0,5.0,27.0,44.0,14.0,30.0,41.0,16.0,26.0,20.0,21.0,31.0,7.0,85.0,23.0,46.0,39.0,69.0,25.0
4509,18.0,4.0,3.0,2.0,5.0,14.0,6.0,7.0,11.0,9.0,8.0,17.0,0.0,28.0,16.0,30.0,50.0,36.0,10.0,12.0,33.0,48.0,19.0,1.0,106.0,21.0,32.0,20.0,51.0,43.0
4558,5.0,2.0,6.0,7.0,10.0,0.0,14.0,8.0,3.0,24.0,4.0,23.0,1.0,49.0,33.0,22.0,25.0,52.0,39.0,37.0,21.0,34.0,19.0,12.0,20.0,44.0,83.0,45.0,29.0,42.0
4607,2.0,5.0,13.0,7.0,3.0,9.0,16.0,1.0,35.0,14.0,0.0,12.0,10.0,34.0,40.0,4.0,20.0,31.0,6.0,30.0,15.0,27.0,28.0,17.0,49.0,23.0,22.0,32.0,69.0,36.0
4656,15.0,14.0,3.0,2.0,5.0,4.0,12.0,0.0,11.0,1.0,9.0,31.0,7.0,22.0,19.0,23.0,20.0,41.0,54.0,27.0,13.0,36.0,48.0,6.0,58.0,28.0,66.0,24.0,21.0,34.0
4705,2.0,3.0,0.0,1.0,16.0,29.0,24.0,4.0,12.0,10.0,8.0,27.0,5.0,36.0,18.0,6.0,32.0,23.0,20.0,17.0,28.0,26.0,30.0,7.0,44.0,11.0,40.0,15.0,59.0,14.0
4754,12.0,11.0,1.0,8.0,14.0,0.0,10.0,4.0,9.0,6.0,7.0,32.0,13.0,40.0,62.0,27.0,3.0,68.0,23.0,24.0,2.0,19.0,29.0,5.0,26.0,45.0,30.0,17.0,46.0,34.0
4803,13.0,14.0,5.0,16.0,0.0,1.0,15.0,3.0,19.0,36.0,2.0,52.0,7.0,27.0,67.0,12.0,38.0,90.0,20.0,21.0,11.0,62.0,18.0,37.0,43.0,23.0,39.0,17.0,22.0,32.0
4852,6.0,22.0,15.0,21.0,9.0,2.0,8.0,3.0,0.0,56.0,1.0,7.0,19.0,23.0,60.0,32.0,4.0,53.0,41.0,26.0,16.0,65.0,57.0,5.0,116.0,34.0,43.0,71.0,25.0,47.0
