,GAPDH,HSP70,Claudin-7,MSH6,TSC1,AR,P-Cadherin,Gab2,MIG-6,PI3K-p85,GSK-3-BETA,p90RSK_pT573,PKC-alpha,CD31,Cyclin_D1,FoxM1,YB-1_pS102,Porin,Rb_pS807_S811,Myosin IIa pS1943,Bax,Beclin,MYH11,p70S6K_pT389,C-Raf_pS338,C-Raf(BD610151),ADAR1,Akt_pS473,Syk,p38_MAPK
1,11.0,7.0,0.0,6.0,4.0,33.0,3.0,42.0,1.0,9.0,18.0,5.0,32.0,2.0,24.0,15.0,10.0,30.0,12.0,16.0,28.0,26.0,20.0,51.0,8.0,25.0,35.0,13.0,52.0,64.0
50,1.0,11.0,0.0,18.0,3.0,33.0,2.0,62.0,14.0,10.0,6.0,4.0,15.0,13.0,41.0,12.0,26.0,22.0,9.0,5.0,7.0,46.0,28.0,47.0,29.0,19.0,43.0,16.0,39.0,55.0
99,1.0,15.0,3.0,6.0,8.0,62.0,7.0,45.0,2.0,4.0,22.0,0.0,21.0,20.0,27.0,9.0,5.0,26.0,17.0,30.0,37.0,41.0,36.0,16.0,28.0,13.0,39.0,11.0,82.0,79.0
148,10.0,0.0,2.0,15.0,16.0,23.0,25.0,17.0,1.0,26.0,27.0,4.0,13.0,7.0,20.0,3.0,11.0,6.0,38.0,19.0,12.0,9.0,37.0,31.0,8.0,41.0,33.0,45.0,82.0,86.0
197,0.0,1.0,15.0,27.0,11.0,22.0,7.0,13.0,5.0,17.0,3.0,21.0,35.0,8.0,14.0,2.0,4.0,34.0,18.0,9.0,6.0,50.0,16.0,26.0,23.0,43.0,67.0,10.0,75.0,46.0
246,2.0,0.0,1.0,26.0,8.0,34.0,7.0,22.0,6.0,17.0,12.0,15.0,33.0,24.0,48.0,10.0,20.0,16.0,14.0,35.0,5.0,23.0,11.0,13.0,4.0,21.0,90.0,19.0,84.0,55.0
295,9.0,4.0,0.0,12.0,3.0,19.0,2.0,11.0,1.0,5.0,53.0,7.0,14.0,34.0,18.0,27.0,30.0,35.0,10.0,17.0,29.0,60.0,48.0,37.0,33.0,21.0,71.0,15.0,87.0,20.0
344,12.0,0.0,14.0,18.0,3.0,7.0,5.0,43.0,1.0,2.0,26.0,13.0,40.0,29.0,22.0,16.0,4.0,30.0,32.0,6.0,8.0,44.0,23.0,15.0,21.0,42.0,25.0,20.0,69.0,52.0
393,0.0,2.0,9.0,14.0,10.0,29.0,6.0,19.0,22.0,3.0,20.0,11.0,31.0,12.0,17.0,1.0,7.0,25.0,5.0,34.0,21.0,23.0,28.0,63.0,35.0,49.0,24.0,15.0,81.0,52.0
442,4.0,0.0,32.0,58.0,8.0,37.0,6.0,71.0,3.0,23.0,2.0,7.0,10.0,9.0,22.0,13.0,25.0,18.0,35.0,1.0,12.0,94.0,36.0,30.0,14.0,31.0,72.0,26.0,45.0,16.0
491,4.0,25.0,23.0,26.0,2.0,5.0,1.0,0.0,44.0,22.0,28.0,46.0,55.0,8.0,19.0,30.0,16.0,32.0,17.0,10.0,29.0,27.0,7.0,62.0,3.0,18.0,11.0,79.0,13.0,24.0
540,2.0,3.0,1.0,20.0,0.0,9.0,4.0,29.0,6.0,18.0,5.0,53.0,8.0,17.0,21.0,12.0,19.0,16.0,7.0,26.0,22.0,38.0,24.0,35.0,33.0,11.0,27.0,63.0,10.0,47.0
589,8.0,2.0,14.0,16.0,0.0,9.0,3.0,4.0,5.0,18.0,34.0,21.0,24.0,1.0,7.0,20.0,27.0,37.0,10.0,13.0,40.0,59.0,12.0,22.0,29.0,38.0,6.0,53.0,51.0,15.0
638,7.0,2.0,4.0,24.0,20.0,0.0,1.0,12.0,5.0,44.0,3.0,30.0,28.0,9.0,23.0,40.0,33.0,18.0,19.0,25.0,21.0,47.0,11.0,57.0,6.0,27.0,8.0,63.0,45.0,39.0
687,1.0,0.0,3.0,28.0,7.0,2.0,8.0,11.0,5.0,9.0,18.0,26.0,12.0,13.0,15.0,41.0,40.0,20.0,16.0,32.0,22.0,42.0,4.0,24.0,27.0,34.0,31.0,61.0,53.0,21.0
736,3.0,0.0,2.0,8.0,1.0,5.0,13.0,6.0,17.0,4.0,28.0,39.0,35.0,12.0,11.0,10.0,30.0,24.0,7.0,19.0,62.0,21.0,22.0,36.0,27.0,15.0,44.0,42.0,20.0,80.0
785,3.0,1.0,10.0,12.0,2.0,0.0,7.0,13.0,25.0,22.0,8.0,36.0,17.0,16.0,30.0,27.0,51.0,48.0,5.0,21.0,24.0,47.0,23.0,41.0,33.0,14.0,4.0,56.0,6.0,19.0
834,4.0,0.0,15.0,21.0,8.0,1.0,12.0,18.0,14.0,3.0,25.0,16.0,17.0,11.0,5.0,22.0,29.0,23.0,42.0,13.0,39.0,10.0,24.0,59.0,6.0,7.0,2.0,56.0,28.0,66.0
883,2.0,0.0,15.0,6.0,7.0,22.0,3.0,4.0,1.0,9.0,23.0,17.0,18.0,5.0,24.0,42.0,26.0,67.0,21.0,28.0,8.0,53.0,16.0,37.0,12.0,32.0,13.0,11.0,27.0,31.0
932,7.0,0.0,21.0,10.0,3.0,5.0,1.0,26.0,13.0,27.0,2.0,19.0,8.0,9.0,28.0,6.0,4.0,22.0,24.0,11.0,42.0,20.0,29.0,33.0,14.0,12.0,17.0,39.0,32.0,37.0
981,1.0,2.0,0.0,7.0,36.0,30.0,4.0,22.0,3.0,25.0,23.0,27.0,34.0,17.0,12.0,10.0,13.0,8.0,19.0,20.0,44.0,79.0,24.0,21.0,76.0,33.0,28.0,39.0,6.0,97.0
1030,2.0,3.0,5.0,13.0,4.0,7.0,67.0,9.0,17.0,1.0,22.0,11.0,12.0,24.0,0.0,14.0,16.0,30.0,25.0,35.0,46.0,75.0,18.0,40.0,47.0,29.0,10.0,37.0,27.0,44.0
1079,2.0,0.0,24.0,29.0,15.0,19.0,7.0,1.0,4.0,13.0,43.0,3.0,32.0,25.0,34.0,9.0,22.0,40.0,39.0,5.0,42.0,8.0,6.0,33.0,16.0,92.0,20.0,41.0,37.0,23.0
1128,2.0,0.0,5.0,29.0,66.0,11.0,12.0,8.0,6.0,10.0,28.0,3.0,24.0,20.0,7.0,4.0,37.0,55.0,17.0,68.0,23.0,65.0,52.0,34.0,15.0,38.0,13.0,47.0,22.0,49.0
1177,4.0,9.0,22.0,41.0,42.0,18.0,26.0,23.0,0.0,2.0,32.0,7.0,15.0,12.0,13.0,3.0,34.0,69.0,17.0,35.0,21.0,82.0,1.0,14.0,31.0,6.0,51.0,5.0,25.0,20.0
1226,3.0,6.0,23.0,10.0,5.0,7.0,4.0,38.0,16.0,12.0,0.0,2.0,60.0,13.0,8.0,11.0,28.0,63.0,20.0,61.0,47.0,27.0,18.0,58.0,73.0,66.0,1.0,74.0,29.0,75.0
1275,16.0,1.0,26.0,3.0,44.0,5.0,14.0,9.0,0.0,6.0,40.0,7.0,30.0,4.0,2.0,21.0,64.0,52.0,15.0,47.0,42.0,29.0,17.0,23.0,10.0,94.0,31.0,32.0,27.0,45.0
1324,1.0,17.0,6.0,11.0,9.0,18.0,40.0,10.0,0.0,2.0,52.0,3.0,61.0,14.0,4.0,31.0,13.0,33.0,24.0,46.0,7.0,84.0,73.0,19.0,12.0,43.0,27.0,53.0,68.0,56.0
1373,17.0,15.0,19.0,3.0,30.0,38.0,2.0,14.0,6.0,10.0,16.0,8.0,4.0,21.0,0.0,1.0,29.0,37.0,20.0,31.0,25.0,53.0,5.0,9.0,102.0,68.0,52.0,91.0,55.0,56.0
1422,0.0,7.0,10.0,8.0,13.0,62.0,3.0,14.0,1.0,5.0,16.0,6.0,38.0,15.0,4.0,12.0,18.0,44.0,33.0,21.0,34.0,42.0,17.0,9.0,59.0,70.0,2.0,58.0,43.0,37.0
1471,0.0,3.0,4.0,13.0,5.0,66.0,9.0,1.0,47.0,2.0,11.0,8.0,24.0,53.0,23.0,16.0,38.0,12.0,14.0,35.0,28.0,22.0,7.0,55.0,19.0,44.0,17.0,68.0,40.0,29.0
1520,16.0,1.0,5.0,3.0,48.0,8.0,19.0,0.0,10.0,4.0,12.0,15.0,27.0,14.0,21.0,46.0,7.0,41.0,34.0,13.0,9.0,20.0,6.0,84.0,22.0,85.0,38.0,31.0,44.0,35.0
1569,4.0,12.0,3.0,2.0,6.0,5.0,28.0,1.0,17.0,0.0,16.0,7.0,39.0,23.0,33.0,36.0,21.0,20.0,15.0,62.0,9.0,10.0,11.0,37.0,19.0,27.0,60.0,26.0,18.0,47.0
1618,9.0,4.0,1.0,5.0,12.0,7.0,29.0,0.0,35.0,2.0,21.0,6.0,14.0,46.0,57.0,32.0,50.0,18.0,26.0,44.0,3.0,22.0,10.0,118.0,11.0,68.0,13.0,25.0,48.0,23.0
1667,3.0,1.0,12.0,14.0,5.0,8.0,6.0,2.0,16.0,0.0,10.0,9.0,7.0,55.0,21.0,45.0,64.0,71.0,31.0,62.0,4.0,13.0,19.0,33.0,22.0,50.0,23.0,28.0,78.0,27.0
1716,7.0,0.0,23.0,5.0,18.0,14.0,6.0,2.0,10.0,1.0,9.0,3.0,4.0,42.0,30.0,31.0,38.0,17.0,45.0,41.0,20.0,58.0,8.0,57.0,21.0,32.0,28.0,25.0,29.0,11.0
1765,1.0,2.0,17.0,8.0,10.0,44.0,4.0,5.0,7.0,0.0,3.0,12.0,20.0,9.0,11.0,24.0,62.0,19.0,35.0,34.0,13.0,22.0,25.0,81.0,26.0,82.0,6.0,27.0,29.0,72.0
1814,3.0,4.0,0.0,2.0,12.0,7.0,6.0,5.0,30.0,1.0,16.0,11.0,27.0,35.0,20.0,43.0,37.0,18.0,36.0,22.0,10.0,8.0,9.0,54.0,14.0,50.0,39.0,21.0,47.0,32.0
1863,2.0,1.0,5.0,22.0,6.0,25.0,3.0,0.0,23.0,7.0,10.0,9.0,17.0,34.0,18.0,24.0,80.0,38.0,46.0,68.0,4.0,12.0,8.0,63.0,27.0,41.0,21.0,14.0,59.0,15.0
1912,2.0,3.0,31.0,15.0,9.0,22.0,35.0,1.0,23.0,0.0,24.0,26.0,11.0,33.0,46.0,14.0,66.0,49.0,52.0,61.0,8.0,19.0,7.0,69.0,18.0,50.0,6.0,21.0,51.0,75.0
1961,22.0,1.0,13.0,0.0,8.0,2.0,11.0,5.0,4.0,14.0,72.0,3.0,10.0,12.0,35.0,9.0,31.0,24.0,17.0,30.0,58.0,16.0,33.0,52.0,54.0,50.0,71.0,38.0,36.0,55.0
2010,30.0,8.0,13.0,9.0,7.0,0.0,5.0,14.0,4.0,20.0,12.0,6.0,44.0,18.0,16.0,48.0,2.0,19.0,55.0,22.0,45.0,21.0,59.0,24.0,29.0,11.0,107.0,42.0,80.0,50.0
2059,20.0,1.0,4.0,5.0,47.0,13.0,0.0,12.0,14.0,3.0,10.0,8.0,6.0,16.0,66.0,9.0,11.0,27.0,15.0,17.0,67.0,18.0,30.0,28.0,21.0,2.0,108.0,23.0,25.0,71.0
2108,24.0,0.0,21.0,3.0,33.0,6.0,13.0,15.0,1.0,2.0,44.0,28.0,4.0,8.0,22.0,16.0,10.0,31.0,72.0,38.0,36.0,29.0,47.0,56.0,30.0,5.0,75.0,37.0,45.0,53.0
2157,5.0,4.0,11.0,9.0,46.0,2.0,19.0,0.0,6.0,30.0,45.0,1.0,18.0,34.0,55.0,3.0,7.0,23.0,73.0,22.0,21.0,27.0,39.0,16.0,40.0,28.0,52.0,62.0,38.0,72.0
2206,2.0,0.0,14.0,21.0,22.0,8.0,4.0,41.0,5.0,1.0,16.0,12.0,3.0,35.0,27.0,30.0,18.0,10.0,58.0,9.0,39.0,13.0,17.0,6.0,37.0,7.0,100.0,23.0,33.0,68.0
2255,10.0,0.0,7.0,13.0,16.0,6.0,36.0,28.0,12.0,2.0,19.0,11.0,3.0,5.0,30.0,25.0,9.0,8.0,48.0,20.0,21.0,4.0,49.0,17.0,40.0,1.0,81.0,55.0,93.0,26.0
2304,0.0,1.0,2.0,7.0,22.0,9.0,45.0,13.0,16.0,6.0,29.0,10.0,3.0,23.0,48.0,21.0,46.0,12.0,25.0,5.0,30.0,17.0,24.0,56.0,60.0,8.0,27.0,20.0,49.0,32.0
