, MAPK_PI3K, PI3K_only, TNFa, MAPK_only, TGFB, IL-1, JAK-STAT, H2O2, TLR, Wnt, VEGF
2879,0.0,1.0,3.0,4.0,2.0,5.0,6.0,9.0,7.0,8.0,10.0
2928,0.0,1.0,3.0,5.0,2.0,4.0,6.0,8.0,9.0,7.0,10.0
2977,0.0,1.0,4.0,2.0,5.0,3.0,6.0,9.0,7.0,8.0,10.0
3026,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0
3075,0.0,1.0,2.0,5.0,6.0,3.0,4.0,7.0,8.0,9.0,10.0
3124,0.0,1.0,2.0,4.0,6.0,5.0,3.0,7.0,9.0,8.0,10.0
3173,1.0,0.0,2.0,6.0,5.0,4.0,3.0,9.0,8.0,7.0,10.0
3222,0.0,1.0,4.0,5.0,3.0,2.0,6.0,9.0,7.0,8.0,10.0
3271,0.0,1.0,2.0,4.0,5.0,3.0,6.0,9.0,7.0,8.0,10.0
3320,0.0,1.0,2.0,5.0,4.0,3.0,6.0,7.0,8.0,9.0,10.0
3369,0.0,1.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
3418,1.0,0.0,2.0,4.0,5.0,3.0,7.0,8.0,6.0,9.0,10.0
3467,0.0,1.0,3.0,4.0,2.0,5.0,7.0,8.0,9.0,6.0,10.0
3516,0.0,1.0,2.0,3.0,4.0,7.0,5.0,9.0,8.0,6.0,10.0
3565,0.0,2.0,1.0,4.0,3.0,6.0,5.0,8.0,9.0,7.0,10.0
3614,0.0,1.0,2.0,3.0,4.0,7.0,5.0,9.0,8.0,6.0,10.0
3663,0.0,1.0,3.0,5.0,2.0,6.0,4.0,7.0,9.0,8.0,10.0
3712,0.0,1.0,3.0,5.0,2.0,6.0,4.0,8.0,9.0,7.0,10.0
3761,0.0,1.0,4.0,3.0,2.0,7.0,6.0,9.0,8.0,5.0,10.0
3810,0.0,1.0,4.0,3.0,2.0,7.0,6.0,8.0,9.0,5.0,10.0
3859,0.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,8.0,5.0,10.0
3908,0.0,1.0,3.0,5.0,2.0,4.0,6.0,7.0,9.0,8.0,10.0
3957,0.0,1.0,2.0,3.0,5.0,4.0,7.0,8.0,9.0,6.0,10.0
4006,0.0,2.0,1.0,3.0,7.0,4.0,6.0,8.0,9.0,5.0,10.0
4055,0.0,1.0,3.0,2.0,4.0,5.0,6.0,9.0,7.0,8.0,10.0
4104,0.0,1.0,2.0,4.0,5.0,3.0,6.0,9.0,8.0,7.0,10.0
4153,0.0,1.0,4.0,2.0,5.0,3.0,8.0,6.0,9.0,7.0,10.0
4202,2.0,0.0,3.0,1.0,4.0,5.0,7.0,9.0,8.0,6.0,10.0
4251,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,7.0,9.0,10.0
4300,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
4349,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0
4398,0.0,3.0,2.0,1.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
4447,1.0,0.0,2.0,4.0,3.0,7.0,5.0,8.0,6.0,9.0,10.0
4496,0.0,1.0,2.0,3.0,6.0,5.0,4.0,8.0,7.0,9.0,10.0
4545,0.0,2.0,1.0,5.0,4.0,6.0,3.0,7.0,8.0,9.0,10.0
4594,0.0,1.0,2.0,5.0,4.0,3.0,6.0,8.0,9.0,7.0,10.0
4643,1.0,0.0,2.0,6.0,4.0,5.0,3.0,7.0,9.0,8.0,10.0
4692,1.0,0.0,2.0,5.0,3.0,4.0,6.0,8.0,9.0,7.0,10.0
4741,1.0,0.0,2.0,3.0,5.0,6.0,4.0,7.0,9.0,8.0,10.0
4790,0.0,1.0,2.0,3.0,5.0,6.0,4.0,8.0,7.0,9.0,10.0
4839,1.0,0.0,2.0,3.0,5.0,6.0,4.0,8.0,9.0,7.0,10.0
4888,1.0,0.0,2.0,6.0,3.0,4.0,5.0,7.0,9.0,8.0,10.0
