,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,ESPNP_DEL,PLCL1_DEL,DIAPH2_DEL,OR51A2_AMP,FLT1_MUT,GATAD2A_DEL,MAD1L1_DEL,MAML3_MUT,IKZF3_AMP,CILP2_DEL,SFI1_DEL,RNF26_DEL,SLC5A1_DEL,LCE3C_AMP,CYP4F12_DEL,YY1AP1_AMP,ABCC6_DEL,TTN_MUT,OR2T11_DEL,KAT7_AMP,LOC100288069_DEL,TAC4_AMP,C7orf72_DEL,MAST4_MUT,ADAMTS14_AMP,MGC21881_DEL,C22orf42_DEL
32,1.0,0.0,4.0,3.0,9.0,548.0,22.0,71.0,32.0,2.0,16623.0,5.0,15.0,10.0,76.0,12144.0,6.0,902.0,3515.0,19.0,106.0,7.0,1092.0,26.0,97.0,51.0,24.0,117.0,177.0,108.0
81,1.0,2.0,7.0,3.0,0.0,1029.0,141.0,16795.0,110.0,21.0,17100.0,112.0,16.0,79.0,5.0,51.0,166.0,4.0,1338.0,53.0,8.0,93.0,446.0,18872.0,60.0,18833.0,1016.0,98.0,37.0,62.0
130,1.0,0.0,4.0,85.0,11.0,13.0,21.0,159.0,2.0,7.0,204.0,62.0,6.0,94.0,246.0,418.0,19.0,8.0,22139.0,122.0,37.0,113.0,707.0,18906.0,574.0,196.0,15.0,295.0,74.0,111.0
179,1.0,0.0,5.0,29.0,6.0,92.0,58.0,186.0,109.0,136.0,86.0,2.0,338.0,79.0,12.0,12121.0,22.0,192.0,263.0,24.0,101.0,1134.0,18038.0,560.0,371.0,45.0,60.0,37.0,18.0,155.0
228,1.0,0.0,5.0,3.0,10.0,87.0,43.0,253.0,2.0,4.0,633.0,168.0,7.0,8.0,85.0,13.0,6.0,9.0,22068.0,60.0,369.0,499.0,2400.0,18905.0,33.0,48.0,529.0,15.0,14.0,119.0
277,2.0,0.0,5.0,15.0,1.0,123.0,1180.0,65.0,3.0,6.0,117.0,14.0,281.0,91.0,43.0,40.0,24.0,31.0,322.0,89.0,384.0,20394.0,22.0,7.0,26.0,344.0,118.0,752.0,18.0,63.0
326,2.0,0.0,5.0,1.0,23.0,8.0,112.0,251.0,4.0,3.0,17078.0,41.0,7.0,10.0,56.0,16.0,66.0,101.0,22084.0,3595.0,476.0,53.0,113.0,749.0,1310.0,97.0,70.0,17518.0,374.0,300.0
375,0.0,1.0,11.0,4.0,3.0,23.0,2200.0,16757.0,110.0,106.0,171.0,15.0,174.0,18.0,91.0,344.0,24.0,57.0,1031.0,54.0,45.0,20381.0,37.0,1718.0,55.0,47.0,16.0,497.0,487.0,145.0
424,2.0,1.0,0.0,34.0,3.0,13.0,43.0,100.0,55.0,24.0,88.0,7.0,18.0,33.0,35.0,19.0,4.0,16.0,368.0,11.0,672.0,20354.0,60.0,18637.0,14.0,283.0,16526.0,20.0,331.0,23.0
473,2.0,0.0,1.0,4.0,43.0,8.0,254.0,146.0,7.0,11.0,327.0,1135.0,34.0,9210.0,307.0,9.0,96.0,5.0,3264.0,24.0,3242.0,2140.0,908.0,18587.0,14321.0,122.0,16467.0,102.0,850.0,54.0
522,0.0,1.0,176.0,4.0,7.0,13.0,865.0,20.0,242.0,43.0,228.0,28.0,305.0,127.0,73.0,33.0,15182.0,379.0,16.0,1110.0,2.0,122.0,70.0,34.0,148.0,1023.0,3.0,8.0,400.0,4889.0
