,hsa-miR-130a,hsa-miR-323-5p,hsa-miR-513a-5p,hsa-miR-105,hsa-miR-486-3p,hsa-miR-34c-5p,hsa-miR-1978,hsa-miR-483-3p,hsa-miR-1307,hsa-miR-548h,hsa-miR-1253,hsa-miR-424,kshv-miR-K12-5,hsa-miR-545,hsa-miR-1,hcmv-miR-US25-1,hsa-miR-151-3p,hsa-miR-342-3p,hsa-let-7a,hsa-miR-765,hsa-miR-10a,hsa-miR-148a,hsa-miR-363,hsa-miR-576-3p,hsa-miR-548b-3p,hsa-miR-605,hsa-miR-671-5p,hsa-miR-21,hsa-miR-1321,hsa-miR-1293
19,20.0,90.0,10.0,37.0,48.0,92.0,15.0,59.0,91.0,189.0,36.0,42.0,93.0,60.0,111.0,29.0,155.0,25.0,236.0,50.0,457.0,39.0,87.0,65.0,183.0,74.0,12.0,399.0,68.0,471.0
68,11.0,98.0,19.0,76.0,34.0,64.0,23.0,70.0,425.0,553.0,67.0,112.0,47.0,122.0,194.0,316.0,157.0,99.0,63.0,127.0,53.0,7.0,600.0,52.0,559.0,37.0,18.0,142.0,431.0,66.0
117,25.0,627.0,101.0,134.0,36.0,44.0,38.0,53.0,138.0,231.0,16.0,527.0,72.0,123.0,68.0,184.0,156.0,19.0,365.0,119.0,69.0,73.0,27.0,49.0,84.0,77.0,315.0,404.0,66.0,74.0
166,42.0,25.0,21.0,96.0,86.0,81.0,55.0,515.0,50.0,66.0,494.0,526.0,47.0,107.0,457.0,292.0,98.0,79.0,15.0,149.0,453.0,10.0,39.0,23.0,77.0,102.0,332.0,398.0,48.0,465.0
215,0.0,27.0,20.0,95.0,43.0,77.0,414.0,60.0,89.0,220.0,465.0,81.0,236.0,75.0,65.0,35.0,120.0,52.0,90.0,118.0,460.0,383.0,116.0,94.0,347.0,72.0,26.0,405.0,84.0,473.0
264,14.0,11.0,32.0,136.0,40.0,96.0,77.0,601.0,105.0,556.0,61.0,6.0,121.0,113.0,108.0,15.0,88.0,41.0,30.0,84.0,8.0,415.0,115.0,72.0,1.0,134.0,20.0,110.0,18.0,90.0
313,469.0,34.0,59.0,28.0,31.0,72.0,106.0,21.0,77.0,226.0,440.0,527.0,5.0,135.0,109.0,36.0,92.0,80.0,369.0,10.0,461.0,1.0,124.0,41.0,51.0,43.0,22.0,3.0,86.0,55.0
362,1.0,19.0,142.0,79.0,60.0,139.0,419.0,86.0,437.0,234.0,124.0,12.0,0.0,147.0,109.0,8.0,157.0,173.0,371.0,64.0,117.0,28.0,606.0,120.0,88.0,56.0,13.0,408.0,22.0,108.0
411,11.0,145.0,555.0,40.0,25.0,46.0,19.0,21.0,426.0,30.0,51.0,73.0,96.0,71.0,13.0,14.0,138.0,7.0,360.0,92.0,122.0,374.0,134.0,85.0,23.0,56.0,32.0,105.0,8.0,78.0
460,5.0,40.0,80.0,93.0,51.0,74.0,92.0,71.0,77.0,207.0,32.0,522.0,25.0,34.0,1.0,61.0,115.0,610.0,191.0,63.0,459.0,380.0,76.0,120.0,212.0,180.0,52.0,24.0,58.0,82.0
509,619.0,50.0,150.0,117.0,47.0,66.0,102.0,124.0,65.0,553.0,58.0,17.0,116.0,49.0,115.0,55.0,94.0,433.0,630.0,77.0,12.0,7.0,70.0,223.0,560.0,2.0,186.0,481.0,4.0,68.0
558,395.0,17.0,87.0,49.0,42.0,57.0,24.0,97.0,27.0,56.0,75.0,85.0,58.0,94.0,96.0,264.0,79.0,629.0,365.0,89.0,65.0,53.0,606.0,127.0,46.0,173.0,80.0,405.0,60.0,78.0
607,13.0,43.0,160.0,136.0,81.0,44.0,87.0,61.0,129.0,56.0,68.0,71.0,4.0,67.0,162.0,270.0,97.0,611.0,366.0,355.0,100.0,34.0,112.0,134.0,218.0,93.0,363.0,402.0,47.0,469.0
656,17.0,34.0,69.0,50.0,38.0,39.0,11.0,62.0,36.0,85.0,88.0,596.0,160.0,114.0,59.0,289.0,52.0,128.0,630.0,53.0,75.0,23.0,157.0,66.0,104.0,100.0,16.0,4.0,51.0,113.0
705,11.0,18.0,22.0,48.0,107.0,43.0,72.0,76.0,29.0,62.0,77.0,8.0,269.0,552.0,33.0,295.0,74.0,594.0,112.0,80.0,71.0,21.0,121.0,156.0,550.0,103.0,337.0,446.0,53.0,130.0
754,6.0,30.0,42.0,43.0,75.0,84.0,62.0,20.0,72.0,552.0,186.0,55.0,77.0,99.0,309.0,0.0,80.0,112.0,61.0,137.0,48.0,417.0,52.0,108.0,558.0,7.0,244.0,506.0,17.0,612.0
