,hsa-miR-205,hsa-miR-31,hsa-miR-30c,hsa-miR-223,hsa-miR-1256,hsa-miR-449b,hsa-miR-1254,hsa-miR-27b,hsa-miR-155,hsa-miR-1913,hsa-miR-486-3p,hsa-miR-574-5p,hsa-miR-548d-3p,hsa-miR-891a,hsa-miR-541,hsa-miR-323-5p,hsa-miR-581,kshv-miR-K12-11,hsa-miR-944,ebv-miR-BART13,hsa-miR-579,hsa-miR-219-2-3p,hsa-miR-770-5p,hsa-miR-1977,hsa-miR-608,hsa-miR-136,hsa-miR-143,hsa-miR-604,hsa-miR-135a,hsa-miR-1271
17,1.0,0.0,2.0,4.0,5.0,9.0,14.0,3.0,15.0,28.0,47.0,54.0,6.0,10.0,90.0,25.0,48.0,73.0,40.0,91.0,31.0,24.0,32.0,373.0,42.0,79.0,29.0,19.0,392.0,43.0
66,0.0,3.0,2.0,5.0,24.0,7.0,8.0,1.0,55.0,22.0,133.0,78.0,9.0,48.0,4.0,54.0,67.0,14.0,18.0,6.0,41.0,25.0,20.0,85.0,146.0,19.0,30.0,53.0,425.0,61.0
115,0.0,1.0,2.0,9.0,12.0,7.0,32.0,5.0,6.0,17.0,44.0,52.0,3.0,25.0,4.0,13.0,59.0,16.0,220.0,10.0,35.0,28.0,27.0,62.0,142.0,79.0,95.0,114.0,40.0,58.0
164,1.0,0.0,4.0,6.0,48.0,3.0,12.0,2.0,5.0,14.0,70.0,170.0,8.0,80.0,10.0,30.0,104.0,49.0,7.0,39.0,24.0,25.0,17.0,58.0,130.0,79.0,28.0,133.0,40.0,36.0
213,0.0,5.0,4.0,2.0,6.0,3.0,8.0,1.0,23.0,14.0,69.0,60.0,11.0,68.0,36.0,20.0,121.0,21.0,39.0,54.0,63.0,28.0,32.0,371.0,118.0,89.0,70.0,123.0,16.0,18.0
262,0.0,2.0,3.0,5.0,7.0,6.0,45.0,1.0,4.0,21.0,493.0,13.0,9.0,37.0,27.0,29.0,99.0,18.0,28.0,26.0,56.0,58.0,20.0,346.0,128.0,41.0,19.0,116.0,93.0,35.0
311,0.0,1.0,4.0,7.0,2.0,3.0,23.0,6.0,12.0,10.0,67.0,59.0,5.0,25.0,62.0,35.0,84.0,14.0,15.0,13.0,17.0,75.0,26.0,42.0,108.0,339.0,43.0,21.0,74.0,31.0
360,1.0,0.0,11.0,18.0,5.0,2.0,4.0,34.0,29.0,17.0,67.0,19.0,6.0,56.0,16.0,102.0,133.0,8.0,43.0,36.0,47.0,27.0,12.0,344.0,91.0,58.0,21.0,118.0,32.0,20.0
409,2.0,0.0,4.0,1.0,20.0,3.0,9.0,14.0,11.0,40.0,35.0,45.0,7.0,28.0,8.0,5.0,24.0,16.0,76.0,86.0,66.0,15.0,117.0,44.0,90.0,32.0,19.0,60.0,54.0,12.0
458,0.0,4.0,3.0,1.0,6.0,5.0,16.0,2.0,12.0,13.0,70.0,83.0,9.0,19.0,7.0,39.0,23.0,25.0,108.0,15.0,84.0,48.0,72.0,329.0,42.0,93.0,10.0,26.0,22.0,73.0
507,0.0,2.0,10.0,1.0,4.0,3.0,42.0,6.0,20.0,7.0,26.0,36.0,53.0,28.0,22.0,15.0,14.0,13.0,47.0,35.0,46.0,18.0,27.0,32.0,31.0,100.0,342.0,105.0,75.0,49.0
