,hsa-miR-34a,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-28-5p,hsa-miR-891a,hcmv-miR-US25-2-3p,hsa-miR-26a,hsa-miR-581,hsa-miR-597,hsa-miR-361-5p,hsa-miR-1286,hsa-miR-591,hsa-miR-654-3p,hsa-miR-601,hsa-miR-579,hsa-miR-675,hsa-miR-1206,hsa-miR-1256,hsa-miR-449c,hsa-miR-491-5p,hsa-miR-614,hsa-miR-298,hsa-miR-582-5p,hsa-miR-557,hsa-miR-513a-5p,hsa-miR-764,ebv-miR-BART5,hsa-miR-132,hsa-miR-935,hsa-miR-758
15,0.0,1.0,4.0,6.0,16.0,2.0,27.0,53.0,20.0,21.0,5.0,24.0,81.0,68.0,18.0,15.0,3.0,73.0,122.0,12.0,13.0,10.0,26.0,25.0,111.0,93.0,11.0,36.0,29.0,103.0
64,1.0,3.0,2.0,8.0,4.0,0.0,92.0,36.0,6.0,41.0,20.0,25.0,37.0,48.0,21.0,44.0,23.0,34.0,45.0,11.0,10.0,7.0,94.0,5.0,171.0,12.0,18.0,43.0,14.0,39.0
113,0.0,3.0,2.0,13.0,5.0,1.0,41.0,18.0,10.0,4.0,12.0,11.0,14.0,56.0,7.0,34.0,31.0,6.0,224.0,20.0,52.0,30.0,222.0,43.0,58.0,78.0,9.0,96.0,35.0,118.0
162,1.0,0.0,15.0,3.0,5.0,2.0,65.0,4.0,64.0,19.0,7.0,58.0,51.0,150.0,8.0,9.0,14.0,16.0,163.0,73.0,6.0,41.0,66.0,31.0,45.0,37.0,36.0,97.0,24.0,116.0
211,3.0,1.0,0.0,6.0,14.0,2.0,29.0,24.0,67.0,26.0,8.0,10.0,47.0,106.0,19.0,13.0,5.0,45.0,42.0,7.0,18.0,15.0,172.0,30.0,102.0,60.0,11.0,71.0,28.0,62.0
260,1.0,0.0,12.0,17.0,8.0,5.0,20.0,30.0,68.0,14.0,36.0,23.0,92.0,16.0,19.0,3.0,110.0,18.0,53.0,4.0,25.0,65.0,123.0,7.0,100.0,60.0,9.0,15.0,96.0,95.0
309,0.0,1.0,67.0,7.0,12.0,6.0,9.0,136.0,5.0,57.0,2.0,10.0,62.0,25.0,38.0,68.0,61.0,22.0,170.0,4.0,65.0,48.0,47.0,26.0,41.0,92.0,18.0,144.0,16.0,102.0
358,2.0,0.0,15.0,23.0,12.0,4.0,21.0,17.0,20.0,13.0,7.0,9.0,11.0,16.0,3.0,6.0,25.0,37.0,197.0,36.0,67.0,33.0,105.0,52.0,222.0,136.0,18.0,54.0,98.0,69.0
407,0.0,2.0,1.0,6.0,9.0,4.0,13.0,7.0,71.0,20.0,15.0,29.0,45.0,151.0,23.0,109.0,5.0,57.0,25.0,27.0,65.0,3.0,212.0,10.0,28.0,38.0,8.0,50.0,51.0,84.0
456,0.0,3.0,5.0,6.0,17.0,1.0,22.0,2.0,9.0,7.0,14.0,23.0,39.0,44.0,52.0,29.0,10.0,4.0,65.0,41.0,8.0,32.0,101.0,15.0,79.0,89.0,18.0,211.0,92.0,82.0
505,3.0,2.0,0.0,8.0,4.0,23.0,34.0,5.0,19.0,48.0,1.0,9.0,20.0,13.0,119.0,44.0,26.0,29.0,7.0,12.0,15.0,86.0,21.0,33.0,24.0,31.0,38.0,100.0,18.0,17.0
554,0.0,4.0,1.0,5.0,15.0,26.0,2.0,10.0,7.0,12.0,8.0,19.0,9.0,58.0,110.0,68.0,23.0,17.0,169.0,24.0,52.0,90.0,46.0,71.0,84.0,41.0,47.0,91.0,45.0,53.0
603,0.0,5.0,1.0,2.0,18.0,39.0,8.0,24.0,3.0,33.0,7.0,64.0,6.0,21.0,37.0,9.0,11.0,23.0,260.0,46.0,14.0,25.0,12.0,120.0,62.0,15.0,61.0,240.0,74.0,10.0
652,0.0,1.0,2.0,7.0,14.0,42.0,4.0,13.0,3.0,12.0,19.0,17.0,16.0,5.0,65.0,25.0,9.0,60.0,213.0,6.0,15.0,21.0,8.0,78.0,20.0,33.0,81.0,80.0,36.0,23.0
701,0.0,4.0,1.0,3.0,7.0,13.0,10.0,11.0,2.0,24.0,16.0,20.0,19.0,22.0,51.0,23.0,34.0,12.0,77.0,42.0,9.0,123.0,35.0,15.0,63.0,76.0,44.0,38.0,84.0,28.0
750,0.0,1.0,4.0,2.0,64.0,8.0,3.0,10.0,9.0,31.0,5.0,6.0,21.0,22.0,221.0,25.0,17.0,104.0,62.0,19.0,7.0,24.0,14.0,56.0,57.0,41.0,35.0,27.0,30.0,28.0
799,0.0,1.0,4.0,3.0,23.0,26.0,10.0,13.0,30.0,11.0,6.0,21.0,49.0,12.0,121.0,34.0,32.0,25.0,94.0,9.0,24.0,72.0,2.0,17.0,8.0,182.0,53.0,27.0,193.0,74.0
848,0.0,2.0,3.0,4.0,6.0,8.0,1.0,5.0,34.0,55.0,29.0,9.0,20.0,11.0,45.0,16.0,19.0,60.0,40.0,7.0,67.0,28.0,33.0,46.0,66.0,120.0,59.0,102.0,52.0,13.0
897,0.0,43.0,9.0,6.0,17.0,21.0,15.0,1.0,2.0,30.0,35.0,63.0,4.0,107.0,57.0,61.0,58.0,18.0,85.0,86.0,11.0,45.0,27.0,44.0,126.0,185.0,40.0,36.0,77.0,55.0
946,0.0,10.0,1.0,3.0,22.0,32.0,2.0,4.0,11.0,9.0,17.0,12.0,24.0,62.0,133.0,21.0,7.0,28.0,282.0,31.0,25.0,15.0,91.0,43.0,8.0,61.0,29.0,76.0,48.0,18.0
995,0.0,4.0,7.0,1.0,8.0,2.0,28.0,58.0,10.0,42.0,17.0,56.0,30.0,55.0,20.0,29.0,3.0,13.0,21.0,23.0,32.0,140.0,51.0,19.0,12.0,5.0,14.0,206.0,16.0,37.0
1044,3.0,2.0,0.0,17.0,11.0,7.0,36.0,18.0,6.0,19.0,46.0,24.0,8.0,16.0,22.0,5.0,31.0,4.0,26.0,20.0,29.0,106.0,83.0,153.0,28.0,57.0,34.0,48.0,14.0,47.0
1093,0.0,1.0,12.0,11.0,5.0,3.0,10.0,4.0,2.0,50.0,6.0,34.0,51.0,18.0,23.0,39.0,13.0,16.0,14.0,66.0,26.0,28.0,25.0,114.0,166.0,30.0,31.0,109.0,7.0,35.0
1142,1.0,3.0,0.0,4.0,8.0,42.0,47.0,9.0,18.0,51.0,5.0,73.0,58.0,12.0,19.0,2.0,11.0,46.0,22.0,15.0,81.0,39.0,40.0,91.0,17.0,6.0,27.0,28.0,7.0,10.0
1191,0.0,3.0,1.0,5.0,12.0,22.0,7.0,6.0,19.0,9.0,2.0,36.0,28.0,59.0,18.0,15.0,29.0,73.0,14.0,21.0,44.0,117.0,4.0,105.0,35.0,77.0,10.0,47.0,30.0,27.0
1240,4.0,0.0,7.0,10.0,26.0,1.0,5.0,13.0,6.0,16.0,12.0,54.0,8.0,24.0,15.0,2.0,14.0,9.0,25.0,11.0,42.0,46.0,27.0,205.0,17.0,31.0,21.0,83.0,18.0,35.0
1289,0.0,4.0,2.0,10.0,3.0,34.0,8.0,6.0,1.0,16.0,24.0,30.0,19.0,29.0,15.0,12.0,22.0,43.0,9.0,17.0,23.0,26.0,18.0,103.0,38.0,5.0,20.0,41.0,28.0,14.0
