,ITGA9,ST6GALNAC5,GGT6,ZNF334,RP1-97D16.1,RPL7AP28,UCP2,BMPR1B,ILDR1,CCBL2,AC016710.1,RP11-389O22.4,TMEM98,TRIM58,RASSF9,CITED4,RP11-288H12.3,KCNIP2-AS1,C2orf54,FOXJ1,CTD-2377D24.6,MATN3,MAGEA6,AC079354.5,TBX3,RP11-44F14.2,AC090804.1,AC138623.1,CASC9,CTB-36O1.3
8,0.0,15.0,1.0,14.0,37.0,344.0,65.0,16.0,8.0,44.0,95.0,61.0,7.0,3.0,52.0,227.0,28.0,39.0,4.0,47.0,12.0,13.0,5.0,9.0,48.0,32.0,18.0,26.0,51.0,20.0
57,0.0,23.0,3.0,2.0,7.0,22.0,18.0,669.0,1.0,33.0,35.0,45.0,28.0,46.0,402.0,214.0,128.0,132.0,43.0,41.0,119.0,31.0,19.0,10.0,50.0,24.0,4.0,133.0,159.0,54.0
106,0.0,12.0,1.0,2.0,24.0,39.0,41.0,73.0,9.0,54.0,35.0,113.0,18.0,38.0,389.0,1191.0,7.0,55.0,25.0,443.0,21.0,15.0,17.0,6.0,26.0,8.0,27.0,5.0,58.0,780.0
155,0.0,28.0,13.0,5.0,9.0,34.0,21.0,25.0,20.0,32.0,3177.0,23.0,77.0,327.0,134.0,798.0,29.0,68.0,88.0,4.0,46.0,11.0,146.0,14.0,272.0,64.0,6.0,610.0,69.0,58.0
204,0.0,59.0,1.0,5.0,18.0,21.0,50.0,3.0,9.0,35.0,78.0,60.0,81.0,68.0,29.0,122.0,71.0,103.0,39.0,36.0,11.0,44.0,2.0,100.0,91.0,23.0,115.0,493.0,47.0,34.0
253,1.0,34.0,0.0,11.0,27.0,45.0,42.0,3.0,18.0,28.0,475.0,153.0,63.0,265.0,56.0,208.0,122.0,77.0,36.0,78.0,9.0,12.0,7.0,4.0,37.0,51.0,15.0,6.0,65.0,224.0
302,0.0,9.0,1.0,7.0,77.0,6.0,5.0,24.0,4.0,40.0,66.0,158.0,18.0,13.0,64.0,312.0,115.0,75.0,31.0,163.0,149.0,33.0,48.0,8.0,27.0,28.0,16.0,60.0,42.0,15.0
351,0.0,28.0,1.0,46.0,58.0,48.0,24.0,9.0,11.0,36.0,336.0,26.0,19.0,136.0,51.0,332.0,30.0,7.0,42.0,20.0,14.0,2.0,60.0,6.0,67.0,35.0,13.0,71.0,105.0,146.0
400,6.0,16.0,9.0,10.0,50.0,151.0,1.0,3.0,7.0,311.0,43.0,209.0,96.0,165.0,32.0,419.0,19.0,23.0,33.0,30.0,37.0,39.0,48.0,4.0,34.0,14.0,11.0,45.0,40.0,527.0
449,1.0,153.0,12.0,2.0,11.0,288.0,101.0,13.0,9.0,51.0,129.0,530.0,7.0,422.0,32.0,377.0,21.0,53.0,5.0,23.0,10.0,34.0,239.0,118.0,31.0,6.0,325.0,82.0,210.0,243.0
498,1.0,2.0,17.0,8.0,0.0,40.0,4.0,37.0,22.0,12.0,550.0,7.0,39.0,16.0,163.0,31.0,21.0,47.0,52.0,28.0,5.0,42.0,534.0,67.0,18.0,27.0,94.0,1457.0,210.0,46.0
547,5.0,11.0,3.0,0.0,4.0,10.0,14.0,19.0,7.0,6.0,819.0,2.0,25.0,32.0,89.0,33.0,8.0,63.0,67.0,85.0,9.0,94.0,82.0,51.0,13.0,28.0,107.0,469.0,34.0,38.0
596,10.0,0.0,40.0,1.0,5.0,6.0,8.0,61.0,19.0,7.0,1972.0,136.0,54.0,22.0,135.0,79.0,4.0,33.0,39.0,498.0,37.0,28.0,986.0,11.0,93.0,17.0,586.0,104.0,181.0,96.0
645,9.0,1.0,20.0,10.0,2.0,0.0,7.0,35.0,13.0,11.0,828.0,32.0,17.0,52.0,118.0,163.0,124.0,119.0,34.0,274.0,14.0,29.0,121.0,42.0,188.0,16.0,57.0,694.0,353.0,8.0
694,2.0,23.0,19.0,3.0,24.0,1.0,226.0,124.0,67.0,13.0,160.0,4.0,15.0,8.0,98.0,11.0,14.0,112.0,169.0,43.0,27.0,62.0,432.0,79.0,40.0,145.0,77.0,187.0,166.0,9.0
743,3.0,2.0,7.0,4.0,11.0,0.0,8.0,32.0,15.0,6.0,251.0,39.0,13.0,75.0,38.0,54.0,25.0,252.0,35.0,72.0,81.0,23.0,181.0,121.0,12.0,46.0,100.0,322.0,48.0,56.0
792,11.0,5.0,8.0,0.0,1.0,3.0,6.0,4.0,9.0,33.0,150.0,25.0,48.0,209.0,12.0,30.0,17.0,37.0,27.0,128.0,38.0,146.0,45.0,259.0,132.0,34.0,180.0,9434.0,84.0,47.0
841,0.0,12.0,5.0,8.0,2.0,1.0,11.0,16.0,7.0,4.0,176.0,26.0,87.0,116.0,27.0,54.0,24.0,123.0,17.0,165.0,14.0,93.0,101.0,21.0,23.0,28.0,37.0,1437.0,236.0,6.0
890,4.0,0.0,10.0,6.0,5.0,3.0,11.0,19.0,59.0,24.0,214.0,30.0,7.0,25.0,27.0,22.0,8.0,102.0,57.0,518.0,21.0,34.0,411.0,38.0,53.0,50.0,229.0,1279.0,154.0,54.0
939,1.0,0.0,13.0,4.0,3.0,2.0,14.0,6.0,20.0,7.0,92.0,21.0,28.0,44.0,22.0,17.0,16.0,503.0,19.0,36.0,98.0,67.0,12.0,106.0,84.0,23.0,189.0,661.0,437.0,39.0
988,3.0,2.0,9.0,5.0,36.0,0.0,20.0,1.0,12.0,25.0,52.0,22.0,73.0,47.0,8.0,6.0,23.0,33.0,11.0,93.0,88.0,29.0,97.0,461.0,150.0,7.0,72.0,552.0,14.0,13.0
1037,0.0,3.0,89.0,7.0,6.0,1.0,5.0,4.0,79.0,26.0,2.0,9.0,18.0,16.0,8.0,98.0,43.0,51.0,57.0,697.0,151.0,29.0,141.0,537.0,82.0,10.0,112.0,1689.0,55.0,251.0
1086,0.0,4.0,9.0,39.0,10.0,1.0,3.0,2.0,14.0,42.0,12.0,38.0,22.0,287.0,11.0,54.0,5.0,124.0,78.0,19.0,107.0,15.0,257.0,75.0,159.0,23.0,26.0,150.0,73.0,71.0
1135,1.0,0.0,6.0,2.0,14.0,11.0,5.0,16.0,15.0,9.0,40.0,34.0,4.0,64.0,24.0,38.0,3.0,22.0,30.0,58.0,13.0,44.0,79.0,231.0,21.0,7.0,131.0,103.0,63.0,278.0
1184,6.0,1.0,18.0,9.0,23.0,0.0,5.0,8.0,19.0,20.0,3.0,108.0,32.0,42.0,15.0,122.0,4.0,69.0,73.0,819.0,39.0,79.0,566.0,257.0,102.0,12.0,150.0,47.0,43.0,592.0
1233,0.0,1.0,23.0,6.0,3.0,2.0,12.0,4.0,45.0,13.0,7.0,11.0,62.0,77.0,8.0,10.0,5.0,49.0,142.0,178.0,17.0,40.0,71.0,956.0,225.0,14.0,67.0,360.0,16.0,32.0
1282,14.0,0.0,17.0,25.0,5.0,27.0,1.0,2.0,36.0,8.0,97.0,21.0,13.0,485.0,10.0,82.0,9.0,53.0,26.0,109.0,15.0,20.0,4.0,8595.0,755.0,44.0,467.0,246.0,34.0,177.0
1331,0.0,2.0,48.0,5.0,3.0,1.0,9.0,7.0,22.0,52.0,4.0,65.0,6.0,53.0,14.0,24.0,27.0,69.0,49.0,58.0,98.0,33.0,13.0,1009.0,132.0,17.0,51.0,1264.0,141.0,23.0
1380,0.0,26.0,1.0,20.0,41.0,14.0,2.0,5.0,25.0,146.0,13.0,48.0,49.0,168.0,6.0,11.0,4.0,8.0,112.0,53.0,47.0,3.0,23.0,111.0,18.0,27.0,30.0,742.0,22.0,56.0
1429,0.0,39.0,2.0,13.0,229.0,1.0,127.0,75.0,46.0,37.0,6.0,8.0,43.0,10.0,15.0,57.0,3.0,107.0,174.0,583.0,328.0,180.0,274.0,10011.0,23.0,462.0,207.0,686.0,40.0,5.0
1478,4.0,2.0,5.0,6.0,0.0,3.0,1.0,13.0,10.0,12.0,51.0,70.0,17.0,553.0,9.0,32.0,31.0,24.0,61.0,14.0,19.0,16.0,29.0,75.0,48.0,36.0,53.0,21.0,678.0,46.0
1527,1.0,4.0,10.0,11.0,60.0,7.0,0.0,33.0,17.0,135.0,9.0,92.0,51.0,54.0,14.0,3.0,39.0,13.0,18.0,24.0,126.0,85.0,21.0,5.0,29.0,50.0,27.0,8.0,69.0,19.0
1576,0.0,6.0,5.0,77.0,26.0,9.0,4.0,44.0,14.0,3.0,13.0,22.0,12.0,11.0,40.0,17.0,37.0,59.0,27.0,25.0,152.0,45.0,10.0,426.0,60.0,96.0,16.0,8.0,178.0,1.0
1625,10.0,5.0,29.0,19.0,2.0,0.0,3.0,1.0,9.0,25.0,14.0,23.0,16.0,158.0,4.0,11.0,108.0,73.0,123.0,47.0,20.0,63.0,13.0,1157.0,360.0,57.0,77.0,37.0,18.0,717.0
1674,0.0,26.0,35.0,7.0,3.0,1.0,2.0,9.0,19.0,18.0,11.0,24.0,27.0,38.0,8.0,13.0,44.0,70.0,275.0,22.0,10.0,16.0,116.0,12.0,48.0,86.0,14.0,6.0,67.0,15.0
1723,2.0,4.0,15.0,3.0,1.0,64.0,0.0,52.0,6.0,60.0,69.0,205.0,37.0,264.0,20.0,16.0,117.0,31.0,116.0,11.0,22.0,36.0,5.0,67.0,59.0,63.0,14.0,13.0,32.0,10.0
1772,0.0,5.0,12.0,9.0,2.0,18.0,1.0,61.0,8.0,94.0,82.0,66.0,11.0,25.0,198.0,4.0,40.0,23.0,67.0,16.0,10.0,28.0,43.0,13.0,17.0,49.0,53.0,6.0,107.0,792.0
1821,1.0,24.0,8.0,36.0,4.0,12.0,0.0,32.0,5.0,23.0,37.0,30.0,42.0,177.0,147.0,6.0,33.0,72.0,35.0,9.0,80.0,26.0,2.0,20.0,21.0,41.0,13.0,7.0,46.0,44.0
1870,1.0,4.0,37.0,9.0,0.0,5.0,2.0,8.0,6.0,11.0,16.0,135.0,83.0,98.0,19.0,10.0,289.0,91.0,25.0,26.0,28.0,102.0,116.0,67.0,86.0,21.0,139.0,137.0,272.0,7.0
1919,8.0,1008.0,2.0,33.0,25.0,3.0,6.0,53.0,5.0,22.0,41.0,40.0,261.0,65.0,18.0,1.0,24.0,45.0,351.0,207.0,14.0,4.0,19.0,0.0,7.0,512.0,15.0,9.0,112.0,175.0
1968,0.0,6.0,4.0,3.0,1.0,7.0,31.0,26.0,27.0,2.0,62.0,8.0,9.0,11.0,58.0,47.0,96.0,321.0,19.0,16.0,21.0,85.0,228.0,17.0,41.0,71.0,35.0,274.0,13.0,5.0
2017,0.0,50.0,4.0,76.0,3.0,10.0,1.0,103.0,24.0,21.0,86.0,20.0,72.0,81.0,358.0,58.0,32.0,12.0,52.0,16.0,122.0,27.0,37.0,7.0,43.0,85.0,2.0,160.0,13.0,6.0
2066,8.0,0.0,2.0,6.0,14.0,43.0,12.0,100.0,39.0,22.0,102.0,18.0,1.0,31.0,347.0,112.0,107.0,66.0,3.0,13.0,52.0,110.0,4.0,23.0,70.0,27.0,49.0,68.0,34.0,233.0
2115,0.0,13.0,6.0,11.0,170.0,2.0,49.0,1.0,94.0,7.0,31.0,91.0,18.0,55.0,5.0,262.0,86.0,26.0,3.0,20.0,82.0,109.0,598.0,48.0,53.0,71.0,93.0,54.0,9.0,8.0
2164,0.0,12.0,2.0,6.0,1.0,36.0,5.0,22.0,16.0,8.0,19.0,4.0,11.0,7.0,15.0,43.0,56.0,228.0,33.0,18.0,17.0,70.0,80.0,185.0,44.0,229.0,41.0,9.0,13.0,52.0
2213,0.0,2.0,12.0,5.0,8.0,4.0,9.0,1.0,46.0,13.0,57.0,7.0,24.0,17.0,16.0,29.0,30.0,34.0,58.0,3.0,65.0,74.0,92.0,35.0,120.0,45.0,18.0,51.0,15.0,10.0
