,FAM21A_DEL,ADAM3A_DEL,ADAM5_DEL,HLA-H_DEL,EP300_MUT,RHD_DEL,LCE3C_DEL,MRGPRX1_DEL,GOLGA6L10_AMP,LOC390660_AMP,PCCB_DEL,RBFOX1_DEL,BRAF_MUT,TPTE_DEL,HLA-DRB6_AMP,PCDH15_MUT,SORD_AMP,BRAF.V600E_MUT,GSTTP1_AMP,HCG4B_DEL,MIR548AI_DEL,CES1P1_DEL,CDKN2B_DEL,GOLGA8A_DEL,GOLGA6L9_AMP,UBE2Q2P2_AMP,DMRTA1_DEL,OR51A2_DEL,RPS17L_AMP,GOLGA8DP_DEL
29,0.0,5.0,1.0,23.0,2.0,12.0,3.0,25.0,10.0,9.0,6.0,13.0,73.0,4.0,8.0,22.0,20.0,84.0,7.0,147.0,382.0,34.0,42.0,38.0,15.0,19.0,74.0,54.0,16.0,114.0
78,0.0,20.0,10.0,4.0,21.0,1.0,7.0,39.0,33.0,34.0,18.0,14.0,28.0,16.0,2.0,48.0,24.0,23.0,22.0,8.0,13.0,17.0,6.0,93.0,100.0,98.0,40.0,9.0,99.0,41.0
127,0.0,15.0,7.0,16.0,9.0,31.0,3.0,56.0,5.0,6.0,1.0,87.0,35.0,55.0,19.0,49.0,81.0,42.0,37.0,44.0,39.0,149.0,178.0,72.0,14.0,13.0,32.0,177.0,11.0,33.0
176,0.0,17.0,8.0,1.0,11.0,15.0,2.0,66.0,13.0,12.0,6.0,67.0,36.0,4.0,86.0,42.0,35.0,51.0,26.0,37.0,64.0,5.0,57.0,18.0,21.0,20.0,32.0,10.0,23.0,44.0
225,1.0,46.0,34.0,8.0,124.0,0.0,25.0,17.0,11.0,12.0,10.0,63.0,14.0,18.0,30.0,26.0,2.0,39.0,15.0,24.0,32.0,36.0,23.0,96.0,7.0,4.0,50.0,83.0,5.0,35.0
274,0.0,15.0,7.0,10.0,11.0,3.0,1.0,26.0,8.0,9.0,13.0,4.0,40.0,12.0,5.0,64.0,31.0,41.0,14.0,16.0,37.0,2.0,46.0,48.0,23.0,24.0,28.0,93.0,22.0,56.0
323,0.0,32.0,33.0,11.0,4.0,2.0,1.0,3.0,6.0,5.0,9.0,23.0,55.0,25.0,82.0,46.0,7.0,63.0,21.0,76.0,125.0,12.0,36.0,29.0,17.0,14.0,37.0,28.0,13.0,62.0
372,0.0,27.0,11.0,3.0,12.0,8.0,9.0,63.0,1.0,2.0,15.0,68.0,20.0,13.0,5.0,33.0,16.0,7.0,36.0,18.0,21.0,14.0,50.0,65.0,28.0,32.0,40.0,60.0,31.0,35.0
421,7.0,26.0,21.0,74.0,12.0,6.0,15.0,3.0,35.0,36.0,24.0,25.0,211.0,32.0,1.0,124.0,10.0,147.0,16.0,162.0,381.0,9.0,5.0,14.0,38.0,39.0,60.0,48.0,41.0,34.0
470,1.0,45.0,33.0,6.0,17.0,21.0,20.0,9.0,4.0,3.0,7.0,32.0,509.0,10.0,27.0,328.0,238.0,621.0,5.0,179.0,79.0,106.0,2.0,44.0,12.0,13.0,24.0,83.0,16.0,25.0
519,2.0,41.0,37.0,52.0,0.0,8.0,3.0,4.0,10.0,9.0,12.0,14.0,102.0,34.0,7.0,67.0,51.0,115.0,6.0,508.0,628.0,1.0,77.0,16.0,57.0,58.0,35.0,11.0,59.0,15.0
568,5.0,6.0,7.0,18.0,32.0,17.0,38.0,11.0,3.0,2.0,24.0,45.0,98.0,16.0,0.0,807.0,19.0,35.0,31.0,36.0,58.0,22.0,4.0,104.0,39.0,40.0,55.0,13.0,41.0,47.0
617,2.0,18.0,19.0,12.0,10.0,7.0,4.0,3.0,5.0,6.0,42.0,9.0,52.0,27.0,0.0,145.0,74.0,38.0,11.0,81.0,231.0,8.0,79.0,102.0,16.0,14.0,24.0,21.0,17.0,29.0
666,38.0,53.0,52.0,90.0,4.0,3.0,7.0,5.0,13.0,12.0,19.0,17.0,103.0,20.0,0.0,219.0,23.0,63.0,2.0,1233.0,1516.0,15.0,46.0,86.0,31.0,28.0,44.0,14.0,29.0,26.0
715,65.0,0.0,1.0,40.0,2.0,7.0,15.0,4.0,6.0,5.0,50.0,14.0,74.0,19.0,3.0,143.0,48.0,71.0,64.0,169.0,381.0,44.0,54.0,39.0,12.0,10.0,106.0,22.0,9.0,45.0
764,5.0,4.0,3.0,51.0,2.0,27.0,15.0,7.0,8.0,9.0,46.0,16.0,138.0,24.0,0.0,194.0,43.0,161.0,12.0,97.0,180.0,20.0,119.0,17.0,55.0,54.0,104.0,60.0,57.0,61.0
813,45.0,13.0,12.0,55.0,5.0,14.0,27.0,71.0,34.0,35.0,203.0,42.0,2493.0,215.0,0.0,160.0,41.0,2812.0,26.0,56.0,100.0,24.0,9.0,33.0,19.0,20.0,36.0,8.0,17.0,29.0
862,0.0,3.0,7.0,56.0,5.0,33.0,38.0,1.0,8.0,9.0,263.0,32.0,69.0,6.0,4.0,413.0,81.0,73.0,11.0,79.0,72.0,31.0,14.0,10.0,21.0,22.0,28.0,48.0,23.0,106.0
911,1.0,9.0,8.0,16.0,6.0,75.0,12.0,0.0,4.0,3.0,43.0,10.0,76.0,149.0,5.0,106.0,487.0,59.0,23.0,37.0,68.0,11.0,67.0,14.0,28.0,25.0,40.0,7.0,27.0,46.0
960,19.0,3.0,4.0,16.0,9.0,5.0,1.0,2.0,8.0,7.0,43.0,10.0,55.0,47.0,0.0,114.0,91.0,106.0,12.0,61.0,247.0,35.0,62.0,102.0,26.0,27.0,54.0,25.0,28.0,42.0
1009,2.0,0.0,1.0,4.0,5.0,3.0,12.0,18.0,17.0,16.0,10.0,103.0,7.0,25.0,161.0,9.0,41.0,11.0,289.0,56.0,6.0,44.0,23.0,86.0,93.0,91.0,283.0,43.0,92.0,24.0
