,NAALADL2_DEL,OR51A2_DEL,FLNA_MUT,SIGLEC14_DEL,DPP6_DEL,LARGE_DEL,KRT16P2_AMP,SNTG1_DEL,MECOM_AMP,FAM66A_DEL,RMND5A_DEL,HLA-DRB6_AMP,RNF103-CHMP3_DEL,TTTY22_DEL,UGT2B17_DEL,NRXN1_DEL,HERC2P2_AMP,SIRPB1_AMP,HLA-DRB1_AMP,UPK3B_AMP,TNRC6B_MUT,PAX5_DEL,DEFA3_AMP,GSTTP2_DEL,GSTTP2_AMP,AMY2A_DEL,MYEOV_AMP,KIAA0125_AMP,ARHGEF5_AMP,NRXN3_DEL
30,9.0,0.0,36.0,89.0,2.0,3.0,18.0,34.0,20.0,19.0,22.0,10.0,23.0,41.0,17.0,12.0,1.0,6.0,8.0,129.0,39.0,7.0,92.0,227.0,11.0,13.0,30.0,15.0,262.0,76.0
79,183.0,1.0,7.0,2.0,0.0,24.0,8.0,39.0,55.0,203.0,17.0,3.0,16.0,67.0,9.0,6.0,41.0,4.0,31.0,14.0,37.0,38.0,58.0,26.0,25.0,19.0,350.0,30.0,121.0,20.0
128,36.0,16.0,38.0,0.0,3.0,20.0,5.0,25.0,427.0,17.0,19.0,8.0,18.0,6.0,12.0,33.0,14.0,30.0,1.0,52.0,4.0,10.0,191.0,7.0,43.0,26.0,15.0,51.0,710.0,110.0
177,4.0,2.0,49.0,28.0,5.0,6.0,21.0,34.0,33.0,7.0,39.0,9.0,38.0,133.0,8.0,20.0,0.0,40.0,15.0,31.0,35.0,60.0,42.0,1.0,67.0,13.0,18.0,64.0,56.0,30.0
226,0.0,93.0,5.0,4.0,1.0,6.0,13.0,20.0,18.0,16.0,7.0,28.0,8.0,595.0,388.0,95.0,3.0,40.0,31.0,32.0,11.0,71.0,115.0,78.0,156.0,22.0,23.0,533.0,105.0,60.0
275,32.0,3.0,25.0,18.0,1.0,16.0,45.0,9.0,15.0,362.0,11.0,14.0,10.0,90.0,359.0,22.0,0.0,12.0,26.0,4.0,19.0,107.0,68.0,66.0,7.0,95.0,17.0,43.0,796.0,52.0
324,37.0,9.0,51.0,0.0,1.0,5.0,42.0,84.0,27.0,16.0,12.0,2.0,13.0,41.0,36.0,18.0,3.0,20.0,4.0,40.0,31.0,35.0,71.0,28.0,25.0,7.0,34.0,24.0,43.0,8.0
373,8.0,11.0,12.0,46.0,4.0,6.0,477.0,4956.0,34.0,3.0,166.0,26.0,165.0,97.0,7.0,563.0,1.0,10.0,40.0,35.0,15.0,22.0,48.0,33.0,483.0,21.0,14.0,30.0,24.0,31.0
422,34.0,2.0,18.0,6.0,1.0,0.0,7.0,1717.0,48.0,12.0,10.0,13.0,9.0,65.0,131.0,26.0,4.0,3.0,20.0,277.0,35.0,15.0,121.0,23.0,62.0,14.0,22.0,53.0,50.0,33.0
471,10.0,18.0,46.0,4.0,1.0,3.0,13.0,422.0,17.0,131.0,309.0,7.0,310.0,147.0,28.0,182.0,0.0,170.0,5.0,61.0,22.0,138.0,29.0,42.0,16.0,72.0,15.0,215.0,34.0,263.0
520,1.0,6.0,5.0,18.0,20.0,22.0,10.0,11.0,46.0,23.0,53.0,2.0,52.0,19.0,73.0,30.0,27.0,119.0,24.0,8.0,108.0,184.0,33.0,0.0,71.0,9.0,140.0,42.0,28.0,35.0
569,6.0,72.0,1.0,5.0,0.0,4.0,18.0,23.0,37.0,75.0,78.0,2.0,79.0,20.0,69.0,48.0,349.0,26.0,9.0,311.0,57.0,213.0,7.0,3.0,487.0,24.0,70.0,125.0,10.0,111.0
618,0.0,27.0,1.0,65.0,5.0,20.0,116.0,7.0,26.0,28.0,15.0,3.0,14.0,17.0,586.0,130.0,844.0,4.0,6.0,11.0,37.0,419.0,18.0,19.0,430.0,760.0,29.0,245.0,16.0,30.0
667,3.0,9.0,14.0,127.0,0.0,4.0,25.0,1.0,64.0,249.0,31.0,7.0,32.0,8.0,2.0,50.0,101.0,201.0,11.0,48.0,186.0,89.0,13.0,82.0,21.0,39.0,338.0,109.0,70.0,24.0
716,1.0,12.0,2.0,398.0,10.0,4.0,9.0,0.0,134.0,105.0,7.0,3.0,8.0,29.0,28.0,11.0,293.0,18.0,6.0,53.0,37.0,86.0,16.0,64.0,82.0,47.0,26.0,130.0,31.0,185.0
765,0.0,19.0,4.0,11.0,33.0,2.0,10.0,1.0,37.0,237.0,40.0,5.0,41.0,17.0,20.0,65.0,82.0,6.0,9.0,22.0,28.0,110.0,13.0,23.0,79.0,190.0,48.0,78.0,14.0,62.0
814,8.0,5.0,28.0,15.0,1.0,3.0,36.0,9.0,40.0,32.0,75.0,2.0,74.0,19.0,18.0,71.0,23.0,456.0,4.0,43.0,77.0,41.0,45.0,6.0,1786.0,26.0,73.0,47.0,13.0,21.0
863,0.0,4.0,3.0,15.0,1.0,2.0,30.0,24.0,38.0,16.0,58.0,60.0,57.0,79.0,1282.0,189.0,848.0,106.0,113.0,18.0,11.0,253.0,10.0,22.0,1086.0,21.0,25.0,5.0,46.0,34.0
912,0.0,177.0,6.0,12.0,2.0,14.0,5.0,1.0,220.0,11.0,26.0,81.0,27.0,30.0,54.0,76.0,6663.0,96.0,15.0,21.0,37.0,325.0,62.0,10.0,53.0,20.0,28.0,46.0,199.0,180.0
961,0.0,5.0,12.0,106.0,3.0,2.0,19.0,1.0,53.0,27.0,21.0,6.0,20.0,28.0,231.0,13.0,25.0,7.0,11.0,31.0,42.0,216.0,15.0,14.0,304.0,128.0,29.0,278.0,16.0,36.0
1010,4.0,0.0,30.0,63.0,16.0,23.0,6.0,299.0,35.0,7.0,112.0,8.0,113.0,5.0,1872.0,20.0,90.0,28.0,9.0,838.0,163.0,117.0,41.0,420.0,11.0,26.0,48.0,1.0,33.0,18.0
1059,4.0,12.0,9.0,2.0,36.0,49.0,3.0,143.0,103.0,25.0,73.0,32.0,72.0,0.0,7.0,24.0,334.0,162.0,5.0,20.0,51.0,18.0,17.0,74.0,373.0,1.0,88.0,26.0,82.0,127.0
1108,0.0,6.0,5.0,10.0,67.0,27.0,17.0,814.0,13.0,8.0,14.0,7.0,15.0,77.0,1115.0,25.0,429.0,168.0,18.0,33.0,34.0,35.0,1.0,20.0,63.0,22.0,78.0,102.0,4.0,31.0
1157,3.0,16.0,4.0,8.0,47.0,2.0,1.0,327.0,27.0,0.0,6.0,45.0,5.0,116.0,282.0,15.0,1340.0,158.0,66.0,31.0,28.0,49.0,14.0,63.0,275.0,13.0,284.0,39.0,46.0,41.0
1206,22.0,0.0,3.0,1.0,40.0,13.0,39.0,95.0,36.0,24.0,21.0,2.0,20.0,18.0,157.0,4.0,7514.0,8.0,16.0,30.0,85.0,51.0,5.0,68.0,151.0,9.0,174.0,17.0,45.0,78.0
1255,0.0,1.0,9.0,6.0,7.0,2.0,3.0,33.0,118.0,8.0,24.0,5.0,25.0,17.0,102.0,13.0,644.0,436.0,11.0,48.0,31.0,111.0,4.0,54.0,35.0,18.0,30.0,28.0,12.0,32.0
1304,7.0,13.0,0.0,25.0,3.0,9.0,29.0,144.0,61.0,507.0,255.0,40.0,256.0,27.0,728.0,2.0,20.0,4.0,71.0,87.0,128.0,246.0,5.0,2626.0,11.0,69.0,83.0,43.0,17.0,337.0
1353,19.0,1.0,2.0,65.0,13.0,33.0,35.0,818.0,30.0,40.0,27.0,44.0,28.0,23.0,0.0,72.0,26.0,137.0,95.0,83.0,93.0,113.0,16.0,9.0,341.0,6.0,1075.0,8.0,11.0,36.0
1402,0.0,7.0,1.0,94.0,64.0,14.0,3.0,151.0,62.0,47.0,60.0,49.0,61.0,11.0,747.0,6.0,4.0,24.0,83.0,37.0,41.0,46.0,34.0,39.0,313.0,2.0,79.0,125.0,28.0,126.0
1451,1.0,0.0,21.0,2.0,390.0,33.0,5.0,74.0,22.0,25.0,8.0,3.0,7.0,39.0,278.0,13.0,104.0,6.0,10.0,182.0,52.0,32.0,12.0,17.0,4.0,29.0,45.0,9.0,14.0,44.0
