,NRAS_MUT,BRAF_MUT,KRAS_MUT,XKR6_AMP,BRAF.V600E_MUT,ANKS1B_DEL,PCDH15_MUT,CDC73_AMP,DCC_DEL,DMBT1_DEL,NSFP1_AMP,KRAS.G12_13_MUT,KANK1_AMP,OR2T11_AMP,OR2T29_AMP,IMMP2L_DEL,NSF_AMP,HLA-H_DEL,MIR548AI_DEL,PDE4DIP_AMP,OR4N4_DEL,LOC728875_DEL,MLL_MUT,SORD_AMP,SLC7A5P2_DEL,SMARCA2_DEL,FRMPD2P1_AMP,MTAP_DEL,OR2T10_AMP,EYA1_DEL
33,2.0,10.0,4.0,16.0,9.0,87.0,16530.0,33.0,24.0,45.0,108.0,47.0,61.0,80.0,58.0,162.0,22113.0,111.0,63.0,18782.0,142.0,56.0,13.0,141.0,2908.0,21.0,100.0,143.0,19.0,79.0
82,4.0,6.0,15.0,14626.0,13.0,57.0,16542.0,23121.0,10.0,98.0,64.0,24134.0,43.0,63.0,113.0,73.0,22100.0,62.0,55.0,18837.0,82.0,7450.0,15991.0,122.0,2904.0,75.0,121.0,88.0,145.0,96.0
131,5.0,8.0,24.0,12.0,37.0,66.0,96.0,26.0,5575.0,117.0,79.0,92.0,58.0,52.0,118.0,61.0,32.0,50.0,102.0,18781.0,108.0,136.0,83.0,119.0,2910.0,129.0,167.0,75.0,44.0,53.0
180,1.0,24.0,7.0,14634.0,3.0,36.0,16528.0,8.0,5572.0,104.0,22762.0,24134.0,47.0,90.0,126.0,8582.0,22106.0,103.0,77.0,10.0,1258.0,79.0,16041.0,159.0,2928.0,106.0,89.0,102.0,19.0,5787.0
229,2.0,12.0,0.0,14624.0,20108.0,83.0,16543.0,23149.0,88.0,34.0,60.0,70.0,59.0,43.0,58.0,8581.0,20.0,51.0,41.0,28.0,1242.0,72.0,16005.0,161.0,2927.0,63.0,99.0,109.0,16981.0,97.0
278,5.0,30.0,13.0,14632.0,0.0,105.0,54.0,23182.0,22.0,76.0,22758.0,90.0,81.0,26.0,113.0,136.0,86.0,44.0,55.0,29.0,15.0,49.0,15993.0,94.0,2904.0,11010.0,84.0,139.0,127.0,5777.0
327,3.0,2.0,13.0,14622.0,47.0,158.0,16544.0,26.0,33.0,40.0,32.0,48.0,58.0,82.0,62.0,66.0,69.0,78.0,55.0,18841.0,71.0,83.0,15978.0,53.0,2947.0,187.0,72.0,87.0,108.0,106.0
376,2.0,8.0,20.0,14625.0,31.0,79.0,16544.0,18.0,32.0,77.0,122.0,68.0,144.0,36.0,125.0,49.0,103.0,54.0,121.0,40.0,119.0,71.0,15993.0,87.0,2922.0,56.0,98.0,110.0,172.0,5778.0
425,1.0,8.0,12.0,14627.0,3.0,110.0,16544.0,23120.0,5626.0,5367.0,168.0,15.0,51.0,76.0,41.0,8577.0,49.0,92.0,112.0,24.0,128.0,7448.0,16.0,22883.0,65.0,59.0,130.0,116.0,25.0,87.0
474,7.0,11.0,13.0,14623.0,34.0,63.0,54.0,61.0,26.0,118.0,108.0,24134.0,76.0,31.0,65.0,8571.0,82.0,50.0,48.0,53.0,12.0,51.0,16004.0,136.0,2939.0,11006.0,96.0,97.0,158.0,5784.0
523,0.0,7.0,8.0,14640.0,20115.0,61.0,16535.0,23178.0,5572.0,67.0,26.0,92.0,69.0,46.0,114.0,45.0,22107.0,53.0,158.0,18733.0,4.0,7456.0,15.0,40.0,63.0,21.0,174.0,1998.0,42.0,132.0
572,1.0,6.0,11.0,3.0,16.0,52.0,16532.0,23176.0,5580.0,53.0,43.0,14.0,59.0,62.0,108.0,79.0,96.0,81.0,136.0,18782.0,18.0,77.0,4.0,32.0,111.0,195.0,131.0,2008.0,39.0,57.0
621,0.0,5.0,11.0,14638.0,17.0,65.0,16530.0,23176.0,5577.0,57.0,46.0,89.0,74.0,76.0,70.0,33.0,29.0,69.0,102.0,93.0,15.0,7461.0,16045.0,38.0,110.0,4.0,100.0,2122.0,172.0,118.0
670,0.0,1.0,19.0,49.0,14.0,54.0,16533.0,23178.0,63.0,74.0,148.0,9.0,69.0,22.0,85.0,13.0,72.0,87.0,115.0,18827.0,166.0,67.0,10.0,23879.0,3088.0,26.0,110.0,179.0,103.0,138.0
719,0.0,29.0,11.0,5.0,2.0,41.0,16525.0,23135.0,157.0,104.0,22758.0,24134.0,36.0,23.0,92.0,62.0,52.0,59.0,105.0,18839.0,34.0,43.0,10.0,39.0,72.0,32.0,95.0,69.0,46.0,138.0
768,5.0,7.0,10.0,24.0,42.0,71.0,16537.0,23194.0,56.0,159.0,23.0,66.0,49.0,70.0,144.0,126.0,79.0,85.0,94.0,18720.0,2.0,7461.0,11.0,27.0,86.0,77.0,88.0,2010.0,39.0,148.0
817,1.0,2.0,12.0,31.0,41.0,47.0,16528.0,23177.0,99.0,60.0,103.0,24134.0,76.0,89.0,69.0,17.0,75.0,63.0,101.0,18826.0,173.0,40.0,16009.0,132.0,73.0,14.0,106.0,1998.0,120.0,5781.0
866,2.0,3.0,17.0,14629.0,30.0,64.0,16544.0,23135.0,81.0,69.0,95.0,24134.0,92.0,83.0,85.0,101.0,87.0,78.0,61.0,104.0,91.0,144.0,22.0,43.0,56.0,26.0,84.0,47.0,21.0,46.0
915,1.0,3.0,8.0,2.0,40.0,52.0,16546.0,23174.0,5569.0,47.0,13.0,24134.0,110.0,66.0,116.0,9.0,45.0,59.0,130.0,18844.0,10.0,43.0,63.0,67.0,62.0,83.0,95.0,100.0,51.0,39.0
964,0.0,12.0,13.0,8.0,4.0,54.0,16533.0,23181.0,125.0,128.0,79.0,5.0,113.0,138.0,118.0,116.0,39.0,94.0,61.0,18715.0,190.0,7457.0,32.0,160.0,76.0,30.0,105.0,187.0,178.0,162.0
1013,4.0,11.0,25.0,14634.0,34.0,103.0,69.0,22.0,115.0,122.0,166.0,29.0,54.0,41.0,87.0,49.0,52.0,116.0,143.0,18847.0,1229.0,74.0,16010.0,111.0,2918.0,11018.0,120.0,159.0,155.0,5795.0
1062,7.0,9.0,11.0,46.0,29.0,72.0,58.0,23181.0,60.0,64.0,97.0,22.0,136.0,75.0,68.0,55.0,150.0,83.0,37.0,18712.0,63.0,107.0,16044.0,99.0,2917.0,11018.0,92.0,87.0,101.0,5788.0
1111,0.0,8.0,19.0,14645.0,9.0,100.0,53.0,23182.0,5571.0,106.0,146.0,29.0,76.0,32.0,73.0,44.0,137.0,78.0,161.0,105.0,1308.0,49.0,14.0,117.0,2936.0,140.0,102.0,164.0,154.0,5786.0
1160,3.0,7.0,14.0,14628.0,25.0,73.0,63.0,23135.0,19.0,58.0,156.0,24134.0,60.0,27.0,87.0,31.0,22098.0,110.0,104.0,112.0,121.0,41.0,28.0,101.0,2955.0,11008.0,157.0,57.0,100.0,5782.0
1209,0.0,13.0,14.0,8.0,4.0,52.0,38.0,11.0,68.0,62.0,22761.0,18.0,129.0,76.0,15107.0,163.0,79.0,70.0,99.0,18843.0,158.0,91.0,15981.0,146.0,2959.0,11010.0,177.0,117.0,114.0,172.0
1258,3.0,12.0,11.0,14643.0,53.0,88.0,20.0,52.0,23.0,50.0,155.0,19.0,84.0,86.0,173.0,138.0,91.0,76.0,104.0,80.0,1395.0,7455.0,67.0,60.0,3077.0,40.0,95.0,137.0,90.0,5787.0
1307,1.0,6.0,19.0,14634.0,72.0,40.0,54.0,21.0,36.0,97.0,131.0,7.0,49.0,71.0,77.0,47.0,63.0,113.0,52.0,117.0,42.0,81.0,32.0,152.0,2931.0,11009.0,112.0,121.0,90.0,5780.0
1356,3.0,12.0,23.0,20.0,22.0,68.0,51.0,26.0,37.0,94.0,180.0,18.0,147.0,159.0,79.0,142.0,70.0,90.0,111.0,122.0,1266.0,124.0,16044.0,61.0,2943.0,103.0,152.0,153.0,125.0,53.0
1405,2.0,6.0,5.0,14631.0,22.0,156.0,17.0,23182.0,16.0,50.0,22760.0,57.0,58.0,70.0,76.0,123.0,22102.0,593.0,88.0,8.0,32.0,128.0,31.0,133.0,2910.0,11011.0,116.0,127.0,121.0,5782.0
1454,3.0,13.0,8.0,14636.0,67.0,66.0,91.0,71.0,16.0,80.0,138.0,40.0,53.0,27.0,90.0,172.0,22113.0,92.0,62.0,18844.0,85.0,41.0,32.0,180.0,2941.0,112.0,93.0,152.0,16973.0,154.0
1503,0.0,8.0,10.0,14643.0,20142.0,54.0,17.0,41.0,101.0,59.0,66.0,52.0,123.0,158.0,62.0,30.0,22.0,61.0,112.0,106.0,1245.0,7459.0,25.0,86.0,55.0,11031.0,90.0,104.0,166.0,31.0
1552,2.0,3.0,14.0,10.0,39.0,129.0,69.0,26.0,57.0,146.0,119.0,31.0,85.0,189.0,73.0,8586.0,46.0,117.0,81.0,76.0,92.0,7460.0,60.0,55.0,2936.0,80.0,177.0,2071.0,41.0,87.0
1601,2.0,6.0,18.0,4.0,20170.0,84.0,33.0,22.0,5586.0,132.0,60.0,54.0,198.0,133.0,109.0,134.0,51.0,89.0,105.0,56.0,1259.0,7463.0,107.0,117.0,119.0,11023.0,160.0,96.0,167.0,5800.0
1650,2.0,11.0,12.0,6.0,20113.0,57.0,16531.0,31.0,25.0,48.0,22.0,51.0,139.0,174.0,90.0,135.0,22106.0,101.0,79.0,18779.0,61.0,95.0,3.0,103.0,76.0,112.0,126.0,156.0,123.0,165.0
