,Chk1,p27_pT157,GSK-3-BETA,p21,Rb,PRDX1,HER2_pY1248,p38_pT180_Y182,JNK_pT183_Y185,GAPDH,SETD2,RAD51,p70S6K_pT389,Cyclin_D1,Beclin,Smac,eEF2K,HER2,Bcl-2,SHP-2_pY542,ETS-1,YAP_pS127,Lck,G6PD,Bax,YB-1,Annexin 1,Gab2,p27,Rb_pS807_S811
1,0.0,1.0,6.0,2.0,3.0,16.0,8.0,12.0,14.0,4.0,11.0,5.0,71.0,9.0,20.0,36.0,64.0,37.0,17.0,59.0,48.0,23.0,26.0,18.0,21.0,63.0,28.0,53.0,117.0,22.0
50,0.0,2.0,4.0,6.0,5.0,3.0,9.0,53.0,20.0,1.0,37.0,27.0,16.0,8.0,14.0,22.0,11.0,35.0,28.0,33.0,49.0,44.0,13.0,10.0,54.0,25.0,47.0,48.0,79.0,23.0
99,2.0,0.0,9.0,4.0,1.0,3.0,5.0,29.0,18.0,12.0,19.0,13.0,7.0,17.0,21.0,22.0,10.0,31.0,45.0,52.0,40.0,71.0,49.0,53.0,55.0,69.0,66.0,8.0,64.0,33.0
148,2.0,0.0,12.0,4.0,3.0,1.0,8.0,15.0,24.0,6.0,13.0,19.0,23.0,20.0,30.0,27.0,17.0,18.0,26.0,10.0,59.0,66.0,34.0,11.0,39.0,33.0,67.0,5.0,44.0,47.0
197,1.0,0.0,17.0,30.0,7.0,6.0,4.0,94.0,35.0,13.0,8.0,5.0,10.0,20.0,3.0,18.0,53.0,47.0,22.0,23.0,48.0,92.0,16.0,33.0,54.0,72.0,27.0,51.0,40.0,52.0
246,2.0,14.0,33.0,6.0,3.0,0.0,1.0,10.0,9.0,38.0,30.0,21.0,20.0,18.0,72.0,28.0,5.0,4.0,37.0,84.0,58.0,47.0,23.0,7.0,54.0,34.0,26.0,43.0,112.0,17.0
295,6.0,4.0,20.0,3.0,36.0,0.0,2.0,26.0,34.0,1.0,8.0,15.0,14.0,22.0,18.0,35.0,28.0,5.0,13.0,21.0,72.0,66.0,25.0,49.0,24.0,11.0,44.0,37.0,67.0,19.0
344,0.0,2.0,11.0,9.0,4.0,6.0,1.0,33.0,14.0,8.0,13.0,7.0,62.0,3.0,28.0,17.0,30.0,15.0,41.0,49.0,22.0,19.0,20.0,31.0,95.0,44.0,53.0,40.0,52.0,25.0
393,2.0,5.0,6.0,8.0,17.0,4.0,0.0,22.0,9.0,21.0,18.0,3.0,20.0,15.0,16.0,28.0,10.0,24.0,29.0,11.0,27.0,53.0,26.0,75.0,57.0,50.0,30.0,44.0,68.0,40.0
442,2.0,23.0,17.0,1.0,0.0,3.0,7.0,5.0,44.0,9.0,27.0,10.0,83.0,6.0,51.0,25.0,37.0,15.0,26.0,58.0,41.0,12.0,18.0,91.0,21.0,11.0,97.0,4.0,43.0,69.0
491,1.0,0.0,2.0,22.0,11.0,19.0,17.0,21.0,12.0,51.0,20.0,8.0,16.0,3.0,13.0,42.0,33.0,52.0,10.0,9.0,5.0,28.0,72.0,25.0,39.0,26.0,58.0,4.0,38.0,30.0
540,0.0,2.0,1.0,43.0,25.0,15.0,12.0,28.0,8.0,26.0,4.0,16.0,33.0,3.0,5.0,37.0,35.0,44.0,9.0,6.0,14.0,24.0,83.0,34.0,40.0,39.0,72.0,30.0,32.0,51.0
589,0.0,1.0,5.0,25.0,16.0,8.0,24.0,15.0,18.0,21.0,2.0,19.0,3.0,11.0,45.0,78.0,46.0,77.0,6.0,31.0,4.0,12.0,40.0,23.0,41.0,22.0,96.0,10.0,14.0,26.0
638,4.0,0.0,3.0,78.0,29.0,6.0,11.0,22.0,1.0,83.0,13.0,32.0,5.0,2.0,43.0,27.0,74.0,31.0,17.0,9.0,18.0,12.0,61.0,67.0,24.0,16.0,44.0,8.0,50.0,23.0
687,0.0,3.0,2.0,32.0,11.0,22.0,23.0,10.0,12.0,27.0,19.0,7.0,8.0,1.0,5.0,13.0,55.0,78.0,18.0,38.0,9.0,16.0,77.0,28.0,49.0,36.0,50.0,41.0,30.0,24.0
736,0.0,1.0,2.0,18.0,10.0,13.0,12.0,17.0,4.0,27.0,9.0,25.0,23.0,3.0,11.0,38.0,61.0,52.0,21.0,19.0,14.0,43.0,67.0,32.0,36.0,24.0,49.0,28.0,6.0,31.0
785,2.0,0.0,14.0,28.0,7.0,53.0,6.0,31.0,26.0,68.0,21.0,34.0,4.0,1.0,29.0,10.0,61.0,39.0,8.0,3.0,15.0,80.0,105.0,33.0,12.0,50.0,20.0,5.0,57.0,18.0
834,3.0,2.0,4.0,38.0,49.0,6.0,20.0,16.0,0.0,32.0,12.0,8.0,9.0,10.0,41.0,25.0,5.0,36.0,17.0,23.0,33.0,53.0,30.0,31.0,40.0,62.0,70.0,74.0,19.0,1.0
883,0.0,1.0,5.0,51.0,13.0,26.0,40.0,11.0,4.0,12.0,17.0,36.0,16.0,6.0,3.0,42.0,62.0,74.0,14.0,29.0,8.0,15.0,78.0,20.0,21.0,2.0,18.0,27.0,23.0,9.0
932,0.0,1.0,2.0,36.0,24.0,16.0,13.0,9.0,6.0,109.0,3.0,40.0,12.0,8.0,4.0,57.0,33.0,68.0,19.0,44.0,10.0,50.0,20.0,14.0,41.0,28.0,55.0,18.0,11.0,22.0
981,0.0,3.0,15.0,33.0,14.0,9.0,5.0,7.0,27.0,19.0,24.0,11.0,20.0,6.0,4.0,1.0,16.0,23.0,31.0,10.0,17.0,30.0,22.0,66.0,35.0,43.0,54.0,13.0,38.0,111.0
