,HLA-DRB6_AMP,KRAS.G12_13_MUT,KIF26B_DEL,MIR4473_DEL,GLI3_MUT,AKAP12_MUT,HLA-DRB1_AMP,FGFR1_DEL,LOC283914_AMP,FBXL7_DEL,LOC146481_AMP,MIR4474_DEL,SLC2A9_DEL,OR2T5_DEL,FAM153A_DEL,ZBTB20_AMP,PLA2G4F_DEL,CSPG4_MUT,NAALADL2_AMP,DENND4C_DEL,TMEM88_DEL,SCYL2_MUT,LOC100130700_AMP,LINGO2_AMP,MYH4_DEL,HLA-DRB5_AMP,MIR3152_DEL,MCM3AP_MUT,ADAMTSL1_DEL,SCO1_DEL
32,69.0,0.0,306.0,160.0,9.0,20.0,237.0,11.0,5.0,6540.0,2.0,577.0,218.0,103.0,29.0,370.0,49.0,14.0,10.0,18.0,364.0,87.0,6.0,1439.0,532.0,57.0,31.0,552.0,8675.0,722.0
81,675.0,307.0,56.0,1.0,6.0,2.0,649.0,44.0,31.0,4776.0,17.0,63.0,327.0,5.0,73.0,4.0,644.0,94.0,104.0,815.0,8399.0,1466.0,13.0,1574.0,10878.0,334.0,10.0,0.0,109.0,68.0
130,0.0,5.0,3.0,2.0,28.0,40.0,27.0,162.0,48.0,9.0,351.0,73.0,15.0,410.0,25.0,4.0,662.0,35.0,126.0,1837.0,272.0,568.0,42.0,17673.0,29.0,37.0,498.0,16701.0,22.0,6.0
179,0.0,22.0,33.0,406.0,37.0,191.0,7.0,2.0,196.0,53.0,36.0,30.0,6.0,11.0,178.0,1.0,6797.0,72.0,121.0,25.0,492.0,1461.0,35.0,17685.0,132.0,34.0,27.0,134.0,82.0,44.0
228,126.0,12.0,10.0,370.0,31.0,15.0,77.0,880.0,65.0,4664.0,362.0,60.0,19.0,26.0,1276.0,30.0,247.0,76.0,177.0,117.0,572.0,14.0,61.0,17583.0,10821.0,110.0,6.0,158.0,208.0,11671.0
277,104.0,311.0,11.0,0.0,109.0,6.0,12.0,6584.0,2.0,50.0,4.0,149.0,49.0,43.0,124.0,33.0,5831.0,1.0,98.0,17.0,95.0,47.0,19.0,17684.0,10901.0,245.0,89.0,16939.0,14.0,11573.0
326,6.0,0.0,13.0,4.0,2.0,16714.0,8.0,31.0,17.0,553.0,51.0,804.0,36.0,3.0,7.0,258.0,6813.0,210.0,739.0,49.0,18.0,478.0,69.0,2304.0,94.0,37.0,95.0,737.0,642.0,24.0
375,0.0,2.0,23.0,10.0,5.0,83.0,3.0,34.0,19.0,145.0,35.0,12.0,4.0,16.0,20.0,1.0,6825.0,18.0,22.0,9.0,254.0,103.0,97.0,942.0,10936.0,33.0,160.0,754.0,86.0,158.0
424,5.0,21.0,151.0,15.0,1.0,44.0,14.0,2.0,879.0,95.0,144.0,43.0,99.0,4146.0,162.0,24.0,6552.0,1167.0,13868.0,7.0,121.0,4.0,489.0,17548.0,11268.0,45.0,28.0,338.0,35.0,19.0
473,811.0,624.0,43.0,0.0,1.0,9.0,7.0,48.0,3.0,92.0,8.0,493.0,5.0,4337.0,15.0,79.0,507.0,6.0,617.0,1561.0,80.0,46.0,91.0,602.0,382.0,99.0,133.0,862.0,635.0,16.0
