,LOC100133267_DEL,DEFB130_DEL,ZNF705G_AMP,MYH9_MUT,USP17L7_DEL,RGPD4_AMP,FAM90A7P_DEL,TSPY4_DEL,DEFB4B_DEL,ZNF705D_DEL,RB1_MUT,MUC20_AMP,SPAG11A_DEL,LMTK2_MUT,TSPY3_DEL,LPA_AMP,LRRK2_MUT,FLNB_MUT,FAM86B1_DEL,LOC392196_DEL,FAM197Y5_DEL,ZNF705B_DEL,CHD1_MUT,UPK3B_AMP,MSTO2P_AMP,DAP3_AMP,HLA-DRB6_DEL,LOC100506776_DEL,OR2T11_AMP,PPARGC1A_MUT
32,37.0,4.0,347.0,6.0,32.0,663.0,66.0,14.0,10.0,171.0,10691.0,2957.0,5.0,1033.0,3.0,11.0,31.0,53.0,18.0,16.0,639.0,42.0,51.0,0.0,47.0,75.0,1344.0,169.0,7.0,124.0
81,2.0,1.0,3.0,78.0,0.0,13077.0,4.0,163.0,19.0,18.0,91.0,219.0,7.0,17.0,15.0,8.0,35.0,65.0,11.0,5.0,13.0,68.0,34.0,14.0,20.0,36.0,3199.0,521.0,318.0,58.0
130,45.0,0.0,25.0,147.0,13.0,645.0,3.0,5.0,21.0,43.0,17041.0,183.0,19.0,69.0,73.0,26.0,12.0,16711.0,96.0,1.0,16.0,18593.0,95.0,17.0,2.0,91.0,107.0,127.0,49.0,16690.0
179,9.0,1.0,11.0,18.0,24.0,13057.0,23.0,20.0,26.0,30.0,917.0,315.0,3.0,82.0,32.0,4.0,40.0,238.0,37.0,8.0,16.0,12.0,1225.0,115.0,6.0,7.0,1360.0,109.0,47.0,253.0
228,1.0,15.0,4.0,716.0,24.0,2445.0,42.0,0.0,301.0,68.0,61.0,137.0,40.0,7.0,8.0,20.0,5.0,50.0,9.0,148.0,11.0,63.0,183.0,2.0,18.0,1116.0,35.0,19042.0,82.0,16670.0
277,0.0,10.0,47.0,21.0,2.0,7.0,32.0,11.0,3.0,14.0,104.0,252.0,9.0,6.0,30.0,23.0,17.0,25.0,212.0,20.0,558.0,39.0,61.0,731.0,1.0,13.0,1732.0,19214.0,161.0,517.0
326,4.0,13.0,7.0,44.0,2.0,3002.0,5.0,9.0,40.0,1.0,87.0,36.0,8.0,18.0,16.0,162.0,396.0,15.0,26.0,108.0,31.0,27.0,209.0,12.0,0.0,3.0,706.0,71.0,101.0,16665.0
375,0.0,4.0,3.0,12.0,15.0,83.0,8.0,10.0,91.0,146.0,17022.0,35.0,26.0,17.0,5.0,2.0,11.0,18.0,21.0,1.0,47.0,14.0,245.0,62.0,58.0,27.0,67.0,78.0,19.0,16705.0
424,0.0,12.0,5.0,60.0,2.0,341.0,7.0,1.0,36.0,33.0,213.0,1021.0,4.0,25.0,29.0,3.0,9.0,34.0,40.0,6.0,23.0,18.0,22.0,71.0,246.0,90.0,282.0,19828.0,258.0,113.0
473,1.0,2.0,5.0,173.0,12.0,337.0,0.0,16.0,8.0,55.0,72.0,36.0,24.0,3.0,13.0,67.0,16672.0,38.0,984.0,4468.0,270.0,7.0,69.0,35.0,50.0,73.0,1724.0,3075.0,17.0,16665.0
