,ZBTB20_AMP,GRAMD1B_DEL,MTOR_MUT,RB1_MUT,ARID1A_MUT,CRTAM_DEL,FAM149A_DEL,MRGPRF_AMP,PIK3R4_MUT,KIR2DS4_DEL,PCDHA1_DEL,IGHMBP2_AMP,DEFB127_DEL,MRGPRD_AMP,PCDHA6_DEL,USP17L2_DEL,PKNOX2_DEL,PCDHA5_DEL,PCDHA7_DEL,NAALADL2_DEL,PCDHA4_DEL,USP17L7_DEL,PCDHA10_DEL,PHF8_DEL,PCDHA2_DEL,ADAM3A_AMP,ETS1_DEL,DEFB130_DEL,ZNF705D_DEL,SGCZ_AMP
32,11.0,12868.0,3.0,15.0,17088.0,195.0,68.0,19.0,2801.0,9.0,12359.0,23.0,89.0,58.0,90.0,5.0,101.0,611.0,12470.0,102.0,12469.0,39.0,261.0,51.0,2301.0,17636.0,2245.0,67.0,133.0,424.0
81,1.0,12642.0,0.0,16.0,12.0,574.0,6.0,67.0,85.0,225.0,31.0,15317.0,1296.0,54.0,107.0,117.0,109.0,119.0,588.0,6957.0,136.0,451.0,1188.0,345.0,319.0,17681.0,5093.0,63.0,11.0,66.0
130,1.0,103.0,0.0,3.0,36.0,96.0,43.0,30.0,2.0,4039.0,2097.0,238.0,5438.0,54.0,12398.0,4062.0,2276.0,12397.0,392.0,7295.0,219.0,3089.0,575.0,9.0,146.0,17658.0,2142.0,3055.0,198.0,17368.0
179,39.0,9124.0,33.0,66.0,0.0,7.0,5.0,3.0,37.0,73.0,129.0,12.0,1153.0,19.0,58.0,4250.0,397.0,512.0,20.0,64.0,600.0,1019.0,150.0,80.0,54.0,17807.0,817.0,7201.0,324.0,2485.0
228,22.0,520.0,242.0,44.0,3.0,25.0,530.0,53.0,9.0,61.0,17.0,18.0,5012.0,40.0,6.0,327.0,319.0,68.0,45.0,3041.0,246.0,304.0,20.0,41.0,37.0,303.0,455.0,185.0,503.0,17376.0
277,0.0,12897.0,39.0,25.0,304.0,12300.0,5.0,30.0,7.0,1689.0,29.0,38.0,5389.0,41.0,169.0,79.0,11624.0,9.0,28.0,112.0,6.0,311.0,15.0,43.0,100.0,318.0,5316.0,17.0,1217.0,31.0
326,0.0,11758.0,3.0,6.0,27.0,111.0,8.0,654.0,169.0,809.0,91.0,32.0,4850.0,45.0,16.0,11.0,590.0,83.0,148.0,7126.0,181.0,9.0,17.0,98.0,23.0,17727.0,425.0,15.0,2.0,1154.0
375,30.0,98.0,48.0,696.0,839.0,9.0,17.0,736.0,3.0,1153.0,13.0,255.0,6136.0,1124.0,69.0,34.0,1117.0,119.0,29.0,2399.0,44.0,55.0,66.0,39.0,156.0,17787.0,7288.0,204.0,271.0,76.0
424,0.0,476.0,16729.0,7.0,5.0,43.0,82.0,79.0,689.0,87.0,425.0,44.0,743.0,389.0,1287.0,291.0,72.0,318.0,12496.0,61.0,88.0,24.0,464.0,323.0,12494.0,150.0,9.0,711.0,15.0,181.0
473,1.0,12741.0,0.0,15.0,5.0,101.0,120.0,48.0,322.0,14.0,1044.0,55.0,57.0,33.0,230.0,3815.0,28.0,213.0,77.0,6969.0,115.0,2594.0,2462.0,80.0,99.0,21.0,1863.0,7264.0,1007.0,17277.0
522,32.0,203.0,1004.0,242.0,102.0,51.0,37.0,430.0,16486.0,633.0,5.0,2863.0,41.0,81.0,48.0,450.0,0.0,2.0,11.0,1.0,42.0,1086.0,12.0,5862.0,4.0,17665.0,108.0,5905.0,2384.0,200.0
571,8.0,14.0,1.0,11.0,4.0,68.0,1121.0,233.0,16455.0,19.0,5.0,487.0,41.0,18368.0,12.0,38.0,13.0,522.0,77.0,2537.0,115.0,221.0,222.0,195.0,3.0,33.0,44.0,184.0,23.0,622.0
620,5.0,20.0,1.0,0.0,8.0,29.0,14.0,160.0,577.0,894.0,21.0,15039.0,32.0,18483.0,97.0,75.0,28.0,498.0,25.0,68.0,11994.0,162.0,115.0,503.0,39.0,17762.0,49.0,7059.0,587.0,187.0
669,498.0,41.0,0.0,15.0,17029.0,21.0,22.0,18503.0,80.0,428.0,7.0,15045.0,25.0,18505.0,130.0,162.0,23.0,17.0,9.0,124.0,40.0,2341.0,76.0,94.0,32.0,198.0,1098.0,121.0,42.0,6.0
718,0.0,10.0,27.0,153.0,17085.0,5.0,18.0,18478.0,74.0,93.0,105.0,121.0,21.0,426.0,12634.0,80.0,91.0,12611.0,25.0,94.0,69.0,30.0,14.0,6945.0,138.0,2.0,45.0,35.0,34.0,154.0
767,0.0,29.0,5.0,17.0,9.0,7.0,77.0,384.0,1066.0,296.0,1091.0,168.0,20.0,63.0,12519.0,57.0,2404.0,12518.0,1670.0,1430.0,409.0,2.0,12520.0,5213.0,270.0,45.0,4.0,55.0,18.0,80.0
816,0.0,39.0,11.0,13.0,2.0,16.0,4.0,19.0,1125.0,575.0,12463.0,79.0,85.0,35.0,428.0,51.0,18.0,153.0,141.0,265.0,634.0,38.0,30.0,942.0,662.0,210.0,103.0,89.0,10.0,5.0
865,7.0,13.0,0.0,48.0,18.0,6.0,121.0,83.0,160.0,70.0,118.0,77.0,16.0,18491.0,12455.0,395.0,107.0,29.0,199.0,200.0,12454.0,3993.0,144.0,5971.0,1028.0,73.0,449.0,2433.0,939.0,14.0
914,1330.0,8.0,1.0,22.0,162.0,53.0,0.0,1312.0,1610.0,579.0,1034.0,1412.0,106.0,1519.0,1091.0,100.0,2595.0,503.0,605.0,46.0,11606.0,107.0,11589.0,1092.0,11604.0,1148.0,58.0,2918.0,298.0,17251.0
963,0.0,19.0,4.0,21.0,40.0,55.0,33.0,1111.0,348.0,23.0,141.0,897.0,9.0,18442.0,171.0,27.0,235.0,226.0,724.0,6253.0,11707.0,115.0,472.0,418.0,116.0,186.0,1256.0,17.0,172.0,231.0
1012,35.0,38.0,183.0,6.0,145.0,210.0,27.0,5.0,98.0,55.0,24.0,7.0,427.0,45.0,21.0,217.0,140.0,155.0,17.0,76.0,258.0,413.0,9.0,6660.0,1.0,116.0,5174.0,653.0,36.0,637.0
1061,0.0,5.0,782.0,217.0,27.0,39.0,45.0,10.0,538.0,42.0,12411.0,13.0,1436.0,67.0,12523.0,152.0,2711.0,12522.0,2660.0,52.0,2313.0,37.0,698.0,7211.0,12412.0,84.0,484.0,180.0,139.0,53.0
1110,0.0,31.0,694.0,15.0,22.0,38.0,27.0,9.0,16500.0,20.0,17.0,4.0,39.0,12.0,34.0,148.0,1399.0,28.0,1052.0,2.0,105.0,111.0,12292.0,6150.0,246.0,1437.0,2930.0,25.0,46.0,21.0
1159,46.0,51.0,1.0,17006.0,2731.0,2.0,17.0,64.0,85.0,4.0,1065.0,33.0,34.0,600.0,1023.0,641.0,28.0,494.0,200.0,2183.0,411.0,5.0,339.0,260.0,2324.0,17771.0,77.0,45.0,121.0,727.0
1208,84.0,9.0,28.0,119.0,89.0,29.0,10.0,381.0,61.0,5.0,12454.0,15036.0,5315.0,178.0,12459.0,570.0,233.0,12458.0,12460.0,50.0,12457.0,94.0,1060.0,53.0,12455.0,402.0,99.0,39.0,69.0,124.0
1257,0.0,20.0,2.0,518.0,102.0,108.0,56.0,607.0,1082.0,34.0,18.0,265.0,31.0,27.0,55.0,171.0,51.0,300.0,223.0,2652.0,456.0,72.0,191.0,892.0,8685.0,61.0,2793.0,1286.0,285.0,260.0
1306,1.0,2.0,0.0,185.0,682.0,11.0,8.0,58.0,924.0,15.0,2949.0,39.0,12.0,33.0,12280.0,93.0,2955.0,231.0,1243.0,7076.0,12279.0,73.0,1206.0,6966.0,12278.0,853.0,990.0,1095.0,1473.0,576.0
1355,4.0,42.0,213.0,797.0,789.0,22.0,200.0,18487.0,114.0,45.0,522.0,15044.0,288.0,56.0,12226.0,82.0,284.0,784.0,291.0,37.0,203.0,1.0,12227.0,6705.0,1530.0,2.0,118.0,14.0,20.0,500.0
1404,91.0,131.0,399.0,490.0,84.0,24.0,3.0,101.0,16.0,0.0,12381.0,7.0,1066.0,56.0,232.0,63.0,11555.0,12491.0,1936.0,37.0,12382.0,41.0,89.0,44.0,2498.0,177.0,5285.0,42.0,2.0,17324.0
1453,1.0,9.0,430.0,17.0,17047.0,26.0,18.0,65.0,103.0,168.0,290.0,30.0,1068.0,149.0,112.0,261.0,71.0,256.0,166.0,14.0,122.0,7.0,20.0,6870.0,88.0,205.0,77.0,105.0,8364.0,5.0
1502,45.0,12.0,1048.0,8.0,5.0,94.0,368.0,1467.0,83.0,0.0,980.0,51.0,16.0,342.0,114.0,107.0,2241.0,158.0,47.0,1840.0,461.0,1064.0,279.0,115.0,84.0,32.0,74.0,3135.0,320.0,39.0
1551,6.0,116.0,179.0,36.0,17072.0,677.0,6988.0,41.0,113.0,2.0,246.0,32.0,16.0,30.0,12893.0,5154.0,43.0,127.0,2444.0,2863.0,12724.0,249.0,843.0,11.0,121.0,13.0,205.0,3051.0,37.0,868.0
1600,0.0,583.0,38.0,10.0,437.0,12285.0,7169.0,30.0,11.0,117.0,5.0,120.0,552.0,167.0,127.0,80.0,131.0,150.0,763.0,125.0,23.0,159.0,105.0,333.0,31.0,7.0,49.0,3071.0,832.0,119.0
1649,0.0,1656.0,17.0,10.0,45.0,12400.0,390.0,18378.0,63.0,94.0,239.0,238.0,19.0,18380.0,12526.0,4667.0,135.0,110.0,252.0,156.0,12525.0,68.0,1099.0,7045.0,12523.0,112.0,9.0,7274.0,144.0,256.0
1698,0.0,12.0,1162.0,6.0,853.0,889.0,301.0,18520.0,47.0,4.0,279.0,15357.0,8.0,18522.0,235.0,188.0,16.0,12178.0,27.0,2997.0,187.0,713.0,94.0,335.0,12175.0,17714.0,7.0,6848.0,239.0,17340.0
1747,0.0,681.0,20.0,572.0,17026.0,828.0,5531.0,18498.0,6.0,18.0,12355.0,15034.0,75.0,2266.0,768.0,4646.0,29.0,211.0,445.0,138.0,327.0,10.0,585.0,43.0,388.0,17764.0,5.0,52.0,24.0,446.0
1796,0.0,140.0,57.0,11.0,101.0,49.0,12.0,22028.0,9.0,1.0,355.0,17740.0,29.0,178.0,55.0,659.0,289.0,15.0,27.0,111.0,997.0,395.0,46.0,45.0,166.0,528.0,20.0,3079.0,319.0,223.0
1845,3.0,11.0,22.0,1.0,21.0,41.0,206.0,102.0,7.0,20.0,167.0,225.0,9.0,107.0,744.0,3362.0,24.0,2770.0,156.0,2036.0,158.0,1219.0,12268.0,82.0,12267.0,4.0,286.0,6011.0,2699.0,224.0
1894,0.0,28.0,101.0,247.0,4.0,95.0,33.0,13991.0,22.0,59.0,37.0,1063.0,30.0,1365.0,64.0,1215.0,6.0,48.0,109.0,438.0,14.0,3203.0,193.0,87.0,32.0,16953.0,16.0,7740.0,266.0,16177.0
1943,1.0,9.0,0.0,461.0,88.0,317.0,69.0,18474.0,109.0,15.0,1490.0,15031.0,110.0,643.0,12226.0,131.0,1634.0,968.0,12227.0,7083.0,12225.0,137.0,12228.0,32.0,12223.0,17659.0,3.0,469.0,8442.0,17284.0
