,XXbac-BPG181B23.7,PCDHB6,PCDHB2,MICALL1,VANGL2,PTH2R,IQCA1,RNF208,RIN2,AMOT,GALNT14,S100A2,TEX15,PPP1R14C,HOXA4,UGT2B7,LDOC1,TMEM117,RP11-2B6.3,CTD-2514C3.1,SCD5,HMGA1P4,RP11-609L3.1,AKR1E2,CTB-36O1.3,KCTD21-AS1,PCDHA6,CCND2,PABPC4L,SP140L
9,6.0,1.0,0.0,59.0,13.0,33.0,26.0,122.0,38.0,4.0,11.0,25.0,2.0,72.0,5.0,12.0,125.0,499.0,9.0,14.0,46.0,3.0,80.0,378.0,120.0,40.0,159.0,10.0,22.0,29.0
58,2.0,6.0,8.0,3.0,21.0,28.0,43.0,93.0,152.0,0.0,36.0,149.0,20.0,17.0,90.0,218.0,14168.0,841.0,210.0,41.0,37.0,11.0,99.0,1239.0,329.0,285.0,51.0,16.0,147.0,12.0
107,3.0,35.0,27.0,105.0,9.0,1.0,21.0,96.0,33.0,4.0,14.0,111.0,37.0,95.0,8.0,44.0,373.0,624.0,43.0,321.0,90.0,6.0,143.0,122.0,300.0,291.0,41.0,0.0,46.0,10.0
156,9.0,0.0,12.0,33.0,39.0,23.0,24.0,76.0,8.0,28.0,10.0,61.0,18.0,54.0,11.0,26.0,1376.0,1667.0,45.0,17.0,15.0,3.0,59.0,1069.0,5.0,130.0,44.0,4.0,37.0,43.0
205,15.0,4.0,90.0,6.0,14.0,13.0,86.0,17.0,18.0,21.0,28.0,92.0,3.0,87.0,27.0,9.0,2739.0,1660.0,99.0,0.0,64.0,1.0,16.0,555.0,128.0,251.0,30.0,25.0,49.0,5.0
254,20.0,2.0,4.0,38.0,82.0,22.0,3.0,70.0,19.0,97.0,76.0,49.0,1.0,11.0,9.0,28.0,141.0,979.0,14.0,328.0,90.0,0.0,42.0,3098.0,75.0,327.0,46.0,26.0,51.0,88.0
303,4.0,6.0,15.0,18.0,24.0,5.0,32.0,17.0,122.0,42.0,141.0,23.0,37.0,0.0,16.0,80.0,1386.0,1614.0,10.0,3.0,29.0,2.0,31.0,767.0,2122.0,178.0,28.0,110.0,109.0,51.0
352,6.0,91.0,264.0,11.0,51.0,9.0,132.0,35.0,42.0,10.0,47.0,23.0,12.0,69.0,4.0,3.0,83.0,225.0,49.0,59.0,34.0,2.0,85.0,959.0,63.0,342.0,22.0,25.0,106.0,52.0
401,17.0,22.0,373.0,20.0,21.0,14.0,62.0,79.0,26.0,18.0,353.0,144.0,4.0,2.0,10.0,23.0,385.0,532.0,45.0,1.0,58.0,11.0,93.0,251.0,81.0,67.0,364.0,39.0,37.0,19.0
450,7.0,1.0,68.0,29.0,28.0,38.0,39.0,36.0,14.0,3.0,63.0,174.0,114.0,82.0,15.0,21.0,510.0,721.0,33.0,34.0,5.0,13.0,84.0,819.0,25.0,136.0,222.0,2.0,4.0,9.0
499,1.0,0.0,16.0,3.0,44.0,24.0,49.0,10.0,97.0,229.0,215.0,134.0,537.0,22.0,38.0,30.0,133.0,13.0,148.0,2.0,20.0,90.0,4.0,5.0,15.0,9.0,108.0,17.0,32.0,58.0
548,0.0,1.0,26.0,6.0,18.0,78.0,7.0,9.0,164.0,214.0,152.0,64.0,209.0,79.0,2.0,20.0,34.0,14.0,35.0,21.0,33.0,237.0,65.0,32.0,37.0,5.0,501.0,68.0,62.0,38.0
597,0.0,4.0,27.0,1.0,180.0,36.0,40.0,11.0,460.0,165.0,155.0,19.0,371.0,30.0,16.0,25.0,771.0,103.0,28.0,2.0,157.0,69.0,5.0,13.0,53.0,7.0,21.0,34.0,20.0,64.0
646,1.0,6.0,9.0,23.0,21.0,98.0,18.0,13.0,118.0,45.0,14.0,54.0,306.0,181.0,61.0,19.0,16.0,175.0,27.0,0.0,10.0,82.0,3.0,32.0,11.0,34.0,300.0,25.0,24.0,28.0
695,0.0,6.0,2.0,23.0,62.0,14.0,37.0,64.0,21.0,379.0,73.0,31.0,550.0,30.0,22.0,67.0,18.0,149.0,32.0,451.0,39.0,101.0,10.0,42.0,59.0,11.0,54.0,3.0,25.0,33.0
744,5.0,0.0,57.0,8.0,434.0,58.0,51.0,42.0,403.0,1175.0,15.0,14.0,30.0,127.0,25.0,11.0,1909.0,16.0,26.0,20.0,7.0,151.0,9.0,288.0,3.0,4.0,142.0,74.0,6.0,139.0
793,0.0,1.0,5.0,10.0,36.0,9.0,33.0,19.0,53.0,1072.0,270.0,62.0,169.0,181.0,40.0,166.0,388.0,46.0,99.0,4.0,26.0,44.0,14.0,6.0,38.0,3.0,92.0,15.0,22.0,285.0
842,1.0,14.0,19.0,5.0,13.0,383.0,28.0,3.0,101.0,52.0,8.0,9.0,437.0,11.0,40.0,16.0,18.0,256.0,10.0,0.0,17.0,138.0,2.0,76.0,4.0,15.0,424.0,394.0,44.0,49.0
891,2.0,1.0,0.0,5.0,18.0,11.0,50.0,25.0,81.0,197.0,68.0,569.0,144.0,56.0,34.0,78.0,642.0,22.0,212.0,13.0,115.0,52.0,29.0,9.0,15.0,7.0,215.0,121.0,31.0,10.0
940,19.0,3.0,4.0,21.0,35.0,23.0,61.0,8.0,58.0,459.0,191.0,84.0,57.0,41.0,37.0,66.0,1016.0,251.0,2.0,0.0,133.0,97.0,10.0,159.0,22.0,14.0,49.0,890.0,48.0,45.0
989,5.0,4.0,13.0,16.0,0.0,19.0,1.0,22.0,53.0,229.0,196.0,47.0,30.0,25.0,21.0,50.0,31.0,77.0,178.0,63.0,32.0,27.0,40.0,1000.0,23.0,39.0,118.0,17.0,41.0,73.0
1038,0.0,26.0,9.0,23.0,1.0,16.0,2.0,17.0,4.0,67.0,29.0,7.0,13.0,79.0,77.0,30.0,33.0,38.0,22.0,11.0,130.0,48.0,28.0,178.0,46.0,12.0,185.0,111.0,57.0,95.0
1087,0.0,29.0,21.0,28.0,1.0,7.0,6.0,39.0,13.0,111.0,88.0,67.0,19.0,26.0,42.0,43.0,11.0,8.0,97.0,355.0,27.0,80.0,32.0,57.0,58.0,84.0,87.0,59.0,15.0,79.0
1136,5.0,3.0,1.0,150.0,2.0,39.0,7.0,16.0,186.0,70.0,6.0,22.0,47.0,34.0,18.0,81.0,64.0,20.0,86.0,6404.0,36.0,52.0,292.0,56.0,1558.0,85.0,31.0,12.0,127.0,40.0
1185,0.0,17.0,154.0,15.0,2.0,214.0,41.0,4.0,39.0,77.0,138.0,8.0,10.0,310.0,127.0,93.0,82.0,19.0,50.0,123.0,1.0,33.0,151.0,241.0,27.0,96.0,402.0,56.0,58.0,109.0
1234,0.0,1.0,21.0,50.0,5.0,33.0,22.0,10.0,166.0,3.0,117.0,8.0,2.0,7.0,6.0,11.0,265.0,55.0,29.0,194.0,36.0,24.0,204.0,534.0,31.0,42.0,191.0,143.0,41.0,32.0
1283,1.0,24.0,40.0,46.0,10.0,4.0,9.0,23.0,34.0,12.0,59.0,11.0,74.0,45.0,27.0,6.0,15.0,7.0,119.0,77.0,70.0,60.0,29.0,1377.0,49.0,62.0,152.0,602.0,193.0,32.0
1332,0.0,33.0,20.0,86.0,19.0,65.0,1.0,38.0,48.0,42.0,37.0,63.0,718.0,17.0,10.0,9.0,13.0,29.0,22.0,316.0,36.0,162.0,107.0,397.0,26.0,100.0,1304.0,130.0,27.0,83.0
