,hsa-miR-142-5p,hsa-miR-1307,hsa-miR-548b-5p,hsa-miR-584,hsa-miR-1908,hsa-miR-1976,hsa-miR-190,ebv-miR-BART13,hsa-miR-1271,hsa-miR-143,hsa-miR-1227,hsa-miR-668,hsa-miR-150,hsa-miR-384,hsa-miR-1285,hsa-miR-606,hsa-miR-550,hsa-miR-1233,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-628-5p,hsa-miR-1977,hsa-miR-423-3p,hsa-miR-330-3p,hsa-miR-148a,hsa-miR-1256,ebv-miR-BART20-5p,hsv1-miR-H7,hsa-miR-1321,hsa-miR-548q,hsa-miR-491-3p
16,0.0,4.0,111.0,47.0,1.0,5.0,23.0,2.0,13.0,19.0,14.0,7.0,15.0,27.0,57.0,11.0,21.0,68.0,10.0,59.0,30.0,105.0,12.0,9.0,134.0,16.0,33.0,54.0,18.0,6.0
65,0.0,1.0,57.0,14.0,11.0,17.0,4.0,2.0,21.0,10.0,16.0,24.0,6.0,20.0,30.0,62.0,5.0,28.0,31.0,33.0,7.0,88.0,3.0,314.0,12.0,25.0,68.0,147.0,43.0,87.0
114,0.0,3.0,57.0,22.0,2.0,5.0,7.0,1.0,17.0,9.0,50.0,13.0,6.0,21.0,51.0,4.0,12.0,10.0,15.0,48.0,31.0,66.0,16.0,41.0,61.0,58.0,32.0,86.0,11.0,25.0
163,0.0,10.0,52.0,2.0,4.0,11.0,17.0,6.0,16.0,18.0,19.0,3.0,8.0,38.0,51.0,26.0,12.0,14.0,15.0,55.0,9.0,113.0,78.0,33.0,107.0,35.0,28.0,77.0,116.0,69.0
212,0.0,2.0,35.0,54.0,1.0,21.0,32.0,16.0,12.0,6.0,24.0,26.0,8.0,29.0,17.0,23.0,11.0,10.0,22.0,204.0,4.0,77.0,37.0,58.0,66.0,20.0,73.0,122.0,78.0,79.0
261,0.0,22.0,1.0,13.0,8.0,17.0,46.0,3.0,2.0,15.0,14.0,25.0,9.0,19.0,32.0,10.0,20.0,21.0,11.0,53.0,5.0,94.0,6.0,148.0,214.0,70.0,24.0,110.0,43.0,30.0
310,0.0,12.0,17.0,2.0,27.0,1.0,66.0,11.0,129.0,23.0,4.0,3.0,14.0,30.0,86.0,65.0,9.0,61.0,29.0,95.0,6.0,42.0,7.0,137.0,104.0,25.0,43.0,26.0,8.0,39.0
359,2.0,6.0,5.0,7.0,8.0,0.0,28.0,10.0,55.0,18.0,16.0,9.0,20.0,41.0,26.0,30.0,44.0,23.0,13.0,38.0,12.0,50.0,1.0,4.0,81.0,34.0,67.0,112.0,51.0,68.0
408,0.0,11.0,12.0,31.0,1.0,27.0,35.0,3.0,34.0,5.0,15.0,23.0,8.0,43.0,14.0,9.0,2.0,10.0,6.0,81.0,116.0,75.0,4.0,88.0,127.0,45.0,39.0,110.0,30.0,24.0
457,0.0,51.0,9.0,28.0,2.0,1.0,16.0,6.0,8.0,19.0,24.0,4.0,22.0,12.0,20.0,3.0,90.0,72.0,44.0,68.0,33.0,48.0,5.0,60.0,122.0,41.0,35.0,62.0,87.0,145.0
506,0.0,2.0,5.0,3.0,19.0,7.0,9.0,31.0,10.0,205.0,32.0,18.0,45.0,27.0,46.0,41.0,6.0,58.0,24.0,93.0,21.0,52.0,37.0,302.0,1.0,120.0,106.0,33.0,16.0,14.0
555,0.0,6.0,4.0,2.0,8.0,1.0,18.0,43.0,19.0,22.0,25.0,26.0,13.0,61.0,53.0,3.0,15.0,54.0,5.0,73.0,11.0,69.0,9.0,131.0,7.0,72.0,75.0,155.0,56.0,21.0
604,0.0,1.0,2.0,13.0,29.0,11.0,48.0,9.0,5.0,92.0,33.0,32.0,7.0,10.0,22.0,4.0,24.0,18.0,15.0,72.0,69.0,75.0,45.0,20.0,21.0,266.0,94.0,46.0,17.0,80.0
653,0.0,8.0,112.0,34.0,29.0,6.0,18.0,9.0,14.0,57.0,78.0,31.0,22.0,13.0,62.0,7.0,59.0,46.0,47.0,44.0,180.0,122.0,25.0,19.0,12.0,74.0,149.0,110.0,21.0,2.0
702,0.0,1.0,9.0,3.0,5.0,14.0,13.0,32.0,7.0,137.0,26.0,6.0,17.0,105.0,34.0,10.0,8.0,95.0,57.0,22.0,243.0,50.0,43.0,12.0,2.0,201.0,33.0,11.0,39.0,16.0
751,0.0,1.0,30.0,5.0,10.0,3.0,13.0,62.0,24.0,72.0,8.0,9.0,21.0,22.0,20.0,6.0,4.0,59.0,16.0,31.0,29.0,77.0,79.0,76.0,2.0,124.0,118.0,83.0,53.0,11.0
800,0.0,2.0,10.0,3.0,4.0,8.0,13.0,7.0,6.0,141.0,18.0,14.0,11.0,38.0,22.0,15.0,1.0,24.0,71.0,108.0,26.0,103.0,164.0,96.0,16.0,203.0,91.0,262.0,19.0,43.0
849,0.0,1.0,7.0,3.0,12.0,21.0,11.0,8.0,4.0,124.0,17.0,18.0,9.0,50.0,29.0,79.0,13.0,54.0,31.0,20.0,22.0,107.0,42.0,82.0,2.0,58.0,102.0,80.0,23.0,45.0
898,0.0,1.0,9.0,2.0,30.0,5.0,8.0,14.0,38.0,209.0,33.0,16.0,10.0,64.0,36.0,11.0,6.0,63.0,35.0,17.0,149.0,74.0,20.0,43.0,4.0,44.0,65.0,72.0,79.0,7.0
947,0.0,1.0,62.0,4.0,26.0,2.0,83.0,52.0,23.0,68.0,38.0,16.0,12.0,15.0,128.0,13.0,5.0,50.0,57.0,6.0,9.0,166.0,34.0,41.0,3.0,71.0,37.0,45.0,17.0,10.0
996,1.0,66.0,0.0,36.0,8.0,2.0,5.0,16.0,3.0,19.0,12.0,17.0,33.0,77.0,23.0,6.0,26.0,65.0,13.0,51.0,7.0,41.0,57.0,164.0,25.0,34.0,45.0,53.0,102.0,82.0
