,hsa-miR-222,hsa-miR-34a,hsa-miR-130a,hsa-miR-99a,hsa-miR-345,hsa-miR-497,hsa-let-7c,hsa-miR-218,hsa-miR-342-3p,hsa-miR-215,hsa-miR-223,hsa-miR-9,hsa-miR-1469,hsa-miR-1302,hsa-miR-483-3p,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-135b,hsa-miR-582-5p,hsa-miR-615-3p,hsa-miR-219-2-3p,hsa-miR-526b,hsa-miR-331-3p,hsa-miR-149,hsa-miR-195,hsa-miR-1260,hsa-miR-595,hsa-miR-766,hsa-miR-129-3p,hsa-miR-508-3p,hsa-miR-877
18,0.0,4.0,2.0,5.0,23.0,1.0,9.0,3.0,7.0,13.0,20.0,21.0,11.0,289.0,56.0,15.0,16.0,207.0,206.0,14.0,58.0,22.0,116.0,25.0,19.0,106.0,44.0,26.0,54.0,42.0
67,1.0,0.0,2.0,17.0,5.0,4.0,3.0,25.0,6.0,8.0,452.0,34.0,11.0,44.0,13.0,12.0,22.0,26.0,7.0,30.0,131.0,339.0,91.0,14.0,157.0,21.0,62.0,50.0,105.0,20.0
116,0.0,3.0,2.0,1.0,6.0,4.0,8.0,9.0,15.0,5.0,19.0,10.0,182.0,12.0,47.0,14.0,34.0,13.0,27.0,7.0,49.0,107.0,23.0,39.0,37.0,21.0,41.0,62.0,157.0,241.0
165,0.0,1.0,2.0,8.0,5.0,7.0,4.0,9.0,20.0,95.0,319.0,14.0,19.0,10.0,3.0,11.0,16.0,256.0,12.0,25.0,30.0,18.0,156.0,39.0,44.0,6.0,29.0,32.0,33.0,190.0
214,0.0,4.0,15.0,1.0,6.0,2.0,10.0,9.0,3.0,20.0,103.0,33.0,8.0,44.0,14.0,62.0,274.0,32.0,7.0,69.0,117.0,52.0,60.0,5.0,19.0,126.0,12.0,17.0,22.0,84.0
263,0.0,7.0,48.0,4.0,15.0,1.0,2.0,12.0,18.0,19.0,11.0,3.0,16.0,6.0,5.0,9.0,364.0,109.0,8.0,14.0,64.0,73.0,10.0,42.0,22.0,62.0,102.0,193.0,24.0,279.0
312,0.0,13.0,8.0,3.0,2.0,9.0,25.0,7.0,5.0,115.0,22.0,12.0,6.0,4.0,19.0,29.0,14.0,31.0,1.0,15.0,154.0,17.0,33.0,58.0,24.0,20.0,49.0,83.0,21.0,318.0
361,0.0,6.0,3.0,1.0,4.0,8.0,5.0,2.0,23.0,7.0,19.0,10.0,18.0,16.0,14.0,96.0,20.0,155.0,46.0,38.0,62.0,39.0,21.0,29.0,250.0,11.0,167.0,13.0,50.0,64.0
410,1.0,0.0,5.0,3.0,64.0,2.0,6.0,82.0,4.0,9.0,30.0,24.0,13.0,44.0,7.0,206.0,85.0,11.0,19.0,42.0,94.0,39.0,77.0,8.0,15.0,33.0,40.0,65.0,20.0,233.0
459,0.0,1.0,9.0,3.0,8.0,6.0,4.0,2.0,12.0,59.0,33.0,44.0,18.0,15.0,11.0,16.0,71.0,5.0,41.0,13.0,45.0,42.0,51.0,7.0,43.0,23.0,139.0,183.0,22.0,39.0
