,hsa-miR-222,hsa-miR-34a,hsa-miR-130a,hsa-miR-99a,hsa-miR-345,hsa-miR-497,hsa-let-7c,hsa-miR-218,hsa-miR-342-3p,hsa-miR-215,hsa-miR-223,hsa-miR-9,hsa-miR-1469,hsa-miR-1302,hsa-miR-483-3p,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-135b,hsa-miR-582-5p,hsa-miR-615-3p,hsa-miR-219-2-3p,hsa-miR-526b,hsa-miR-331-3p,hsa-miR-149,hsa-miR-195,hsa-miR-1260,hsa-miR-595,hsa-miR-766,hsa-miR-129-3p,hsa-miR-508-3p,hsa-miR-877
508,0.0,3.0,5.0,1.0,12.0,2.0,8.0,11.0,6.0,87.0,15.0,17.0,38.0,4.0,7.0,10.0,109.0,23.0,425.0,19.0,37.0,9.0,35.0,61.0,14.0,45.0,114.0,230.0,284.0,126.0
557,0.0,1.0,2.0,3.0,7.0,8.0,15.0,6.0,5.0,33.0,4.0,70.0,46.0,11.0,44.0,9.0,298.0,13.0,10.0,12.0,16.0,25.0,14.0,38.0,270.0,69.0,49.0,153.0,57.0,43.0
606,0.0,2.0,1.0,3.0,12.0,8.0,6.0,32.0,5.0,25.0,7.0,24.0,14.0,29.0,20.0,4.0,36.0,9.0,114.0,10.0,18.0,111.0,301.0,198.0,98.0,55.0,116.0,71.0,133.0,239.0
655,1.0,0.0,12.0,8.0,6.0,2.0,10.0,14.0,5.0,41.0,11.0,17.0,38.0,25.0,3.0,7.0,9.0,4.0,19.0,40.0,58.0,35.0,29.0,34.0,138.0,129.0,59.0,431.0,49.0,22.0
704,1.0,0.0,2.0,4.0,8.0,6.0,19.0,7.0,10.0,60.0,3.0,37.0,21.0,13.0,5.0,14.0,48.0,11.0,25.0,34.0,129.0,75.0,15.0,9.0,556.0,96.0,206.0,203.0,65.0,162.0
753,2.0,7.0,1.0,5.0,9.0,0.0,3.0,6.0,19.0,18.0,11.0,10.0,22.0,4.0,47.0,8.0,24.0,16.0,20.0,25.0,58.0,51.0,12.0,21.0,349.0,79.0,14.0,41.0,213.0,40.0
802,0.0,1.0,5.0,7.0,8.0,4.0,3.0,2.0,10.0,21.0,9.0,17.0,42.0,11.0,61.0,6.0,469.0,20.0,14.0,33.0,45.0,27.0,15.0,23.0,102.0,13.0,40.0,243.0,24.0,77.0
851,0.0,1.0,18.0,2.0,4.0,15.0,7.0,19.0,11.0,26.0,21.0,5.0,23.0,39.0,3.0,6.0,10.0,8.0,41.0,14.0,36.0,33.0,82.0,17.0,128.0,40.0,46.0,216.0,22.0,38.0
900,0.0,7.0,4.0,2.0,3.0,18.0,87.0,31.0,37.0,12.0,13.0,16.0,29.0,5.0,6.0,8.0,79.0,1.0,15.0,179.0,14.0,42.0,55.0,9.0,22.0,11.0,38.0,35.0,262.0,20.0
949,0.0,5.0,1.0,4.0,2.0,8.0,7.0,12.0,3.0,47.0,16.0,73.0,22.0,13.0,10.0,11.0,6.0,160.0,24.0,19.0,9.0,59.0,226.0,17.0,119.0,54.0,14.0,228.0,26.0,155.0
998,1.0,0.0,3.0,2.0,9.0,5.0,6.0,4.0,18.0,44.0,41.0,188.0,12.0,16.0,91.0,46.0,7.0,104.0,32.0,89.0,525.0,158.0,8.0,14.0,70.0,26.0,30.0,34.0,23.0,335.0
1047,1.0,0.0,5.0,4.0,2.0,10.0,9.0,3.0,15.0,26.0,20.0,17.0,38.0,14.0,6.0,13.0,7.0,33.0,85.0,60.0,65.0,83.0,69.0,57.0,23.0,24.0,8.0,47.0,76.0,27.0
1096,0.0,1.0,7.0,3.0,2.0,5.0,6.0,14.0,8.0,27.0,17.0,20.0,12.0,59.0,18.0,35.0,4.0,13.0,90.0,16.0,204.0,55.0,47.0,120.0,28.0,24.0,10.0,64.0,91.0,44.0
1145,1.0,0.0,3.0,7.0,8.0,14.0,16.0,5.0,4.0,9.0,45.0,43.0,66.0,19.0,6.0,15.0,2.0,23.0,40.0,10.0,121.0,18.0,195.0,127.0,92.0,12.0,20.0,48.0,249.0,21.0
1194,2.0,1.0,4.0,0.0,5.0,15.0,3.0,19.0,8.0,9.0,21.0,12.0,18.0,7.0,10.0,23.0,13.0,157.0,11.0,43.0,35.0,31.0,33.0,26.0,17.0,185.0,14.0,83.0,143.0,20.0
1243,1.0,0.0,5.0,2.0,3.0,11.0,10.0,8.0,4.0,22.0,6.0,17.0,19.0,131.0,7.0,37.0,16.0,60.0,43.0,18.0,76.0,160.0,404.0,64.0,228.0,14.0,20.0,36.0,25.0,26.0
1292,1.0,0.0,3.0,2.0,9.0,14.0,20.0,5.0,4.0,12.0,19.0,10.0,29.0,13.0,18.0,87.0,6.0,17.0,11.0,30.0,359.0,35.0,57.0,21.0,132.0,7.0,8.0,24.0,42.0,80.0
1341,3.0,2.0,1.0,0.0,6.0,7.0,5.0,4.0,13.0,12.0,9.0,31.0,35.0,19.0,21.0,333.0,14.0,11.0,27.0,22.0,162.0,42.0,94.0,46.0,116.0,10.0,16.0,45.0,38.0,47.0
1390,1.0,0.0,2.0,11.0,9.0,21.0,7.0,4.0,8.0,12.0,10.0,20.0,26.0,3.0,14.0,24.0,5.0,17.0,60.0,18.0,250.0,6.0,35.0,25.0,82.0,40.0,19.0,27.0,29.0,39.0
1439,2.0,0.0,4.0,6.0,3.0,7.0,16.0,8.0,1.0,11.0,19.0,47.0,14.0,9.0,10.0,15.0,5.0,28.0,22.0,32.0,23.0,88.0,65.0,99.0,139.0,124.0,24.0,59.0,36.0,52.0
1488,0.0,3.0,2.0,1.0,11.0,10.0,6.0,13.0,24.0,8.0,12.0,9.0,22.0,5.0,51.0,76.0,146.0,14.0,62.0,25.0,23.0,47.0,48.0,87.0,4.0,92.0,61.0,35.0,7.0,27.0
1537,2.0,0.0,3.0,6.0,11.0,8.0,13.0,5.0,4.0,21.0,1.0,7.0,12.0,36.0,32.0,23.0,10.0,28.0,218.0,45.0,16.0,268.0,42.0,38.0,31.0,18.0,25.0,17.0,35.0,70.0
1586,8.0,0.0,14.0,1.0,2.0,6.0,5.0,3.0,7.0,12.0,15.0,13.0,105.0,32.0,11.0,65.0,9.0,4.0,156.0,22.0,16.0,21.0,589.0,74.0,27.0,61.0,19.0,113.0,62.0,18.0
1635,0.0,2.0,11.0,5.0,23.0,6.0,4.0,9.0,1.0,8.0,3.0,18.0,22.0,37.0,10.0,63.0,99.0,30.0,29.0,77.0,19.0,62.0,7.0,91.0,21.0,46.0,100.0,15.0,84.0,260.0
1684,1.0,0.0,13.0,17.0,2.0,9.0,4.0,6.0,7.0,8.0,3.0,10.0,34.0,39.0,12.0,303.0,14.0,18.0,117.0,21.0,20.0,160.0,299.0,27.0,5.0,59.0,107.0,99.0,55.0,19.0
1733,0.0,1.0,10.0,5.0,7.0,3.0,8.0,4.0,11.0,20.0,2.0,6.0,57.0,23.0,19.0,30.0,53.0,17.0,73.0,14.0,12.0,149.0,139.0,96.0,24.0,9.0,152.0,90.0,27.0,28.0
1782,1.0,3.0,6.0,2.0,9.0,4.0,10.0,7.0,5.0,20.0,0.0,15.0,71.0,8.0,11.0,42.0,29.0,18.0,49.0,12.0,155.0,66.0,84.0,157.0,39.0,117.0,120.0,14.0,216.0,25.0
1831,0.0,1.0,5.0,4.0,6.0,14.0,11.0,38.0,3.0,9.0,7.0,19.0,42.0,126.0,8.0,2.0,12.0,43.0,20.0,10.0,57.0,436.0,13.0,168.0,49.0,15.0,18.0,420.0,16.0,362.0
1880,0.0,2.0,5.0,1.0,138.0,4.0,8.0,16.0,15.0,52.0,3.0,7.0,14.0,64.0,9.0,11.0,6.0,80.0,195.0,18.0,21.0,113.0,17.0,70.0,10.0,60.0,23.0,19.0,13.0,20.0
1929,6.0,3.0,2.0,0.0,1.0,73.0,5.0,10.0,14.0,169.0,4.0,23.0,19.0,15.0,7.0,20.0,79.0,8.0,499.0,12.0,21.0,66.0,299.0,196.0,24.0,180.0,399.0,80.0,18.0,9.0
1978,0.0,3.0,2.0,1.0,7.0,5.0,12.0,22.0,8.0,4.0,28.0,18.0,25.0,70.0,34.0,67.0,6.0,17.0,14.0,93.0,78.0,13.0,90.0,19.0,16.0,27.0,65.0,11.0,30.0,164.0
2027,0.0,1.0,4.0,2.0,18.0,15.0,3.0,11.0,8.0,7.0,6.0,25.0,68.0,38.0,242.0,16.0,10.0,5.0,237.0,168.0,87.0,32.0,13.0,36.0,47.0,94.0,41.0,12.0,227.0,17.0
2076,0.0,1.0,8.0,2.0,4.0,9.0,7.0,6.0,3.0,11.0,12.0,30.0,14.0,19.0,86.0,13.0,5.0,25.0,10.0,15.0,93.0,61.0,108.0,28.0,60.0,102.0,35.0,27.0,48.0,31.0
2125,0.0,3.0,6.0,7.0,4.0,12.0,2.0,73.0,14.0,11.0,8.0,9.0,29.0,5.0,49.0,26.0,1.0,10.0,38.0,28.0,17.0,20.0,21.0,13.0,33.0,19.0,97.0,22.0,53.0,72.0
2174,0.0,2.0,6.0,17.0,4.0,8.0,9.0,7.0,20.0,32.0,15.0,28.0,12.0,23.0,54.0,24.0,11.0,52.0,5.0,44.0,258.0,1.0,3.0,56.0,91.0,34.0,109.0,26.0,82.0,373.0
2223,0.0,2.0,3.0,1.0,5.0,4.0,6.0,46.0,9.0,7.0,11.0,18.0,23.0,38.0,45.0,64.0,10.0,12.0,17.0,25.0,41.0,8.0,19.0,27.0,214.0,86.0,80.0,48.0,91.0,16.0
2272,1.0,0.0,3.0,6.0,12.0,14.0,2.0,4.0,16.0,9.0,7.0,23.0,13.0,17.0,20.0,75.0,8.0,5.0,362.0,27.0,183.0,51.0,39.0,30.0,18.0,64.0,120.0,25.0,69.0,36.0
2321,5.0,0.0,8.0,1.0,7.0,3.0,6.0,13.0,17.0,11.0,2.0,15.0,18.0,4.0,116.0,25.0,9.0,80.0,85.0,66.0,22.0,19.0,28.0,24.0,276.0,14.0,246.0,40.0,55.0,91.0
2370,0.0,2.0,5.0,3.0,11.0,8.0,4.0,99.0,6.0,79.0,9.0,19.0,26.0,7.0,246.0,60.0,1.0,28.0,10.0,92.0,35.0,21.0,34.0,15.0,228.0,69.0,18.0,12.0,24.0,29.0
2419,0.0,4.0,2.0,1.0,5.0,25.0,3.0,8.0,35.0,7.0,6.0,55.0,252.0,11.0,113.0,26.0,15.0,9.0,13.0,325.0,42.0,10.0,19.0,37.0,47.0,433.0,41.0,34.0,23.0,43.0
2468,0.0,3.0,2.0,4.0,1.0,17.0,27.0,9.0,5.0,63.0,140.0,7.0,111.0,25.0,294.0,59.0,84.0,18.0,11.0,28.0,16.0,6.0,72.0,51.0,23.0,10.0,24.0,15.0,20.0,77.0
2517,2.0,0.0,6.0,9.0,1.0,3.0,5.0,19.0,8.0,68.0,11.0,10.0,122.0,52.0,18.0,97.0,493.0,12.0,4.0,32.0,21.0,14.0,20.0,158.0,207.0,16.0,25.0,23.0,330.0,215.0
2566,1.0,0.0,8.0,3.0,9.0,33.0,24.0,2.0,5.0,54.0,4.0,6.0,17.0,97.0,67.0,51.0,27.0,13.0,69.0,84.0,45.0,14.0,189.0,405.0,41.0,26.0,62.0,19.0,21.0,140.0
2615,1.0,0.0,2.0,10.0,9.0,4.0,17.0,11.0,5.0,20.0,8.0,3.0,19.0,15.0,14.0,6.0,282.0,127.0,7.0,29.0,94.0,21.0,18.0,83.0,35.0,59.0,114.0,23.0,27.0,46.0
2664,1.0,3.0,0.0,23.0,2.0,10.0,15.0,5.0,6.0,8.0,27.0,4.0,14.0,22.0,95.0,25.0,44.0,53.0,7.0,82.0,93.0,37.0,16.0,294.0,28.0,17.0,9.0,50.0,13.0,30.0
2713,1.0,0.0,2.0,24.0,3.0,34.0,17.0,7.0,14.0,8.0,42.0,4.0,11.0,27.0,493.0,9.0,6.0,33.0,15.0,16.0,111.0,5.0,22.0,625.0,418.0,363.0,31.0,45.0,28.0,73.0
2762,0.0,1.0,2.0,8.0,3.0,5.0,31.0,9.0,4.0,7.0,19.0,27.0,16.0,21.0,24.0,13.0,28.0,56.0,10.0,39.0,22.0,43.0,40.0,135.0,113.0,35.0,11.0,41.0,233.0,69.0
2811,0.0,2.0,6.0,1.0,3.0,18.0,4.0,9.0,7.0,16.0,10.0,14.0,48.0,95.0,26.0,13.0,17.0,52.0,5.0,50.0,78.0,27.0,15.0,215.0,11.0,19.0,36.0,85.0,355.0,73.0
2860,0.0,1.0,2.0,5.0,7.0,8.0,12.0,3.0,10.0,14.0,16.0,4.0,36.0,9.0,223.0,17.0,24.0,6.0,20.0,18.0,264.0,11.0,15.0,87.0,22.0,70.0,58.0,13.0,252.0,416.0
2909,2.0,3.0,0.0,6.0,4.0,12.0,8.0,1.0,16.0,82.0,14.0,5.0,9.0,59.0,48.0,87.0,184.0,13.0,7.0,84.0,57.0,18.0,28.0,254.0,76.0,274.0,22.0,81.0,19.0,261.0
2958,1.0,0.0,13.0,11.0,12.0,14.0,9.0,2.0,15.0,8.0,16.0,17.0,3.0,18.0,7.0,4.0,5.0,273.0,494.0,10.0,24.0,39.0,6.0,21.0,19.0,58.0,269.0,29.0,183.0,117.0
3007,1.0,8.0,0.0,14.0,5.0,2.0,25.0,3.0,6.0,16.0,15.0,11.0,4.0,17.0,88.0,12.0,7.0,199.0,47.0,22.0,70.0,9.0,10.0,94.0,394.0,65.0,67.0,79.0,34.0,87.0
3056,0.0,1.0,3.0,14.0,6.0,4.0,12.0,2.0,5.0,10.0,16.0,57.0,7.0,48.0,30.0,70.0,31.0,20.0,72.0,181.0,41.0,9.0,17.0,8.0,81.0,11.0,33.0,480.0,37.0,36.0
3105,1.0,2.0,9.0,51.0,0.0,3.0,15.0,11.0,4.0,18.0,28.0,6.0,14.0,7.0,57.0,33.0,13.0,40.0,17.0,118.0,19.0,5.0,231.0,20.0,38.0,29.0,48.0,296.0,54.0,36.0
3154,0.0,4.0,3.0,11.0,8.0,7.0,20.0,5.0,2.0,14.0,18.0,9.0,1.0,36.0,6.0,22.0,26.0,37.0,371.0,60.0,24.0,31.0,32.0,17.0,12.0,48.0,27.0,41.0,55.0,67.0
3203,0.0,1.0,4.0,2.0,7.0,6.0,9.0,8.0,11.0,19.0,52.0,62.0,40.0,50.0,12.0,3.0,57.0,49.0,48.0,341.0,35.0,26.0,5.0,24.0,15.0,17.0,47.0,276.0,22.0,65.0
3252,0.0,2.0,1.0,6.0,3.0,5.0,11.0,14.0,132.0,8.0,10.0,7.0,4.0,23.0,9.0,12.0,25.0,72.0,22.0,94.0,24.0,20.0,21.0,15.0,56.0,13.0,43.0,16.0,102.0,17.0
3301,8.0,3.0,0.0,29.0,2.0,5.0,9.0,1.0,4.0,134.0,26.0,24.0,7.0,14.0,15.0,6.0,33.0,477.0,31.0,48.0,17.0,18.0,11.0,350.0,565.0,220.0,20.0,58.0,21.0,13.0
3350,0.0,2.0,3.0,1.0,4.0,7.0,5.0,8.0,10.0,18.0,23.0,17.0,6.0,9.0,13.0,35.0,11.0,61.0,15.0,55.0,20.0,14.0,34.0,550.0,41.0,21.0,39.0,22.0,119.0,78.0
3399,0.0,2.0,1.0,5.0,13.0,7.0,3.0,4.0,9.0,22.0,38.0,17.0,10.0,14.0,11.0,33.0,141.0,55.0,29.0,15.0,6.0,16.0,18.0,25.0,32.0,8.0,12.0,24.0,60.0,42.0
3448,0.0,3.0,4.0,8.0,19.0,2.0,26.0,1.0,20.0,6.0,25.0,5.0,7.0,80.0,9.0,35.0,23.0,29.0,96.0,41.0,50.0,172.0,11.0,10.0,376.0,39.0,12.0,76.0,31.0,43.0
3497,0.0,7.0,2.0,3.0,1.0,28.0,5.0,4.0,8.0,6.0,15.0,9.0,18.0,60.0,35.0,49.0,162.0,166.0,22.0,47.0,19.0,12.0,37.0,97.0,40.0,25.0,26.0,33.0,44.0,32.0
3546,1.0,2.0,7.0,0.0,4.0,3.0,5.0,19.0,15.0,12.0,10.0,6.0,11.0,14.0,16.0,47.0,142.0,28.0,58.0,181.0,24.0,18.0,51.0,111.0,26.0,9.0,315.0,25.0,101.0,20.0
3595,0.0,2.0,1.0,3.0,23.0,7.0,11.0,25.0,6.0,10.0,15.0,8.0,4.0,214.0,81.0,5.0,31.0,20.0,55.0,29.0,59.0,68.0,94.0,17.0,56.0,26.0,22.0,167.0,384.0,14.0
3644,0.0,1.0,3.0,2.0,7.0,6.0,12.0,4.0,321.0,5.0,214.0,56.0,8.0,10.0,27.0,9.0,284.0,59.0,32.0,220.0,30.0,23.0,21.0,17.0,28.0,34.0,76.0,231.0,206.0,197.0
3693,0.0,1.0,5.0,4.0,9.0,2.0,10.0,3.0,26.0,6.0,84.0,7.0,13.0,16.0,36.0,18.0,14.0,8.0,19.0,63.0,30.0,83.0,65.0,15.0,44.0,37.0,34.0,118.0,43.0,23.0
3742,0.0,2.0,5.0,3.0,7.0,1.0,21.0,13.0,4.0,8.0,11.0,19.0,102.0,6.0,101.0,17.0,77.0,32.0,25.0,28.0,12.0,36.0,15.0,22.0,16.0,39.0,14.0,48.0,42.0,10.0
3791,0.0,1.0,4.0,2.0,5.0,6.0,15.0,44.0,10.0,8.0,163.0,3.0,37.0,166.0,65.0,17.0,92.0,41.0,14.0,7.0,27.0,26.0,29.0,32.0,122.0,93.0,22.0,13.0,16.0,11.0
3840,1.0,3.0,11.0,0.0,8.0,4.0,7.0,12.0,2.0,5.0,27.0,19.0,34.0,21.0,14.0,10.0,20.0,15.0,117.0,17.0,23.0,45.0,38.0,73.0,83.0,6.0,316.0,9.0,130.0,41.0
3889,0.0,24.0,4.0,6.0,1.0,7.0,9.0,25.0,3.0,14.0,33.0,10.0,16.0,57.0,323.0,12.0,17.0,21.0,8.0,149.0,150.0,5.0,45.0,44.0,18.0,29.0,63.0,42.0,38.0,30.0
3938,0.0,3.0,1.0,4.0,2.0,14.0,12.0,5.0,57.0,11.0,6.0,9.0,7.0,16.0,36.0,24.0,344.0,80.0,26.0,308.0,67.0,139.0,51.0,33.0,39.0,60.0,15.0,13.0,220.0,8.0
3987,1.0,0.0,5.0,2.0,24.0,9.0,23.0,26.0,15.0,96.0,36.0,3.0,7.0,4.0,121.0,16.0,158.0,13.0,10.0,17.0,6.0,37.0,129.0,12.0,85.0,390.0,99.0,30.0,120.0,215.0
4036,0.0,1.0,2.0,4.0,3.0,7.0,6.0,54.0,20.0,41.0,17.0,18.0,38.0,5.0,117.0,10.0,65.0,8.0,37.0,57.0,52.0,77.0,9.0,143.0,205.0,59.0,15.0,19.0,26.0,84.0
4085,2.0,0.0,1.0,7.0,3.0,6.0,9.0,212.0,12.0,17.0,15.0,13.0,91.0,86.0,34.0,10.0,32.0,16.0,80.0,51.0,4.0,113.0,373.0,55.0,24.0,18.0,87.0,19.0,23.0,14.0
4134,0.0,3.0,2.0,1.0,10.0,8.0,44.0,30.0,9.0,215.0,12.0,20.0,6.0,15.0,13.0,21.0,27.0,62.0,18.0,144.0,17.0,7.0,45.0,26.0,22.0,33.0,227.0,14.0,24.0,40.0
4183,0.0,6.0,1.0,3.0,12.0,5.0,34.0,39.0,2.0,53.0,187.0,10.0,8.0,52.0,25.0,22.0,64.0,322.0,27.0,16.0,11.0,153.0,26.0,41.0,13.0,106.0,61.0,32.0,101.0,72.0
4232,0.0,17.0,11.0,1.0,10.0,2.0,25.0,3.0,27.0,8.0,9.0,7.0,4.0,6.0,13.0,60.0,65.0,92.0,34.0,102.0,5.0,19.0,71.0,104.0,28.0,199.0,20.0,45.0,70.0,36.0
4281,1.0,0.0,3.0,2.0,7.0,6.0,70.0,17.0,16.0,5.0,4.0,81.0,479.0,12.0,10.0,11.0,20.0,210.0,24.0,9.0,188.0,424.0,221.0,53.0,47.0,73.0,185.0,61.0,151.0,45.0
4330,2.0,0.0,1.0,3.0,5.0,29.0,8.0,11.0,4.0,10.0,14.0,28.0,32.0,43.0,18.0,73.0,173.0,65.0,84.0,17.0,19.0,71.0,67.0,55.0,6.0,54.0,47.0,59.0,12.0,37.0
4379,3.0,1.0,2.0,0.0,7.0,27.0,4.0,34.0,18.0,30.0,5.0,19.0,11.0,157.0,17.0,51.0,29.0,28.0,214.0,16.0,9.0,274.0,115.0,106.0,50.0,335.0,12.0,60.0,82.0,98.0
4428,0.0,1.0,4.0,19.0,6.0,10.0,7.0,2.0,21.0,11.0,25.0,15.0,56.0,8.0,164.0,14.0,5.0,26.0,57.0,33.0,3.0,49.0,63.0,20.0,9.0,16.0,22.0,17.0,264.0,197.0
4477,4.0,0.0,1.0,3.0,13.0,7.0,5.0,2.0,16.0,12.0,8.0,24.0,14.0,50.0,22.0,9.0,83.0,81.0,19.0,6.0,21.0,35.0,115.0,38.0,88.0,306.0,15.0,37.0,17.0,29.0
4526,1.0,3.0,10.0,0.0,26.0,11.0,4.0,2.0,17.0,9.0,22.0,6.0,8.0,25.0,43.0,15.0,5.0,19.0,36.0,71.0,14.0,44.0,31.0,7.0,30.0,58.0,54.0,113.0,13.0,40.0
4575,2.0,0.0,6.0,24.0,1.0,4.0,11.0,3.0,8.0,12.0,10.0,7.0,13.0,23.0,21.0,76.0,18.0,5.0,298.0,27.0,30.0,20.0,40.0,192.0,9.0,41.0,198.0,17.0,16.0,153.0
4624,2.0,0.0,3.0,12.0,4.0,8.0,5.0,1.0,10.0,9.0,67.0,19.0,17.0,136.0,11.0,28.0,7.0,27.0,168.0,31.0,29.0,35.0,56.0,163.0,49.0,23.0,42.0,37.0,14.0,203.0
4673,1.0,0.0,2.0,12.0,6.0,11.0,5.0,3.0,8.0,9.0,33.0,59.0,10.0,4.0,48.0,22.0,7.0,14.0,60.0,43.0,23.0,179.0,15.0,27.0,35.0,93.0,17.0,87.0,37.0,310.0
4722,0.0,1.0,2.0,21.0,3.0,9.0,4.0,5.0,6.0,10.0,23.0,15.0,11.0,16.0,8.0,12.0,18.0,73.0,38.0,13.0,34.0,182.0,67.0,258.0,58.0,120.0,22.0,14.0,7.0,372.0
4771,0.0,2.0,1.0,8.0,6.0,4.0,11.0,3.0,97.0,13.0,10.0,123.0,17.0,9.0,40.0,86.0,7.0,22.0,25.0,36.0,5.0,55.0,31.0,12.0,14.0,44.0,28.0,16.0,39.0,65.0
4820,1.0,8.0,0.0,2.0,6.0,27.0,7.0,3.0,16.0,5.0,4.0,11.0,9.0,23.0,10.0,12.0,90.0,473.0,41.0,17.0,48.0,15.0,91.0,28.0,26.0,21.0,51.0,36.0,20.0,125.0
4869,2.0,0.0,4.0,9.0,8.0,3.0,11.0,1.0,5.0,20.0,30.0,53.0,7.0,47.0,32.0,39.0,25.0,261.0,188.0,13.0,12.0,19.0,6.0,16.0,14.0,61.0,10.0,22.0,29.0,56.0
