,VAV1,Raptor,Transglutaminase,Akt_pS473,G6PD,PDK1,Chk1_pS345,4E-BP1,FRA1,Claudin-7,Chk1,Cyclin_B1,Stathmin,Rictor_pT1135,Chk2,HER3,Bax,VHL,Lck,N-Cadherin,ACC_pS79,YAP_pS127,IRS1,Heregulin,Cyclin_D1,p62 Lck ligand,Gab2,Paxillin,PEA15,SF2
5,5.0,11.0,10.0,2.0,1.0,4.0,24.0,12.0,28.0,51.0,30.0,18.0,38.0,128.0,31.0,8.0,13.0,41.0,39.0,33.0,19.0,47.0,58.0,48.0,26.0,110.0,139.0,6.0,32.0,102.0
54,4.0,14.0,13.0,25.0,2.0,34.0,0.0,19.0,97.0,91.0,9.0,73.0,53.0,16.0,6.0,29.0,52.0,8.0,31.0,15.0,21.0,78.0,72.0,48.0,11.0,26.0,85.0,144.0,49.0,79.0
103,0.0,70.0,31.0,21.0,3.0,15.0,46.0,27.0,58.0,84.0,140.0,86.0,9.0,137.0,62.0,30.0,49.0,44.0,143.0,138.0,45.0,64.0,52.0,82.0,59.0,96.0,76.0,95.0,50.0,1.0
152,1.0,7.0,17.0,12.0,5.0,6.0,23.0,0.0,29.0,91.0,41.0,9.0,18.0,161.0,4.0,78.0,52.0,33.0,102.0,53.0,54.0,39.0,101.0,21.0,3.0,38.0,155.0,139.0,76.0,104.0
201,0.0,14.0,37.0,9.0,122.0,10.0,99.0,20.0,67.0,66.0,22.0,119.0,63.0,29.0,112.0,38.0,103.0,68.0,79.0,36.0,35.0,73.0,42.0,28.0,3.0,12.0,18.0,150.0,57.0,114.0
250,0.0,32.0,50.0,7.0,14.0,26.0,19.0,3.0,40.0,77.0,42.0,51.0,11.0,66.0,25.0,35.0,46.0,31.0,16.0,63.0,43.0,64.0,75.0,52.0,71.0,81.0,137.0,97.0,94.0,54.0
299,1.0,13.0,15.0,11.0,141.0,2.0,16.0,3.0,142.0,76.0,154.0,163.0,65.0,111.0,6.0,45.0,67.0,57.0,63.0,28.0,40.0,51.0,9.0,41.0,18.0,29.0,20.0,64.0,66.0,12.0
348,1.0,54.0,31.0,16.0,14.0,34.0,156.0,12.0,143.0,36.0,49.0,11.0,67.0,22.0,18.0,48.0,46.0,74.0,69.0,59.0,15.0,117.0,94.0,19.0,87.0,50.0,56.0,47.0,43.0,118.0
397,4.0,74.0,15.0,51.0,16.0,9.0,7.0,33.0,76.0,103.0,65.0,131.0,18.0,88.0,5.0,49.0,89.0,19.0,129.0,23.0,79.0,85.0,125.0,66.0,77.0,102.0,27.0,106.0,54.0,56.0
446,1.0,27.0,13.0,7.0,144.0,23.0,49.0,5.0,112.0,43.0,29.0,152.0,17.0,124.0,84.0,28.0,63.0,36.0,99.0,2.0,55.0,41.0,96.0,57.0,150.0,61.0,143.0,149.0,65.0,91.0
495,0.0,48.0,140.0,32.0,11.0,12.0,2.0,42.0,152.0,61.0,111.0,10.0,95.0,35.0,98.0,76.0,28.0,92.0,84.0,45.0,51.0,30.0,47.0,26.0,65.0,88.0,151.0,99.0,73.0,115.0
544,0.0,4.0,26.0,45.0,145.0,73.0,111.0,39.0,23.0,76.0,22.0,1.0,69.0,62.0,158.0,65.0,15.0,38.0,74.0,19.0,47.0,55.0,78.0,41.0,10.0,66.0,18.0,149.0,48.0,101.0
593,2.0,11.0,7.0,24.0,161.0,10.0,0.0,19.0,18.0,68.0,58.0,131.0,4.0,3.0,15.0,29.0,52.0,49.0,17.0,71.0,47.0,20.0,79.0,67.0,16.0,107.0,51.0,99.0,57.0,125.0
642,1.0,32.0,20.0,28.0,4.0,18.0,10.0,17.0,52.0,63.0,38.0,7.0,59.0,75.0,8.0,24.0,46.0,67.0,81.0,26.0,116.0,51.0,41.0,111.0,35.0,85.0,50.0,156.0,60.0,49.0
691,9.0,33.0,8.0,27.0,160.0,10.0,3.0,26.0,36.0,31.0,34.0,101.0,23.0,2.0,29.0,32.0,30.0,71.0,21.0,96.0,59.0,16.0,82.0,83.0,20.0,37.0,51.0,162.0,66.0,19.0
740,0.0,133.0,7.0,30.0,12.0,65.0,3.0,14.0,16.0,43.0,45.0,87.0,44.0,132.0,5.0,38.0,52.0,59.0,24.0,96.0,80.0,18.0,81.0,147.0,48.0,68.0,85.0,42.0,90.0,29.0
789,1.0,2.0,8.0,39.0,65.0,100.0,6.0,38.0,29.0,112.0,10.0,30.0,84.0,28.0,19.0,20.0,36.0,9.0,107.0,15.0,31.0,21.0,27.0,70.0,14.0,54.0,72.0,143.0,43.0,102.0
838,0.0,20.0,51.0,22.0,8.0,41.0,56.0,19.0,4.0,79.0,116.0,60.0,29.0,36.0,121.0,37.0,35.0,73.0,46.0,62.0,45.0,17.0,40.0,84.0,25.0,6.0,15.0,109.0,47.0,26.0
887,0.0,36.0,18.0,7.0,32.0,148.0,6.0,14.0,11.0,31.0,122.0,124.0,67.0,9.0,8.0,34.0,44.0,94.0,26.0,25.0,56.0,48.0,41.0,2.0,29.0,50.0,85.0,146.0,49.0,73.0
936,79.0,36.0,15.0,56.0,63.0,76.0,3.0,30.0,8.0,84.0,34.0,38.0,47.0,0.0,55.0,27.0,53.0,28.0,11.0,101.0,46.0,13.0,25.0,29.0,140.0,19.0,10.0,157.0,37.0,39.0
985,1.0,68.0,83.0,22.0,80.0,70.0,0.0,136.0,21.0,74.0,93.0,2.0,62.0,6.0,24.0,44.0,43.0,33.0,65.0,29.0,28.0,9.0,141.0,20.0,56.0,14.0,57.0,95.0,120.0,26.0
1034,1.0,31.0,50.0,24.0,0.0,9.0,163.0,20.0,32.0,34.0,27.0,30.0,3.0,149.0,93.0,58.0,29.0,42.0,28.0,36.0,68.0,101.0,47.0,55.0,75.0,16.0,147.0,150.0,53.0,40.0
1083,5.0,44.0,26.0,58.0,6.0,46.0,72.0,2.0,81.0,15.0,53.0,39.0,37.0,64.0,9.0,11.0,38.0,79.0,30.0,36.0,78.0,42.0,3.0,1.0,158.0,146.0,0.0,119.0,75.0,29.0
1132,1.0,7.0,53.0,13.0,123.0,11.0,102.0,57.0,25.0,28.0,12.0,56.0,40.0,8.0,10.0,68.0,26.0,33.0,17.0,130.0,29.0,107.0,48.0,58.0,32.0,50.0,92.0,152.0,76.0,6.0
1181,0.0,77.0,10.0,9.0,5.0,145.0,122.0,18.0,61.0,20.0,24.0,23.0,15.0,88.0,137.0,91.0,52.0,70.0,82.0,75.0,43.0,101.0,22.0,50.0,19.0,48.0,60.0,117.0,90.0,58.0
1230,1.0,10.0,36.0,25.0,138.0,0.0,57.0,17.0,22.0,16.0,125.0,3.0,59.0,39.0,27.0,60.0,35.0,89.0,43.0,78.0,65.0,90.0,13.0,40.0,7.0,66.0,139.0,97.0,100.0,46.0
1279,1.0,89.0,23.0,18.0,146.0,155.0,61.0,6.0,30.0,45.0,37.0,2.0,12.0,22.0,38.0,71.0,29.0,86.0,32.0,62.0,69.0,67.0,65.0,27.0,15.0,9.0,145.0,58.0,81.0,41.0
1328,2.0,5.0,28.0,29.0,12.0,13.0,85.0,53.0,36.0,86.0,25.0,1.0,38.0,4.0,10.0,77.0,43.0,21.0,52.0,11.0,80.0,134.0,64.0,60.0,15.0,37.0,18.0,40.0,114.0,66.0
