,uracil,inositol,1-methylnicotinamide,2-deoxycytidine,pantothenate,N-carbamoyl-beta-alanine,GABA,2-deoxyadenosine,sarcosine,oxalate,niacinamide,C18:0 LPC,putrescine,palmitoylcarnitine,carnitine,C16:0 LPE,C56:5 TAG,C18:0 LPE,C20:4 CE,C22:6 CE,DHAP/glyceraldehyde 3P,alpha-glycerophosphate,C36:4 PC-B,C34:4 PC,C34:2 DAG,beta-alanine,C36:1 DAG,C22:6 LPE,dCMP,taurodeoxycholate
27,1.0,4.0,7.0,0.0,25.0,9.0,10.0,6.0,39.0,26.0,11.0,13.0,40.0,16.0,12.0,30.0,60.0,24.0,28.0,8.0,47.0,44.0,21.0,29.0,3.0,18.0,36.0,27.0,33.0,20.0
76,3.0,1.0,25.0,9.0,26.0,4.0,62.0,0.0,28.0,10.0,16.0,24.0,17.0,7.0,38.0,11.0,63.0,20.0,37.0,15.0,45.0,13.0,14.0,36.0,22.0,33.0,2.0,35.0,44.0,27.0
125,1.0,5.0,11.0,8.0,25.0,21.0,55.0,7.0,14.0,2.0,20.0,16.0,12.0,13.0,32.0,39.0,57.0,40.0,44.0,17.0,6.0,26.0,9.0,41.0,15.0,37.0,10.0,4.0,29.0,31.0
174,10.0,1.0,5.0,11.0,30.0,64.0,62.0,3.0,38.0,51.0,43.0,17.0,19.0,16.0,2.0,21.0,63.0,8.0,39.0,22.0,25.0,9.0,7.0,28.0,27.0,40.0,26.0,33.0,24.0,0.0
223,0.0,30.0,14.0,34.0,32.0,1.0,9.0,33.0,15.0,52.0,17.0,41.0,10.0,12.0,36.0,2.0,64.0,8.0,39.0,26.0,28.0,4.0,3.0,35.0,37.0,22.0,7.0,43.0,47.0,6.0
272,54.0,21.0,14.0,15.0,51.0,7.0,64.0,4.0,2.0,13.0,6.0,1.0,5.0,29.0,38.0,33.0,17.0,40.0,25.0,24.0,28.0,3.0,36.0,35.0,0.0,37.0,26.0,11.0,27.0,55.0
321,23.0,18.0,0.0,6.0,4.0,19.0,62.0,1.0,40.0,26.0,64.0,16.0,3.0,9.0,15.0,36.0,13.0,25.0,33.0,34.0,50.0,35.0,28.0,27.0,31.0,20.0,42.0,5.0,32.0,7.0
370,8.0,9.0,15.0,3.0,31.0,17.0,63.0,22.0,39.0,35.0,18.0,21.0,16.0,12.0,11.0,2.0,64.0,33.0,41.0,24.0,25.0,1.0,30.0,10.0,0.0,7.0,40.0,29.0,5.0,23.0
419,31.0,33.0,7.0,6.0,36.0,11.0,25.0,0.0,39.0,1.0,58.0,17.0,8.0,15.0,9.0,18.0,10.0,19.0,24.0,2.0,44.0,29.0,22.0,21.0,3.0,16.0,23.0,20.0,32.0,38.0
468,31.0,7.0,0.0,6.0,9.0,13.0,58.0,5.0,17.0,53.0,64.0,18.0,8.0,23.0,52.0,19.0,35.0,2.0,22.0,3.0,4.0,27.0,20.0,41.0,21.0,47.0,38.0,1.0,28.0,33.0
517,3.0,14.0,1.0,29.0,10.0,12.0,4.0,0.0,35.0,21.0,19.0,2.0,6.0,17.0,15.0,20.0,62.0,22.0,31.0,38.0,7.0,43.0,27.0,24.0,37.0,40.0,30.0,23.0,28.0,65.0
566,53.0,1.0,9.0,30.0,32.0,2.0,61.0,3.0,11.0,50.0,14.0,34.0,21.0,40.0,36.0,4.0,20.0,33.0,28.0,10.0,27.0,0.0,35.0,37.0,23.0,41.0,29.0,6.0,26.0,31.0
615,22.0,5.0,20.0,4.0,6.0,0.0,12.0,1.0,16.0,24.0,17.0,21.0,9.0,41.0,13.0,23.0,7.0,25.0,32.0,36.0,30.0,26.0,37.0,42.0,10.0,33.0,31.0,38.0,48.0,11.0
664,35.0,8.0,7.0,20.0,6.0,1.0,14.0,16.0,4.0,0.0,12.0,42.0,15.0,44.0,39.0,45.0,61.0,32.0,28.0,27.0,9.0,26.0,2.0,37.0,31.0,40.0,30.0,41.0,49.0,3.0
